mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
210445000,11777.1,9326.92,660,0.979667,0.98948,0,0,0,0,1,0,0,0,0.0509647,0.899386,0.0496496,0.999631,0.999631
219829000,16146.4,9946.41,660,0.980137,0.98935,9.46732e-06,0,0,1,0,0,0,0,0.049483,0.899637,0.0508796,1,1
210445000,12038.2,9211.61,720,0.979731,0.99003,0,0,0,0,1,0,0,0,0.0503024,0.895033,0.0546643,1,1
219829000,16079.9,9813.88,720,0.979582,0.99014,0,0,0,1,0,0,0,0,0.0460268,0.904612,0.0493609,1,0.999879
210445000,12299.3,9096.31,780,0.97933,0.99007,7.43239e-06,0,0,0,1,0,0,0,0.0501096,0.891369,0.0585217,1,1
219829000,16011.7,9678.49,780,0.980081,0.99016,8.05544e-06,0,0,1,0,0,0,0,0.0466403,0.903436,0.0499233,1,0.999577
210445000,12560.4,8981.09,840,0.97774,0.98971,1.12136e-05,0,0,0,1,0,0,0,0.0490876,0.885552,0.0653605,1,0.999987
219829000,15944.4,9545.71,840,0.979554,0.99001,7.37283e-06,0,0,1,0,0,0,0,0.0420664,0.908932,0.049002,1,0.998843
210445000,12821.4,8865.82,900,0.97391,0.99006,1.26793e-05,0,0,0,1,0,0,0,0.0473132,0.876558,0.076129,1,0.999953
219829000,15877.8,9413.05,900,0.979197,0.98987,6.83859e-06,0,0,1,0,0,0,0,0.0422628,0.90744,0.0502973,1,0.998235
210445000,13082.6,8750.56,960,0.969632,0.99018,3.60249e-05,0,0,0,1,0,0,0,0.0480605,0.863901,0.0880383,1,0.99979
219829000,15809.7,9278.71,960,0.97995,0.98979,1.88382e-05,0,0,1,0,0,0,0,0.0415032,0.907634,0.050863,1,0.997188
210445000,13343.7,8635.38,1020,0.00210388,0.9899,0.0021194,1,0,0,1,0,0,0,0.0500109,0.892417,0.0575721,1,0.99923
219829000,15745.7,9146.99,1020,0.98014,0.99004,1.16213e-05,0,0,1,0,0,0,0,0.0395458,0.909397,0.051057,1,0.995099
210445000,13603.8,8518.96,1080,0,0.99013,1.70563e-05,1,0,0,1,0,0,0,0.0505419,0.891223,0.0582348,1,0.998877
219829000,15684.1,9014.24,1080,0.979933,0.98993,1.06292e-05,0,0,1,0,0,0,0,0.0388858,0.909346,0.0517678,1,0.992876
210445000,13844.8,8352.53,1140,0,0.98992,1.23352e-05,1,0,0,1,0,0,0,0.0485628,0.893854,0.057583,1,0.997325
