mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
235068085,-1594.65,-1102.4,4260,0.979834,0.99045,0,0,0,0,0,1,0.0476764,0.903123,0.0492002
311816000,1823.7,3720.93,4260,0.979397,0.98998,9.82117e-06,0,0,0,1,0,0.0494582,0.902268,0.0482741
235068085,-1114.51,-732.609,4320,0.980219,0.99005,0,0,0,0,0,1,0.05076,0.899582,0.0496576
311816000,1971.85,3991.36,4320,0.980014,0.98984,9.79153e-06,0,0,0,1,0,0.0501112,0.899891,0.0499979
235068085,-649.598,-364.584,4380,0.98031,0.98977,1.16593e-05,0,0,0,0,1,0.0491442,0.90016,0.050696
311816000,2127.14,4254.81,4380,0.980191,0.9896,0,0,0,0,1,0,0.0494466,0.901162,0.0493912
235068085,-170.283,14.7495,4440,0.979364,0.98979,3.35897e-08,0,0,0,0,1,0.0483045,0.90149,0.0502057
311816000,2281.9,4521.78,4440,0.980307,0.98985,0,0,0,0,1,0,0.0512019,0.89962,0.0491779
235068085,246.592,418.999,4500,0.979261,0.00127792,0.00128791,0,0,0,0,1,0.0543114,0.943759,0.00193008
311816000,2435.89,4782.25,4500,0.980686,0.99046,0,0,0,0,1,0,0.0490731,0.899746,0.051181
235068085,553.94,914.307,4560,0.979397,0,1.08261e-05,0,0,0,0,1,0.0547672,0.945232,6.77286e-07
311816000,2579.41,5033.2,4560,0.979134,0.99024,9.52305e-06,0,0,0,1,0,0.0512477,0.899182,0.0495702
235068085,810.8,1446.78,4620,0.980554,0.00163751,0.00164664,0,0,0,0,1,0.0523258,0.947674,0
311816000,2734.76,5290.46,4620,0.979619,0.99045,0,0,0,0,1,0,0.0505538,0.8993,0.0501459
235068085,1061.73,2007.78,4680,0.980356,2.43926e-06,1.23024e-05,0,0,0,0,1,0.0519481,0.948052,0
311816000,2891.57,5541.53,4680,0.979819,0.99012,0,0,0,0,1,0,0.049318,0.901368,0.0493138
235068085,1307.96,2594.13,4740,0.974185,0.0021146,0.00212512,0,0,0,0,1,0.0531027,0.940827,0.0060701
