mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
211688080,4585.62,3266.24,600,0.982742,0.99029,4.83542e-05,1,0,0,0,0,0.0288448,0.916923,0.0542327
257879290,6063.82,1879.01,600,0.979864,0.98994,1.47923e-05,0,1,0,0,0,0.046068,0.861833,0.0920991
211688080,4719.46,3231.65,660,0.979987,0.99017,0,1,0,0,0,0,0.0203784,0.92669,0.0529319
257879290,5996.41,2059.5,660,0.968583,0.9901,2.25549e-05,0,1,0,0,0,0.0438303,0.782569,0.1736
211688080,4854.87,3196.11,720,0.980779,0.98985,1.79084e-05,1,0,0,0,0,0.0106733,0.937972,0.0513547
257879290,5923.89,2229.76,720,0.977782,0.99024,1.06637e-05,0,1,0,0,0,0.0394841,0.69536,0.265156
211688080,4988.73,3170.93,780,0.980138,0.99037,0,1,0,0,0,0,0.00611591,0.943062,0.0508219
257879290,5853.58,2383,780,0.97343,0.99006,1.88392e-05,0,1,0,0,0,0.0312328,0.579075,0.389693
211688080,5122.37,3156.51,840,0.147063,0.148236,0.149454,1,0,0,0,0,0.0193008,0.933552,0.0471475
257879290,5788.74,2535.06,840,0.972872,0.99012,5.5203e-05,0,1,0,0,0,0.0313565,0.54401,0.424633
211688080,5254,3131.92,900,0.123132,0.124481,0.125715,1,0,0,0,0,0.0177117,0.923036,0.059252
257879290,5718.35,2706.11,900,0.984505,0.99035,8.62281e-06,0,1,0,0,0,0.0177315,0.20816,0.774109
211688080,5387.41,3108.52,960,0.174609,0.176404,0.17817,1,0,0,0,0,0.00935607,0.90652,0.0841244
257879290,5651.43,2880.78,960,0.980054,0.99005,1.01187e-05,0,1,0,0,0,0,0,1
211688080,5502.99,3065.85,1020,0.173532,0.175228,0.177065,1,0,0,0,0,0.00148356,0.952107,0.046409
257879290,5588.51,3044.03,1020,0.980143,0.98979,8.85148e-06,0,1,0,0,0,0,0,1
211688080,5646.88,3062.31,1080,0.236507,0.238784,0.240794,1,0,0,0,0,0.0863907,0.874109,0.0394999
257879290,5527.27,3207.93,1080,0.979786,0.98995,9.89409e-06,0,1,0,0,0,0,0,1
211688080,5777.97,3059.61,1140,0.118798,0.124742,0.126497,1,0,0,0,0,0.00553948,0.940611,0.0538491
257879290,5452.21,3363.34,1140,0.980734,0.98987,1.16735e-05,0,1,0,0,0,0,0,1
211688080,5904.92,3032.79,1200,0.181165,0.183782,0.185991,1,0,0,0,0,0.00037119,0.947195,0.0524334
257879290,5386.18,3513.01,1200,0.97926,0.99033,1.04753e-05,0,1,0,0,0,0,0,1
211688080,6010.6,3005.69,1260,0.20834,0.210368,0.212503,1,0,0,0,0,0.00596199,0.94727,0.046768
257879290,5318.83,3666.7,1260,0.97941,0.99007,1.14671e-05,0,1,0,0,0,0,0,1
211688080,6123.86,2996.26,1320,0.405873,0.410165,0.414359,1,0,0,0,0,0.0251718,0.926016,0.048812
257879290,5239,3819.23,1320,0.980078,0.99006,9.92128e-06,0,1,0,0,0,0,0,1
211688080,6239.47,2985.12,1380,0.387049,0.390681,0.394702,1,0,0,0,0,0.017392,0.903527,0.0790813
257879290,5165.31,3971.82,1380,0.979386,0.99088,1.06558e-05,0,1,0,0,0,0,0,1
211688080,6359.85,2971.07,1440,0.426579,0.430792,0.435788,1,0,0,0,0,0.0230384,0.929183,0.0477791
257879290,5085.6,4118.98,1440,0.980281,0.99001,1.19489e-05,0,1,0,0,0,0,0,1
211688080,6484.02,2948.46,1500,0.591534,0.594559,0.602331,1,0,0,0,0,0.0304451,0.909157,0.0603978
257879290,5026.5,4265.54,1500,0.979559,0.98979,1.01705e-05,0,1,0,0,0,0,0,1
211688080,6594.61,2930.58,1560,0.733684,0.743697,0.751306,1,0,0,0,0,0.0355285,0.879135,0.0853367
257879290,4949.81,4411.52,1560,0.980885,0.98999,9.92762e-06,0,1,0,0,0,0,0,1
211688080,6735.5,2926.93,1620,0.509707,0.514316,0.521084,1,0,0,0,0,0.0274708,0.946384,0.0261452
257879290,4882.03,4560.34,1620,0.979293,0.98963,9.61393e-06,0,1,0,0,0,0,0,1
211688080,6868.58,2902.48,1680,0.538208,0.541448,0.547837,1,0,0,0,0,0.0248307,0.93266,0.0425091
257879290,4814.81,4701.3,1680,0.981211,0.99007,1.00348e-05,0,1,0,0,0,0,0,1
211688080,6995.42,2874.01,1740,0.520712,0.528578,0.533667,1,0,0,0,0,0.0192612,0.946295,0.0344438
257879290,4753.83,4839.59,1740,0.979918,0.99016,9.63639e-06,0,1,0,0,0,0,0,1
211688080,7121.36,2845.14,1800,0.915435,0.982281,0.998498,1,0,0,0,0,0.0471922,0.952049,0.000759245
257879290,4676.49,4979.98,1800,0.98101,0.99023,1.04331e-05,0,1,0,0,0,0,0,1
211688080,7247.75,2812,1860,0.37484,0.376271,0.38127,1,0,0,0,0,0.018005,0.904036,0.0779588
257879290,4619.18,5108.28,1860,0.979948,0.98956,1.00091e-05,0,1,0,0,0,0,0,1
211688080,7372.81,2773.68,1920,0.52865,0.536147,0.541779,1,0,0,0,0,0.0247051,0.48383,0.491465
257879290,4553.52,5236.66,1920,0.980076,0.99005,1.06368e-05,0,1,0,0,0,0,0,1
211688080,7483.83,2742.98,1980,0.986948,0.99021,1,1,0,0,0,0,0.0431647,0.90844,0.0483954
257879290,4497.55,5358.05,1980,0.979875,0.99034,1.04644e-05,0,1,0,0,0,0,0,1
211688080,7603.09,2709.63,2040,0.282716,0.283964,0.28722,1,0,0,0,0,0.0173783,0.954144,0.028478
257879290,4440.03,5487.31,2040,0.980456,0.98959,1.00812e-05,0,1,0,0,0,0,0,1
211688080,7730.16,2691.22,2100,0.967112,0.987539,1,1,0,0,0,0,0.0482112,0.883499,0.0682903
257879290,4376.74,5630.6,2100,0.979256,0.98957,9.69977e-06,0,1,0,0,0,0,0,1
211688080,7858.23,2675.17,2160,0.980215,0.98575,1,1,0,0,0,0,0.0560503,0.891749,0.0522004
257879290,4328.07,5786.83,2160,0.980147,0.99011,9.69277e-06,0,1,0,0,0,0,0,1
211688080,7970.81,2636.98,2220,0.969026,0.986601,1,1,0,0,0,0,0.0734002,0.874582,0.0520177
257879290,4273.28,5943.25,2220,0.980028,0.99003,1.00953e-05,0,1,0,0,0,0,0,1
211688080,8084.73,2606.71,2280,0.969639,0.989198,1,1,0,0,0,0,0.0603192,0.897475,0.042206
257879290,4220.03,6087.13,2280,0.979899,0.99,1.01389e-05,0,1,0,0,0,0,0,1
211688080,8201.33,2580.63,2340,0.994001,0.99528,1,1,0,0,0,0,0.0155549,0.953842,0.0306035
257879290,4165.34,6227.17,2340,0.97978,0.989869,1.36538e-05,0,1,0,0,0,0,0,1
211688080,8318.15,2555.15,2400,0.97383,0.986066,1,1,0,0,0,0,0.0590295,0.854817,0.0861539
257879290,4117.88,6363.18,2400,0.980149,0.989957,1.2741e-05,0,1,0,0,0,0,0,1
211688080,8420.6,2531.38,2460,0.999409,0.993808,1,1,0,0,0,0,0.0329742,0.955457,0.0115688
257879290,4062.74,6494,2460,0.979941,0.989481,1.31313e-05,0,1,0,0,0,0,0,1
211688080,8543.21,2508.56,2520,0.999812,0.989954,1,1,0,0,0,0,0.0377431,0.961663,0.000593611
257879290,4000.74,6653.23,2520,0.981218,0.982828,2.20594e-05,0,1,0,0,0,0,0,1
211688080,8666.72,2483.96,2580,0.99804,0.986537,1,1,0,0,0,0,0.0591941,0.829463,0.111343
257879290,3943.55,6820.32,2580,0.98166,0.990253,1.24763e-05,0,1,0,0,0,0,0,1
211688080,8797.34,2452.86,2640,0.998816,0.980207,1,1,0,0,0,0,0.0753079,0.850232,0.0744606
257879290,3901.97,6991.3,2640,0.979476,0.986351,1.80699e-05,0,1,0,0,0,0,0,1
211688080,8938.89,2431.86,2700,0.999395,0.990962,1,1,0,0,0,0,0.0416485,0.930674,0.0276772
