mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
248375000,17319.6,7355.27,60,0.98023,0.99032,0,0,1,0,0,0,0.0496696,0.900551,0.0497793
257787000,19999.7,956.168,60,0.97961,0.99006,1.98925e-05,1,0,0,0,0,0.05047,0.90023,0.0493
248375000,17093.4,7210.34,120,0.97981,0.9902,0,0,1,0,0,0,0.05047,0.89903,0.0504996
257787000,19641,1040.62,120,0.97957,0.98979,0,1,0,0,0,0,0.05078,0.89888,0.05034
248375000,16873.1,7070.44,180,0.9801,0.99008,8.39442e-06,0,1,0,0,0,0.0492701,0.8995,0.0512299
257787000,19278.8,1120.87,180,0.98022,0.98958,1.98594e-05,1,0,0,0,0,0.05046,0.89926,0.05028
248375000,16649.9,6927.25,240,0.98082,0.98959,1.68021e-05,0,1,0,0,0,0.0491603,0.902041,0.0487983
257787000,18919.3,1207.29,240,0.98076,0.98998,1.98592e-05,1,0,0,0,0,0.05072,0.89968,0.0496
248375000,16423.6,6782.51,300,0.98107,0.99063,0,0,1,0,0,0,0.0493197,0.902061,0.0486191
257787000,18567.3,1281.11,300,0.98012,0.98972,3.96871e-05,1,0,0,0,0,0.05026,0.90044,0.0492999
248375000,16203.4,6639.82,360,0.97967,0.98946,2.4055e-05,0,1,0,0,0,0.0502999,0.89946,0.0502399
257787000,18193.3,1364.6,360,0.98017,0.99052,0,1,0,0,0,0,0.0506901,0.90004,0.04927
248375000,15969,6496.09,420,0.98019,0.99016,0,0,1,0,0,0,0.0495908,0.901269,0.0491406
257787000,17839.1,1441.44,420,0.97893,0.98984,9.91304e-06,1,0,0,0,0,0.0501601,0.89958,0.05026
248375000,15749.8,6353.91,480,0.979835,0.98981,2.23813e-05,0,1,0,0,0,0.0498155,0.899805,0.0503799
257787000,17468.8,1527.45,480,0.98068,0.98952,0,1,0,0,0,0,0.0496776,0.898412,0.0519106
248375000,15525.9,6209.97,540,0.979633,0.98992,1.49037e-05,0,1,0,0,0,0.0508975,0.900129,0.0489738
257787000,17101.1,1604.88,540,0.98009,0.99007,9.88981e-06,1,0,0,0,0,0.0503069,0.899313,0.0503801
248375000,15288.2,6060.77,600,0.98068,0.98975,1.45292e-05,0,1,0,0,0,0.0498023,0.89927,0.0509279
257787000,16731.4,1686.65,600,0.97927,0.99014,0,1,0,0,0,0,0.0488402,0.900391,0.050769
248375000,15057.8,5915.71,660,0.979149,0.99067,2.82985e-05,0,1,0,0,0,0.0506972,0.898846,0.0504564
257787000,16354.2,1765.51,660,0.980729,0.99025,0,1,0,0,0,0,0.0504028,0.900028,0.0495689
248375000,14830.6,5769.62,720,0.980237,0.99061,2.75775e-05,0,1,0,0,0,0.0497663,0.900646,0.0495874
257787000,15989.2,1847.17,720,0.980491,0.98999,1.97231e-05,1,0,0,0,0,0.0492397,0.901557,0.0492032
248375000,14613,5627.23,780,0.979421,0.99,3.3576e-05,0,1,0,0,0,0.0493382,0.90074,0.0499216
257787000,15618.6,1926.81,780,0.979609,0.98992,9.85284e-06,1,0,0,0,0,0.0503213,0.899559,0.0501195
248375000,14395.3,5479.35,840,0.97998,0.99035,6.20254e-06,0,1,0,0,0,0.0496141,0.900009,0.0503772
257787000,15260.7,2006.81,840,0.98,0.99026,9.8516e-06,1,0,0,0,0,0.0501792,0.900022,0.0497992
248375000,14175.2,5336.68,900,0.981037,0.99005,6.53617e-06,0,1,0,0,0,0.0493577,0.899279,0.0513633
257787000,14899.2,2083,900,0.98031,0.99003,0,1,0,0,0,0,0.0492034,0.900267,0.0505296
248375000,13949,5187.03,960,0.979606,0.9901,6.37978e-06,0,1,0,0,0,0.0486427,0.900493,0.0508647
257787000,14537.3,2159.75,960,0.979812,0.99041,9.82575e-06,1,0,0,0,0,0.0493396,0.900806,0.0498547
248375000,13728.8,5043.77,1020,0.977499,0.99019,5.9289e-06,0,1,0,0,0,0.050222,0.892281,0.0574974
257787000,14174.7,2231.9,1020,0.979321,0.99032,0,1,0,0,0,0,0.0475538,0.902154,0.0502917
248375000,13506,4899.55,1080,0.980034,0.99028,1.08154e-05,0,1,0,0,0,0.0489629,0.899099,0.0519379
257787000,13817.4,2301.91,1080,0.979723,0.99004,0,1,0,0,0,0,0.0457362,0.904478,0.0497863
248375000,13279.5,4751.13,1140,0.980311,0.99043,1.32508e-05,0,1,0,0,0,0.0508883,0.894345,0.0547663
257787000,13455.2,2374.44,1140,0.981275,0.98982,9.9432e-06,1,0,0,0,0,0.0445318,0.906801,0.0486675
248375000,13059.3,4610.8,1200,0.979639,0.98969,2.69321e-05,0,1,0,0,0,0.0502724,0.892653,0.0570746
257787000,13081.8,2451.12,1200,0.97978,0.98967,9.81066e-06,1,0,0,0,0,0.044428,0.904711,0.0508613
248375000,12833.2,4462.59,1260,0.98011,0.98978,1.4128e-05,0,1,0,0,0,0.0504995,0.889658,0.0598422
257787000,12726.3,2528.1,1260,0.980496,0.98996,1.92773e-05,1,0,0,0,0,0.0425851,0.906226,0.0511884
248375000,12630.1,4302.53,1320,0.978842,0.99035,1.27217e-05,0,1,0,0,0,0.0526489,0.946254,0.00109743
257787000,12368.5,2605.9,1320,0.979674,0.98983,1.90438e-05,1,0,0,0,0,0.0342855,0.915474,0.0502409
248375000,12495.5,4085.8,1380,0.980469,0.99011,1.48603e-05,0,1,0,0,0,0.052753,0.947247,0
257787000,12015.2,2682.82,1380,0.980445,0.98947,0,1,0,0,0,0,0.0333444,0.917347,0.0493083
248375000,12364.2,3870.3,1440,0.979653,0.98912,1.54163e-05,0,1,0,0,0,0.0528076,0.947192,0
257787000,11653.4,2762.1,1440,0.979808,0.99015,0,1,0,0,0,0,0.0287637,0.920235,0.0510012
248375000,12257.3,3620.65,1500,0.979855,0.99053,1.97249e-05,0,1,0,0,0,0.0541645,0.945836,0
257787000,11311.7,2841.83,1500,0.979663,0.98942,0,1,0,0,0,0,0.0249618,0.922353,0.0526857
248375000,12091.4,3416.06,1560,0.979787,0.99053,2.00454e-05,0,1,0,0,0,0.0521235,0.947877,0
257787000,10945.3,2920.6,1560,0.979868,0.99035,0,1,0,0,0,0,0.023962,0.925287,0.0507508
248375000,11869.5,3239.13,1620,0.980094,0.99006,1.81627e-05,0,1,0,0,0,0.0532954,0.946705,0
257787000,10585.4,3006.56,1620,0.978991,0.9899,0,1,0,0,0,0,0.0205988,0.927949,0.0514524
248375000,11629.3,3078.68,1680,0.980468,0.98974,2.01037e-05,0,1,0,0,0,0.0504387,0.949561,0
257787000,10221,3101.61,1680,0.980447,0.99016,8.91939e-06,1,0,0,0,0,0.0225025,0.926344,0.051154
248375000,11387.9,2914.07,1740,0.979843,0.99016,1.49282e-05,0,1,0,0,0,0.0528536,0.947146,0
257787000,9849.85,3194.35,1740,0.98021,0.98997,8.9614e-06,1,0,0,0,0,0.0201716,0.929045,0.0507838
248375000,11136.9,2749.2,1800,0.98001,0.98946,2.02411e-05,0,1,0,0,0,0.0527044,0.947296,0
257787000,9482.77,3291.93,1800,0.980495,0.98972,1.74773e-05,1,0,0,0,0,0.0238997,0.924162,0.0519386
