mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
258465000,8051.6,18768.8,60,0.980282,0.98997,6.92588e-06,0,0,1,0,0,0.0506441,0.900254,0.0491018
259883000,4394.26,9478.75,60,0.980453,0.98994,6.43566e-06,0,0,1,0,0,0.0503512,0.898852,0.0507971
258465000,7906.68,18375.3,120,0.979505,0.99001,2.02201e-05,0,0,1,0,0,0.0486308,0.903163,0.0482066
259883000,4504.45,9728.2,120,0.979174,0.99019,1.87402e-05,0,0,1,0,0,0.0511257,0.898002,0.0508728
258465000,7768.52,17987.5,180,0.98058,0.98947,7.08063e-06,0,0,1,0,0,0.0496511,0.899707,0.0506416
259883000,4620.71,9984.76,180,0.980414,0.98999,6.62017e-06,0,0,1,0,0,0.0518303,0.895486,0.0526838
258465000,7631.5,17593.9,240,0.980422,0.98986,6.35421e-06,0,0,1,0,0,0.0492552,0.900618,0.0501266
259883000,4742.08,10233.2,240,0.978668,0.99057,5.96762e-06,0,0,1,0,0,0.0497747,0.895976,0.0542493
258465000,7485.62,17204.9,300,0.979572,0.98963,1.36434e-05,0,0,1,0,0,0.0502922,0.899211,0.050497
259883000,4856.37,10491.7,300,0.976537,0.99012,6.66108e-06,0,0,1,0,0,0.0498493,0.892362,0.0577889
258465000,7348.7,16812.6,360,0.980048,0.98996,6.69548e-06,0,0,1,0,0,0.0514492,0.897342,0.0512092
259883000,4966.65,10744,360,0.974356,0.99052,4.75672e-06,0,0,1,0,0,0.0487554,0.889447,0.0617974
258465000,7205.7,16421.7,420,0.979737,0.99009,6.51827e-06,0,0,1,0,0,0.0504597,0.898853,0.0506877
259883000,5079.99,11003.9,420,0.971277,0.98977,0,0,0,1,0,0,0.0487589,0.880357,0.0708842
258465000,7043.1,16047.8,480,0,0.98999,5.37287e-06,0,0,1,0,0,0.0500046,0.898897,0.0510988
259883000,5193.22,11260.2,480,0.965783,0.98952,1.82687e-05,0,0,1,0,0,0.0497948,0.864987,0.0852186
258465000,6825.88,15687.4,540,0,0.98975,9.31097e-06,0,0,1,0,0,0.0497013,0.899613,0.0506857
259883000,5292.53,11514.4,540,0.958176,0.98952,1.40673e-05,0,0,1,0,0,0.0467165,0.846969,0.106315
258465000,6627.28,15342.3,600,0,0.99026,1.06509e-05,0,0,1,0,0,0.0503534,0.90015,0.0494967
259883000,5394.81,11781.5,600,0.958825,0.99022,1.39216e-05,0,0,1,0,0,0.0462059,0.848384,0.105411
258465000,6414.62,14985.5,660,0,0.9903,1.18425e-05,0,0,1,0,0,0.0502615,0.901492,0.0482461
259883000,5482.93,12044.5,660,0.953046,0.000360401,0.000385888,0,0,1,0,0,0.0521382,0.945082,0.00277996
258465000,6213.49,14633.3,720,0,0.99011,1.15464e-05,0,0,1,0,0,0.0495592,0.899751,0.0506894
259883000,5560.94,12307.8,720,0.0299279,0.0308239,0.031319,0,0,1,0,0,0.0484186,0.902665,0.0489165
258465000,6080.27,14250.3,780,1.54015e-05,0.00107247,0.00109776,0,0,1,0,0,0.05003,0.899815,0.0501545
259883000,5608.6,12587.2,780,0.0488502,0.0491428,0.0495908,0,0,1,0,0,0.0557744,0.89565,0.0485752
258465000,6034.51,13849.4,840,0.000452386,0,0.000462259,0,0,1,0,0,0.0507086,0.899497,0.0497945
259883000,5652.36,12860.9,840,0.0522972,0.0539688,0.0544398,0,0,1,0,0,0.0604926,0.876822,0.0626855
258465000,6002.13,13439.7,900,0.000398148,0,0.0004083,0,0,1,0,0,0.049636,0.908309,0.0420548
259883000,5709.99,13140.3,900,0.0573,0.0576315,0.0581246,0,0,1,0,0,0.047569,0.895829,0.0566016
258465000,5962.8,13031.2,960,0.000473071,0,0.000483103,0,0,1,0,0,0.0479842,0.893664,0.0583521
259883000,5790.24,13411.6,960,0.0449722,0.0454566,0.0459292,0,0,1,0,0,0.0489972,0.924639,0.0263633
258465000,5920.88,12632.7,1020,0.000534819,0,0.00054493,0,0,1,0,0,0.0444941,0.896482,0.0590236
259883000,5891.64,13673.2,1020,0.0412151,0.0416864,0.0421283,0,0,1,0,0,0.0483568,0.848314,0.103329
258465000,5870.6,12222.8,1080,0.000459791,0,0.000469818,0,0,1,0,0,0.0518776,0.901592,0.0465303
259883000,5993.08,13936.3,1080,0.0370336,0.038568,0.0390803,0,0,1,0,0,0.0507076,0.913196,0.0360963
258465000,5745.17,11851.4,1140,0.000507977,0,0.000518285,0,0,1,0,0,0.0464877,0.900801,0.0527114
259883000,6096.56,14203.3,1140,0.0485155,0.0490509,0.0494887,0,0,1,0,0,0.0488774,0.913994,0.0371282
258465000,5561.96,11490.5,1200,0.00047422,0,0.000484026,0,0,1,0,0,0.0475568,0.89322,0.0592235
259883000,6218.28,14457.8,1200,0.0481925,0.0489179,0.0493668,0,0,1,0,0,0.0505183,0.908168,0.041314
258465000,5375.47,11132.9,1260,0.000467287,0,0.000476953,0,0,1,0,0,0.050338,0.894557,0.0551048
259883000,6332.92,14717.6,1260,0.0448952,0.0452426,0.0456783,0,0,1,0,0,0.0487336,0.892427,0.058839
258465000,5202.82,10771.6,1320,0.000484995,0,0.000495138,0,0,1,0,0,0.0514806,0.907475,0.0410439
259883000,6454.68,14971,1320,0.049264,0.0495477,0.0500957,0,0,1,0,0,0.0510791,0.911869,0.0370521
