mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
211200040,5119.31,11987.5,660,0.976316,0.99007,0,0,0,1,0,0,0.0494447,0.893093,0.0574621
259351000,6278.17,7845.47,660,0.976497,0.99038,1.72036e-05,0,0,1,0,0,0.0485813,0.894118,0.057301
211200040,5140.59,11765.6,720,0.970303,0.98937,4.80146e-06,0,0,1,0,0,0.0492383,0.874348,0.0764137
259351000,6267.4,8030.86,720,0.970223,0.99013,0,0,0,1,0,0,0.0485406,0.87714,0.0743199
211200040,5162.24,11549.9,780,0.0832379,0.0841071,0.0846135,0,0,1,0,0,0.046644,0.909044,0.0443122
259351000,6245.5,8215.51,780,0.967204,0.99035,6.36078e-06,0,0,1,0,0,0.0467079,0.863135,0.090157
211200040,5172.77,11339.7,840,0.953207,0.98995,1.44289e-05,0,0,1,0,0,0.0456794,0.830866,0.123455
259351000,6223.61,8400.04,840,0.95215,0.98997,1.06975e-05,0,0,1,0,0,0.045894,0.828773,0.125333
211200040,5172.16,11122.3,900,0.936969,0.99007,4.32762e-05,0,0,1,0,0,0.0424232,0.788344,0.169232
259351000,6201.72,8581.14,900,0.936932,0.99003,2.3003e-05,0,0,1,0,0,0.0437488,0.786502,0.169749
211200040,5171.54,10895.3,960,0,0.99014,1.18171e-05,0,0,1,0,0,0.0475321,0.89958,0.0528876
259351000,6179.84,8765.43,960,0.9342,0.98987,0.000131189,0,0,1,0,0,0.0416028,0.778558,0.17984
211200040,5170.94,10672.4,1020,0,0.99047,9.22366e-06,0,0,1,0,0,0.0514298,0.894419,0.0541516
259351000,6157.98,8950.68,1020,0.905445,0.98969,2.78296e-05,0,0,1,0,0,0.04,0.708641,0.251359
211200040,5181.5,10452.5,1080,0,0.98998,1.27008e-05,0,0,1,0,0,0.0527834,0.894139,0.0530781
259351000,6124.98,9134.3,1080,0.831036,0.99015,0.000237843,0,0,1,0,0,0.0239223,0.584512,0.391565
211200040,5197.79,10247.3,1140,0,0.99009,1.39146e-05,0,0,1,0,0,0.092877,0.85089,0.0562331
259351000,6100.12,9316.24,1140,0.911985,0.99008,9.51989e-06,0,0,1,0,0,0,0.0701453,0.929855
211200040,5214.18,10034.9,1200,0,0.98978,7.68781e-05,0,0,1,0,0,0.0261811,0.919758,0.0540613
259351000,6070.15,9502.81,1200,0.806508,0.9905,1.54965e-05,0,0,1,0,0,0,0.176955,0.823045
211200040,5246.71,9815.14,1260,0,0.0010111,0.00102304,0,0,1,0,0,0.0625247,0.888294,0.0491812
259351000,6048.32,9689.85,1260,0.720235,0.98992,5.82357e-06,0,0,1,0,0,0,0.264874,0.735126
211200040,5269.27,9610.48,1320,0,0.000900796,0.000912042,0,0,1,0,0,0.0579435,0.893101,0.0489557
259351000,6023.15,9872.03,1320,0.698518,0.99003,9.87141e-06,0,0,1,0,0,0,0.287758,0.712242
211200040,5323.71,9414.63,1380,0,0.00112163,0.00113305,0,0,1,0,0,0.0524805,0.895615,0.0519048
259351000,5993.53,10053.9,1380,0.90314,0.98934,1.27929e-05,0,0,1,0,0,0,0.0786982,0.921302
211200040,5355.89,9217.71,1440,0,0.00127494,0.001286,0,0,1,0,0,0.0397124,0.90825,0.052038
259351000,5968.71,10237.2,1440,0.953278,0.9903,4.44418e-05,0,0,1,0,0,0,0.0265637,0.973436
211200040,5399.27,8995.61,1500,0.000826169,0.000988499,0.00182533,0,0,1,0,0,0.0481027,0.902765,0.0491327
