mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
211707870,13138.9,11415.9,120,0.98071,0.98978,0,0,0,1,0,0,0.0487709,0.900829,0.0503997
512007171,10639.5,6064.83,120,0.98007,0.99042,0,0,0,1,0,0,0.0495391,0.9009,0.0495605
211707870,13116.6,11346.3,180,0.979479,0.98955,8.20176e-06,0,0,1,0,0,0.04946,0.900199,0.050341
512007171,10718.2,6254.55,180,0.98023,0.98972,8.18541e-06,0,0,1,0,0,0.0514912,0.899539,0.0489696
211707870,13093.9,11275.4,240,0.979732,0.99068,8.03215e-06,0,0,1,0,0,0.050402,0.900005,0.0495929
512007171,10795.4,6442.25,240,0.980301,0.98976,0,0,0,1,0,0,0.0508698,0.898982,0.0501482
211707870,13071.9,11210,300,0.979583,0.98964,0,0,0,1,0,0,0.050076,0.90056,0.0493641
512007171,10873.9,6634.97,300,0.979553,0.99009,0,0,0,1,0,0,0.0505865,0.899518,0.0498952
211707870,13049.5,11147.9,360,0.980662,0.98982,7.88041e-06,0,0,1,0,0,0.0495637,0.899999,0.0504369
512007171,10947.5,6824.85,360,0.979254,0.99023,2.36408e-05,0,0,1,0,0,0.0504279,0.899911,0.0496612
211707870,13038.6,11091.4,420,0.980135,0.98991,7.72673e-06,0,0,1,0,0,0.0497871,0.900686,0.0495271
512007171,11019.3,7017.75,420,0.97911,0.98998,1.54524e-05,0,0,1,0,0,0.0500851,0.90033,0.0495853
211707870,13015.8,11037.5,480,0.980551,0.99021,3.50778e-05,0,0,1,0,0,0.0503169,0.899212,0.0504712
512007171,11097.4,7212.87,480,0.980573,0.99016,1.75695e-05,0,0,1,0,0,0.050429,0.899769,0.0498021
211707870,12993.1,10987.5,540,0.0194522,0.0201063,0.0207355,0,0,1,0,0,0.0496718,0.901049,0.0492792
512007171,11163.5,7400.08,540,0.979612,0.99048,1.16767e-05,0,0,1,0,0,0.0491666,0.900988,0.049845
211707870,12979.2,10938.7,600,0.980299,0.98967,5.84006e-06,0,0,1,0,0,0.0496061,0.899671,0.0507226
512007171,11242.9,7593.65,600,0.980711,0.98992,1.17122e-05,0,0,1,0,0,0.0492561,0.900018,0.0507259
211707870,12959.5,10889.3,660,0.98031,0.99029,5.71743e-06,0,0,1,0,0,0.0501318,0.8995,0.0503682
512007171,11315.9,7770.9,660,0.980024,0.99002,1.14646e-05,0,0,1,0,0,0.0505893,0.900325,0.0490861
211707870,12925.8,10829,720,0.770989,0.0444729,0.0446352,0,0,1,0,0,0.0523294,0.939641,0.00802949
512007171,11388.8,7948.8,720,0.98008,0.99011,3.95838e-06,0,0,1,0,0,0.0502189,0.897953,0.0518283
211707870,12903.7,10767.4,780,0.979965,0.98994,7.59487e-06,0,0,1,0,0,0.0505534,0.900162,0.0492847
512007171,11462,8122.31,780,0.980392,0.98985,7.30013e-06,0,0,1,0,0,0.051623,0.895884,0.0524933
211707870,12869.8,10700,840,0.97949,0.98953,1.94308e-05,0,0,1,0,0,0.0493044,0.899533,0.0511631
512007171,11534.5,8294.99,840,0.979239,0.98981,3.49037e-06,0,0,1,0,0,0.050251,0.895906,0.0538426
211707870,12837,10626.2,900,0.976904,0.99021,7.74787e-06,0,0,1,0,0,0.0507571,0.889048,0.0601953
512007171,11612.3,8472.45,900,0.979073,0.98988,7.11094e-06,0,0,1,0,0,0.04905,0.895314,0.0556363
211707870,12805,10550.7,960,0.976883,0.9901,3.83435e-06,0,0,1,0,0,0.0483844,0.888076,0.0635398
512007171,11681.6,8642.7,960,0.977599,0.99015,3.43222e-06,0,0,1,0,0,0.0498859,0.893241,0.0568733
211707870,12769.4,10473.4,1020,0.974655,0.99026,1.06211e-05,0,0,1,0,0,0.049407,0.880169,0.0704236
512007171,11750.9,8810.87,1020,0.977791,0.98998,6.76161e-06,0,0,1,0,0,0.0502391,0.890801,0.0589604
