mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
219042000;2020-01-04 15:35:00;6.5;197.2;196.0;0;;5.53013;58.9029
219042000;2020-01-04 15:36:00;6.4;195.6;196.0;0;;5.52908;58.9012
219042000;2020-01-04 15:37:00;6.4;197.0;195.0;0;;5.52798;58.899475
219042000;2020-01-04 15:38:00;6.4;197.6;195.0;0;;5.52691;58.8978
219042000;2020-01-04 15:39:00;6.3;197.5;193.0;0;;5.525882;58.8961
219042000;2020-01-04 15:40:00;6.2;196.1;194.0;0;;5.52491;58.8945
219042000;2020-01-04 15:41:00;6.3;198.0;194.0;0;;5.523882;58.892775
219042000;2020-01-04 15:42:00;6.2;192.4;188.0;0;;5.52304;58.8911
219042000;2020-01-04 15:43:00;6.3;194.1;189.0;0;;5.52221;58.889375
219042000;2020-01-04 15:44:00;6.2;194.8;190.0;0;;5.52144;58.8877
219042000;2020-01-04 15:45:00;6.4;192.8;188.0;0;;5.52064;58.886
219042000;2020-01-04 15:46:00;6.5;192.5;188.0;0;;5.5198;58.8843
219042000;2020-01-04 15:47:00;6.5;194.3;189.0;0;;5.519002;58.882525
219042000;2020-01-04 15:48:00;6.4;194.9;190.0;0;;5.51815;58.8808
219042000;2020-01-04 15:49:00;6.4;194.4;188.0;0;;5.517292;58.879125
219042000;2020-01-04 15:50:00;6.3;194.3;189.0;0;;5.516491;58.877329
219042000;2020-01-04 15:51:00;6.2;193.9;191.0;0;;5.51567;58.8756
219042000;2020-01-04 15:52:00;6.2;199.4;193.0;0;;5.514665;58.874
219042000;2020-01-04 15:53:00;6.3;196.5;194.0;0;;5.51363;58.8723
219042000;2020-01-04 15:54:00;6.3;198.2;191.0;0;;5.512535;58.870625
257055990;2020-01-04 15:35:00;17.6;5.5;4.0;0;;5.336714;59.988
257055990;2020-01-04 15:36:00;17.6;6.7;3.0;0;;5.337763;59.992867
257055990;2020-01-04 15:37:00;17.6;6.0;0.0;0;;5.33887;59.9977
257055990;2020-01-04 15:38:00;18.0;353.4;350.0;0;;5.338608;60.002675
257055990;2020-01-04 15:39:00;17.5;354.6;350.0;0;;5.3376;60.00745
257055990;2020-01-04 15:40:00;16.8;349.5;344.0;0;;5.3361;60.0121
257055990;2020-01-04 15:41:00;16.8;350.2;349.0;0;;5.334227;60.016767
257055990;2020-01-04 15:42:00;16.7;358.9;355.0;0;;5.333682;60.0214
257055990;2020-01-04 15:43:00;16.6;357.9;354.0;0;;5.333421;60.025957
257055990;2020-01-04 15:44:00;16.6;357.7;355.0;0;;5.332994;60.03052
257055990;2020-01-04 15:45:00;16.7;2.7;1.0;0;;5.333156;60.035157
257055990;2020-01-04 15:46:00;16.7;4.1;1.0;0;;5.333793;60.039757
257055990;2020-01-04 15:47:00;16.8;4.3;1.0;0;;5.334488;60.04442
257055990;2020-01-04 15:48:00;16.9;4.4;0.0;0;;5.3352;60.049057
257055990;2020-01-04 15:49:00;17.1;8.4;4.0;0;;5.336144;60.0538
257055990;2020-01-04 15:50:00;16.9;8.8;5.0;0;;5.33754;60.058386
257055990;2020-01-04 15:51:00;17.0;8.2;5.0;0;;5.338908;60.06312
257055990;2020-01-04 15:52:00;17.1;8.6;4.0;0;;5.340316;60.067686
257055990;2020-01-04 15:53:00;17.1;8.6;8.0;0;;5.34168;60.0724
257055990;2020-01-04 15:54:00;17.2;19.0;19.0;0;;5.344383;60.077067
257180000;2020-01-04 15:35:00;0.0;177.5;226.0;0;;5.22833;59.6083
257180000;2020-01-04 15:36:00;0.0;177.5;226.0;0;;5.22829;59.6082
257180000;2020-01-04 15:37:00;0.0;0.0;226.0;0;;5.22829;59.6083
257180000;2020-01-04 15:38:00;0.0;0.0;226.0;0;;5.22831;59.6083
257180000;2020-01-04 15:39:00;0.0;0.0;226.0;0;;5.228369;59.6082
257180000;2020-01-04 15:40:00;0.0;0.0;226.0;0;;5.228338;59.608206
257180000;2020-01-04 15:41:00;0.0;0.0;226.0;0;;5.228338;59.6083
257180000;2020-01-04 15:42:00;0.0;0.0;226.0;0;;5.22837;59.608231
257180000;2020-01-04 15:43:00;0.0;0.0;226.0;0;;5.228314;59.6083
257180000;2020-01-04 15:44:00;0.0;0.0;226.0;0;;5.228281;59.6083
257180000;2020-01-04 15:45:00;0.0;121.8;226.0;0;;5.228301;59.6083
257180000;2020-01-04 15:46:00;0.0;121.8;226.0;0;;5.228275;59.6083
257180000;2020-01-04 15:47:00;0.0;121.8;226.0;0;;5.228249;59.6083
257180000;2020-01-04 15:48:00;0.0;121.8;226.0;0;;5.228264;59.6083
257180000;2020-01-04 15:49:00;0.0;120.5;226.0;0;;5.228325;59.6083
257180000;2020-01-04 15:50:00;0.0;113.6;225.0;0;;5.228301;59.608294
257180000;2020-01-04 15:51:00;0.0;113.6;226.0;0;;5.228343;59.6083
257180000;2020-01-04 15:52:00;0.0;77.0;226.0;0;;5.228275;59.6082
257180000;2020-01-04 15:53:00;0.0;60.4;226.0;0;;5.22824;59.608305
257180000;2020-01-04 15:54:00;0.0;49.0;226.0;0;;5.228309;59.6083
258352500;2020-01-04 15:35:00;33.4;158.5;160.0;0;;5.32775;59.7874
258352500;2020-01-04 15:36:00;33.2;151.4;152.0;0;;5.33646;59.7792
258352500;2020-01-04 15:37:00;33.4;134.5;138.0;0;;5.348647;59.772333
258352500;2020-01-04 15:38:00;33.4;133.4;137.0;0;;5.36163;59.7659
258352500;2020-01-04 15:39:00;33.6;137.4;141.0;0;;5.37489;59.7594
258352500;2020-01-04 15:40:00;33.5;128.6;129.0;0;;5.38894;59.7534
258352500;2020-01-04 15:41:00;33.2;110.9;112.0;0;;5.405057;59.748867
258352500;2020-01-04 15:42:00;33.6;102.7;106.0;0;;5.42266;59.7466
258352500;2020-01-04 15:43:00;33.7;98.0;102.0;0;;5.441043;59.744967
258352500;2020-01-04 15:44:00;33.7;86.1;88.0;0;;5.45925;59.7445
258352500;2020-01-04 15:45:00;33.9;76.4;80.0;0;;5.47755;59.7461
258352500;2020-01-04 15:46:00;33.2;51.3;52.0;0;;5.49415;59.750067
258352500;2020-01-04 15:47:00;33.5;36.7;40.0;0;;5.505665;59.757275
258352500;2020-01-04 15:48:00;33.6;31.1;34.0;0;;5.5156;59.76495
258352500;2020-01-04 15:49:00;32.9;9.3;1.0;0;;5.522302;59.77362
