mmsi;lon;lat;date_time_utc;sog;cog;true_heading;nav_status;message_nr;source
211200040;8.14795;57.8673;2018-05-09 06:40:00;;;;;;
211200040;8.147734;57.86722;2018-05-09 06:41:00;2.6;236.6;511;−99;18;g
211200040;8.14617;57.866962;2018-05-09 06:42:00;3.6;249.4;511;−99;18;g
211200040;8.144643;57.8666;2018-05-09 06:43:00;3.8;239.0;511;−99;18;g
211200040;8.142384;57.866563;2018-05-09 06:44:00;4.8;267.0;511;−99;18;g
211200040;8.139781;57.866464;2018-05-09 06:45:00;4.8;278.1;511;−99;18;g
211200040;8.13731;57.86674;2018-05-09 06:46:00;4.7;296.2;511;−99;18;g
211200040;8.134819;57.867239;2018-05-09 06:47:00;4.9;280.0;511;−99;18;g
211200040;8.132466;57.867749;2018-05-09 06:48:00;4.9;297.6;511;−99;18;g
211200040;8.130273;57.868463;2018-05-09 06:49:00;5.0;294.6;511;−99;18;g
211200040;8.128223;57.869268;2018-05-09 06:50:00;4.8;307.2;511;−99;18;g
211200040;8.126593;57.870183;2018-05-09 06:51:00;4.8;316.9;511;−99;18;g
211200040;8.124855;57.871142;2018-05-09 06:52:00;4.6;319.1;511;−99;18;g
211200040;8.123253;57.872094;2018-05-09 06:53:00;4.5;324.5;511;−99;18;g
211200040;8.12151;57.872957;2018-05-09 06:54:00;4.5;311.9;511;−99;18;g
211200040;8.11971;57.873616;2018-05-09 06:55:00;4.0;290.2;511;−99;18;g
211200040;8.1178;57.8738;2018-05-09 06:56:00;3.8;262.1;511;−99;18;g
211200040;8.115644;57.8739;2018-05-09 06:57:00;4.5;274.1;511;−99;18;g
211200040;8.113149;57.874171;2018-05-09 06:58:00;4.8;285.2;511;−99;18;g
211200040;8.110862;57.8745;2018-05-09 06:59:00;4.6;278.6;511;−99;18;g
211200040;8.108649;57.874677;2018-05-09 07:00:00;4.7;297.8;511;−99;18;g
211200040;8.106186;57.874936;2018-05-09 07:01:00;4.7;284.9;511;−99;18;g
211200040;8.103684;57.875464;2018-05-09 07:02:00;5.2;296.2;511;−99;18;g
211200040;8.101297;57.876014;2018-05-09 07:03:00;5.2;296.9;511;−99;18;g
211200040;8.09907;57.876894;2018-05-09 07:04:00;5.0;305.0;511;−99;18;g
211200040;8.096933;57.877767;2018-05-09 07:05:00;5.4;304.2;511;−99;18;g
211200040;8.094642;57.878629;2018-05-09 07:06:00;5.0;299.1;511;−99;18;g
211200040;8.092511;57.879414;2018-05-09 07:07:00;5.1;300.9;511;−99;18;g
