;mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
0;210072000;2019-06-16 08:26:00;;;;;;7.27603;63.7512
1;210072000;2019-06-16 08:27:00;13.1;33.1;34.0;0.0;;7.279199;63.753309
2;210072000;2019-06-16 08:28:00;13.1;33.0;34.0;0.0;;7.283746;63.756436
3;210072000;2019-06-16 08:29:00;13.1;32.7;34.0;0.0;;7.288159;63.7594
4;210072000;2019-06-16 08:30:00;13.1;33.3;34.0;0.0;;7.292731;63.76252
5;210072000;2019-06-16 08:31:00;13.1;31.9;34.0;0.0;;7.297087;63.765505
6;210072000;2019-06-16 08:32:00;13.2;33.1;35.0;0.0;;7.301667;63.768658
7;210072000;2019-06-16 08:33:00;13.2;33.0;34.0;0.0;;7.306131;63.771605
8;210072000;2019-06-16 08:34:00;13.1;35.3;37.0;0.0;;7.310752;63.774689
9;210072000;2019-06-16 08:35:00;13.2;35.4;36.0;0.0;;7.31563;63.777667
10;210072000;2019-06-16 08:36:00;13.2;35.0;36.0;0.0;;7.32029;63.780611
11;210072000;2019-06-16 08:37:00;13.2;34.7;36.0;0.0;;7.325093;63.78365
12;210072000;2019-06-16 08:38:00;13.2;35.2;37.0;0.0;;7.32983;63.786625
13;210072000;2019-06-16 08:39:00;13.2;34.7;36.0;0.0;;7.334633;63.78965
14;210072000;2019-06-16 08:40:00;13.2;35.6;38.0;0.0;;7.339345;63.7926
15;210072000;2019-06-16 08:41:00;13.2;35.2;37.0;0.0;;7.344215;63.795582
16;210072000;2019-06-16 08:42:00;13.3;35.2;37.0;0.0;;7.34902;63.798567
17;210072000;2019-06-16 08:43:00;13.3;35.6;36.0;0.0;;7.353942;63.801582
18;210072000;2019-06-16 08:44:00;13.3;35.5;36.0;0.0;;7.358754;63.804536
19;210072000;2019-06-16 08:45:00;13.3;35.5;36.0;0.0;;7.363745;63.807582
20;210072000;2019-06-16 08:46:00;13.3;36.4;36.0;0.0;;7.368604;63.810536
21;231850000;2019-06-16 08:26:00;;;;;;7.21137;63.8116
22;231850000;2019-06-16 08:27:00;10.3;164.1;161.0;0.0;;7.21248;63.80986
23;231850000;2019-06-16 08:28:00;10.3;164.4;162.0;0.0;;7.214358;63.80706
24;231850000;2019-06-16 08:29:00;10.4;163.2;161.0;0.0;;7.21622;63.804333
25;231850000;2019-06-16 08:30:00;10.4;163.5;162.0;0.0;;7.218056;63.801622
26;231850000;2019-06-16 08:31:00;10.5;163.8;161.0;0.0;;7.219927;63.798833
27;231850000;2019-06-16 08:32:00;10.4;163.4;161.0;0.0;;7.221776;63.796078
28;231850000;2019-06-16 08:33:00;10.4;163.5;162.0;0.0;;7.223672;63.79326
29;231850000;2019-06-16 08:34:00;10.4;163.1;162.0;0.0;;7.225555;63.79055
30;231850000;2019-06-16 08:35:00;10.4;163.6;161.0;0.0;;7.227428;63.78776
31;231850000;2019-06-16 08:36:00;10.4;163.7;162.0;0.0;;7.229319;63.78495
32;231850000;2019-06-16 08:37:00;10.5;163.9;162.0;0.0;;7.231186;63.7822
33;231850000;2019-06-16 08:38:00;10.6;163.8;161.0;0.0;;7.233005;63.77945
34;231850000;2019-06-16 08:39:00;10.6;163.8;161.0;0.0;;7.234888;63.776578
35;231850000;2019-06-16 08:40:00;10.5;164.4;161.0;0.0;;7.236729;63.773727
36;231850000;2019-06-16 08:41:00;10.5;163.9;161.0;0.0;;7.238603;63.770978
37;231850000;2019-06-16 08:42:00;10.5;163.0;161.0;0.0;;7.240485;63.768182
38;231850000;2019-06-16 08:43:00;10.5;163.4;162.0;0.0;;7.242397;63.765422
39;231850000;2019-06-16 08:44:00;10.5;164.1;161.0;0.0;;7.244202;63.762608
40;231850000;2019-06-16 08:45:00;10.5;163.0;162.0;0.0;;7.246108;63.75974
41;231850000;2019-06-16 08:46:00;10.5;164.1;162.0;0.0;;7.24793;63.75695
42;259252000;2019-06-16 08:26:00;;;;;;7.07662;63.7015
43;259252000;2019-06-16 08:27:00;12.9;34.2;36.0;0.0;;7.079418;63.703364
44;259252000;2019-06-16 08:28:00;12.9;34.2;36.0;0.0;;7.083922;63.70625
45;259252000;2019-06-16 08:29:00;12.9;33.9;36.0;0.0;;7.08848;63.7093
46;259252000;2019-06-16 08:30:00;12.9;33.8;36.0;0.0;;7.092971;63.712264
47;259252000;2019-06-16 08:31:00;12.9;34.0;36.0;0.0;;7.097449;63.715111
48;259252000;2019-06-16 08:32:00;12.9;34.0;36.0;0.0;;7.102026;63.718144
49;259252000;2019-06-16 08:33:00;12.8;34.6;35.0;0.0;;7.10646;63.721009
50;259252000;2019-06-16 08:34:00;12.9;34.0;36.0;0.0;;7.110924;63.724
51;259252000;2019-06-16 08:35:00;12.9;34.4;36.0;0.0;;7.115516;63.727044
52;259252000;2019-06-16 08:36:00;12.9;34.1;36.0;0.0;;7.120055;63.73005
53;259252000;2019-06-16 08:37:00;12.9;34.0;36.0;0.0;;7.124482;63.7329
54;259252000;2019-06-16 08:38:00;12.9;34.1;35.0;0.0;;7.12906;63.736
55;259252000;2019-06-16 08:39:00;12.9;33.6;36.0;0.0;;7.133641;63.73895
56;259252000;2019-06-16 08:40:00;12.9;34.2;36.0;0.0;;7.138041;63.741889
57;259252000;2019-06-16 08:41:00;13.0;33.5;36.0;0.0;;7.142666;63.744944
