;mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
0;258153000;2020-10-28 13:49:00;10.4;182.7;183.0;0.0;;7.034286;64.272058
1;258153000;2020-10-28 13:50:00;10.6;183.2;183.0;0.0;;7.033968;64.269117
2;258153000;2020-10-28 13:51:00;10.5;182.8;183.0;0.0;;7.033643;64.266255
3;258153000;2020-10-28 13:52:00;10.5;180.7;182.0;0.0;;7.033365;64.263309
4;258153000;2020-10-28 13:53:00;10.6;180.9;183.0;0.0;;7.033267;64.260317
5;258153000;2020-10-28 13:54:00;10.6;181.1;184.0;0.0;;7.033148;64.25745
6;258153000;2020-10-28 13:55:00;10.7;180.8;183.0;0.0;;7.033058;64.254509
7;258153000;2020-10-28 13:56:00;10.7;179.7;183.0;0.0;;7.033018;64.251555
8;258153000;2020-10-28 13:57:00;10.7;180.4;183.0;0.0;;7.032958;64.248527
9;258153000;2020-10-28 13:58:00;10.6;180.4;183.0;0.0;;7.032919;64.245655
10;258153000;2020-10-28 13:59:00;10.7;180.8;183.0;0.0;;7.032816;64.242609
11;258153000;2020-10-28 14:00:00;10.9;180.3;183.0;0.0;;7.0328;64.239655
12;258153000;2020-10-28 14:01:00;10.9;180.9;183.0;0.0;;7.032736;64.236609
13;258153000;2020-10-28 14:02:00;10.9;181.0;183.0;0.0;;7.032649;64.233655
14;258153000;2020-10-28 14:03:00;10.7;180.8;183.0;0.0;;7.03258;64.2307
15;258153000;2020-10-28 14:04:00;10.7;182.3;185.0;0.0;;7.032405;64.227655
16;258153000;2020-10-28 14:05:00;10.7;182.5;185.0;0.0;;7.03211;64.2248
17;258153000;2020-10-28 14:06:00;10.7;182.9;185.0;0.0;;7.03182;64.2218
18;258153000;2020-10-28 14:07:00;10.6;182.8;185.0;0.0;;7.031475;64.218755
19;258153000;2020-10-28 14:08:00;10.7;183.2;185.0;0.0;;7.03115;64.2159
20;258153000;2020-10-28 14:09:00;10.7;182.6;185.0;0.0;;7.030805;64.212864
21;258153000;2020-10-28 14:10:00;10.6;183.1;185.0;0.0;;7.0304;64.21
22;258153000;2020-10-28 14:11:00;10.6;183.1;185.0;0.0;;7.030014;64.206964
23;258153000;2020-10-28 14:12:00;10.7;183.6;185.0;0.0;;7.02964;64.2041
24;258153000;2020-10-28 14:13:00;10.7;183.1;185.0;0.0;;7.029253;64.201045
25;258153000;2020-10-28 14:14:00;10.7;183.2;185.0;0.0;;7.02885;64.1981
26;258153000;2020-10-28 14:15:00;10.6;182.8;184.0;0.0;;7.02845;64.1952
27;258153000;2020-10-28 14:16:00;10.6;183.8;185.0;0.0;;7.028043;64.192158
28;258153000;2020-10-28 14:17:00;10.6;183.2;185.0;0.0;;7.02762;64.1893
29;258153000;2020-10-28 14:18:00;10.6;183.8;184.0;0.0;;7.027173;64.18635
30;258153000;2020-10-28 14:19:00;10.6;183.8;184.0;0.0;;7.02672;64.1834
31;258153000;2020-10-28 14:20:00;10.6;183.8;184.0;0.0;;7.026284;64.18045
32;258153000;2020-10-28 14:21:00;10.6;184.2;185.0;0.0;;7.02579;64.1775
33;258153000;2020-10-28 14:22:00;10.6;184.2;184.0;0.0;;7.025318;64.174555
34;258153000;2020-10-28 14:23:00;10.7;183.5;185.0;0.0;;7.02484;64.1716
35;258153000;2020-10-28 14:24:00;10.6;183.9;184.0;0.0;;7.024338;64.168655
36;258153000;2020-10-28 14:25:00;10.6;184.2;184.0;0.0;;7.02386;64.1657
37;258153000;2020-10-28 14:26:00;10.6;184.5;184.0;0.0;;7.02336;64.1629
38;258153000;2020-10-28 14:27:00;10.5;184.3;184.0;0.0;;7.022841;64.159945
39;258153000;2020-10-28 14:28:00;10.5;184.5;184.0;0.0;;7.02237;64.1571
40;258607000;2020-10-28 13:49:00;0.0;330.0;60.0;3.0;;7.20917;64.269201
41;258607000;2020-10-28 13:50:00;0.0;329.9;60.0;3.0;;7.20917;64.269256
42;258607000;2020-10-28 13:51:00;0.0;329.8;60.0;3.0;;7.20917;64.269297
43;258607000;2020-10-28 13:52:00;0.0;329.8;60.0;3.0;;7.20917;64.26928
44;258607000;2020-10-28 13:53:00;0.0;329.8;60.0;3.0;;7.20917;64.269263
45;258607000;2020-10-28 13:54:00;0.0;329.9;60.0;3.0;;7.20917;64.269247
46;258607000;2020-10-28 13:55:00;0.0;329.9;60.0;3.0;;7.20917;64.26923
47;258607000;2020-10-28 13:56:00;0.0;330.0;60.0;3.0;;7.20917;64.269214
48;258607000;2020-10-28 13:57:00;0.0;330.1;60.0;3.0;;7.209163;64.269235
49;258607000;2020-10-28 13:58:00;0.0;333.9;60.0;3.0;;7.209151;64.269296
50;258607000;2020-10-28 13:59:00;0.0;339.4;60.0;3.0;;7.209152;64.26929
51;258607000;2020-10-28 14:00:00;0.0;344.9;60.0;3.0;;7.209153;64.269284
52;258607000;2020-10-28 14:01:00;0.0;350.4;60.0;3.0;;7.209154;64.269278
53;258607000;2020-10-28 14:02:00;0.0;355.9;60.0;3.0;;7.209156;64.269271
54;258607000;2020-10-28 14:03:00;0.0;1.5;60.0;3.0;;7.209157;64.269265
55;258607000;2020-10-28 14:04:00;0.0;7.0;60.0;3.0;;7.209158;64.269259
56;258607000;2020-10-28 14:05:00;0.0;12.5;60.0;3.0;;7.209159;64.269253
57;258607000;2020-10-28 14:06:00;0.0;18.0;60.0;3.0;;7.209161;64.269247
58;258607000;2020-10-28 14:07:00;0.0;23.5;60.0;3.0;;7.209162;64.269241
59;258607000;2020-10-28 14:08:00;0.0;29.0;60.0;3.0;;7.209163;64.269235
60;258607000;2020-10-28 14:09:00;0.0;34.5;60.0;3.0;;7.209164;64.269229
61;258607000;2020-10-28 14:10:00;0.0;40.0;60.0;3.0;;7.209166;64.269222
62;258607000;2020-10-28 14:11:00;0.0;45.5;60.0;3.0;;7.209167;64.269216
63;258607000;2020-10-28 14:12:00;0.0;51.0;60.0;3.0;;7.209168;64.26921
64;258607000;2020-10-28 14:13:00;0.0;56.5;60.0;3.0;;7.209169;64.269204
65;258607000;2020-10-28 14:14:00;;;;;;7.20917;64.2693
66;258607000;2020-10-28 14:15:00;;;;;;7.20917;64.2693
67;258607000;2020-10-28 14:16:00;;;;;;7.20917;64.2693
68;258607000;2020-10-28 14:17:00;;;;;;7.20917;64.2693
69;258607000;2020-10-28 14:18:00;;;;;;7.20917;64.2693
70;258607000;2020-10-28 14:19:00;;;;;;7.20917;64.2693
71;258607000;2020-10-28 14:20:00;;;;;;7.20917;64.2693
72;258607000;2020-10-28 14:21:00;;;;;;7.20917;64.2693
73;258607000;2020-10-28 14:22:00;;;;;;7.20917;64.2693
74;258607000;2020-10-28 14:23:00;;;;;;7.20917;64.2693
75;258607000;2020-10-28 14:24:00;;;;;;7.20917;64.2693
76;258607000;2020-10-28 14:25:00;;;;;;7.20917;64.2693
77;258607000;2020-10-28 14:26:00;;;;;;7.20917;64.2693
78;258607000;2020-10-28 14:27:00;;;;;;7.20917;64.2693
79;258607000;2020-10-28 14:28:00;;;;;;7.20917;64.2693
80;576190000;2020-10-28 13:49:00;;;;;;6.98596;64.2128
81;576190000;2020-10-28 13:50:00;;;;;;6.98596;64.2128
82;576190000;2020-10-28 13:51:00;0.7;305.4;13.0;0.0;;6.985756;64.21288
83;576190000;2020-10-28 13:52:00;0.6;299.2;15.0;0.0;;6.985501;64.21298
84;576190000;2020-10-28 13:53:00;0.7;296.9;12.0;0.0;;6.985224;64.213131
85;576190000;2020-10-28 13:54:00;0.6;293.0;11.0;0.0;;6.984944;64.213176
86;576190000;2020-10-28 13:55:00;0.5;289.4;9.0;0.0;;6.984658;64.213257
87;576190000;2020-10-28 13:56:00;0.4;288.3;7.0;0.0;;6.984358;64.213339
88;576190000;2020-10-28 13:57:00;0.4;288.4;8.0;0.0;;6.984054;64.213401
89;576190000;2020-10-28 13:58:00;0.4;288.5;9.0;0.0;;6.98375;64.213463
90;576190000;2020-10-28 13:59:00;0.4;288.5;9.0;0.0;;6.983447;64.213525
91;576190000;2020-10-28 14:00:00;0.4;288.6;10.0;0.0;;6.983143;64.213587
92;576190000;2020-10-28 14:01:00;0.5;288.7;10.0;0.0;;6.98284;64.213649
93;576190000;2020-10-28 14:02:00;0.5;288.8;11.0;0.0;;6.982536;64.213711
94;576190000;2020-10-28 14:03:00;0.5;288.8;12.0;0.0;;6.982232;64.213773
95;576190000;2020-10-28 14:04:00;0.5;288.9;12.0;0.0;;6.981929;64.213835
96;576190000;2020-10-28 14:05:00;0.5;289.0;13.0;0.0;;6.981625;64.213897
97;576190000;2020-10-28 14:06:00;0.7;281.4;21.0;0.0;;6.981473;64.21399
