mmsi;lon;lat;date_time_utc;sog;cog;true_heading;nav_status;message_nr;source
236555000;10.112;57.9449;2018-01-02 01:05:00;;;;;;
236555000;10.112245;57.944655;2018-01-02 01:06:00;8.1;158.5;171.0;0;1;g
236555000;10.113676;57.942438;2018-01-02 01:07:00;8.0;164.1;171.0;0;1;g
236555000;10.115045;57.940291;2018-01-02 01:08:00;8.1;162.8;171.0;0;1;g
236555000;10.1164;57.93815;2018-01-02 01:09:00;8.4;160.1;171.0;0;1;g
236555000;10.117857;57.93597;2018-01-02 01:10:00;8.4;156.8;171.0;0;1;g
236555000;10.119252;57.933826;2018-01-02 01:11:00;8.2;160.8;170.0;0;1;g
236555000;10.120773;57.931637;2018-01-02 01:12:00;7.9;162.1;171.0;0;1;g
236555000;10.122145;57.929573;2018-01-02 01:13:00;8.3;158.5;171.0;0;1;g
236555000;10.123627;57.927436;2018-01-02 01:14:00;8.0;165.3;170.0;0;1;g
236555000;10.125145;57.925291;2018-01-02 01:15:00;8.4;156.4;170.0;0;1;g
236555000;10.1265;57.9232;2018-01-02 01:16:00;8.0;160.8;162.0;0;1;g
236555000;10.12818;57.92102;2018-01-02 01:17:00;8.4;151.6;142.0;0;1;g
236555000;10.130591;57.919204;2018-01-02 01:18:00;7.9;130.9;116.0;0;3;g
236555000;10.134054;57.918085;2018-01-02 01:19:00;7.6;110.4;108.0;0;1;g
236555000;10.1378;57.9173;2018-01-02 01:20:00;7.9;108.2;107.0;0;1;g
236555000;10.141787;57.916655;2018-01-02 01:21:00;8.2;104.8;108.0;0;1;g
236555000;10.14605;57.91595;2018-01-02 01:22:00;8.4;110.4;109.0;0;1;g
236555000;10.1503;57.91524;2018-01-02 01:23:00;8.6;108.0;111.0;0;1;g
236555000;10.154559;57.914524;2018-01-02 01:24:00;8.7;113.4;116.0;0;1;g
236555000;10.15893;57.913616;2018-01-02 01:25:00;8.9;114.1;121.0;0;1;g
236555000;10.16306;57.912533;2018-01-02 01:26:00;8.9;118.2;123.0;0;1;g
236555000;10.167193;57.911243;2018-01-02 01:27:00;9.0;123.0;127.0;0;1;g
236555000;10.170962;57.909799;2018-01-02 01:28:00;8.9;126.7;131.0;0;1;g
236555000;10.174731;57.908355;2018-01-02 01:29:00;8.8;130.3;135.0;0;1;g
236555000;10.1785;57.906912;2018-01-02 01:30:00;8.7;134.0;139.0;0;1;g
236555000;10.182268;57.905468;2018-01-02 01:31:00;8.6;137.7;143.0;0;1;g
236555000;10.186037;57.904024;2018-01-02 01:32:00;8.5;141.3;147.0;0;1;g
236555000;10.188986;57.902257;2018-01-02 01:33:00;8.3;142.0;151.0;0;1;g
236555000;10.19166;57.90044;2018-01-02 01:34:00;8.0;146.0;155.0;0;1;g
236555000;10.194132;57.898573;2018-01-02 01:35:00;8.2;147.8;160.0;0;1;g
