mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
257024540;2021-01-08 08:22:00;6.4;133.9;511.0;−99;;5.231183;59.866034
257024540;2021-01-08 08:23:00;6.4;134.3;511.0;−99;;5.233783;59.86482
257024540;2021-01-08 08:24:00;6.5;139.8;511.0;−99;;5.236205;59.863487
257024540;2021-01-08 08:25:00;6.5;141.3;511.0;−99;;5.238455;59.862107
257024540;2021-01-08 08:26:00;6.4;143.4;511.0;−99;;5.240581;59.860726
257024540;2021-01-08 08:27:00;6.5;144.5;511.0;−99;;5.242599;59.859251
257024540;2021-01-08 08:28:00;6.5;145.0;511.0;−99;;5.244655;59.857767
257024540;2021-01-08 08:29:00;6.5;138.6;511.0;−99;;5.246875;59.856334
257024540;2021-01-08 08:30:00;6.6;139.2;511.0;−99;;5.249312;59.85501
257024540;2021-01-08 08:31:00;6.5;138.6;511.0;−99;;5.251737;59.85366
257024540;2021-01-08 08:32:00;6.5;138.1;511.0;−99;;5.25416;59.85231
257024540;2021-01-08 08:33:00;6.4;138.1;511.0;−99;;5.256567;59.850962
257024540;2021-01-08 08:34:00;6.3;138.6;511.0;−99;;5.258976;59.849666
257024540;2021-01-08 08:35:00;6.3;138.8;511.0;−99;;5.26138;59.848396
257024540;2021-01-08 08:36:00;6.4;138.5;511.0;−99;;5.26378;59.847116
257024540;2021-01-08 08:37:00;6.5;138.2;511.0;−99;;5.266179;59.845832
257024540;2021-01-08 08:38:00;6.5;138.8;511.0;−99;;5.268554;59.844471
257024540;2021-01-08 08:39:00;6.5;139.7;511.0;−99;;5.270912;59.843105
257024540;2021-01-08 08:40:00;6.5;144.5;511.0;−99;;5.273046;59.841674
257024540;2021-01-08 08:41:00;6.5;149.2;511.0;−99;;5.27518;59.840244
257062170;2021-01-08 08:22:00;13.6;40.6;39.0;0;;5.563952;59.777389
257062170;2021-01-08 08:23:00;13.5;41.2;38.0;0;;5.568766;59.780191
257062170;2021-01-08 08:24:00;13.4;40.2;39.0;0;;5.573701;59.783138
257062170;2021-01-08 08:25:00;13.3;39.9;39.0;0;;5.578338;59.78582
257062170;2021-01-08 08:26:00;13.4;37.8;36.0;0;;5.583075;59.788753
257062170;2021-01-08 08:27:00;13.5;37.3;37.0;0;;5.58743;59.791627
257062170;2021-01-08 08:28:00;13.4;38.3;37.0;0;;5.592007;59.794644
257062170;2021-01-08 08:29:00;13.2;37.2;37.0;0;;5.596497;59.797509
257062170;2021-01-08 08:30:00;13.0;37.0;36.0;0;;5.600758;59.800364
257062170;2021-01-08 08:31:00;12.9;37.0;38.0;0;;5.60504;59.803233
257062170;2021-01-08 08:32:00;13.1;38.8;39.0;0;;5.609457;59.806064
257062170;2021-01-08 08:33:00;13.2;39.3;38.0;0;;5.614051;59.808827
257062170;2021-01-08 08:34:00;13.3;50.6;51.0;0;;5.618988;59.81155
257062170;2021-01-08 08:35:00;13.3;51.8;50.0;0;;5.624819;59.813911
257062170;2021-01-08 08:36:00;13.5;63.3;63.0;0;;5.630878;59.815725
257062170;2021-01-08 08:37:00;13.5;69.2;68.0;0;;5.637852;59.817333
257062170;2021-01-08 08:38:00;13.4;76.8;80.0;0;;5.64468;59.8186
257062170;2021-01-08 08:39:00;11.3;107.7;116.0;0;;5.651658;59.8185
257062170;2021-01-08 08:40:00;9.2;130.7;136.0;0;;5.65638;59.8171
257062170;2021-01-08 08:41:00;6.9;165.8;182.0;0;;5.658761;59.815186
258352500;2021-01-08 08:22:00;31.4;176.5;175.0;0;;5.226173;59.933867
258352500;2021-01-08 08:23:00;30.5;195.1;196.0;0;;5.22392;59.9251
258352500;2021-01-08 08:24:00;30.3;222.9;220.0;0;;5.213647;59.918767
258352500;2021-01-08 08:25:00;30.0;225.1;219.0;0;;5.20187;59.9128
258352500;2021-01-08 08:26:00;28.4;161.5;151.0;0;;5.19849;59.9058
258352500;2021-01-08 08:27:00;30.9;151.2;147.0;0;;5.206348;59.898175
258352500;2021-01-08 08:28:00;31.5;154.8;150.0;0;;5.21448;59.8907
258352500;2021-01-08 08:29:00;31.7;157.3;152.0;0;;5.221655;59.8825
258352500;2021-01-08 08:30:00;31.7;148.2;143.0;0;;5.22956;59.8748
258352500;2021-01-08 08:31:00;31.6;148.2;144.0;0;;5.238995;59.86725
258352500;2021-01-08 08:32:00;31.4;143.8;139.0;0;;5.24831;59.86
258352500;2021-01-08 08:33:00;31.3;146.2;143.0;0;;5.25869;59.8529
258352500;2021-01-08 08:34:00;31.4;147.8;145.0;0;;5.26825;59.8455
258352500;2021-01-08 08:35:00;31.4;150.9;153.0;0;;5.27699;59.8383
258352500;2021-01-08 08:36:00;31.4;177.0;176.0;0;;5.28044;59.8296
258352500;2021-01-08 08:37:00;31.0;182.4;182.0;0;;5.2802;59.8212
258352500;2021-01-08 08:38:00;6.3;228.4;234.0;0;;5.276845;59.81635
258352500;2021-01-08 08:39:00;0.4;336.1;224.0;0;;5.276563;59.8163
258352500;2021-01-08 08:40:00;0.9;103.3;209.0;0;;5.276942;59.8162
258352500;2021-01-08 08:41:00;30.8;112.5;110.0;0;;5.284265;59.81405
259299000;2021-01-08 08:22:00;0.8;298.8;314.0;0;;5.502568;59.7805
259299000;2021-01-08 08:23:00;0.6;275.2;314.0;0;;5.502575;59.7805
259299000;2021-01-08 08:24:00;0.6;250.3;314.0;0;;5.502591;59.7805
259299000;2021-01-08 08:25:00;0.5;225.5;313.0;0;;5.502606;59.7805
259299000;2021-01-08 08:26:00;3.1;36.2;57.0;0;;5.50293;59.78055
