;mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
0;249425000;2019-04-18 18:27:00;;;;;;9.48575;64.0609
1;249425000;2019-04-18 18:28:00;14.5;27.0;29.0;0.0;;9.489427;64.064067
2;249425000;2019-04-18 18:29:00;14.6;26.9;29.0;0.0;;9.493686;64.06772
3;249425000;2019-04-18 18:30:00;14.5;26.6;29.0;0.0;;9.497719;64.071286
4;249425000;2019-04-18 18:31:00;14.5;26.5;29.0;0.0;;9.501762;64.07486
5;249425000;2019-04-18 18:32:00;14.5;26.8;29.0;0.0;;9.50591;64.078367
6;249425000;2019-04-18 18:33:00;14.5;27.0;29.0;0.0;;9.51013;64.082
7;249425000;2019-04-18 18:34:00;14.6;27.2;29.0;0.0;;9.514172;64.08555
8;249425000;2019-04-18 18:35:00;14.6;27.3;29.0;0.0;;9.51857;64.0892
9;249425000;2019-04-18 18:36:00;14.7;27.3;29.0;0.0;;9.522692;64.092733
10;249425000;2019-04-18 18:37:00;14.7;27.8;29.0;0.0;;9.52713;64.0964
11;249425000;2019-04-18 18:38:00;14.7;27.6;29.0;0.0;;9.531372;64.09992
12;249425000;2019-04-18 18:39:00;14.7;27.9;29.0;0.0;;9.5357;64.103514
13;249425000;2019-04-18 18:40:00;14.7;28.2;29.0;0.0;;9.540136;64.10714
14;249425000;2019-04-18 18:41:00;14.6;28.2;29.0;0.0;;9.544497;64.110714
15;249425000;2019-04-18 18:42:00;14.7;28.4;29.0;0.0;;9.548936;64.11432
16;249425000;2019-04-18 18:43:00;14.7;28.7;29.0;0.0;;9.553351;64.117886
17;249425000;2019-04-18 18:44:00;14.7;28.5;29.0;0.0;;9.557874;64.12144
18;249425000;2019-04-18 18:45:00;14.7;28.7;29.0;0.0;;9.562261;64.124986
19;249425000;2019-04-18 18:46:00;14.8;28.7;29.0;0.0;;9.566761;64.128514
20;249425000;2019-04-18 18:47:00;14.8;28.9;29.0;0.0;;9.571248;64.13212
21;249425000;2019-04-18 18:48:00;14.8;27.6;26.0;0.0;;9.575744;64.135686
22;249425000;2019-04-18 18:49:00;14.8;24.6;24.0;0.0;;9.579812;64.13942
23;249425000;2019-04-18 18:50:00;14.8;24.3;24.0;0.0;;9.583631;64.143086
24;249425000;2019-04-18 18:51:00;14.8;24.5;24.0;0.0;;9.587526;64.14682
25;249425000;2019-04-18 18:52:00;14.9;25.1;24.0;0.0;;9.591376;64.150486
26;249425000;2019-04-18 18:53:00;14.8;25.5;24.0;0.0;;9.595434;64.15424
27;249425000;2019-04-18 18:54:00;14.8;25.0;24.0;0.0;;9.599452;64.15795
28;249425000;2019-04-18 18:55:00;14.6;26.2;21.0;0.0;;9.603387;64.161586
29;249425000;2019-04-18 18:56:00;14.4;16.9;12.0;0.0;;9.606474;64.16542
30;249425000;2019-04-18 18:57:00;14.4;10.8;9.0;0.0;;9.608361;64.169286
31;249425000;2019-04-18 18:58:00;14.5;9.7;6.0;0.0;;9.609996;64.17332
32;249425000;2019-04-18 18:59:00;14.6;4.8;4.0;0.0;;9.610913;64.177286
33;249425000;2019-04-18 19:00:00;14.3;358.3;352.0;0.0;;9.611286;64.18122
34;249425000;2019-04-18 19:01:00;13.9;339.8;335.0;0.0;;9.609307;64.185014
35;249425000;2019-04-18 19:02:00;14.2;331.5;331.0;0.0;;9.605404;64.18844
36;249425000;2019-04-18 19:03:00;14.3;330.0;331.0;0.0;;9.600901;64.191814
37;249425000;2019-04-18 19:04:00;14.1;322.9;322.0;0.0;;9.59597;64.1952
38;249425000;2019-04-18 19:05:00;14.2;321.3;323.0;0.0;;9.590274;64.19834
39;249425000;2019-04-18 19:06:00;14.2;322.3;323.0;0.0;;9.584777;64.201414
40;249425000;2019-04-18 19:07:00;14.1;322.2;323.0;0.0;;9.579308;64.20454
41;249425000;2019-04-18 19:08:00;14.2;322.7;323.0;0.0;;9.573787;64.20765
42;249425000;2019-04-18 19:09:00;14.1;322.5;323.0;0.0;;9.56823;64.2108
43;249425000;2019-04-18 19:10:00;14.1;322.5;325.0;0.0;;9.562805;64.21385
44;249425000;2019-04-18 19:11:00;14.2;323.8;326.0;0.0;;9.55744;64.2171
45;249425000;2019-04-18 19:12:00;14.1;324.8;325.0;0.0;;9.552338;64.220225
46;249425000;2019-04-18 19:13:00;14.0;324.5;325.0;0.0;;9.54704;64.2234
47;249425000;2019-04-18 19:14:00;13.9;323.9;325.0;0.0;;9.541908;64.226525
48;249425000;2019-04-18 19:15:00;13.9;324.2;325.0;0.0;;9.53669;64.2297
49;249425000;2019-04-18 19:16:00;13.9;324.4;325.0;0.0;;9.531602;64.23284
50;249425000;2019-04-18 19:17:00;13.9;324.5;325.0;0.0;;9.526397;64.23595
51;257255000;2019-04-18 18:27:00;;;;;;9.55258;64.1067
52;257255000;2019-04-18 18:28:00;10.1;25.0;25.0;0.0;;9.55485;64.1088
53;257255000;2019-04-18 18:29:00;10.1;25.2;25.0;0.0;;9.557541;64.111358
