mmsi;lon;lat;date_time_utc;sog;cog;true_heading;nav_status;message_nr;source
151710709;7.66747;57.9572;2018-05-09 10:06:00;;;;;;
151710709;7.667466;57.9572;2018-05-09 10:07:00;0.3;246.9;511;−99;18;g
151710709;7.66746;57.9572;2018-05-09 10:08:00;0.9;197.0;511;−99;18;g
151710709;7.667449;57.9572;2018-05-09 10:09:00;0.8;214.4;511;−99;18;g
151710709;7.66741;57.9572;2018-05-09 10:10:00;0.3;277.0;511;−99;18;g
151710709;7.66741;57.9572;2018-05-09 10:11:00;0.3;279.5;511;−99;18;g
151710709;7.667401;57.9572;2018-05-09 10:12:00;0.5;330.2;511;−99;18;g
151710709;7.6674;57.9572;2018-05-09 10:13:00;0.5;337.0;511;−99;18;g
151710709;7.66735;57.9572;2018-05-09 10:14:00;0.7;301.5;511;−99;18;g
151710709;7.66733;57.9572;2018-05-09 10:15:00;0.8;287.0;511;−99;18;g
151710709;7.667262;57.9572;2018-05-09 10:16:00;0.7;279.4;511;−99;18;g
151710709;7.667154;57.9572;2018-05-09 10:17:00;0.5;267.4;511;−99;18;g
151710709;7.66715;57.9572;2018-05-09 10:18:00;0.5;267.0;511;−99;18;g
151710709;7.66707;57.95728;2018-05-09 10:19:00;0.7;290.9;511;−99;18;g
151710709;7.66705;57.9573;2018-05-09 10:20:00;0.8;297.0;511;−99;18;g
151710709;7.666984;57.95724;2018-05-09 10:21:00;0.6;273.0;511;−99;18;g
151710709;7.66694;57.9572;2018-05-09 10:22:00;0.4;257.0;511;−99;18;g
151710709;7.666914;57.957243;2018-05-09 10:23:00;0.6;269.9;511;−99;18;g
151710709;7.66688;57.9573;2018-05-09 10:24:00;0.8;287.0;511;−99;18;g
151710709;7.666853;57.957277;2018-05-09 10:25:00;0.7;277.9;511;−99;18;g
151710709;7.66676;57.9572;2018-05-09 10:26:00;0.4;247.0;511;−99;18;g
151710709;7.666755;57.9572;2018-05-09 10:27:00;0.5;249.9;511;−99;18;g
151710709;7.666687;57.9572;2018-05-09 10:28:00;1.5;292.7;511;−99;18;g
151710709;7.66668;57.9572;2018-05-09 10:29:00;1.6;297.0;511;−99;18;g
151710709;7.666637;57.9572;2018-05-09 10:30:00;1.1;261.3;511;−99;18;g
151710709;7.66662;57.9572;2018-05-09 10:31:00;0.9;247.0;511;−99;18;g
151710709;7.666582;57.9572;2018-05-09 10:32:00;1.1;279.6;511;−99;18;g
151710709;7.66655;57.9572;2018-05-09 10:33:00;1.2;307.0;511;−99;18;g
151710709;7.666529;57.9572;2018-05-09 10:34:00;1.3;293.3;511;−99;18;g
151710709;7.66649;57.9572;2018-05-09 10:35:00;1.6;267.0;511;−99;18;g
151710709;7.666484;57.9572;2018-05-09 10:36:00;1.5;268.6;511;−99;18;g
151710709;7.666449;57.957201;2018-05-09 10:37:00;1.0;277.1;511;−99;18;g
151710709;7.666428;57.957231;2018-05-09 10:38:00;0.9;280.1;511;−99;18;g
151710709;7.666407;57.957262;2018-05-09 10:39:00;0.8;283.2;511;−99;18;g
151710709;7.666385;57.957292;2018-05-09 10:40:00;0.7;286.2;511;−99;18;g
151710709;7.66636;57.9573;2018-05-09 10:41:00;0.6;274.0;511;−99;18;g
151710709;7.66635;57.9573;2018-05-09 10:42:00;0.6;267.0;511;−99;18;g
151710709;7.66635;57.9573;2018-05-09 10:43:00;0.7;289.3;511;−99;18;g
151710709;7.66635;57.9573;2018-05-09 10:44:00;0.9;329.9;511;−99;18;g
151710709;7.666339;57.9573;2018-05-09 10:45:00;1.0;337.0;511;−99;18;g
151710709;7.66631;57.9573;2018-05-09 10:46:00;1.0;287.0;511;−99;18;g
211200040;7.540434;57.9435;2018-05-09 10:06:00;7.6;267.7;511;−99;18;g
211200040;7.536435;57.9435;2018-05-09 10:07:00;7.2;269.9;511;−99;18;g
211200040;7.532621;57.943606;2018-05-09 10:08:00;7.5;282.8;511;−99;18;g
211200040;7.52892;57.94375;2018-05-09 10:09:00;6.4;288.6;511;−99;18;g
211200040;7.525279;57.944012;2018-05-09 10:10:00;6.9;277.9;511;−99;18;g
211200040;7.522029;57.944408;2018-05-09 10:11:00;6.3;281.1;511;−99;18;g
211200040;7.51898;57.9449;2018-05-09 10:12:00;6.2;287.0;511;−99;18;g
211200040;7.51581;57.9453;2018-05-09 10:13:00;5.5;286.5;511;−99;18;g
211200040;7.512735;57.9455;2018-05-09 10:14:00;6.0;264.4;511;−99;18;g
211200040;7.509525;57.945703;2018-05-09 10:15:00;5.9;268.2;511;−99;18;g
211200040;7.505959;57.945807;2018-05-09 10:16:00;6.5;269.7;511;−99;18;g
211200040;7.502416;57.945803;2018-05-09 10:17:00;6.6;269.5;511;−99;18;g
211200040;7.49867;57.946;2018-05-09 10:18:00;6.6;271.0;511;−99;18;g
211200040;7.495029;57.9462;2018-05-09 10:19:00;7.7;280.0;511;−99;18;g
211200040;7.49148;57.9463;2018-05-09 10:20:00;7.2;274.8;511;−99;18;g
211200040;7.48781;57.9463;2018-05-09 10:21:00;7.2;269.8;511;−99;18;g
211200040;7.483976;57.9463;2018-05-09 10:22:00;6.4;255.7;511;−99;18;g
211200040;7.480213;57.9463;2018-05-09 10:23:00;6.9;268.1;511;−99;18;g
211200040;7.4765;57.9464;2018-05-09 10:24:00;6.7;257.2;511;−99;18;g
211200040;7.473035;57.946551;2018-05-09 10:25:00;6.8;274.5;511;−99;18;g
211200040;7.469449;57.946703;2018-05-09 10:26:00;6.8;272.4;511;−99;18;g
211200040;7.46574;57.947;2018-05-09 10:27:00;6.7;279.8;511;−99;18;g
