mmsi;lon;lat;date_time_utc;sog;cog;true_heading;nav_status;message_nr;source
151710709;7.68151;57.9627;2019-06-25 14:23:00;;;;;;
151710709;7.681506;57.962713;2019-06-25 14:24:00;0.6;180.8;511;−99;18;g
151710709;7.681481;57.962797;2019-06-25 14:25:00;0.9;332.9;511;−99;18;g
151710709;7.68148;57.9628;2019-06-25 14:26:00;0.9;338.0;511;−99;18;g
151710709;7.681532;57.962726;2019-06-25 14:27:00;1.7;89.5;511;−99;18;g
151710709;7.68155;57.9627;2019-06-25 14:28:00;2.0;128.0;511;−99;18;g
151710709;7.681529;57.962647;2019-06-25 14:29:00;2.0;175.6;511;−99;18;g
151710709;7.681494;57.96262;2019-06-25 14:30:00;1.9;240.2;511;−99;18;g
151710709;7.681458;57.962665;2019-06-25 14:31:00;1.5;289.4;511;−99;18;g
151710709;7.68143;57.9627;2019-06-25 14:32:00;1.3;328.0;511;−99;18;g
151710709;7.681434;57.9627;2019-06-25 14:33:00;1.3;305.6;511;−99;18;g
151710709;7.681458;57.9627;2019-06-25 14:34:00;1.6;171.4;511;−99;18;g
151710709;7.68146;57.9627;2019-06-25 14:35:00;1.6;158.0;511;−99;18;g
151710709;7.681482;57.9627;2019-06-25 14:36:00;0.9;70.6;511;−99;18;g
151710709;7.68149;57.9627;2019-06-25 14:37:00;0.7;38.0;511;−99;18;g
151710709;7.681473;57.9627;2019-06-25 14:38:00;0.9;356.0;511;−99;18;g
151710709;7.681446;57.9627;2019-06-25 14:39:00;1.1;287.8;511;−99;18;g
151710709;7.681427;57.962734;2019-06-25 14:40:00;1.5;282.2;511;−99;18;g
151710709;7.68142;57.9628;2019-06-25 14:41:00;1.8;348.0;511;−99;18;g
151710709;7.681428;57.962786;2019-06-25 14:42:00;1.8;10.2;511;−99;18;g
151710709;7.681478;57.962703;2019-06-25 14:43:00;1.5;143.6;511;−99;18;g
151710709;7.68148;57.9627;2019-06-25 14:44:00;1.5;148.0;511;−99;18;g
151710709;7.681564;57.962547;2019-06-25 14:45:00;1.0;148.0;511;−99;18;g
151710709;7.68159;57.9625;2019-06-25 14:46:00;0.9;148.0;511;−99;18;g
151710709;7.681497;57.962664;2019-06-25 14:47:00;1.0;246.6;511;−99;18;g
151710709;7.68142;57.9628;2019-06-25 14:48:00;1.0;328.0;511;−99;18;g
151710709;7.68147;57.962733;2019-06-25 14:49:00;1.1;24.7;511;−99;18;g
151710709;7.68157;57.9626;2019-06-25 14:50:00;1.3;138.0;511;−99;18;g
151710709;7.68157;57.9626;2019-06-25 14:51:00;;;;;;
151710709;7.68157;57.9626;2019-06-25 14:52:00;;;;;;
219164000;7.506199;57.943344;2019-06-25 14:23:00;5.3;87.5;91.0;0;1;g
219164000;7.509054;57.9434;2019-06-25 14:24:00;5.3;89.7;92.0;0;1;g
219164000;7.511894;57.9434;2019-06-25 14:25:00;5.3;89.4;90.0;0;1;g
219164000;7.514545;57.9435;2019-06-25 14:26:00;5.3;86.9;88.0;0;1;g
219164000;7.517316;57.9435;2019-06-25 14:27:00;5.3;90.2;90.0;0;1;g
219164000;7.52009;57.9436;2019-06-25 14:28:00;5.2;88.1;89.0;0;1;g
219164000;7.52283;57.9436;2019-06-25 14:29:00;5.2;89.0;90.0;0;1;g
219164000;7.525539;57.9436;2019-06-25 14:30:00;5.1;89.4;90.0;0;1;g
219164000;7.52826;57.943633;2019-06-25 14:31:00;5.1;87.6;90.0;0;1;g
219164000;7.530979;57.9437;2019-06-25 14:32:00;5.1;89.8;91.0;0;1;g
219164000;7.5337;57.9437;2019-06-25 14:33:00;5.1;88.5;90.0;0;1;g
219164000;7.536412;57.9437;2019-06-25 14:34:00;5.1;89.2;91.0;0;1;g
219164000;7.539097;57.9438;2019-06-25 14:35:00;5.1;87.1;90.0;0;1;g
219164000;7.5418;57.9438;2019-06-25 14:36:00;5.1;87.0;90.0;0;1;g
219164000;7.544452;57.9439;2019-06-25 14:37:00;5.1;87.3;90.0;0;1;g
219164000;7.547127;57.944;2019-06-25 14:38:00;5.1;85.3;88.0;0;1;g
219164000;7.549751;57.9441;2019-06-25 14:39:00;5.0;87.6;89.0;0;1;g
219164000;7.552434;57.9442;2019-06-25 14:40:00;5.0;86.3;89.0;0;1;g
219164000;7.555065;57.9442;2019-06-25 14:41:00;5.0;88.9;91.0;0;1;g
219164000;7.55764;57.9443;2019-06-25 14:42:00;5.1;85.6;87.0;0;1;g
219164000;7.560418;57.944436;2019-06-25 14:43:00;5.4;82.9;84.0;0;1;g
219164000;7.563347;57.9447;2019-06-25 14:44:00;5.9;81.5;84.0;0;1;g
219164000;7.566515;57.944936;2019-06-25 14:45:00;6.3;82.4;83.0;0;1;g
219164000;7.569944;57.9452;2019-06-25 14:46:00;6.6;82.6;84.0;0;1;g
219164000;7.573506;57.9454;2019-06-25 14:47:00;6.8;83.9;83.0;0;1;g
219164000;7.577022;57.945736;2019-06-25 14:48:00;7.0;77.8;80.0;0;1;g
219164000;7.580707;57.9461;2019-06-25 14:49:00;7.1;81.5;82.0;0;1;g
219164000;7.584487;57.946436;2019-06-25 14:50:00;7.2;79.2;80.0;0;1;g
219164000;7.58828;57.946833;2019-06-25 14:51:00;7.4;81.1;82.0;0;1;g
219164000;7.592093;57.947136;2019-06-25 14:52:00;7.4;80.2;80.0;0;1;g
219213000;7.4768;58.0167;2019-06-25 14:23:00;;;;;;
219213000;7.4768;58.0167;2019-06-25 14:24:00;;;;;;
219213000;7.4768;58.0167;2019-06-25 14:25:00;;;;;;
219213000;7.476793;58.0167;2019-06-25 14:26:00;0.0;141.2;89.0;5;3;g
219213000;7.476783;58.0167;2019-06-25 14:27:00;0.0;141.2;89.0;5;3;g
219213000;7.476773;58.0167;2019-06-25 14:28:00;0.0;141.2;89.0;5;3;g
219213000;7.476787;58.0167;2019-06-25 14:29:00;0.0;141.2;89.0;5;3;g
219213000;7.47681;58.0167;2019-06-25 14:30:00;0.0;141.2;89.0;5;3;g
219213000;7.476833;58.0167;2019-06-25 14:31:00;0.0;141.2;89.0;5;3;g
219213000;7.476835;58.0167;2019-06-25 14:32:00;0.0;141.2;89.0;5;3;g
219213000;7.476827;58.0167;2019-06-25 14:33:00;0.0;141.2;89.0;5;3;g
219213000;7.476819;58.0167;2019-06-25 14:34:00;0.0;141.2;89.0;5;3;g
219213000;7.476811;58.0167;2019-06-25 14:35:00;0.0;141.2;89.0;5;3;g
219213000;7.476803;58.0167;2019-06-25 14:36:00;0.0;141.2;89.0;5;3;g
219213000;7.476796;58.0167;2019-06-25 14:37:00;0.0;141.2;89.0;5;3;g
219213000;7.476788;58.0167;2019-06-25 14:38:00;0.0;141.2;89.0;5;3;g
219213000;7.47678;58.0167;2019-06-25 14:39:00;0.0;141.2;89.0;5;3;g
219213000;7.476772;58.0167;2019-06-25 14:40:00;0.0;141.2;89.0;5;3;g
219213000;7.476756;58.0167;2019-06-25 14:41:00;0.0;141.2;89.0;5;3;g
219213000;7.476736;58.0167;2019-06-25 14:42:00;0.0;141.2;90.0;5;3;g
219213000;7.476716;58.0167;2019-06-25 14:43:00;0.0;141.2;90.0;5;3;g
219213000;7.476726;58.0167;2019-06-25 14:44:00;0.0;141.2;90.0;5;3;g
219213000;7.47675;58.0167;2019-06-25 14:45:00;0.0;141.2;89.0;5;3;g
219213000;7.476774;58.0167;2019-06-25 14:46:00;0.0;141.2;88.0;5;3;g
219213000;7.476778;58.016676;2019-06-25 14:47:00;0.0;141.2;88.0;5;3;g
219213000;7.476774;58.016643;2019-06-25 14:48:00;0.0;141.2;89.0;5;3;g
219213000;7.476771;58.016611;2019-06-25 14:49:00;0.0;141.2;89.0;5;3;g
219213000;7.47677;58.0166;2019-06-25 14:50:00;;;;;;
219213000;7.47677;58.0166;2019-06-25 14:51:00;;;;;;
219213000;7.47677;58.0166;2019-06-25 14:52:00;;;;;;
229025000;7.42108;57.9126;2019-06-25 14:23:00;8.4;96.5;98.0;0;1;g
229025000;7.425398;57.9124;2019-06-25 14:24:00;8.4;96.8;99.0;0;1;g
229025000;7.429845;57.9121;2019-06-25 14:25:00;8.4;97.9;99.0;0;1;g
229025000;7.434157;57.911762;2019-06-25 14:26:00;8.4;97.2;98.0;0;1;g
229025000;7.438635;57.91145;2019-06-25 14:27:00;8.5;97.7;98.0;0;1;g
229025000;7.442999;57.911157;2019-06-25 14:28:00;8.5;98.2;99.0;0;1;g
229025000;7.44736;57.9108;2019-06-25 14:29:00;8.5;98.0;99.0;0;1;g
229025000;7.451838;57.9105;2019-06-25 14:30:00;8.5;97.1;98.0;0;1;g
229025000;7.456157;57.910167;2019-06-25 14:31:00;8.5;98.2;99.0;0;1;g
229025000;7.460593;57.9098;2019-06-25 14:32:00;8.4;99.2;99.0;0;1;g
229025000;7.464928;57.909462;2019-06-25 14:33:00;8.5;98.5;99.0;0;1;g
229025000;7.4693;57.9091;2019-06-25 14:34:00;8.4;98.3;99.0;0;1;g
229025000;7.473637;57.908767;2019-06-25 14:35:00;8.4;98.7;99.0;0;1;g
229025000;7.47802;57.9084;2019-06-25 14:36:00;8.5;97.0;96.0;0;1;g
229025000;7.482378;57.90827;2019-06-25 14:37:00;8.4;92.4;94.0;0;1;g
229025000;7.486767;57.908067;2019-06-25 14:38:00;8.4;94.8;95.0;0;1;g
229025000;7.49114;57.907864;2019-06-25 14:39:00;8.3;95.0;95.0;0;1;g
229025000;7.495447;57.9076;2019-06-25 14:40:00;8.3;95.1;95.0;0;1;g
229025000;7.499832;57.9074;2019-06-25 14:41:00;8.3;94.6;94.0;0;1;g
229025000;7.504153;57.907267;2019-06-25 14:42:00;8.3;94.1;94.0;0;1;g
229025000;7.508505;57.907064;2019-06-25 14:43:00;8.4;95.0;93.0;0;1;g
229025000;7.51283;57.9069;2019-06-25 14:44:00;8.3;93.4;93.0;0;1;g
229025000;7.517162;57.9067;2019-06-25 14:45:00;8.3;93.7;94.0;0;1;g
229025000;7.521456;57.906564;2019-06-25 14:46:00;8.4;93.7;93.0;0;1;g
229025000;7.525895;57.9064;2019-06-25 14:47:00;8.3;92.9;94.0;0;1;g
229025000;7.530163;57.9063;2019-06-25 14:48:00;8.3;93.3;94.0;0;1;g
229025000;7.534526;57.9062;2019-06-25 14:49:00;8.2;92.3;94.0;0;1;g
229025000;7.538689;57.9061;2019-06-25 14:50:00;8.1;91.5;94.0;0;1;g
229025000;7.542972;57.9061;2019-06-25 14:51:00;8.0;92.0;94.0;0;1;g
229025000;7.54713;57.906;2019-06-25 14:52:00;8.0;92.3;94.0;0;1;g
230091950;7.673665;57.957775;2019-06-25 14:23:00;11.8;244.5;241.0;0;1;g
230091950;7.668035;57.9563;2019-06-25 14:24:00;11.8;244.3;241.0;0;1;g
230091950;7.662635;57.954775;2019-06-25 14:25:00;11.7;238.3;232.0;0;3;g
230091950;7.65762;57.953;2019-06-25 14:26:00;11.7;238.2;237.0;0;3;g
230091950;7.65214;57.951464;2019-06-25 14:27:00;11.8;242.3;239.0;0;1;g
230091950;7.646664;57.949962;2019-06-25 14:28:00;11.9;241.7;238.0;0;1;g
230091950;7.641142;57.948364;2019-06-25 14:29:00;12.0;242.2;239.0;0;1;g
230091950;7.63578;57.9469;2019-06-25 14:30:00;11.8;244.8;246.0;0;3;g
230091950;7.6298;57.9461;2019-06-25 14:31:00;11.6;266.6;270.0;0;3;g
230091950;7.623689;57.946136;2019-06-25 14:32:00;11.9;272.6;273.0;0;1;g
230091950;7.617333;57.946445;2019-06-25 14:33:00;12.0;274.9;274.0;0;1;g
230091950;7.611067;57.946636;2019-06-25 14:34:00;12.3;274.6;273.0;0;1;g
230091950;7.604592;57.9469;2019-06-25 14:35:00;12.4;274.6;273.0;0;1;g
230091950;7.598128;57.9471;2019-06-25 14:36:00;12.4;273.9;272.0;0;1;g
230091950;7.591695;57.94735;2019-06-25 14:37:00;12.4;274.5;273.0;0;1;g
230091950;7.585255;57.94765;2019-06-25 14:38:00;12.4;274.6;273.0;0;1;g
230091950;7.57875;57.9479;2019-06-25 14:39:00;12.5;274.1;273.0;0;1;g
230091950;7.57223;57.948255;2019-06-25 14:40:00;12.6;274.8;273.0;0;1;g
230091950;7.56573;57.9486;2019-06-25 14:41:00;12.6;275.7;270.0;0;3;g
230091950;7.55923;57.9486;2019-06-25 14:42:00;12.6;265.8;261.0;0;3;g
230091950;7.55254;57.9483;2019-06-25 14:43:00;12.7;265.5;262.0;0;1;g
230091950;7.545855;57.948045;2019-06-25 14:44:00;12.6;265.8;262.0;0;1;g
230091950;7.53932;57.9478;2019-06-25 14:45:00;12.6;266.5;262.0;0;1;g
230091950;7.532751;57.947556;2019-06-25 14:46:00;12.6;265.8;262.0;0;1;g
230091950;7.526165;57.947355;2019-06-25 14:47:00;12.6;265.5;261.0;0;1;g
230091950;7.519714;57.9471;2019-06-25 14:48:00;12.6;266.3;262.0;0;1;g
230091950;7.51303;57.946855;2019-06-25 14:49:00;12.6;265.9;262.0;0;1;g
230091950;7.50652;57.946664;2019-06-25 14:50:00;12.6;265.9;262.0;0;1;g
230091950;7.49984;57.9464;2019-06-25 14:51:00;12.6;266.8;262.0;0;1;g
230091950;7.493387;57.9462;2019-06-25 14:52:00;12.6;266.8;262.0;0;1;g
231200000;7.69143;57.8582;2019-06-25 14:23:00;22.0;281.5;282.0;0;1;g
231200000;7.679933;57.859517;2019-06-25 14:24:00;21.9;281.8;282.0;0;1;g
