mmsi;lon;lat;date_time_utc;sog;cog;true_heading;nav_status;message_nr;source
211688080;6.85978;57.9815;2019-07-17 14:48:00;;;;;;
211688080;6.85978;57.9815;2019-07-17 14:49:00;;;;;;
211688080;6.85978;57.9815;2019-07-17 14:50:00;;;;;;
211688080;6.859223;57.982578;2019-07-17 14:51:00;4.2;345.6;511;−99;18;g
211688080;6.858548;57.983774;2019-07-17 14:52:00;4.3;343.9;511;−99;18;g
211688080;6.857869;57.984967;2019-07-17 14:53:00;4.6;342.0;511;−99;18;g
211688080;6.857189;57.986161;2019-07-17 14:54:00;4.9;340.2;511;−99;18;g
211688080;6.856562;57.98736;2019-07-17 14:55:00;4.4;335.4;511;−99;18;g
211688080;6.856113;57.988603;2019-07-17 14:56:00;4.6;342.2;511;−99;18;g
211688080;6.855686;57.989851;2019-07-17 14:57:00;4.9;350.7;511;−99;18;g
211688080;6.855222;57.99116;2019-07-17 14:58:00;4.5;355.4;511;−99;18;g
211688080;6.854639;57.992362;2019-07-17 14:59:00;4.8;350.8;511;−99;18;g
211688080;6.85404;57.993578;2019-07-17 15:00:00;4.7;347.3;511;−99;18;g
211688080;6.853616;57.99478;2019-07-17 15:01:00;4.7;351.6;511;−99;18;g
211688080;6.853374;57.99598;2019-07-17 15:02:00;4.1;1.6;511;−99;18;g
211688080;6.85296;57.997162;2019-07-17 15:03:00;4.2;351.0;511;−99;18;g
211688080;6.852566;57.99836;2019-07-17 15:04:00;4.1;341.6;511;−99;18;g
211688080;6.851846;57.999398;2019-07-17 15:05:00;4.3;351.3;511;−99;18;g
211688080;6.851788;58.00069;2019-07-17 15:06:00;4.4;357.8;511;−99;18;g
211688080;6.851744;58.001867;2019-07-17 15:07:00;4.4;350.3;511;−99;18;g
211688080;6.851292;58.003007;2019-07-17 15:08:00;3.7;347.2;511;−99;18;g
211688080;6.850835;58.003956;2019-07-17 15:09:00;3.7;338.7;511;−99;18;g
211688080;6.850677;58.004973;2019-07-17 15:10:00;3.8;348.0;511;−99;18;g
211688080;6.85049;58.006011;2019-07-17 15:11:00;4.0;357.2;511;−99;18;g
211688080;6.850254;58.007092;2019-07-17 15:12:00;3.5;351.5;511;−99;18;g
211688080;6.849873;58.008207;2019-07-17 15:13:00;3.9;347.3;511;−99;18;g
211688080;6.849572;58.0092;2019-07-17 15:14:00;3.9;355.2;511;−99;18;g
211688080;6.849512;58.010465;2019-07-17 15:15:00;4.5;358.1;511;−99;18;g
211688080;6.8491;58.01166;2019-07-17 15:16:00;4.6;346.8;511;−99;18;g
211688080;6.84862;58.012799;2019-07-17 15:17:00;4.4;344.9;511;−99;18;g
211688080;6.848133;58.01393;2019-07-17 15:18:00;4.1;343.7;511;−99;18;g
211688080;6.847574;58.015065;2019-07-17 15:19:00;4.4;347.1;511;−99;18;g
211688080;6.846927;58.016188;2019-07-17 15:20:00;4.0;338.4;511;−99;18;g
211688080;6.846409;58.017185;2019-07-17 15:21:00;3.8;347.4;511;−99;18;g
211688080;6.845846;58.018256;2019-07-17 15:22:00;3.9;345.9;511;−99;18;g
211688080;6.845536;58.019397;2019-07-17 15:23:00;4.0;343.1;511;−99;18;g
211688080;6.845266;58.020547;2019-07-17 15:24:00;4.2;340.4;511;−99;18;g
211688080;6.844621;58.021558;2019-07-17 15:25:00;3.5;339.9;511;−99;18;g
211688080;6.84411;58.022581;2019-07-17 15:26:00;3.9;348.3;511;−99;18;g
211688080;6.84367;58.023628;2019-07-17 15:27:00;3.7;349.4;511;−99;18;g
211688080;6.84324;58.024677;2019-07-17 15:28:00;3.3;349.5;511;−99;18;g
211688080;6.842839;58.025597;2019-07-17 15:29:00;3.8;349.4;511;−99;18;g
211688080;6.842454;58.026698;2019-07-17 15:30:00;4.1;349.4;511;−99;18;g
211688080;6.842039;58.027807;2019-07-17 15:31:00;4.2;346.8;511;−99;18;g
211688080;6.841514;58.02898;2019-07-17 15:32:00;4.4;348.4;511;−99;18;g
211688080;6.84116;58.030251;2019-07-17 15:33:00;4.9;351.6;511;−99;18;g
232014202;6.808475;58.03961;2019-07-17 14:48:00;4.3;212.3;511;−99;18;g
232014202;6.80726;58.038703;2019-07-17 14:49:00;4.0;216.9;511;−99;18;g
232014202;6.806019;58.037843;2019-07-17 14:50:00;3.9;219.4;511;−99;18;g
232014202;6.804744;58.03702;2019-07-17 14:51:00;3.8;220.2;511;−99;18;g
232014202;6.803436;58.036327;2019-07-17 14:52:00;3.6;226.4;511;−99;18;g
