mmsi;lon;lat;date_time_utc;sog;cog;true_heading;nav_status;message_nr;source
151710709;7.68702;57.9645;2019-07-18 05:46:00;;;;;;
151710709;7.68702;57.9645;2019-07-18 05:47:00;;;;;;
151710709;7.687011;57.9645;2019-07-18 05:48:00;1.3;280.4;511;−99;18;g
151710709;7.687;57.9645;2019-07-18 05:49:00;1.4;328.0;511;−99;18;g
151710709;7.687006;57.9645;2019-07-18 05:50:00;1.0;279.4;511;−99;18;g
151710709;7.68702;57.9645;2019-07-18 05:51:00;0.1;158.0;511;−99;18;g
151710709;7.687022;57.964491;2019-07-18 05:52:00;0.1;158.9;511;−99;18;g
151710709;7.687039;57.964403;2019-07-18 05:53:00;0.6;167.7;511;−99;18;g
151710709;7.68704;57.9644;2019-07-18 05:54:00;0.6;168.0;511;−99;18;g
151710709;7.687025;57.964477;2019-07-18 05:55:00;0.5;37.4;511;−99;18;g
151710709;7.68702;57.9645;2019-07-18 05:56:00;0.5;358.0;511;−99;18;g
151710709;7.687031;57.9645;2019-07-18 05:57:00;0.7;92.7;511;−99;18;g
151710709;7.68704;57.9645;2019-07-18 05:58:00;0.8;168.0;511;−99;18;g
151710709;7.687033;57.964537;2019-07-18 05:59:00;0.9;233.9;511;−99;18;g
151710709;7.68702;57.9646;2019-07-18 06:00:00;1.1;348.0;511;−99;18;g
151710709;7.687018;57.964567;2019-07-18 06:01:00;1.1;321.7;511;−99;18;g
151710709;7.68701;57.964403;2019-07-18 06:02:00;0.9;190.2;511;−99;18;g
151710709;7.68701;57.9644;2019-07-18 06:03:00;0.9;188.0;511;−99;18;g
151710709;7.687039;57.964474;2019-07-18 06:04:00;1.3;77.5;511;−99;18;g
151710709;7.68705;57.9645;2019-07-18 06:05:00;1.4;38.0;511;−99;18;g
151710709;7.68704;57.964551;2019-07-18 06:06:00;1.2;17.7;511;−99;18;g
151710709;7.68703;57.9646;2019-07-18 06:07:00;1.1;358.0;511;−99;18;g
151710709;7.68703;57.964539;2019-07-18 06:08:00;1.0;306.1;511;−99;18;g
151710709;7.68703;57.9644;2019-07-18 06:09:00;0.9;188.0;511;−99;18;g
