mmsi;lon;lat;date_time_utc;sog;cog;true_heading;nav_status;message_nr;source
205318310;7.86163;58.0689;2019-07-25 10:57:00;;;;;;
205318310;7.86163;58.0689;2019-07-25 10:58:00;;;;;;
205318310;7.86163;58.0689;2019-07-25 10:59:00;;;;;;
205318310;7.860188;58.069177;2019-07-25 11:00:00;3.7;285.9;511;−99;18;g
205318310;7.85921;58.069729;2019-07-25 11:01:00;3.0;27.8;511;−99;18;g
205318310;7.860318;58.070081;2019-07-25 11:02:00;2.6;70.5;511;−99;18;g
205318310;7.861114;58.070453;2019-07-25 11:03:00;1.6;36.6;511;−99;18;g
205318310;7.861104;58.0706;2019-07-25 11:04:00;0.6;261.0;511;−99;18;g
205318310;7.860804;58.0706;2019-07-25 11:05:00;0.5;310.3;511;−99;18;g
205318310;7.860718;58.070613;2019-07-25 11:06:00;0.5;293.8;511;−99;18;g
205318310;7.860661;58.070646;2019-07-25 11:07:00;0.4;280.8;511;−99;18;g
205318310;7.860604;58.07068;2019-07-25 11:08:00;0.3;267.8;511;−99;18;g
205318310;7.86057;58.0707;2019-07-25 11:09:00;0.2;272.6;511;−99;18;g
205318310;7.86057;58.0707;2019-07-25 11:10:00;0.2;304.1;511;−99;18;g
205318310;7.86057;58.0707;2019-07-25 11:11:00;0.1;335.6;511;−99;18;g
205318310;7.860571;58.0707;2019-07-25 11:12:00;0.1;0.9;511;−99;18;g
205318310;7.860575;58.0707;2019-07-25 11:13:00;0.1;16.3;511;−99;18;g
205318310;7.860578;58.0707;2019-07-25 11:14:00;0.2;31.7;511;−99;18;g
205318310;7.86058;58.0707;2019-07-25 11:15:00;0.2;37.2;511;−99;18;g
205318310;7.86058;58.0707;2019-07-25 11:16:00;0.2;26.7;511;−99;18;g
205318310;7.86058;58.0707;2019-07-25 11:17:00;0.2;16.2;511;−99;18;g
205318310;7.860577;58.0707;2019-07-25 11:18:00;0.2;348.9;511;−99;18;g
205318310;7.860571;58.0707;2019-07-25 11:19:00;0.2;294.8;511;−99;18;g
205318310;7.860564;58.0707;2019-07-25 11:20:00;0.2;240.6;511;−99;18;g
205318310;7.860564;58.0707;2019-07-25 11:21:00;0.2;229.3;511;−99;18;g
205318310;7.860574;58.0707;2019-07-25 11:22:00;0.2;286.7;511;−99;18;g
