mmsi;lon;lat;date_time_utc;sog;cog;true_heading;nav_status;message_nr;source
210008000;10.7134;57.7926;2019-08-26 06:30:00;;;;;;
210008000;10.706843;57.7927;2019-08-26 06:31:00;18.1;270.3;270.0;0;1;g
210008000;10.69745;57.7927;2019-08-26 06:32:00;18.1;270.0;269.0;0;1;g
210008000;10.6879;57.7927;2019-08-26 06:33:00;18.2;270.0;269.0;0;1;g
210008000;10.678529;57.7926;2019-08-26 06:34:00;18.3;270.2;270.0;0;1;g
210008000;10.669136;57.7926;2019-08-26 06:35:00;18.3;270.0;270.0;0;1;g
210008000;10.659743;57.7925;2019-08-26 06:36:00;18.2;269.7;270.0;0;3;g
210008000;10.6502;57.7925;2019-08-26 06:37:00;18.1;269.8;270.0;0;1;g
210008000;10.640929;57.7924;2019-08-26 06:38:00;18.1;269.4;270.0;0;1;g
210008000;10.6313;57.7924;2019-08-26 06:39:00;18.1;269.2;270.0;0;1;g
210008000;10.622043;57.7924;2019-08-26 06:40:00;18.0;269.5;270.0;0;1;g
210008000;10.61275;57.7923;2019-08-26 06:41:00;18.0;269.7;270.0;0;1;g
210008000;10.6032;57.7923;2019-08-26 06:42:00;18.0;270.0;270.0;0;1;g
210008000;10.594029;57.7922;2019-08-26 06:43:00;17.9;270.0;270.0;0;1;g
210008000;10.5846;57.7922;2019-08-26 06:44:00;17.9;269.8;270.0;0;1;g
210008000;10.575414;57.7922;2019-08-26 06:45:00;17.9;269.5;270.0;0;1;g
210008000;10.566;57.7922;2019-08-26 06:46:00;17.9;269.5;269.0;0;1;g
210008000;10.556814;57.7921;2019-08-26 06:47:00;17.9;270.0;270.0;0;1;g
210008000;10.5474;57.7921;2019-08-26 06:48:00;17.9;269.0;270.0;0;1;g
210008000;10.538329;57.792;2019-08-26 06:49:00;17.9;269.5;270.0;0;1;g
210008000;10.52905;57.792;2019-08-26 06:50:00;17.9;269.3;269.0;0;1;g
210008000;10.5195;57.7919;2019-08-26 06:51:00;17.9;269.5;270.0;0;1;g
210008000;10.510314;57.7918;2019-08-26 06:52:00;18.0;269.5;270.0;0;1;g
210008000;10.5009;57.7917;2019-08-26 06:53:00;17.9;269.2;269.0;0;1;g
210008000;10.491529;57.7916;2019-08-26 06:54:00;17.9;269.0;270.0;0;1;g
210008000;10.4823;57.7915;2019-08-26 06:55:00;17.9;269.5;270.0;0;1;g
210008000;10.473043;57.7915;2019-08-26 06:56:00;17.9;267.8;268.0;0;1;g
210008000;10.4635;57.7913;2019-08-26 06:57:00;17.9;268.0;268.0;0;1;g
210008000;10.454318;57.791145;2019-08-26 06:58:00;17.8;268.2;269.0;0;1;g
210008000;10.445129;57.791;2019-08-26 06:59:00;17.8;268.0;269.0;0;3;g
210008000;10.4358;57.7908;2019-08-26 07:00:00;17.8;266.5;270.0;0;1;g
210008000;10.426729;57.791086;2019-08-26 07:01:00;17.7;274.5;275.0;0;1;g
210008000;10.4175;57.7914;2019-08-26 07:02:00;17.7;272.5;272.0;0;1;g
210008000;10.408429;57.7916;2019-08-26 07:03:00;17.8;272.7;272.0;0;1;g
210008000;10.399075;57.7915;2019-08-26 07:04:00;17.7;268.8;270.0;0;1;g
210008000;10.3901;57.7915;2019-08-26 07:05:00;17.7;268.5;269.0;0;1;g
210008000;10.380762;57.7914;2019-08-26 07:06:00;17.7;269.0;270.0;0;1;g
210008000;10.3717;57.7912;2019-08-26 07:07:00;17.7;269.5;270.0;0;1;g
210008000;10.362443;57.7912;2019-08-26 07:08:00;17.7;269.0;270.0;0;1;g
210008000;10.3534;57.7911;2019-08-26 07:09:00;17.7;269.2;270.0;0;1;g
210008000;10.3443;57.791;2019-08-26 07:10:00;17.5;271.5;274.0;0;1;g
210008000;10.3351;57.7913;2019-08-26 07:11:00;17.6;274.0;275.0;0;1;g
210008000;10.326014;57.7917;2019-08-26 07:12:00;17.7;274.3;274.0;0;1;g
210008000;10.3168;57.7921;2019-08-26 07:13:00;17.7;274.5;274.0;0;1;g
210008000;10.307714;57.7924;2019-08-26 07:14:00;17.7;275.0;275.0;0;1;g
210008000;10.2985;57.7929;2019-08-26 07:15:00;17.4;279.0;280.0;0;1;g
210008000;10.2896;57.7937;2019-08-26 07:16:00;17.5;279.8;279.0;0;1;g
210008000;10.280617;57.7944;2019-08-26 07:17:00;17.6;277.9;275.0;0;1;g
210008000;10.27125;57.794758;2019-08-26 07:18:00;17.5;272.1;269.0;0;1;g
210008000;10.2624;57.7947;2019-08-26 07:19:00;17.5;270.1;270.0;0;1;g
210008000;10.2533;57.7947;2019-08-26 07:20:00;17.5;270.2;270.0;0;1;g
210008000;10.2442;57.7947;2019-08-26 07:21:00;17.5;270.2;270.0;0;1;g
210008000;10.2349;57.7947;2019-08-26 07:22:00;17.4;269.0;270.0;0;1;g
210008000;10.226025;57.7946;2019-08-26 07:23:00;17.4;269.4;270.0;0;1;g
210008000;10.2168;57.7946;2019-08-26 07:24:00;17.4;268.5;269.0;0;1;g
210008000;10.20795;57.7946;2019-08-26 07:25:00;17.4;269.3;270.0;0;1;g
210008000;10.198933;57.794433;2019-08-26 07:26:00;17.2;261.8;259.0;0;3;g
210008000;10.1899;57.7936;2019-08-26 07:27:00;17.4;260.2;259.0;0;1;g
210008000;10.181171;57.792814;2019-08-26 07:28:00;17.5;260.7;260.0;0;1;g
210008000;10.1721;57.792;2019-08-26 07:29:00;17.5;260.8;260.0;0;1;g
210008000;10.163243;57.791114;2019-08-26 07:30:00;17.5;260.9;260.0;0;1;g
210008000;10.1541;57.7903;2019-08-26 07:31:00;17.5;261.0;260.0;0;1;g
210008000;10.145325;57.789512;2019-08-26 07:32:00;17.4;260.5;260.0;0;1;g
210008000;10.1362;57.7887;2019-08-26 07:33:00;17.4;260.5;260.0;0;1;g
210008000;10.127569;57.787908;2019-08-26 07:34:00;17.4;259.9;259.0;0;1;g
210008000;10.118583;57.787117;2019-08-26 07:35:00;17.3;259.8;259.0;0;1;g
210008000;10.1096;57.7863;2019-08-26 07:36:00;17.3;260.0;260.0;0;1;g
210008000;10.100843;57.785414;2019-08-26 07:37:00;17.3;260.0;259.0;0;1;g
210008000;10.0918;57.7846;2019-08-26 07:38:00;17.4;260.2;260.0;0;1;g
210008000;10.083043;57.783714;2019-08-26 07:39:00;17.4;260.0;260.0;0;1;g
210008000;10.074;57.7828;2019-08-26 07:40:00;17.3;260.0;260.0;0;1;g
210008000;10.065267;57.782017;2019-08-26 07:41:00;17.4;260.0;260.0;0;1;g
210008000;10.056171;57.781086;2019-08-26 07:42:00;17.5;259.0;260.0;0;1;g
210008000;10.0474;57.7802;2019-08-26 07:43:00;17.5;259.5;260.0;0;1;g
210008000;10.0384;57.7793;2019-08-26 07:44:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 07:45:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 07:46:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 07:47:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 07:48:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 07:49:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 07:50:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 07:51:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 07:52:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 07:53:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 07:54:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 07:55:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 07:56:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 07:57:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 07:58:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 07:59:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:00:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:01:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:02:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:03:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:04:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:05:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:06:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:07:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:08:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:09:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:10:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:11:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:12:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:13:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:14:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:15:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:16:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:17:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:18:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:19:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:20:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:21:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:22:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:23:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:24:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:25:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:26:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:27:00;;;;;;
210008000;10.0384;57.7793;2019-08-26 08:28:00;;;;;;
