mmsi;lon;lat;date_time_utc;sog;cog;true_heading;nav_status;message_nr;source
231103000;7.6798;57.9513;2018-12-02 20:10:00;;;;;;
231103000;7.6798;57.9513;2018-12-02 20:11:00;;;;;;
231103000;7.6798;57.9513;2018-12-02 20:12:00;;;;;;
231103000;7.6798;57.9513;2018-12-02 20:13:00;;;;;;
231103000;7.6798;57.9513;2018-12-02 20:14:00;;;;;;
231103000;7.6798;57.9513;2018-12-02 20:15:00;;;;;;
231103000;7.6798;57.9513;2018-12-02 20:16:00;;;;;;
231103000;7.6798;57.9513;2018-12-02 20:17:00;;;;;;
231103000;7.6798;57.9513;2018-12-02 20:18:00;;;;;;
231103000;7.6798;57.9513;2018-12-02 20:19:00;;;;;;
231103000;7.6798;57.9513;2018-12-02 20:20:00;;;;;;
231103000;7.67344;57.949714;2018-12-02 20:21:00;15.8;245.9;241.0;0;1;g
231103000;7.666003;57.947943;2018-12-02 20:22:00;15.8;245.5;241.0;0;1;g
231103000;7.658291;57.946114;2018-12-02 20:23:00;16.1;248.1;246.0;0;1;g
231103000;7.650084;57.945;2018-12-02 20:24:00;16.4;263.3;264.0;0;1;g
231103000;7.64155;57.9448;2018-12-02 20:25:00;16.4;267.6;266.0;0;1;g
231103000;7.632965;57.9446;2018-12-02 20:26:00;16.3;267.8;268.0;0;1;g
231103000;7.624502;57.9445;2018-12-02 20:27:00;16.4;267.2;267.0;0;1;g
231103000;7.61589;57.9443;2018-12-02 20:28:00;16.5;267.9;267.0;0;1;g
231103000;7.607374;57.9441;2018-12-02 20:29:00;16.5;267.5;267.0;0;1;g
231103000;7.598864;57.94398;2018-12-02 20:30:00;16.5;268.4;267.0;0;1;g
231103000;7.590264;57.9438;2018-12-02 20:31:00;16.5;267.8;266.0;0;1;g
231103000;7.581658;57.9437;2018-12-02 20:32:00;16.6;267.6;266.0;0;1;g
231103000;7.572944;57.9435;2018-12-02 20:33:00;16.6;268.3;267.0;0;1;g
231103000;7.564368;57.9434;2018-12-02 20:34:00;16.7;268.4;267.0;0;1;g
231103000;7.555715;57.943438;2018-12-02 20:35:00;16.5;272.3;271.0;0;1;g
231103000;7.547207;57.943567;2018-12-02 20:36:00;16.1;268.8;265.0;0;1;g
231103000;7.54008;57.943543;2018-12-02 20:37:00;11.8;273.7;270.0;0;1;g
231103000;7.53455;57.9438;2018-12-02 20:38:00;10.2;273.2;268.0;0;1;g
231103000;7.529224;57.9438;2018-12-02 20:39:00;10.0;269.6;265.0;0;1;g
231103000;7.523657;57.9437;2018-12-02 20:40:00;11.6;267.8;264.0;0;3;g
231103000;7.517196;57.9436;2018-12-02 20:41:00;12.9;266.6;262.0;0;1;g
231103000;7.510202;57.943375;2018-12-02 20:42:00;14.1;266.0;263.0;0;1;g
231103000;7.502765;57.9431;2018-12-02 20:43:00;14.8;266.2;262.0;0;1;g
231103000;7.494696;57.9428;2018-12-02 20:44:00;15.7;265.2;263.0;0;1;g
231103000;7.486427;57.942429;2018-12-02 20:45:00;15.9;264.9;262.0;0;1;g
231103000;7.477964;57.9421;2018-12-02 20:46:00;15.9;267.3;264.0;0;1;g
231103000;7.469884;57.9417;2018-12-02 20:47:00;15.9;263.1;260.0;0;1;g
231103000;7.461538;57.94122;2018-12-02 20:48:00;16.2;264.0;263.0;0;1;g
231103000;7.453408;57.941583;2018-12-02 20:49:00;15.7;283.3;282.0;0;1;g
231103000;7.445474;57.94258;2018-12-02 20:50:00;15.2;281.4;280.0;0;1;g
231103000;7.437722;57.943483;2018-12-02 20:51:00;15.3;282.0;280.0;0;1;g
231103000;7.43004;57.944371;2018-12-02 20:52:00;15.2;282.2;280.0;0;1;g
231103000;7.422356;57.945262;2018-12-02 20:53:00;15.1;281.7;281.0;0;1;g
231103000;7.414624;57.946136;2018-12-02 20:54:00;14.8;278.6;273.0;0;1;g
231103000;7.406945;57.9463;2018-12-02 20:55:00;15.0;266.7;261.0;0;1;g
231103000;7.398963;57.946;2018-12-02 20:56:00;15.8;266.2;263.0;0;1;g
231103000;7.391069;57.9457;2018-12-02 20:57:00;14.8;265.9;259.0;0;1;g
231103000;7.38334;57.9453;2018-12-02 20:58:00;14.8;263.9;258.0;0;1;g
231103000;7.375623;57.944767;2018-12-02 20:59:00;14.7;261.8;257.0;0;1;g
231103000;7.368076;57.9442;2018-12-02 21:00:00;14.7;261.6;256.0;0;1;g
257003700;7.47889;58.0186;2018-12-02 20:10:00;;;;;;
257003700;7.47889;58.0186;2018-12-02 20:11:00;;;;;;
257003700;7.47889;58.0186;2018-12-02 20:12:00;;;;;;
257003700;7.47889;58.0186;2018-12-02 20:13:00;;;;;;
257003700;7.478889;58.0186;2018-12-02 20:14:00;0.1;8.2;511;−99;18;g
257003700;7.478882;58.0186;2018-12-02 20:15:00;0.1;8.5;511;−99;18;g
257003700;7.478875;58.0186;2018-12-02 20:16:00;0.0;8.8;511;−99;18;g
257003700;7.478868;58.018594;2018-12-02 20:17:00;0.0;9.1;511;−99;18;g
257003700;7.478854;58.01856;2018-12-02 20:18:00;0.0;9.6;511;−99;18;g
257003700;7.478841;58.018526;2018-12-02 20:19:00;0.1;10.0;511;−99;18;g
257003700;7.478836;58.018507;2018-12-02 20:20:00;0.1;9.2;511;−99;18;g
257003700;7.478866;58.018541;2018-12-02 20:21:00;0.1;3.5;511;−99;18;g
257003700;7.478896;58.018574;2018-12-02 20:22:00;0.1;357.9;511;−99;18;g
257003700;7.478919;58.0186;2018-12-02 20:23:00;0.1;353.3;511;−99;18;g
257003700;7.478916;58.0186;2018-12-02 20:24:00;0.1;352.5;511;−99;18;g
257003700;7.478913;58.0186;2018-12-02 20:25:00;0.1;351.6;511;−99;18;g
257003700;7.478909;58.0186;2018-12-02 20:26:00;0.1;350.7;511;−99;18;g
257003700;7.478906;58.0186;2018-12-02 20:27:00;0.1;349.9;511;−99;18;g
257003700;7.478903;58.0186;2018-12-02 20:28:00;0.0;349.0;511;−99;18;g
257003700;7.478899;58.0186;2018-12-02 20:29:00;0.0;348.2;511;−99;18;g
257003700;7.478896;58.0186;2018-12-02 20:30:00;0.0;347.3;511;−99;18;g
257003700;7.478893;58.0186;2018-12-02 20:31:00;0.0;346.4;511;−99;18;g
257003700;7.478887;58.0186;2018-12-02 20:32:00;0.0;343.3;511;−99;18;g
257003700;7.478874;58.0186;2018-12-02 20:33:00;0.0;331.1;511;−99;18;g
257003700;7.478861;58.0186;2018-12-02 20:34:00;0.1;318.8;511;−99;18;g
257003700;7.478851;58.0186;2018-12-02 20:35:00;0.1;308.0;511;−99;18;g
257003700;7.478857;58.0186;2018-12-02 20:36:00;0.1;302.3;511;−99;18;g
257003700;7.478863;58.0186;2018-12-02 20:37:00;0.1;296.7;511;−99;18;g
257003700;7.478869;58.0186;2018-12-02 20:38:00;0.1;291.0;511;−99;18;g
257003700;7.478875;58.0186;2018-12-02 20:39:00;0.1;285.3;511;−99;18;g
257003700;7.478881;58.0186;2018-12-02 20:40:00;0.1;279.6;511;−99;18;g
257003700;7.478887;58.0186;2018-12-02 20:41:00;0.1;274.0;511;−99;18;g
257003700;7.478893;58.0186;2018-12-02 20:42:00;0.1;268.3;511;−99;18;g
257003700;7.478899;58.0186;2018-12-02 20:43:00;0.0;262.6;511;−99;18;g
257003700;7.478905;58.0186;2018-12-02 20:44:00;0.0;256.9;511;−99;18;g
