mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,HO,CR_SS,CR_PS,OT_ing,OT_en,priority_lower,priority_similar,priority_higher
248375000,22267.4,17389,680,0.97976,0.9901,9.88341e-06,0,0,1,0,0,0.050498,0.899333,0.0501689
257787000,15855.9,20039.1,680,0.980219,0.98998,3.97608e-05,0,1,0,0,0,0.0518176,0.897938,0.050244
248375000,22123.6,17162,740,0.980675,0.9904,9.78636e-06,0,0,1,0,0,0.0498663,0.898836,0.0512976
257787000,15942,19680.8,740,0.979794,0.99012,1.3183e-05,0,1,0,0,0,0.0498846,0.900722,0.049393
248375000,21984.7,16941.1,800,0.980097,0.98969,9.67263e-06,0,0,1,0,0,0.0498103,0.900339,0.0498509
257787000,16023.9,19318.9,800,0.979939,0.98965,5.2421e-06,0,1,0,0,0,0.0499733,0.900097,0.0499298
248375000,21842.5,16717.2,860,0.980943,0.98951,0,0,0,1,0,0,0.0507806,0.899241,0.0499789
257787000,16112,18959.9,860,0.97998,0.98983,1.2053e-05,0,1,0,0,0,0.0505649,0.899914,0.0495208
248375000,21698.9,16490.3,920,0.979775,0.98968,1.9112e-05,0,0,1,0,0,0.0492319,0.901323,0.0494455
257787000,16187.5,18608.2,920,0.979912,0.99063,8.26051e-06,0,1,0,0,0,0.0505874,0.899454,0.0499588
248375000,21557.2,16269.4,980,0.979843,0.99011,2.83346e-05,0,0,1,0,0,0.0497012,0.900135,0.0501637
257787000,16272.7,18234.6,980,0.979525,0.99003,1.64263e-05,0,1,0,0,0,0.048841,0.900849,0.0503104
248375000,21414.6,16034.3,1040,0.980379,0.98979,1.88804e-05,0,0,1,0,0,0.0497442,0.900292,0.0499642
257787000,16351.2,17880.7,1040,0.980136,0.98944,9.76326e-06,0,1,0,0,0,0.0509344,0.899098,0.049968
248375000,21273.4,15814.4,1100,0.979865,0.99005,0,0,0,1,0,0,0.0493314,0.901566,0.0491027
257787000,16439,17510.9,1100,0.980224,0.98972,1.55335e-05,0,1,0,0,0,0.0484636,0.901016,0.0505204
248375000,21130.5,15589.9,1160,0.980001,0.98988,9.22299e-06,0,0,1,0,0,0.0495713,0.899722,0.0507068
257787000,16518.1,17143.5,1160,0.980688,0.99,2.0583e-06,0,1,0,0,0,0.0499515,0.901617,0.0484319
248375000,20982.5,15351.5,1220,0.979767,0.99021,9.13123e-06,0,0,1,0,0,0.0511576,0.898431,0.0504119
257787000,16601.6,16774.2,1220,0.97987,0.98978,1.14681e-05,0,1,0,0,0,0.0500011,0.899474,0.0505252
248375000,20838.5,15120.4,1280,0.979843,0.99038,0,0,0,1,0,0,0.0510659,0.899373,0.0495613
257787000,16682.3,16397.4,1280,0.978986,0.99036,5.21044e-06,0,1,0,0,0,0.0489713,0.902281,0.0487475
248375000,20693.5,14892.5,1340,0.980268,0.99064,2.67728e-05,0,0,1,0,0,0.0489066,0.901482,0.0496115
257787000,16765.6,16032.8,1340,0.980478,0.99047,1.29179e-05,0,1,0,0,0,0.0489951,0.901849,0.0491558
248375000,20552.1,14674.3,1400,0.979464,0.99004,8.82072e-06,0,0,1,0,0,0.0494016,0.899894,0.0507045
257787000,16847,15662.6,1400,0.980617,0.99026,8.83495e-06,0,1,0,0,0,0.0518031,0.897762,0.0504352
248375000,20405.2,14455.9,1460,0.979457,0.99012,1.74354e-05,0,0,1,0,0,0.0503184,0.899684,0.049998
257787000,16928.7,15305.1,1460,0.980046,0.99003,7.31666e-06,0,1,0,0,0,0.0492173,0.900747,0.050036
248375000,20263.6,14235.1,1520,0.979912,0.98976,8.51435e-06,0,0,1,0,0,0.0507546,0.898753,0.0504928
257787000,17006.6,14943.9,1520,0.968134,0.98979,2.86019e-05,0,1,0,0,0,0.0485154,0.869091,0.0823935
248375000,20115,14008.2,1580,0.980493,0.99045,0,0,0,1,0,0,0.0494324,0.899906,0.0506612
257787000,17085,14582.3,1580,0.967718,0.99002,1.98207e-05,0,1,0,0,0,0.0479793,0.871011,0.0810093
248375000,19972.8,13787.4,1640,0.980071,0.99003,1.68328e-05,0,0,1,0,0,0.0499135,0.900545,0.0495417
257787000,17158.9,14220.1,1640,0.96848,0.99003,1.96788e-05,0,1,0,0,0,0.0485372,0.87104,0.0804231
248375000,19829.6,13563.9,1700,0.979804,0.99004,1.69194e-05,0,0,1,0,0,0.0494918,0.899491,0.0510176
257787000,17230.6,13863.1,1700,0.967566,0.99005,1.27638e-05,0,1,0,0,0,0.0484109,0.870812,0.0807769
248375000,19682.3,13336.7,1760,0.980151,0.98995,8.31798e-06,0,0,1,0,0,0.0496048,0.899929,0.0504658
257787000,17304.8,13501.2,1760,0.968011,0.99008,1.8259e-05,0,1,0,0,0,0.0482814,0.869823,0.0818958
248375000,19543,13115.9,1820,0.980185,0.98996,8.29751e-06,0,0,1,0,0,0.0503372,0.899829,0.0498343
257787000,17383.2,13128.2,1820,0.968609,0.9902,1.46173e-05,0,1,0,0,0,0.0492884,0.870548,0.0801634
248375000,19395.8,12889,1880,0.980887,0.99034,1.6364e-05,0,0,1,0,0,0.0500144,0.898767,0.0512188
257787000,17461.9,12773.1,1880,0.967426,0.99051,1.31089e-05,0,1,0,0,0,0.049198,0.872395,0.0784074
248375000,19236.7,12685.2,1940,0.980207,0.99081,0,0,0,1,0,0,0.0500422,0.90044,0.0495174
257787000,17541.3,12415.7,1940,0.968669,0.98976,1.47562e-05,0,1,0,0,0,0.0483355,0.87225,0.079414
248375000,19020.6,12549.6,2000,0.706901,0.99004,0.000125482,0,0,1,0,0,0.720627,0.267017,0.0123558
257787000,17619.9,12062.8,2000,0.720359,0.99046,0.000150758,0,1,0,0,0,0.011623,0.252904,0.735473
248375000,18805.7,12417.3,2060,0.711299,0.989643,0.000150917,0,0,1,0,0,0.725508,0.262654,0.0118384
257787000,17700.9,11701.3,2060,0.714962,0.98976,0.00011233,0,1,0,0,0,0.0141463,0.255563,0.730291
248375000,18556.6,12309.2,2120,0.717425,0.989995,0.000128347,0,0,1,0,0,0.731846,0.255174,0.0129803
257787000,17782.2,11359.9,2120,0.723058,0.98961,0.00016889,0,1,0,0,0,0.0124558,0.24965,0.737894
248375000,18352.8,12142.4,2180,0.703477,0.0151224,0.0152609,0,0,1,0,0,0.706053,0.293761,0.00018591
257787000,17862.7,10994,2180,0.649945,0.99019,0.000123865,0,1,0,0,0,0,0.337497,0.662503
248375000,18176.9,11919.6,2240,0.748995,0.0146591,0.0148103,0,0,1,0,0,0.750377,0.236468,0.0131551
257787000,17950.3,10634.4,2240,0.826641,0.99,0.000240906,0,1,0,0,0,0,0.156624,0.843376
248375000,18017.6,11678.7,2300,0.705451,0.0132116,0.0133498,0,0,1,0,0,0.706716,0.286479,0.00680489
257787000,18047.1,10270.5,2300,0.619791,0.99022,6.27265e-06,0,1,0,0,0,0.144992,0.222445,0.632562
248375000,17854.1,11436.5,2360,0.681317,0.012274,0.0124115,0,0,1,0,0,0.683688,0.287454,0.0288578
257787000,18141.6,9899.8,2360,0.870766,0.99061,9.90942e-05,0,1,0,0,0,0,0.11111,0.88889
248375000,17690.4,11184.8,2420,0.721882,0.012973,0.0131186,0,0,1,0,0,0.72432,0.25017,0.0255099
257787000,18240.9,9533.18,2420,0.734057,0.98997,0.000189852,0,1,0,0,0,0.000107533,0.251138,0.748755
248375000,17535.5,10942.2,2480,0.70333,0.0129826,0.0131244,0,0,1,0,0,0.704323,0.277722,0.0179545
257787000,18347.3,9172.06,2480,0.869068,0.98973,8.64343e-06,0,1,0,0,0,0,0.114221,0.885779
248375000,17384.4,10681.5,2540,0.968054,0.0150543,0.0152515,0,0,1,0,0,0.985758,0.0142355,6.59276e-06
257787000,18455.3,8803.61,2540,0.748454,0.99037,0.000175358,0,1,0,0,0,0.0986698,0.137345,0.763986
248375000,17240.7,10428.3,2600,0.983526,0.01684,0.0170173,0,0,1,0,0,0.983902,0.016089,9.07393e-06
257787000,18561.8,8443.28,2600,0.428795,0.98989,4.65092e-05,0,1,0,0,0,0,0.562238,0.437762
248375000,17089.2,10167.1,2660,0.989256,0.019561,0.0197458,0,0,1,0,0,0.981239,0.0141156,0.00464527
257787000,18669.8,8082.52,2660,0.981013,0.98986,9.76378e-06,0,1,0,0,0,0,0,1
248375000,16940.9,9913.6,2720,0.970834,0.0115604,0.0117789,0,0,1,0,0,0.989307,0.00804323,0.00264935
257787000,18786.2,7710.33,2720,0.856131,0.98983,8.32026e-06,0,1,0,0,0,0,0.126078,0.873922
248375000,16795.5,9645.64,2780,0.97812,0.0217028,0.0218823,0,0,1,0,0,0.97904,0.0163205,0.00463968
257787000,18899.1,7337.01,2780,0.979698,0.99019,0.000120898,0,1,0,0,0,5.53152e-05,5.53152e-05,0.999889
248375000,16645,9373.3,2840,0.990752,0.0274433,0.0276001,0,0,1,0,0,0.973284,0.026708,7.69506e-06
257787000,19004.4,6971.57,2840,0.616039,0.99009,0.000406868,0,1,0,0,0,0,0.37172,0.62828
248375000,16501.3,9109.04,2900,0.971609,0.0204657,0.0206279,0,0,1,0,0,0.980176,0.0198182,5.7514e-06
257787000,19115.2,6599.36,2900,0.606973,0.98966,7.33095e-05,0,1,0,0,0,0,0.381135,0.618865
248375000,16360.3,8825.63,2960,0.999973,0.0254439,0.0256758,0,0,1,0,0,0.975539,0.0244498,1.13759e-05
257787000,19228.8,6237.2,2960,0.98146,0.98994,0.00055564,0,1,0,0,0,0,0.000546015,0.999454
248375000,16222.4,8561.41,3020,0.999965,0.0925192,0.0929149,0,0,1,0,0,0.908533,0.0914673,0
257787000,19339.8,5865,3020,0.979791,0.98984,0.00022253,0,1,0,0,0,3.17524e-05,0.000180899,0.999787
248375000,16080.4,8278,3080,0.980319,0,1,0,0,1,0,0,1,0,0
257787000,19445.2,5494.78,3080,0.749334,0.99012,0.000195037,0,1,0,0,0,2.41993e-05,0.234736,0.765239
248375000,15943.1,8014.02,3140,0.980138,0,1,0,0,1,0,0,1,0,0
257787000,19554.4,5122.69,3140,0.702888,0.99031,7.1883e-05,0,1,0,0,0,0,0.282214,0.717786
248375000,15798.4,7741.54,3200,0.980498,0,1,0,0,1,0,0,1,0,0
257787000,19660.4,4757.27,3200,0.842486,0.99004,0.000167976,0,1,0,0,0,0,0.140453,0.859547
248375000,15665.6,7466.89,3260,0.979591,0,1,0,0,1,0,0,1,0,0
257787000,19764.8,4376.9,3260,0.97965,0.9905,0.000235188,0,1,0,0,0,0,0.000225182,0.999775
248375000,15530,7198.47,3320,0.979371,0,1,0,0,1,0,0,1,0,0
257787000,19871.3,3992.54,3320,0.597053,0.98975,0.000126576,0,1,0,0,0,2.91351e-05,0.390992,0.608979
248375000,15399.6,6914.71,3380,0.979433,0,1,0,0,1,0,0,1,0,0
257787000,19970.4,3627.31,3380,0.980166,0.98982,0.00015157,0,1,0,0,0,0,0.000141434,0.999859
248375000,15270,6649.57,3440,0.98018,0,1,0,0,1,0,0,1,0,0
257787000,20073.8,3248.74,3440,0.836256,0.98985,0.000124499,0,1,0,0,0,1.49962e-05,0.14713,0.852855
248375000,15132.3,6378.37,3500,0.980481,0,1,0,0,1,0,0,1,0,0
257787000,20172.2,2872.59,3500,0.645497,0.98976,0.000122961,0,1,0,0,0,0,0.341208,0.658792
248375000,14994.9,6124.13,3560,0.979898,0,1,0,0,1,0,0,1,0,0
257787000,20266.7,2500.31,3560,0.719874,0.98961,0.000156277,0,1,0,0,0,0.132686,0.132774,0.73454
