mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,is_changing_course,start
211237730,24416.9,-560.67,5460,0.990377,0.98992,0.000162645,0,0,0,0,1,0,0,0,0.0499063,0.899268,0.0508259,0.276324,0.276324,0,0
261146000,31764.8,5705.41,5460,0.990492,0.99035,7.04364e-05,0,0,0,1,0,0,0,0,0.050608,0.899551,0.0498406,0.280105,0.280105,1,0
211237730,24570.4,-651.766,5520,0.983047,0.99005,0.000142437,1,0,0,0,1,0,0,0,0.0471938,0.902836,0.0499704,0.00731522,0.00517781,1,0
261146000,31633.2,5629.99,5520,0.983543,0.99005,0.000256689,1,0,0,1,0,0,0,0,0.0518903,0.899321,0.0487888,0.00701041,0.00458542,1,0
211237730,24724.3,-763.354,5580,0.981285,0.98959,0.00017175,1,0,0,0,1,0,0,0,0.0513534,0.900207,0.0484398,0.00895323,0.00532566,0,0
261146000,31490.3,5556.6,5580,0.983186,0.99001,0.000205559,1,0,0,1,0,0,0,0,0.0472668,0.905084,0.0476492,0.111897,0.108346,1,0
211237730,24915.7,-843.403,5640,0.981575,0.98988,0.000261839,1,0,0,0,1,0,0,0,0.0482611,0.90228,0.0494594,0.065336,0.0612801,1,0
261146000,31357.5,5465.7,5640,0.980087,0.99035,0.000211629,1,0,0,1,0,0,0,0,0.0504442,0.899479,0.0500766,0.00990973,0.00555697,1,0
211237730,25080.7,-875.902,5700,0.990056,0.990372,0.000207794,1,1,0,0,1,0,0,0,0.0469643,0.904061,0.0489749,0.000218572,0.000118407,1,0
261146000,31211.9,5375.29,5700,0.980303,0.98952,0.000216151,1,0,0,1,0,0,0,0,0.0497808,0.902011,0.0482084,0.0387735,0.0342585,1,0
211237730,25228.5,-907.151,5760,0.989907,0.990111,0.000203529,1,1,0,0,1,0,0,0,0.051092,0.899535,0.0493729,0.000253083,0.00011646,1,0
261146000,31075.2,5275.04,5760,0.989803,0.989951,0.00020063,1,1,0,1,0,0,0,0,0.0466321,0.902959,0.050409,0.000212105,0.00010918,1,0
211237730,25403.7,-957.457,5820,0.990106,0.987508,0.000201671,1,1,0,0,1,0,0,0,0.0467312,0.90055,0.0527185,0.000211192,0.000119072,1,0
261146000,30942.1,5181.74,5820,0.989926,0.988988,0.000212139,1,1,0,1,0,0,0,0,0.0514316,0.898612,0.0499564,0.00776761,0.00766156,1,0
211237730,25593.1,-1001.5,5880,0.990121,0.988454,0.000208605,1,1,0,0,1,0,0,0,0.0509952,0.903763,0.0452415,0.000422865,0.0003256,0,0
261146000,30813.9,5095.21,5880,0.989897,0.988632,0.000213055,1,1,0,1,0,0,0,0,0.0459283,0.901324,0.0527481,0.0100693,0.00657272,1,0
211237730,25767.6,-1052.51,5940,0.989523,0.987514,0.00021532,1,1,1,0,1,0,0,0,0.0511998,0.894909,0.0538911,0.000227995,0.000110494,1,0
261146000,30696.9,5000.75,5940,0.990099,0.988708,0.000196754,1,1,0,1,0,0,0,0,0.0535624,0.898276,0.0481616,0.0131976,0.0077876,1,0
211237730,25956.2,-1098.51,6000,0.990395,0.990952,0.00021534,1,1,1,0,1,0,0,0,0.0402271,0.911909,0.0478639,0.000222809,0.000123441,1,0
261146000,30560.9,4909.34,6000,0.989717,0.990736,0.000217294,1,1,0,1,0,0,0,0,0.0521514,0.899804,0.0480441,0.0138878,0.00743156,1,0
211237730,26124.7,-1125.81,6060,0.989395,0.996615,0.000208601,1,1,0,0,1,0,0,0,0.062362,0.887601,0.050037,0.00025388,0.00015483,1,0
261146000,30439.8,4808.39,6060,0.989796,0.99249,0.000208,1,1,0,0,0,1,0,0,0.0376136,0.912684,0.0497024,0.000831965,0.000444908,1,0
211237730,26283.6,-1195.52,6120,0.988665,0.992027,0.000219081,1,1,0,0,1,0,0,0,0.0539908,0.907631,0.0383782,0.000200493,0.000145652,1,0
261146000,30302.5,4737.32,6120,0.989923,0.988978,0.000228915,1,1,0,0,0,1,0,0,0.0446272,0.903984,0.0513889,0.00113167,0.000643098,0,0
211237730,26464.9,-1248.3,6180,0.985735,0.999656,0.000237706,1,1,0,0,1,0,0,0,0.189392,0.776407,0.0342008,0.00012582,6.40575e-05,1,0
261146000,30182.5,4640.82,6180,0.99005,0.987816,0.000220774,1,1,0,1,0,0,0,0,0.029575,0.920698,0.0497267,0.000221773,0.000114208,1,0
211237730,26620,-1283.21,6240,0.991778,0.999999,0.000152254,1,1,0,0,1,0,0,0,7.02798e-06,0.958943,0.0410495,8.06818e-05,4.1884e-05,1,0
261146000,30063,4569.07,6240,0.989609,0.990893,0.00021873,1,1,0,0,0,1,0,0,0.0406449,0.905871,0.053484,0.000195472,0.000101585,1,0
211237730,26779.3,-1349.51,6300,0.990218,0.999998,0.000185003,1,1,0,0,1,0,0,0,0.41172,0.00994713,0.578333,9.84179e-05,5.13871e-05,1,0
261146000,29947,4488.44,6300,0.989611,0.990528,0.000213653,1,1,0,1,0,0,0,0,0.00604446,0.937291,0.0566649,0.000194402,0.000104022,1,0
211237730,26953.9,-1413.84,6360,0.014687,0.999833,0.0148374,1,1,0,0,1,0,0,0,0.000823564,0.998426,0.00075058,0.00792649,0.0041114,1,0
261146000,29834.9,4400.54,6360,0.989253,0.98347,0.000231095,1,1,0,0,0,1,0,0,0.0731939,0.862671,0.0641349,0.000223923,0.000105484,1,0
211237730,27111.9,-1444.75,6420,0.990143,0.988761,1,1,1,0,0,1,0,0,0,0.0524704,0.899786,0.0477432,0.536925,0.278946,0,0
261146000,29710.5,4318.54,6420,0.988434,0.992169,0.000232368,1,1,0,0,0,1,0,0,0.00107341,0.939016,0.0599103,0.000230433,9.21035e-05,0,0
211237730,27277.7,-1491.44,6480,0.990166,0.988922,1,1,1,1,0,1,0,0,0,0.0514936,0.900744,0.0477628,0.523533,0.274411,0,0
261146000,29612,4229.79,6480,0.987403,0.996862,0.000213806,1,1,0,0,0,1,0,0,1.06476e-05,0.958067,0.0419219,0.000253791,6.67497e-05,1,0
211237730,27458.2,-1537.17,6540,0.990069,0.990716,1,1,1,0,0,1,0,0,0,0.0469861,0.903859,0.0491546,0.542541,0.289343,1,0
261146000,29499.9,4159.49,6540,0.989489,0.994269,0.000291641,1,1,0,0,0,1,0,0,1.77118e-05,0.989687,0.0102949,0.000158805,8.43664e-05,1,0
211237730,27622.5,-1568.37,6600,0.989767,0.990918,1,1,1,0,0,1,0,0,0,0.0523669,0.89739,0.0502427,0.531539,0.272704,0,0
261146000,29396.5,4084.96,6600,0.921201,0.999991,0.000916859,1,1,0,0,0,1,0,0,5.87036e-05,0.437044,0.562898,0.000476306,0.000251799,1,0
211237730,27745,-1550.57,6660,0.990248,0.991534,1,1,1,0,0,1,0,0,0,0.054499,0.898484,0.0470165,0.5285,0.270381,1,0
261146000,29287.5,4011.2,6660,0.999649,0.999976,0.00221379,1,1,0,0,0,1,0,0,9.09393e-05,0.0401193,0.95979,0.00116985,0.00060794,0,0
