mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
219022165,-35550,-11937.9,180,0.9497,0.98002,0.00490707,0,0,0,0,0,1,0,0,0,0.0504841,0.89942,0.0500958,0.431258,0.431258,
244150372,-35664.5,-4943.49,180,0.950154,0.97976,0.0048108,0,0,0,0,1,0,0,0,0,0.0500044,0.899512,0.0504834,0.436077,0.436077,
219022165,-35607,-11648.5,240,0.950243,0.97999,0.00496335,0,0,0,0,0,1,0,0,0,0.0485186,0.9009,0.0505815,0.554246,0.474099,
244150372,-35571.2,-5106.66,240,0.950113,0.98025,0.00497257,0,0,0,0,1,0,0,0,0,0.0508378,0.89919,0.0499718,0.559078,0.477615,
219022165,-35652.6,-11360.2,300,0.950321,0.97976,0.00515399,0,0,0,0,0,1,0,0,0,0.0516167,0.896807,0.0515759,0.669252,0.57106,
244150372,-35474.8,-5270.98,300,0.950712,0.97848,0.00463393,0,0,0,0,1,0,0,0,0,0.0485217,0.901317,0.0501617,0.672707,0.573997,
219022165,-35708.1,-11077.9,360,0.949991,0.98063,0.00504376,0,0,0,0,0,0,1,0,0,0.0502168,0.899673,0.0501101,0.99486,0.992682,
244150372,-35442.1,-5456.05,360,0.95431,0.349936,0.172919,1,0,0,1,0,1,0,0,0,0.0529748,0.928866,0.0181588,0.814357,0.812686,
219022165,-35756.4,-10790.5,420,0.95001,0.97951,0.00487257,0,0,0,0,1,0,0,0,0,0.0488231,0.901395,0.0497815,0.995044,0.809736,
244150372,-35561.6,-5609.04,420,0.944971,0.351056,0.175443,1,0,0,1,0,1,0,0,0,0.0579118,0.92164,0.0204484,0.820046,0.661918,
219022165,-35833.8,-10507.1,480,0.873307,0.755302,0.664154,0,1,0,1,1,0,0,0,0,0.1827,0.771354,0.0459458,0.89056,0.890318,
244150372,-35728.4,-5680.69,480,0.945352,0.346653,0.167948,1,0,0,1,0,1,0,0,0,0.0581461,0.930761,0.0110925,0.997147,0.997147,
219022165,-35958.2,-10242.8,540,0.866153,0.702335,0.707608,0,1,0,1,1,0,0,0,0,0.236824,0.724169,0.039007,0.999805,0.999805,
244150372,-35855.5,-5810.48,540,0.944966,0.207495,0.210192,1,0,0,1,0,1,0,0,0,0.0488464,0.938281,0.0128724,0.998571,0.997746,
219022165,-36116,-9994.7,600,0.850497,0.752711,0.779744,0,1,0,0,1,0,0,0,0,0.149526,0.796488,0.0539852,0.999942,0.999935,
244150372,-35990.8,-5941.13,600,0.94831,0.253152,0.252367,1,0,0,0,0,1,0,0,0,0.0512182,0.93527,0.0135118,0.993736,0.990961,
219022165,-36269.5,-9754.03,660,0.797128,0.765897,0.84703,0,1,0,0,1,0,0,0,0,0.0556241,0.894198,0.0501778,0.999999,0.995961,
244150372,-36100.1,-6083.01,660,0.949875,0.25323,0.255954,1,0,0,1,0,1,0,0,0,0.0521237,0.934032,0.013844,0.997489,0.990623,
219022165,-36434.4,-9510.28,720,0.754961,0.82874,0.822862,0,1,0,0,1,0,0,0,0,0.162983,0.82517,0.0118466,0.999998,0.993833,
244150372,-36213.6,-6234.63,720,0.948723,0.251134,0.246151,1,0,0,0,0,1,0,0,0,0.0521358,0.934809,0.0130555,0.990039,0.982223,
219022165,-36602.2,-9265.43,780,0,0.320067,0.269613,0,1,0,0,1,0,0,0,0,0.0626065,0.85717,0.0802233,0.999992,0.966472,
244150372,-36326.6,-6386.09,780,0.945358,0.25071,0.255848,1,0,0,0,0,1,0,0,0,0.0573668,0.925947,0.0166866,0.999984,0.998779,
