mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
255805883,14531.9,83344.7,2340,0.979886,0.99906,0.000985236,0,0,0,0,0,1,0,0,0,0.0507331,0.898718,0.0505487,0.987799,0.987799
259490000,13795.5,97767.6,2340,0.97955,0.99908,0.00101,0,0,0,1,1,0,0,0,0,0.04998,0.89942,0.0506,0.98795,0.98795
255805883,14748.4,83734.9,2400,0.979891,0.99892,0.00105775,0,0,0,0,0,1,0,0,0,0.0496691,0.898904,0.0514267,0.999788,0.999717
259490000,14079.6,97229.1,2400,0.841894,0.99911,0.0178725,0,1,1,1,1,0,0,0,0,0.837109,0.153828,0.00906338,0.994538,0.994427
255805883,14960.3,84131.9,2460,0.978799,0.99905,0.00112462,0,0,0,0,0,1,0,0,0,0.0502766,0.895574,0.054149,0.99985,0.982066
259490000,14271,96606.4,2460,0.841562,0.99897,0.0145708,0,1,1,1,1,0,0,0,0,0.843916,0.147646,0.008438,0.999345,0.981198
255805883,15156.6,84536.7,2520,0.974798,0.9989,0.00139619,0,0,0,0,0,1,0,0,0,0.0488302,0.886108,0.0650618,0.999799,0.995462
259490000,14457.5,95946.8,2520,0.105379,0.99908,0.10733,0,1,1,0,1,0,0,0,0,0.0746532,0.880312,0.0450345,0.999775,0.995415
255805883,15374.4,84933.4,2580,0.97265,0.99909,0.0014321,0,0,0,0,0,1,0,0,0,0.0493531,0.876005,0.0746421,0.999843,0.988223
259490000,14652.6,95282.1,2580,0,0.99916,0.00206045,0,1,1,0,1,0,0,0,0,0.0832576,0.868162,0.0485808,0.999608,0.987442
255805883,15598.2,85339.2,2640,0.970467,0.99897,0.00154352,0,0,0,0,0,1,0,0,0,0.047146,0.875762,0.0770923,0.99983,0.973959
259490000,14847,94616.3,2640,0,0.99901,0.00212401,0,1,1,0,1,0,0,0,0,0.0824914,0.870078,0.0474305,0.999824,0.972966
255805883,15761.2,85745.3,2700,0.971484,0.99901,0.00144907,0,0,0,1,0,1,0,0,0,0.049217,0.874412,0.0763711,0.999792,0.998113
259490000,15058.6,93938.2,2700,0,0.99902,0.00213836,0,1,1,0,1,0,0,0,0,0.077239,0.872756,0.0500054,0.999879,0.998279
255805883,15838.5,86167.6,2760,0.967861,0.99893,0.00157972,1,0,0,1,0,1,0,0,0,0.0542043,0.944097,0.00169879,0.999948,0.987436
259490000,15271,93249.7,2760,0,0.734201,0.697036,0,1,1,0,1,0,0,0,0,0.0573671,0.888329,0.0543038,0.962082,0.935357
255805883,15891.9,86580.8,2820,0.968708,0.99924,0.00157011,1,0,0,1,0,1,0,0,0,0.0531066,0.945264,0.00162965,0.999883,0.65793
259490000,15553,92588.7,2820,0,0.794873,0.708214,0,1,1,1,1,0,0,0,0,0.0349827,0.888534,0.0764831,0.912611,0.587549
255805883,15912.3,87013.2,2880,0.969383,0.99884,0.0015966,1,0,0,0,0,1,0,0,0,0.0518043,0.946732,0.00146362,0.999918,0.658123
259490000,15931.8,91938,2880,0,0.99908,1,0,1,1,0,1,0,0,0,0,0.049891,0.900028,0.0500815,0.999931,0.657624
255805883,15942.7,87437.8,2940,0.969531,0.99901,0.00168261,1,0,0,0,0,1,0,0,0,0.053413,0.945139,0.00144846,0.999941,0.75585
259490000,16292.1,91285.8,2940,0,0.45327,0.453677,0,1,1,0,1,0,0,0,0,0.022689,0.954972,0.0223391,0.999995,0.889108
255805883,15983.8,87875,3000,0.969685,0.99897,0.00170875,1,0,0,1,0,1,0,0,0,0.0525038,0.945913,0.00158285,0.999929,0.802187
259490000,16670.6,90610.1,3000,0,0.998932,1,0,1,1,0,1,0,0,0,0,0.0502948,0.898939,0.0507665,0.999967,0.800108
255805883,16083.3,88312.6,3060,0.969395,0.99891,0.00169406,1,0,0,1,0,1,0,0,0,0.0513858,0.947162,0.0014523,0.999951,0.873189
259490000,17019.9,89952.4,3060,0,0.999038,1,0,1,1,0,1,0,0,0,0,0.0491037,0.901594,0.049302,0.999963,0.875409
255805883,16242.8,88733.1,3120,0.968905,0.99893,0.00167632,1,0,0,1,0,1,0,0,0,0.0509168,0.947422,0.00166158,0.999934,0.905558
259490000,17381.8,89278.2,3120,0,0.99918,1,0,1,1,0,1,0,0,0,0,0.050301,0.899553,0.0501465,0.999989,0.90229
255805883,16471.3,89116.5,3180,0.969763,0.99894,0.00168018,1,0,0,1,0,1,0,0,0,0.0517935,0.947257,0.00095001,0.999998,0.906037
259490000,17750.9,88581.2,3180,0,0.999145,1,0,1,1,0,1,0,0,0,0,0.0501455,0.901492,0.0483629,0.999993,0.905626
255805883,16716.5,89503,3240,0.969796,0.99895,0.00167348,1,0,0,0,0,1,0,0,0,0.0510025,0.94771,0.00128747,0.999975,0.904507
259490000,18122.3,87900.7,3240,0,0.999082,1,0,1,1,0,1,0,0,0,0,0.0504531,0.899337,0.0502099,0.999978,0.903999
255805883,16966.3,89883.7,3300,0.969983,0.99886,0.00168056,1,0,0,0,0,1,0,0,0,0.0511603,0.94764,0.00120019,0.999977,0.907059
259490000,18489.9,87213.9,3300,0,0.998937,1,0,1,1,0,1,0,0,0,0,0.0491212,0.901158,0.0497212,0.999989,0.903264
255805883,17219.8,90260.6,3360,0.968902,0.99903,0.00169097,1,0,0,0,0,1,0,0,0,0.0509803,0.94735,0.00166996,0.999997,0.929438
259490000,18859.3,86518.2,3360,0,0.999196,1,0,1,1,0,1,0,0,0,0,0.0495992,0.900535,0.0498658,1,0.927543
255805883,17471,90636,3420,0.968966,0.99901,0.00169685,1,0,0,0,0,1,0,0,0,0.0544807,0.944089,0.00143053,1,0.926523
259490000,19223.4,85829.3,3420,0,0.99897,1,0,1,1,0,1,0,0,0,0,0.0501524,0.898689,0.0511586,0.999989,0.928202
255805883,17729.1,91019,3480,0.969276,0.99889,0.00169489,1,0,0,0,0,1,0,0,0,0.0512319,0.947577,0.0011909,1,0.929256
259490000,19598.3,85118.3,3480,0,0.998931,1,0,1,1,0,1,0,0,0,0,0.0498203,0.901047,0.0491324,1,0.929634
255805883,17984.8,91391.9,3540,0.96884,0.99902,0.00171372,1,0,0,0,0,1,0,0,0,0.0536661,0.944782,0.00155223,1,0.904645
259490000,19962.6,84431.7,3540,0,0.999065,1,0,1,1,0,1,0,0,0,0,0.0498546,0.901347,0.0487988,1,0.905802
255805883,18247.5,91776.3,3600,0.968562,0.99888,0.00168284,1,0,0,0,0,1,0,0,0,0.0508253,0.947482,0.00169291,0.999976,0.929651
259490000,20343.3,83720.5,3600,0,0.999117,1,0,1,1,0,1,0,0,0,0,0.0505564,0.899839,0.0496045,1,0.927955
255805883,18513.7,92153.9,3660,0.969459,0.99901,0.00169512,1,0,0,0,0,1,0,0,0,0.0521585,0.946287,0.00155461,0.999981,0.930052
259490000,20707.7,83019.3,3660,0,0.999077,1,0,1,1,0,1,0,0,0,0,0.0504086,0.899608,0.0499832,1,0.929092
255805883,18776.3,92528.8,3720,0.968903,0.99903,0.00169704,1,0,0,0,0,1,0,0,0,0.0535459,0.944898,0.00155647,0.999981,0.92837
259490000,21058.3,82326.9,3720,0,0.998948,1,0,1,1,0,1,0,0,0,0,0.0498288,0.900227,0.049944,1,0.929908
255805883,19037.5,92909.8,3780,0.968826,0.99903,0.00171377,1,0,0,0,0,1,0,0,0,0.0531784,0.945059,0.00176223,1,0.929161
259490000,21432.9,81612.7,3780,0,0.998937,1,0,1,1,0,1,0,0,0,0,0.0497409,0.899251,0.0510083,0.999989,0.929437
255805883,19273,93297.5,3840,0.968431,0.99889,0.00179724,1,0,0,0,0,1,0,0,0,0.0542298,0.943977,0.00179334,1,0.982528
259490000,21800.8,80890.8,3840,0,0.999011,1,0,1,1,0,1,0,0,0,0,0.0495749,0.900347,0.050078,1,0.981602
255805883,19505.6,93695,3900,0.968841,0.99902,0.00183263,1,0,0,0,0,1,0,0,0,0.0525663,0.94577,0.00166365,1,0.982925
259490000,22169.2,80185,3900,0,0.999032,1,0,1,1,0,1,0,0,0,0,0.0499086,0.900747,0.0493443,1,0.982202
