mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
211200040,4880.37,13777.1,120,0.98063,0.97986,0.00989,0,0,0,1,0,0,1,0,0,0.04882,0.90001,0.05117,0.99831,0.99831,0
259351000,6442.35,6197.6,120,0.979689,0.98028,0.0101501,0,0,0,0,0,0,1,0,0,0.0502327,0.89976,0.0500071,0.998332,0.998332,0
211200040,4895.66,13557.9,180,0.980327,0.97982,0.0107351,0,0,0,1,0,0,1,0,0,0.0530024,0.945958,0.00103923,0.999624,0.999552,0
259351000,6427.84,6390.15,180,0.980106,0.98069,0.010362,0,0,0,0,0,0,1,0,0,0.0493946,0.900814,0.0497918,0.99981,0.99981,0
211200040,4924.11,13342.1,240,0.979696,0.98047,0.0110362,0,0,0,1,0,0,1,0,0,0.0501696,0.948522,0.00130843,0.999714,0.975242,0
259351000,6420.68,6576.95,240,0.9551,0.98021,0.0224557,0,0,0,0,0,0,1,0,0,0.0462358,0.840538,0.113227,0.999908,0.974332,1
211200040,4967.58,13149.5,300,0.980228,0.97931,0.00995594,0,0,0,0,0,0,1,0,0,0.048912,0.900027,0.0510611,0.992341,0.992341,0
259351000,6409.86,6767.36,300,0.955808,0.9804,0.0224933,0,0,0,0,0,0,1,0,0,0.0462061,0.843518,0.110276,0.999436,0.992435,0
211200040,5021.79,12968.8,360,0.980486,0.97962,0.0100611,0,0,0,1,0,0,1,0,0,0.051266,0.899928,0.0488058,0.999559,0.999429,0
259351000,6399.03,6947.59,360,0.956456,0.97982,0.0226001,0,0,0,0,0,0,1,0,0,0.0447254,0.843599,0.111675,0.999701,0.999173,0
211200040,5065.74,12780.9,420,0.979373,0.9804,0.0101267,0,0,0,0,0,0,1,0,0,0.0505642,0.898047,0.0513883,0.99993,0.9999,0
259351000,6377.07,7125.18,420,0.955392,0.9794,0.0225491,0,0,0,0,0,0,1,0,0,0.0478223,0.840333,0.111844,0.999918,0.9999,0
211200040,5087.43,12598.7,480,0.979432,0.97953,0.010701,1,0,0,1,0,0,1,0,0,0.0514617,0.946965,0.00157343,0.999938,0.929895,0
259351000,6355.12,7307.33,480,0.954903,0.97955,0.0222815,0,0,0,0,0,0,1,0,0,0.0450597,0.843076,0.111864,0.999922,0.932874,0
211200040,5109.45,12408.5,540,0.979362,0.9805,0.0106103,1,0,0,1,0,0,1,0,0,0.0526829,0.946077,0.00124011,0.999883,0.974979,0
259351000,6330.72,7482.15,540,0.955817,0.97994,0.022348,0,0,0,0,0,0,1,0,0,0.0460614,0.84591,0.108029,0.999969,0.976837,0
211200040,5120.38,12197.3,600,0.977625,0.98055,0.0114006,1,0,0,0,0,0,1,0,0,0.0530849,0.945323,0.00159202,0.99995,0.976045,0
259351000,6307.89,7662.41,600,0.956818,0.97974,0.0216168,0,0,0,0,0,0,1,0,0,0.0468062,0.847498,0.105696,0.999968,0.975967,0
211200040,5119.31,11987.5,660,0.330822,0.97994,0.334314,1,0,0,0,0,0,1,0,0,0.0518527,0.897615,0.0505319,0.996603,0.961626,0
259351000,6278.17,7845.47,660,0.957259,0.98072,0.0211572,0,0,0,0,0,0,1,0,0,0.0464362,0.846301,0.107263,0.999966,0.964831,0
211200040,5140.59,11765.6,720,0.332198,0.98067,0.337523,1,0,0,0,0,0,1,0,0,0.0497805,0.899957,0.0502623,0.998557,0.950427,0
259351000,6267.4,8030.86,720,0.957778,0.98072,0.0215137,0,0,0,1,0,0,1,0,0,0.0455246,0.845432,0.109044,0.99992,0.951218,0
211200040,5162.24,11549.9,780,0.329764,0.97897,0.335083,1,0,1,1,0,0,1,0,0,0.0508658,0.903396,0.0457386,0.998441,0.993731,0
259351000,6245.5,8215.51,780,0.957854,0.98048,0.01213202,0,0,0,1,0,0,1,0,0,0.0491817,0.843501,0.107317,0.999863,0.995521,0
211200040,5172.77,11339.7,840,0.331355,0.97977,0.335794,1,0,0,1,0,0,1,0,0,0.0504135,0.900539,0.0490478,0.997651,0.980859,0
259351000,6223.61,8400.04,840,0.953008,0.98009,0.01235344,0,0,0,0,0,0,1,0,0,0.0477218,0.83472,0.117558,0.999948,0.98305,0
211200040,5172.16,11122.3,900,0.338303,0.98021,0.340452,1,0,0,1,0,0,1,0,0,0.0485728,0.902286,0.0491415,0.995292,0.969111,0
259351000,6201.72,8581.14,900,0.942123,0.98035,0.01294271,0,0,0,0,0,0,1,0,0,0.0419597,0.812987,0.145053,0.99989,0.974362,0
211200040,5171.54,10895.3,960,0.336021,0.98001,0.339346,1,0,0,1,0,0,1,0,0,0.050199,0.902709,0.0470918,0.99659,0.931187,0
259351000,6179.84,8765.43,960,0.937156,0.97972,0.01318539,0,0,0,0,0,0,1,0,0,0.0418653,0.804309,0.153826,1,0.932847,0
211200040,5170.94,10672.4,1020,0.334986,0.9808,0.33992,1,0,0,1,0,0,1,0,0,0.0509276,0.898842,0.0502309,0.998175,0.972825,0
259351000,6157.98,8950.68,1020,0.917268,0.97999,0.01397076,0,0,0,0,0,0,1,0,0,0.0319836,0.762712,0.205304,1,0.974936,0
211200040,5181.5,10452.5,1080,0.334429,0.97967,0.338006,1,0,0,1,0,0,1,0,0,0.0489673,0.8924,0.0586324,0.996748,0.94739,0
259351000,6124.98,9134.3,1080,0.840789,0.9813,0.0084531,0,0,0,0,0,0,1,0,0,0.0103097,0.546234,0.443456,1,0.947694,0
211200040,5197.79,10247.3,1140,0.338448,0.98026,0.344526,1,0,0,1,0,0,1,0,0,0.049429,0.905131,0.0454398,0.999067,0.981619,0
259351000,6100.12,9316.24,1140,0.750789,0.97961,0.00204841,0,0,0,0,0,0,1,0,0,0.0120261,0.418183,0.569791,0.999977,0.978206,0
211200040,5214.18,10034.9,1200,0.340273,0.98038,0.34695,1,0,0,0,0,0,1,0,0,0.047433,0.909502,0.0430653,0.999958,0.983117,0
259351000,6070.15,9502.81,1200,0.690256,0.97982,0.0042208,0,0,0,0,0,0,1,0,0,0.0157769,0.287242,0.71296981,1,0.994818,0
211200040,5246.71,9815.14,1260,0.328675,0.97999,0.335614,1,0,0,1,0,0,1,0,0,0.0527514,0.906793,0.0404553,0.999892,0.984075,0
259351000,6048.32,9689.85,1260,0.7458578,0.98068,0.00552871,0,0,0,0,0,0,1,0,0,0.0468542,0.2858613,0.70945323,0.99997,0.981603,0
211200040,5269.27,9610.48,1320,0.340669,0.98029,0.34105,1,0,0,1,0,0,1,0,0,0.0502783,0.906204,0.0435175,0.993391,0.976826,0
259351000,6023.15,9872.03,1320,0.7,0.98004,0.00967363,0,0,0,0,0,0,1,0,0,0.0464513,0.2905574,0.70479744,0.999752,0.982815,0
211200040,5323.71,9414.63,1380,0.338532,0.97992,0.338544,1,0,0,0,0,0,1,0,0,0.0481001,0.911632,0.0402682,0.993273,0.976142,0
259351000,5993.53,10053.9,1380,0.901153,0.98028,0.0190873,0,0,0,0,0,0,1,0,0,0.00453027,0.0893147,0.906155,1,0.97934,0
211200040,5355.89,9217.71,1440,0.332498,0.98067,0.339305,1,0,0,1,0,0,1,0,0,0.0511227,0.903371,0.0455063,0.999957,0.985007,0
259351000,5968.71,10237.2,1440,0.7,0.98049,0.0105064,0,0,0,0,0,0,1,0,0,0.0493967,0.2899018,0.70515851,0.999998,0.983883,0
211200040,5399.27,8995.61,1500,0.336155,0.98116,0.343013,1,0,0,1,0,0,1,0,0,0.0492276,0.902615,0.0481577,0.999979,0.988001,0
259351000,5936.33,10420,1500,0.7,0.97977,0.0104419,0,0,0,0,0,0,1,0,0,0.0472887,0.2899856,0.70528552,0.999998,0.989738,0
