mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
211200040,4880.37,13777.1,120,0.99519,0.99004,0.00181,0,0,0,1,0,0,1,0,0,0.05999,0.87986,0.06015,0.99841,0.99841,0
259351000,6442.35,6197.6,120,0.994629,0.99015,0.00207562,0,0,0,0,0,0,1,0,0,0.0596608,0.881382,0.0589576,0.998116,0.998116,0
211200040,4895.66,13557.9,180,0.994415,0.98998,0.00187426,0,0,0,1,0,0,1,0,0,0.0641533,0.935543,0.000304189,0.999673,0.999673,0
259351000,6427.84,6390.15,180,0.995238,0.98976,0.00207568,0,0,0,0,0,0,1,0,0,0.0612156,0.878529,0.060255,0.999761,0.999761,0
211200040,4924.11,13342.1,240,0.994941,0.98991,0.0021745,1,0,0,1,0,0,1,0,0,0.0647123,0.933228,0.00206007,0.97371,0.97371,0
259351000,6420.68,6576.95,240,0.995129,0.98975,0.00216319,0,0,0,0,0,0,1,0,0,0.0617084,0.877473,0.0608191,0.97514,0.97514,0
211200040,4967.58,13149.5,300,0.675458,0.98973,0.151845,0,0,0,0,0,0,1,0,0,0.0559331,0.885521,0.0585457,0.472606,0.472606,0
259351000,6409.86,6767.36,300,0.995019,0.98964,0.00188357,0,0,0,0,0,0,1,0,0,0.0605334,0.878762,0.0607044,0.992391,0.992391,0
211200040,5021.79,12968.8,360,0.9948,0.98943,0.00216,0,0,0,1,0,0,1,0,0,0.05982,0.88064,0.05954,0.99933,0.99933,0
259351000,6399.03,6947.59,360,0.995063,0.99014,0.00206695,0,0,0,0,0,0,1,0,0,0.0604576,0.879256,0.0602864,0.999375,0.999375,0
211200040,5065.74,12780.9,420,0.994458,0.98999,0.00255756,0,0,0,0,0,0,1,0,0,0.0639975,0.935673,0.000329288,0.999815,0.999815,1
259351000,6377.07,7125.18,420,0.994938,0.98973,0.00191183,0,0,0,0,0,0,1,0,0,0.0592683,0.880899,0.0598325,0.999894,0.999894,0
211200040,5087.43,12598.7,480,0.994407,0.99063,0.00228067,1,0,0,1,0,0,1,0,0,0.0641494,0.935508,0.000342869,0.999791,0.931515,0
259351000,6355.12,7307.33,480,0.994998,0.99003,0.0019052,0,0,0,0,0,0,1,0,0,0.061491,0.879095,0.0594137,0.999952,0.932459,0
211200040,5109.45,12408.5,540,0.994607,0.98983,0.00265974,1,0,0,1,0,0,1,0,0,0.0647842,0.934825,0.000390479,0.999906,0.975182,0
259351000,6330.72,7482.15,540,0.994756,0.99024,0.0019452,0,0,0,0,0,0,1,0,0,0.0595322,0.879495,0.0609729,0.999896,0.9751,0
211200040,5120.38,12197.3,600,0.300311,0.99017,0.283258,1,0,1,0,0,0,1,0,0,0.059301,0.898167,0.042532,0.981285,0.955797,0
259351000,6307.89,7662.41,600,0.994801,0.98973,0.0020814,0,0,0,0,0,0,1,0,0,0.0607894,0.877856,0.0613551,0.999906,0.974958,0
211200040,5119.31,11987.5,660,0.301439,0.9904,0.302999,1,0,1,0,0,0,1,0,0,0.0597279,0.909354,0.0309182,0.999958,0.964434,0
259351000,6278.17,7845.47,660,0.994838,0.99029,0.00209011,0,0,0,0,0,0,1,0,0,0.0607055,0.876723,0.0625717,0.999935,0.963947,0
211200040,5140.59,11765.6,720,0.308409,0.99003,0.30996,1,0,1,0,0,0,1,0,0,0.0672555,0.909968,0.0227762,0.999933,0.965814,0
259351000,6267.4,8030.86,720,0.994924,0.98972,0.00204785,0,0,0,1,0,0,1,0,0,0.0605533,0.875782,0.0636648,0.99992,0.949662,0
211200040,5162.24,11549.9,780,0.254531,0.98979,0.256228,1,0,1,1,0,0,1,0,0,0.0455418,0.93135,0.0231082,0.999916,0.9965,0
259351000,6245.5,8215.51,780,0.994272,0.98996,0.00234863,0,0,0,1,0,0,1,0,0,0.0607532,0.875969,0.0632783,0.999902,0.995354,0
211200040,5172.77,11339.7,840,0.27614,0.99079,0.277757,1,0,1,1,0,0,1,0,0,0.0772487,0.901122,0.0216289,0.999991,0.987532,0
259351000,6223.61,8400.04,840,0.988915,0.99028,0.00430647,0,0,0,0,0,0,1,0,0,0.0548146,0.807439,0.137747,0.99982,0.983564,0
211200040,5172.16,11122.3,900,0.294823,0.99012,0.296422,1,0,1,1,0,0,1,0,0,0.0433788,0.932488,0.024133,0.999934,0.983122,0
259351000,6201.72,8581.14,900,0.984216,0.98953,0.00610031,0,0,0,0,0,0,1,0,0,0.0500798,0.759588,0.190332,0.999675,0.975236,0
211200040,5171.54,10895.3,960,0.232062,0.99011,0.233792,1,0,1,1,0,0,1,0,0,0.0586708,0.912109,0.0292206,0.999918,0.934437,0
259351000,6179.84,8765.43,960,0.983341,0.98971,0.00734721,0,0,0,0,0,0,1,0,0,0.0494877,0.751152,0.19936,0.99986,0.930162,0
211200040,5170.94,10672.4,1020,0.289702,0.98972,0.291288,1,0,1,1,0,0,1,0,0,0.0605028,0.9145,0.0249968,0.999987,0.953358,0
259351000,6157.98,8950.68,1020,0.976947,0.99028,0.0103477,0,0,0,0,0,0,1,0,0,0.0417322,0.674664,0.283604,0.999559,0.975975,0
211200040,5181.5,10452.5,1080,0.26429,0.99068,0.265926,1,0,1,1,0,0,1,0,0,0.0537202,0.914904,0.0313761,0.999984,0.928456,0
259351000,6124.98,9134.3,1080,0.958735,0.98996,0.0174635,0,0,0,0,0,0,1,0,0,0.0210446,0.475946,0.50301,0.998618,0.950449,0
211200040,5197.79,10247.3,1140,0.361486,0.98971,0.36295,1,0,1,1,0,0,1,0,0,0.0636545,0.927938,0.00840742,0.999945,0.98928,0
259351000,6100.12,9316.24,1140,0.939913,0.98926,0.0221276,0,0,0,0,0,0,1,0,0,0.070543,0.194683,0.734774,0.999998,0.988045,0
211200040,5214.18,10034.9,1200,0.438025,0.98989,0.439265,1,0,1,0,0,0,1,0,0,0.0352239,0.93514,0.0296361,0.999935,0.976093,0
259351000,6070.15,9502.81,1200,0.936039,0.9902,0.079861,0,0,0,0,0,0,1,0,0,0.00387313,0.13323,0.862897,0.999991,0.986788,0
211200040,5246.71,9815.14,1260,0,0.9896,0.00222423,1,0,1,1,0,0,1,0,0,0.0614407,0.938541,1.8156e-05,0.999914,0.981913,0
259351000,6048.32,9689.85,1260,0.885672,0.99032,0.000222169,0,0,0,0,0,0,1,0,0,0.00694245,0.10041,0.892647,0.999979,0.99815,0
211200040,5269.27,9610.48,1320,0,0.99008,0.00227047,1,0,1,1,0,0,1,0,0,0.0638862,0.936028,8.61389e-05,1,0.983536,0
259351000,6023.15,9872.03,1320,0.938945,0.98959,0.000122243,0,0,0,0,0,0,1,0,0,0.00360495,0.0537085,0.942687,0.999986,0.998907,0
211200040,5323.71,9414.63,1380,0.458562,0.99017,0.459803,1,0,1,0,0,0,1,0,0,0.0339081,0.966036,5.63322e-05,0.999837,0.991173,0
259351000,5993.53,10053.9,1380,0.934436,0.98998,0.0266146,0,0,0,0,0,0,1,0,0,0.00366233,0.0578805,0.938457,1,0.998888,0
211200040,5355.89,9217.71,1440,0.275249,0.99048,0.27678,1,0,1,1,0,0,1,0,0,0.0428718,0.881286,0.0758425,0.999853,0.990582,0
259351000,5968.71,10237.2,1440,0.938314,0.9902,0.000116146,0,0,0,0,0,0,1,0,0,0.00369129,0.0541554,0.942153,1,0.998879,0
211200040,5399.27,8995.61,1500,0.296792,0.98958,0.2985,1,0,1,1,0,0,1,0,0,0.042937,0.956901,0.000161801,0.999829,0.991635,0
259351000,5936.33,10420,1500,0.946153,0.99042,0.000106645,0,0,0,0,0,0,1,0,0,0.00325128,0.0470974,0.949651,0.999983,0.999306,0
211200040,5438.08,8769.25,1560,0.254659,0.99006,0.25601,1,0,1,1,0,0,1,0,0,0.0374553,0.832312,0.130233,1,0.989281,0
259351000,5902.84,10602.4,1560,0.838458,0.99002,0.000341958,0,0,0,0,0,0,1,0,0,0.0101533,0.141259,0.848588,0.999976,0.997118,0
211200040,5466.54,8536.7,1620,0,0.98967,0.00238792,1,0,1,0,0,0,1,0,0,0.0595806,0.940325,9.4565e-05,1,0.99093,0
259351000,5861.77,10781.7,1620,0.944365,0.99033,0.000107098,0,0,0,0,0,0,1,0,0,0.00342241,0.048646,0.947932,1,0.999408,0
211200040,5538.83,8329.41,1680,0.325534,0.98943,0.327159,1,0,1,1,0,0,1,0,0,0.0398485,0.960051,0.000100723,1,0.982303,0
259351000,5828.85,10962.6,1680,0.930448,0.99036,0.000139179,0,0,0,0,0,0,1,0,0,0.00412817,0.0610845,0.934787,1,0.998126,0
211200040,5618.71,8123.06,1740,0.239557,0.994439,0.240782,1,1,1,1,0,0,1,0,0,0.0321558,0.716507,0.251337,1,0.954513,0
259351000,5804.59,11133.6,1740,0.947988,0.98957,0.0131128,0,0,0,0,0,0,1,0,0,0.00329804,0.0454447,0.951257,1,0.995178,0
211200040,5710.31,7924.51,1800,0.343529,0.993205,0.345146,1,1,1,1,0,0,1,0,0,0.0419209,0.957957,0.000122397,0.999765,0.993444,0
259351000,5774.12,11308,1800,0.939447,0.98964,0.000145939,0,0,0,0,0,0,1,0,0,0.00383973,0.0528715,0.943289,0.999981,0.999217,0
211200040,5786.23,7733.1,1860,0.480045,0.995651,0.481264,1,1,1,1,0,0,1,0,0,0.0392177,0.960707,7.4919e-05,1,0.714097,0
259351000,5749.9,11484.1,1860,0.94878,0.98938,0.000110639,0,0,0,0,0,0,1,0,0,0.00320946,0.0447601,0.95203,1,0.995456,0
211200040,5843.2,7532.26,1920,0.352197,0.991528,0.354043,1,1,1,1,0,0,1,0,0,0.0358261,0.964009,0.000165193,1,0.998439,0
