mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
219022165,-35550,-11937.9,180,0.979668,0.98998,8.54198e-06,0,1,0,0,0,0.0494387,0.901303,0.049258
244150372,-35664.5,-4943.49,180,0.980137,0.98948,9.2665e-06,1,0,0,0,0,0.0506952,0.897728,0.0515773
219022165,-35607,-11648.5,240,0.979449,0.98978,3.42288e-05,0,1,0,0,0,0.0503947,0.898854,0.0507512
244150372,-35571.2,-5106.66,240,0.980416,0.99006,9.26658e-06,1,0,0,0,0,0.0505862,0.899326,0.0500881
219022165,-35652.6,-11360.2,300,0.979447,0.99021,3.42803e-05,0,1,0,0,0,0.0504704,0.899693,0.0498366
244150372,-35474.8,-5270.98,300,0.980627,0.98935,1.85214e-05,1,0,0,0,0,0.0490689,0.900666,0.0502652
219022165,-35708.1,-11077.9,360,0.978122,0.98982,0,0,0,1,0,0,0.0489781,0.8936,0.0574216
244150372,-35442.1,-5456.05,360,0.984347,0.666082,0.0004453,0,1,0,0,0,0.0495257,0.909075,0.0413992
219022165,-35756.4,-10790.5,420,0.976791,0.99003,8.10875e-06,1,0,0,0,0,0.0489122,0.893151,0.0579367
244150372,-35561.6,-5609.04,420,0.833395,0.94138,0.00407185,0,1,0,0,0,0.0354265,0.881878,0.0826956
219022165,-35833.8,-10507.1,480,0.977306,0.99036,3.49339e-05,1,0,0,0,0,0.0490886,0.892024,0.0588875
244150372,-35728.4,-5680.69,480,0.797735,0.921829,0.00700604,0,1,0,0,0,0.00836631,0.981697,0.00993642
219022165,-35958.2,-10242.8,540,0.683001,0.98969,0.000353606,1,0,0,0,0,0.685787,0.297431,0.0167821
244150372,-35855.5,-5810.48,540,0.779416,0.746907,0.0209623,0,1,0,0,0,0.0572348,0.906498,0.0362675
219022165,-36116,-9994.7,600,0.676722,0.98997,0.000270293,1,0,0,0,0,0.684722,0.299271,0.0160074
244150372,-35990.8,-5941.13,600,0.737994,0.733541,0.0154374,0,1,0,0,0,0.012646,0.913937,0.0734167
219022165,-36269.5,-9754.03,660,0.676609,0.98995,0.000126274,1,0,0,0,0,0.690897,0.292258,0.0168457
244150372,-36100.1,-6083.01,660,0.24487,0.227521,0.051467,0,1,0,0,0,0.0478106,0.913992,0.0381978
219022165,-36434.4,-9510.28,720,0.680212,0.98976,6.16093e-05,1,0,0,0,0,0.694351,0.288626,0.0170226
244150372,-36213.6,-6234.63,720,0.425165,0.313336,0.0435633,0,1,0,0,0,0.0235524,0.946047,0.0304005
219022165,-36602.2,-9265.43,780,0.676097,0.98978,0.000151985,1,0,0,0,0,0.690881,0.291196,0.0179231
244150372,-36326.6,-6386.09,780,0.366599,0.267164,0.0421597,0,1,0,0,0,0.0350818,0.9296,0.0353186
219022165,-36765.7,-9025.02,840,0.686374,0.99004,0.000477976,1,0,0,0,0,0.701926,0.281861,0.0162129
244150372,-36445.8,-6535.2,840,0.431795,0.369689,0.0380834,0,1,0,0,0,0.0234839,0.9497,0.0268165
219022165,-36920,-8789.9,900,0.691421,0.98917,0.0002373,1,0,0,0,0,0.70208,0.28079,0.0171295
244150372,-36557.5,-6680.86,900,0.49379,0.453572,0.0346115,0,1,0,0,0,0.0221189,0.951737,0.0261441
219022165,-37084.6,-8550.98,960,0.668162,0.99001,0.00026254,1,0,0,0,0,0.68251,0.301007,0.0164829
244150372,-36653.2,-6840.23,960,0.324843,0.281164,0.0457851,0,1,0,0,0,0.0439351,0.925095,0.0309695
219022165,-37081.8,-8285.14,1020,0,0.9899,1.41306e-05,1,0,0,0,0,0.0502252,0.899164,0.0506112
244150372,-36756.9,-6997.21,1020,0.726603,0.72983,0.0149357,0,1,0,0,0,0.0131376,0.970865,0.0159971
