mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
255805883,14531.9,83344.7,2340,0.950004,0.98019,0.00170523,0,0,0,0,0,1,0,0,0,0.0494021,0.901814,0.0487843,0.987673,0.987673,0
259490000,13795.5,97767.6,2340,0.9492,0.97926,0.00201,0,0,0,1,1,0,0,0,0,0.04935,0.90069,0.04996,0.98873,0.98873,0
255805883,14748.4,83734.9,2400,0.950221,0.9797,0.00204409,0,0,0,0,0,1,0,0,0,0.0492778,0.899461,0.0512612,0.99999,0.99999,0
259490000,14079.6,97229.1,2400,0.907154,0.98042,0.00484512,0,0,1,1,0.134364,0,0.865636,0,0,0.134313,0.862002,0.00368538,0.999422,0.999401,0
255805883,14960.3,84131.9,2460,0.944427,0.98004,0.00211451,0,0,0,0,0,1,0,0,0,0.0505234,0.897037,0.0524395,1,0.983241,0
259490000,14271,96606.4,2460,0.828645,0.97942,0.00990242,1,0,1,1,0.24574,0,0.75426,0,0,0.244104,0.748409,0.00748724,0.998918,0.984045,0
255805883,15156.6,84536.7,2520,0.937034,0.97966,0.00255142,0,0,0,0,0,1,0,0,0,0.0487892,0.886048,0.0651624,1,0.995106,0
259490000,14457.5,95946.8,2520,0.732378,0.98021,0.0150543,1,0,1,0,0.128316,0,0.871684,0,0,0.22174,0.767052,0.0112074,0.998518,0.993125,0
255805883,15374.4,84933.4,2580,0.93083,0.98094,0.00292905,0,0,0,0,0,1,0,0,0,0.0486492,0.877847,0.0735037,1,0.988434,0
259490000,14652.6,95282.1,2580,0.369378,0.97914,0.0404571,1,0,1,0,0.534458,0,0.465542,0,0,0.136294,0.836501,0.0272056,0.999719,0.988135,0
255805883,15598.2,85339.2,2640,0.92842,0.98041,0.0028491,0,0,0,0,0,1,0,0,0,0.0483911,0.875764,0.0758448,1,0.973865,0
259490000,14847,94616.3,2640,0.163817,0.98012,0.0443337,1,0,1,0,0.981816,0,0.0181836,0,0,0.182087,0.783178,0.0347348,0.999773,0.97739,0
255805883,15761.2,85745.3,2700,0.928317,0.98058,0.00301481,0,0,0,1,0,1,0,0,0,0.0491802,0.872522,0.0782982,1,0.998316,0
259490000,15058.6,93938.2,2700,0.352654,0.9797,0.0264941,1,0,1,0,0.986546,0,0.0134544,0,0,0.37004,0.602351,0.0276085,0.999759,0.999055,0
255805883,15838.5,86167.6,2760,0.923161,0.98003,0.00345159,0,1,0,1,0,1,0,0,0,0.0508814,0.945286,0.00383236,1,0.989231,0
259490000,15271,93249.7,2760,0.060014,0.978529,0.0633209,1,0,0,0,0.990345,0,0.00965513,0,0,0.00139579,0.954217,0.0443868,0.999628,0.988986,0
255805883,15891.9,86580.8,2820,0.922885,0.97999,0.00308346,0,1,0,1,0,1,0,0,0,0.0523629,0.943843,0.00379435,0.999982,0.672622,0
259490000,15553,92588.7,2820,0.677639,0.614536,0.720057,1,1,0,1,0.993976,0,0.0060238,0,0,0.063147,0.920718,0.0161352,0.99233,0.701972,0
255805883,15912.3,87013.2,2880,0.92227,0.98055,0.00319476,0,1,0,0,0,1,0,0,0,0.0516593,0.94414,0.00420083,1,0.674108,0
259490000,15931.8,91938,2880,0.696109,0.738582,0.737108,1,1,1,0,0.998065,0,0.00193485,0,0,0.0728565,0.901765,0.025378,0.997694,0.624685,0
255805883,15942.7,87437.8,2940,0.922575,0.97975,0.00330426,0,1,0,0,0,1,0,0,0,0.0532308,0.942561,0.00420796,1,0.771644,0
259490000,16292.1,91285.8,2940,0.71155,0.741388,0.741986,1,1,1,0,0.999419,0,0.000581381,0,0,0.06585,0.932589,0.00156065,0.999994,0.776073,0
255805883,15983.8,87875,3000,0.922564,0.98018,0.00322795,0,1,0,1,0,1,0,0,0,0.0544208,0.941194,0.00438554,0.999929,0.809391,0
259490000,16670.6,90610.1,3000,0.812059,0.846848,0.847543,1,1,1,0,0.936625,0,0.063375,0,0,0.0138166,0.984366,0.00181775,0.999989,0.801449,0
255805883,16083.3,88312.6,3060,0.924997,0.140863,0.14378,1,1,0,1,0,1,0,0,0,0.0491352,0.940636,0.0102287,1,0.886169,0
259490000,17019.9,89952.4,3060,0.84216,0.793842,0.877356,1,1,0,0,0.824866,0,0.175134,0,0,0.0017652,0.99646,0.00177508,0.999993,0.821355,0
255805883,16242.8,88733.1,3120,0.925901,0.137355,0.140022,1,1,0,1,0,1,0,0,0,0.053258,0.936174,0.0105685,0.999841,0.914529,0
259490000,17381.8,89278.2,3120,0.756072,0.789046,0.789728,1,1,0,0,0.999362,0,0.000638012,0,0,0.00167259,0.996675,0.00165248,0.999994,0.902158,0
255805883,16471.3,89116.5,3180,0.923589,0.140911,0.143784,1,1,0,1,0,1,0,0,0,0.0569469,0.932406,0.0106469,1,0.909262,0
259490000,17750.9,88581.2,3180,0.834956,0.821329,0.867105,1,1,0,0,0.957109,0,0.0428914,0,0,0.0631935,0.713478,0.223329,0.999993,0.863171,0
255805883,16716.5,89503,3240,0.923879,0.140845,0.143707,1,1,0,0,0,1,0,0,0,0.0542835,0.934795,0.0109215,1,0.912088,0
259490000,18122.3,87900.7,3240,0.519759,0.551816,0.552477,1,1,0,0,0.80973,0,0.19027,0,0,0.00163593,0.996746,0.00161845,0.999992,0.739216,0
255805883,16966.3,89883.7,3300,0.926752,0.140536,0.143448,1,1,0,0,0,1,0,0,0,0.0555186,0.933882,0.0105997,1,0.901538,0
259490000,18489.9,87213.9,3300,0.557624,0.588656,0.589288,1,1,0,0,0.954928,0,0.0450721,0,0,0.00156963,0.851067,0.147363,0.952705,0.847487,0
255805883,17219.8,90260.6,3360,0.927973,0.13725,0.140022,1,1,0,0,0,1,0,0,0,0.05283,0.936586,0.0105838,1,0.92632,0
259490000,18859.3,86518.2,3360,0.746967,0.815805,0.817184,1,1,0,0,0.998585,0,0.00141459,0,0,0.00347182,0.993024,0.00350406,0.999989,0.995159,0
255805883,17471,90636,3420,0.923036,0.145665,0.148628,1,1,0,0,0,1,0,0,0,0.0500847,0.939665,0.0102507,1,0.929983,0
259490000,19223.4,85829.3,3420,0.808348,0.83671,0.837278,1,1,0,0,0.999427,0,0.000572706,0,0,0.00150437,0.997042,0.0014539,0.999992,0.998026,0
255805883,17729.1,91019,3480,0.923822,0.143849,0.146814,1,1,0,0,0,1,0,0,0,0.0466033,0.941673,0.0117236,1,0.928898,0
259490000,19598.3,85118.3,3480,0.72089,0.798853,0.800383,1,1,0,0,0.99839,0,0.00161028,0,0,0.00382564,0.992206,0.00396786,0.999978,0.994535,0
