mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
210445000,10683.2,10040,240,0.949726,0.98015,0.00481714,0,0,0,0,0,1,0,0,0,0.0517824,0.897664,0.0505533,0.278449,0.278449,
219829000,16460.7,10913,240,0.950035,0.981,0.00474672,0,0,0,0,1,0,0,0,0,0.0503607,0.900931,0.0487083,0.277984,0.277984,
210445000,10730.9,9837.07,300,0.949668,0.97922,0.00490251,0,0,0,0,0,1,0,0,0,0.0496166,0.899826,0.0505579,0.407271,0.276628,
219829000,16413.1,10775.4,300,0.950358,0.97983,0.00490162,0,0,0,0,1,0,0,0,0,0.0496333,0.899352,0.0510146,0.409144,0.278245,
210445000,10779.6,9630.41,360,0.947994,0.97911,0.00492997,0,0,0,0,0,1,0,0,0,0.0499876,0.899492,0.05052,0.468827,0.279531,
219829000,16368,10637.3,360,0.950145,0.98064,0.00505018,0,0,0,0,1,0,0,0,0,0.0512658,0.898656,0.0500786,0.468466,0.278158,
210445000,10873.2,9462.52,420,0.946686,0.492163,0.127954,0,1,0,1,0,1,0,0,0,0.0492863,0.929918,0.0207955,0.62297,0.62297,
219829000,16322.9,10499.2,420,0.950862,0.97992,0.00497083,0,0,0,0,1,0,0,0,0,0.0504088,0.899703,0.0498877,0.981338,0.974793,
210445000,11047.7,9456.74,480,0.945461,0.510684,0.129888,1,1,0,1,0,1,0,0,0,0.0511744,0.921746,0.0270799,0.607664,0.225731,
219829000,16277.8,10361.1,480,0.950614,0.98019,0.00500391,0,0,0,0,1,0,0,0,0,0.050986,0.897887,0.0511268,0.982575,0.362809,
210445000,11262.6,9476.74,540,0.949942,0.491604,0.136143,1,1,1,1,0,1,0,0,0,0.0479026,0.927389,0.0247089,0.63134,0.461824,
