mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219022165,-36116,-9994.7,600,0.979314,0.99896,0.000992212,0,0,0,0,1,0,0,0,0,0.047873,0.902352,0.0497749,0.997052,0.997052
244150372,-35990.8,-5941.13,600,0.980772,0.99902,0.00120264,0,0,0,0,0,1,0,0,0,0.0487527,0.899649,0.0515982,0.996726,0.996726
219022165,-36269.5,-9754.03,660,0.979783,0.99884,0.00107017,0,0,0,0,1,0,0,0,0,0.0453569,0.904006,0.0506374,0.997435,0.992056
244150372,-36100.1,-6083.01,660,0.97959,0.99891,0.000938329,0,0,0,1,0,1,0,0,0,0.049512,0.897694,0.0527944,0.997384,0.991702
219022165,-36434.4,-9510.28,720,0.979711,0.99906,0.00105737,0,0,0,0,1,0,0,0,0,0.0464032,0.904004,0.0495925,0.998027,0.991792
244150372,-36213.6,-6234.63,720,0.979779,0.99907,0.00109549,0,0,0,0,0,1,0,0,0,0.0506736,0.893821,0.0555051,0.997863,0.992264
219022165,-36602.2,-9265.43,780,0.979498,0.99884,0.000955117,0,0,0,0,1,0,0,0,0,0.0439637,0.906053,0.0499833,0.99855,0.995286
244150372,-36326.6,-6386.09,780,0.979525,0.99892,0.00112811,0,0,0,0,0,1,0,0,0,0.0508877,0.892631,0.0564814,0.998362,0.995124
219022165,-36765.7,-9025.02,840,0.980836,0.99889,0.000883113,0,0,0,0,1,0,0,0,0,0.0423354,0.907731,0.0499337,0.998774,0.992062
244150372,-36445.8,-6535.2,840,0.980113,0.99905,0.0011026,0,0,0,0,0,1,0,0,0,0.0489894,0.891919,0.059092,0.998444,0.991862
219022165,-36920,-8789.9,900,0.97995,0.99916,0.000954758,0,0,0,0,1,0,0,0,0,0.0415331,0.907561,0.0509055,0.99895,0.992061
244150372,-36557.5,-6680.86,900,0.98024,0.99901,0.00113694,0,0,0,0,0,1,0,0,0,0.0488427,0.891708,0.0594496,0.998833,0.99235
219022165,-37084.6,-8550.98,960,0.980873,0.999,0.00101357,0,0,0,0,1,0,0,0,0,0.0426664,0.907267,0.0500666,0.999179,0.987868
244150372,-36653.2,-6840.23,960,0.980016,0.99904,0.00108049,0,0,0,1,0,1,0,0,0,0.0495468,0.890517,0.0599363,0.999129,0.987884
219022165,-37081.8,-8285.14,1020,0.753005,0.99887,0.0182965,0,1,0,1,1,0,0,0,0,0.74821,0.238556,0.0132347,0.996332,0.995893
244150372,-36756.9,-6997.21,1020,0.819882,0.99904,0.0142298,0,0,0,0,0,1,0,0,0,0.0162709,0.306045,0.677684,0.998201,0.997032
219022165,-36958.3,-8022.75,1080,0.758521,0.99904,0.0171966,0,1,0,1,1,0,0,0,0,0.757473,0.229234,0.0132928,0.999936,0.998843
244150372,-36862.8,-7155.04,1080,0.800377,0.9991,0.0152855,0,0,0,0,0,1,0,0,0,0.0125953,0.233873,0.753532,0.99845,0.997085
219022165,-36826.7,-7768.89,1140,0.0414478,0.999,0.042926,0,1,0,0,1,0,0,0,0,0.0521774,0.899635,0.0481874,0.999907,0.99803
244150372,-36964.5,-7312.63,1140,0.788796,0.99909,0.000864848,0,0,0,0,0,1,0,0,0,0.0100459,0.185048,0.804906,0.999968,0.9981
219022165,-36743.7,-7499.54,1200,0.0765929,0.99886,0.0780457,0,1,0,1,1,0,0,0,0,0.0500582,0.903888,0.0460536,0.999939,0.999065
244150372,-37062.5,-7470.77,1200,0.800587,0.99913,0.000309362,0,0,0,0,0,1,0,0,0,0.00971322,0.174364,0.815923,0.999967,0.999815
219022165,-36721.9,-7213.36,1260,0.130827,0.99901,0.132214,0,1,0,1,1,0,0,0,0,0.0471354,0.908406,0.0444583,0.999904,0.998173
244150372,-37145.7,-7575.23,1260,0.798576,0.99909,0.000341934,0,0,0,0,0,1,0,0,0,0.00987194,0.176212,0.813916,0.999998,0.999674
219022165,-36739.1,-6925.13,1320,0.0801793,0.99908,0.0816097,0,1,0,1,1,0,0,0,0,0.0507025,0.903393,0.0459049,0.999968,0.99829
244150372,-37225.5,-7669.94,1320,0.746479,0.99891,0.000396887,0,0,0,0,0,1,0,0,0,0.0128656,0.221296,0.765839,0.999991,0.999628
219022165,-36778.6,-6638.45,1380,0,0.99899,0.00155066,0,1,0,0,1,0,0,0,0,0.054745,0.894334,0.0509208,0.99993,0.997898
244150372,-37305.3,-7764.65,1380,0.809032,0.99908,0.000258095,0,0,0,0,0,1,0,0,0,0.00957905,0.166751,0.82367,0.999993,0.999652
219022165,-36821.3,-6356.3,1440,0,0.99883,0.00154551,0,1,0,0,1,0,0,0,0,0.055001,0.897053,0.0479456,0.999929,0.99802
244150372,-37385.1,-7859.37,1440,0.736539,0.99913,0.000374747,0,0,0,0,0,1,0,0,0,0.0128669,0.23596,0.751173,0.99997,0.999556
219022165,-36866.5,-6071.68,1500,0,0.999,0.00157098,0,1,0,0,1,0,0,0,0,0.0549932,0.895978,0.049029,0.999955,0.997058
244150372,-37464.9,-7954.09,1500,0.666117,0.99901,0.000474173,0,0,0,0,0,1,0,0,0,0.01642,0.298561,0.685019,1,0.998899
