mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
210445000,12038.2,9211.61,720,0.980826,0.98959,6.185e-06,0,1,0,0,0,0.0500828,0.896108,0.0538094
219829000,16079.9,9813.88,720,0.979909,0.9902,9.62632e-06,1,0,0,0,0,0.0470703,0.903727,0.0492028
210445000,12299.3,9096.31,780,0.978043,0.98951,5.27076e-06,0,1,0,0,0,0.0490786,0.891744,0.0591779
219829000,16011.7,9678.49,780,0.979783,0.98958,9.79313e-06,1,0,0,0,0,0.0472691,0.901283,0.0514475
210445000,12560.4,8981.09,840,0.976141,0.99004,1.17552e-05,0,1,0,0,0,0.050329,0.885373,0.0642981
219829000,15944.4,9545.71,840,0.979631,0.98998,0,1,0,0,0,0,0.0472662,0.902263,0.0504707
210445000,12821.4,8865.82,900,0,0.99005,3.20866e-05,0,1,0,0,0,0.0498588,0.89932,0.0508215
219829000,15877.8,9413.05,900,0.980823,0.98979,1.17825e-05,1,0,0,0,0,0.0457755,0.903683,0.0505411
210445000,13082.6,8750.56,960,0,0.99003,1.21993e-05,0,1,0,0,0,0.0513629,0.899263,0.0493739
219829000,15809.7,9278.71,960,0.97974,0.99014,9.37648e-06,1,0,0,0,0,0.044373,0.906191,0.0494364
210445000,13343.7,8635.38,1020,0,0.98999,1.51107e-05,0,1,0,0,0,0.0505379,0.899786,0.0496758
219829000,15745.7,9146.99,1020,0.979381,0.98977,9.51105e-06,1,0,0,0,0,0.0430935,0.906802,0.0501049
210445000,13603.8,8518.96,1080,0,0.9904,8.5633e-06,0,1,0,0,0,0.0502262,0.899596,0.0501778
219829000,15684.1,9014.24,1080,0.979838,0.99017,0,1,0,0,0,0,0.040735,0.908821,0.0504445
210445000,13844.8,8352.53,1140,0,0.98988,1.90683e-05,0,1,0,0,0,0.0510465,0.89891,0.0500433
219829000,15620.6,8879.58,1140,0.980017,0.98982,0,1,0,0,0,0,0.0426867,0.90701,0.0503029
210445000,14068.2,8172.64,1200,0,0.99024,1.36654e-05,0,1,0,0,0,0.0501372,0.899671,0.0501921
219829000,15557.2,8751.25,1200,0.980261,0.9897,9.06955e-06,1,0,0,0,0,0.0416961,0.908602,0.0497019
210445000,14291.6,7992.84,1260,0,0.98969,1.3063e-05,0,1,0,0,0,0.0498761,0.899502,0.0506219
