mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219002051,2210.77,19788.6,5160,0.98001,0.98915,0,0,0,0,0,1,0,0,0,0,0.0496686,0.900231,0.0501007,0.994938,0.994938
246900000,4180.28,10781.7,5160,0.97997,0.98913,8.69833e-06,0,0,0,0,0,1,0,0,0,0.0494697,0.900273,0.0502569,0.994982,0.994982
219002051,2374.32,19663.2,5220,0.97918,0.98983,7.97387e-06,0,0,0,0,1,0,0,0,0,0.0494124,0.898509,0.0520784,0.996454,0.995106
246900000,4304.09,11056.8,5220,0.98011,0.99024,1.59508e-05,0,0,0,0,0,1,0,0,0,0.0504888,0.899351,0.0501603,0.996773,0.99495
219002051,2537.77,19537.8,5280,0.980341,0.99022,6.99257e-06,0,0,0,0,1,0,0,0,0,0.0497513,0.900169,0.0500796,0.997456,0.99508
246900000,4427.03,11334.9,5280,0.9798,0.98988,0,0,0,0,0,0,1,0,0,0,0.0508788,0.900999,0.0481219,0.997565,0.995309
219002051,2701.22,19412.5,5340,0.980849,0.98968,6.12916e-06,0,0,0,0,1,0,0,0,0,0.0504488,0.899171,0.0503804,0.998142,0.995112
246900000,4549.99,11613,5340,0.979798,0.98986,1.22584e-05,0,0,0,0,0,1,0,0,0,0.0508686,0.899266,0.0498654,0.998092,0.995327
219002051,2864.78,19287.1,5400,0.979689,0.98993,0,0,0,0,0,1,0,0,0,0,0.0498697,0.900961,0.0491689,0.998542,0.992494
246900000,4672.97,11891.1,5400,0.980205,0.99012,2.68543e-05,0,0,0,0,0,1,0,0,0,0.0506713,0.89736,0.0519684,0.998222,0.99194
219002051,3028.24,19161.8,5460,0.980159,0.98948,1.88302e-05,0,0,0,0,1,0,0,0,0,0.0505413,0.899757,0.0497018,0.998831,0.992678
246900000,4795.97,12169.1,5460,0.980459,0.99007,9.4155e-06,0,0,0,0,0,1,0,0,0,0.0509717,0.898925,0.0501028,0.99872,0.992247
219002051,3191.81,19036.5,5520,0.979546,0.98976,1.23793e-05,0,0,0,0,1,0,0,0,0,0.0500438,0.900014,0.0499421,0.998871,0.992262
246900000,4918.99,12447.2,5520,0.979026,0.98937,1.23829e-05,0,0,0,0,0,1,0,0,0,0.0510179,0.898738,0.0502444,0.99893,0.992396
219002051,3355.27,18911.2,5580,0.97959,0.98968,1.08527e-05,0,0,0,0,1,0,0,0,0,0.0495369,0.901487,0.0489756,0.99924,0.987945
