mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
210445000,10672.8,4060.2,240,0.979917,0.98989,9.65412e-06,0,0,0,0,0,1,0,0,0,0.0497317,0.899286,0.0509825,0.244655,0.244655
219829000,16449,4941.75,240,0.97925,0.99006,1.93578e-05,0,0,0,0,1,0,0,0,0,0.0498899,0.89977,0.0503398,0.242355,0.242355
210445000,10720.8,3857.38,300,0.980887,0.99021,8.09494e-06,0,0,0,0,0,1,0,0,0,0.0487333,0.901907,0.04936,0.409437,0.242895
219829000,16401.6,4804.11,300,0.979553,0.99011,0,0,0,0,0,1,0,0,0,0,0.0500528,0.901254,0.0486928,0.410527,0.241623
210445000,10769.9,3650.8,360,0.979971,0.98975,1.40887e-05,0,0,0,0,0,1,0,0,0,0.0510503,0.898931,0.0500184,0.534064,0.242805
219829000,16356.7,4665.92,360,0.98098,0.98899,6.85884e-06,0,0,0,0,1,0,0,0,0,0.0505983,0.899883,0.0495184,0.534682,0.240232
210445000,10863.7,3483.05,420,0.982324,0.581688,0.000182836,1,0,0,1,0,1,0,0,0,0.0564928,0.908185,0.0353224,0.411614,0.403906
219829000,16311.9,4527.74,420,0.980342,0.99011,6.01288e-06,0,0,0,0,1,0,0,0,0,0.0499582,0.899643,0.0503992,0.986653,0.973082
210445000,11038.2,3477.52,480,0.98169,0.52872,0.0006275,1,1,0,1,0,1,0,0,0,0.0528845,0.920485,0.0266305,0.466042,0.157253
219829000,16267,4389.61,480,0.979973,0.98981,1.08759e-05,0,0,0,0,1,0,0,0,0,0.0498975,0.899585,0.0505179,0.98907,0.328104
210445000,11253.1,3497.84,540,0.979938,0.473991,0.000516531,1,1,0,1,0,1,0,0,0,0.0533961,0.914066,0.0325376,0.522044,0.371362
219829000,16227.4,4252.36,540,0.98001,0.98987,1.38436e-05,0,0,0,0,1,0,0,0,0,0.0503928,0.898396,0.051211,0.990853,0.709057
210445000,11494.8,3443.05,600,0.979371,0.133962,0.000886713,1,1,1,1,0,1,0,0,0,0.0527368,0.943679,0.00358416,0.865381,0.862296
219829000,16184.5,4109.09,600,0.980607,0.99021,0,0,0,0,0,1,0,0,0,0,0.0495033,0.900611,0.0498858,0.998629,0.995066
210445000,11767.8,3348.78,660,0.975235,0.0119696,0.00218182,1,1,1,0,0,1,0,0,0,0.0564669,0.942005,0.00152819,0.99019,0.989858
219829000,16136.1,3974.71,660,0.980348,0.99016,1.68658e-05,0,0,0,1,1,0,0,0,0,0.0514858,0.898773,0.0497412,0.999931,0.999741
210445000,12029,3233.85,720,0.993823,0.996859,0.287322,1,1,1,0,0,1,0,0,0,0.0153505,0.60757,0.377079,0.287322,0.287322
219829000,16069.8,3842.08,720,0.979568,0.99016,7.33316e-06,0,0,0,0,1,0,0,0,0,0.0467368,0.902771,0.0504925,0.99999,0.999879
210445000,12290.3,3118.94,780,0.979728,0.990084,1,1,1,1,0,0,1,0,0,0,0.0499029,0.898835,0.0512625,1,0.999682
219829000,16001.9,3706.59,780,0.97938,0.98956,6.57035e-06,0,0,0,0,1,0,0,0,0,0.044909,0.904261,0.0508302,0.999951,0.999658
210445000,12551.6,3004.1,840,0.983155,0.836938,0.845637,1,1,1,0,0,1,0,0,0,0.0421464,0.915819,0.0420349,0.845612,0.844451
219829000,15934.7,3573.71,840,0.980016,0.99004,1.39725e-05,0,0,0,0,1,0,0,0,0,0.043929,0.905892,0.0501794,0.99999,0.998844
210445000,12812.8,2889.21,900,0.97997,0.989831,1,1,1,1,0,0,1,0,0,0,0.0474784,0.902795,0.0497265,1,0.998453
219829000,15868.3,3440.95,900,0.979773,0.99041,4.89219e-06,0,0,0,0,1,0,0,0,0,0.0413308,0.908385,0.0502846,0.99998,0.998138
210445000,13074.1,2774.34,960,0.979856,0.990011,1,1,1,1,0,0,1,0,0,0,0.0482967,0.902146,0.0495573,1,0.996927
219829000,15800.4,3306.51,960,0.979714,0.98954,1.07878e-05,0,0,0,0,1,0,0,0,0,0.0397783,0.908848,0.0513736,1,0.996935
210445000,13335.4,2659.55,1020,0.980095,0.989612,1,1,1,1,0,0,1,0,0,0,0.0498627,0.900885,0.0492525,1,0.994745
219829000,15736.6,3174.7,1020,0.979824,0.99032,1.12039e-05,0,0,0,0,1,0,0,0,0,0.0382244,0.90976,0.0520157,0.99999,0.994669
210445000,13595.7,2543.51,1080,0.980099,0.990072,1,1,1,1,0,0,1,0,0,0,0.0500627,0.900304,0.0496328,1,0.992244
219829000,15675.2,3041.86,1080,0.980641,0.98992,1.61066e-05,0,0,0,0,1,0,0,0,0,0.0368903,0.911234,0.0518755,1,0.991998
210445000,13836.9,2377.43,1140,0.979816,0.990089,1,1,1,1,0,0,1,0,0,0,0.0516301,0.89976,0.04861,1,0.988898
219829000,15611.9,2907.11,1140,0.97947,0.98961,1.86997e-05,0,0,0,0,1,0,0,0,0,0.0369519,0.912423,0.050625,1,0.988332
210445000,14060.6,2197.88,1200,0.980056,0.99016,1,1,1,1,1,0,1,0,0,0,0.0486932,0.899736,0.0515706,1,0.982336
219829000,15548.8,2778.68,1200,0.979932,0.99051,7.23856e-06,0,0,0,0,1,0,0,0,0,0.0368113,0.913521,0.0496678,1,0.982234
210445000,14284.2,2018.41,1260,0.979788,0.990038,1,1,1,1,1,0,1,0,0,0,0.0485335,0.899258,0.0522089,1,0.973839
219829000,15489.4,2644.22,1260,0.980011,0.99019,8.86137e-06,0,0,0,0,1,0,0,0,0,0.0347412,0.914951,0.050308,0.999981,0.974615
210445000,14507.9,1838.89,1320,0.979784,0.989987,1,1,1,1,1,0,1,0,0,0,0.0532202,0.898947,0.0478328,1,0.975469
219829000,15430.2,2509.81,1320,0.97902,0.98945,7.50273e-06,0,0,0,0,1,0,0,0,0,0.0375105,0.911522,0.050968,1,0.973511
210445000,14725.7,1641.24,1380,0.980126,0.990413,1,1,1,1,0,0,1,0,0,0,0.0448432,0.906766,0.0483907,1,0.968875
219829000,15369.7,2376.47,1380,0.979913,0.98999,5.79479e-06,0,0,0,0,1,0,0,0,0,0.03803,0.910639,0.0513311,1,0.973526
210445000,14930.8,1435.43,1440,0.980299,0.990156,1,1,1,1,0,0,1,0,0,0,0.0562406,0.886675,0.0570843,1,0.971884
219829000,15310.5,2239.07,1440,0.980808,0.99053,1.45988e-05,0,0,0,0,1,0,0,0,0,0.0373166,0.911227,0.0514565,1,0.973924
210445000,15142,1233.04,1500,0.980421,0.990135,1,1,1,1,0,0,1,0,0,0,0.0475557,0.913244,0.0392008,1,0.973724
219829000,15245.4,2105.73,1500,0.979598,0.99022,1.24189e-05,0,0,0,0,1,0,0,0,0,0.0375842,0.911779,0.0506368,1,0.973911
210445000,15339.1,1034.98,1560,0.980054,0.990609,1,1,1,1,0,0,1,0,0,0,0.0357559,0.904789,0.0594546,1,0.977962
219829000,15188.3,1970.29,1560,0.979577,0.99016,1.2711e-05,0,0,0,0,1,0,0,0,0,0.035979,0.913528,0.0504931,1,0.974046
210445000,15575.1,886.504,1620,0.981037,0.990584,1,1,1,1,1,0,1,0,0,0,0.0540368,0.883127,0.0628366,1,0.979721
219829000,15123.7,1829.71,1620,0.97983,0.9899,1.1281e-05,0,0,0,0,1,0,0,0,0,0.0344288,0.914239,0.051332,1,0.973919
210445000,15829.7,760.973,1680,0.979531,0.989684,1,1,1,1,1,0,1,0,0,0,0.0676134,0.886574,0.0458125,1,0.93347
219829000,15065.4,1694.38,1680,0.980384,0.99018,6.53103e-06,0,0,0,0,1,0,0,0,0,0.0390941,0.910566,0.0503403,1,0.947673
210445000,16116.9,682.391,1740,0.98023,0.990659,1,1,1,1,1,0,1,0,0,0,0.0465319,0.914699,0.0387693,1,0.943945
219829000,14999.6,1557.98,1740,0.980276,0.99039,1.59772e-05,0,0,0,0,1,0,0,0,0,0.0363916,0.912285,0.0513231,1,0.929169
