mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
210445000,10683.2,10040,240,0.979657,0.985738,0,0,1,0,0,0,0.0492232,0.880213,0.0705642,0.89721,0.122779
219829000,16460.7,10913,240,0.979811,0.989881,1.76055e-05,1,0,0,0,0,0.0359397,0.912971,0.0510897,0.926848,0.126265
210445000,10730.9,9837.07,300,0.979283,0.985446,1.58058e-05,0,1,0,0,0,0.0488188,0.88074,0.0704414,0.898167,0.121378
219829000,16413.1,10775.4,300,0.98035,0.989982,0,1,0,0,0,0,0.0353446,0.914576,0.0500799,0.927473,0.126957
210445000,10779.6,9630.41,360,0.980079,0.986351,1.76812e-05,0,1,0,0,0,0.0481988,0.880309,0.0714926,0.895892,0.121991
219829000,16368,10637.3,360,0.980131,0.990143,6.45554e-06,1,0,0,0,0,0.0350293,0.915432,0.0495386,0.927276,0.125031
210445000,10873.2,9462.52,420,0.924204,0.946482,0.00331744,0,1,0,0,0,0.062782,0.896833,0.0403853,0.0500958,0.0490865
219829000,16322.9,10499.2,420,0.979769,0.990042,5.64194e-06,1,0,0,0,0,0.0175678,0.930535,0.0518972,0.994296,0.969553
210445000,11047.7,9456.74,480,0.928448,0.940183,0.00192746,0,1,0,0,0,0.0423845,0.917131,0.0404846,0.0516554,0.0118734
219829000,16277.8,10361.1,480,0.979871,0.989384,1.9432e-05,1,0,0,0,0,0.0171595,0.929004,0.0538365,0.993606,0.227954
210445000,11262.6,9476.74,540,0.939652,0.952218,0.00224257,0,1,0,0,0,0.0613285,0.899527,0.0391445,0.0420797,0.0295402
219829000,16238,10223.9,540,0.980676,0.989918,8.35382e-06,1,0,0,0,0,0.0185739,0.929553,0.0518732,0.99415,0.664048
210445000,11504.3,9421.59,600,0.792511,0.783761,0.0104536,0,1,0,0,0,0.0201154,0.928025,0.0518595,0.222926,0.221704
219829000,16194.9,10080.7,600,0.980008,0.989435,1.42538e-05,1,0,0,0,0,0.0175232,0.931681,0.0507958,0.998676,0.994107
210445000,11777.1,9326.92,660,0.490325,0.37027,0.0447557,0,1,0,0,0,0.0535447,0.920466,0.0259893,0.673995,0.673991
219829000,16146.4,9946.41,660,0.979852,0.989907,0,1,0,0,0,0,0.0168615,0.932125,0.0510134,1,1
210445000,12038.2,9211.61,720,0.721216,0.728772,0.736006,0,1,0,0,0,0.0609588,0.901347,0.0376944,1,1
219829000,16079.9,9813.88,720,0.98031,0.989821,8.07164e-06,1,0,0,0,0,0.0135229,0.934607,0.0518706,1,0.999891
210445000,12299.3,9096.31,780,0.976,0.876931,9.44386e-05,0,1,0,0,0,0.0189754,0.291221,0.689804,1,1
219829000,16011.7,9678.49,780,0.980008,0.989443,8.94351e-06,1,0,0,0,0,0.00142428,0.946251,0.0523248,1,0.999524
210445000,12560.4,8981.09,840,0.0486793,0.0486793,0.0486793,0,1,0,0,0,0.085804,0.876576,0.03762,1,1
219829000,15944.4,9545.71,840,0.979457,0.989227,7.65533e-06,1,0,0,0,0,0.00133403,0.946142,0.0525244,1,0.998914
210445000,12821.4,8865.82,900,0.0612679,0.0620419,0.0620419,0,1,0,0,0,0.0377431,0.916856,0.0454007,1,1
219829000,15877.8,9413.05,900,0.97929,0.988952,1.97e-05,1,0,0,0,0,0.00123813,0.945383,0.0533794,1,0.99784
210445000,13082.6,8750.56,960,0.0653804,0.0670598,0.0670743,0,1,0,0,0,0.047911,0.902721,0.0493684,1,1
219829000,15809.7,9278.71,960,0.980215,0.989252,5.6457e-06,1,0,0,0,0,0.00124888,0.945327,0.0534237,1,0.996446
210445000,13343.7,8635.38,1020,0.0665635,0.0673004,0.0680665,0,1,0,0,0,0.0692889,0.887312,0.0433989,1,1
219829000,15745.7,9146.99,1020,0.980333,0.989752,9.7262e-06,1,0,0,0,0,0.000926404,0.946703,0.0523705,1,0.994404
210445000,13603.8,8518.96,1080,0.0662861,0.0668663,0.0676821,0,1,0,0,0,0.055904,0.893963,0.050133,1,0.999124
219829000,15684.1,9014.24,1080,0.980238,0.989626,1.25524e-05,1,0,0,0,0,0.00175245,0.946891,0.0513568,1,0.991138
210445000,13844.8,8352.53,1140,0.0674994,0.0683198,0.0688809,0,1,0,0,0,0.043316,0.90906,0.0476237,1,0.995553
219829000,15620.6,8879.58,1140,0.979833,0.989007,3.60475e-06,1,0,0,0,0,0.00127851,0.947347,0.0513744,1,0.986571
210445000,14068.2,8172.64,1200,0.0648856,0.0654904,0.0662507,0,1,0,0,0,0.0346467,0.901362,0.0639912,1,0.994158
219829000,15557.2,8751.25,1200,0.981083,0.98886,9.37215e-06,1,0,0,0,0,0.000824028,0.945737,0.0534388,1,0.978881
210445000,14291.6,7992.84,1260,0.0688587,0.0698185,0.0702784,0,1,0,0,0,0.0465951,0.900063,0.0533422,1,0.993691
219829000,15497.7,8616.88,1260,0.979864,0.989666,7.97146e-06,1,0,0,0,0,0.000794408,0.945687,0.0535181,1,0.97048
210445000,14515,7813,1320,0.0677094,0.068458,0.0690891,0,1,0,0,0,0.0222808,0.929332,0.0483871,1,0.999115
219829000,15438.3,8482.56,1320,0.980779,0.989675,1.15951e-05,1,0,0,0,0,0.00246626,0.945068,0.0524658,1,0.969546
210445000,14732.5,7615.03,1380,0.0642353,0.0648511,0.0655914,0,1,0,0,0,0.0399626,0.878825,0.081212,1,0.998864
219829000,15377.6,8349.31,1380,0.980394,0.988766,1.40419e-05,1,0,0,0,0,0.00249257,0.945598,0.0519093,1,0.969799
210445000,14937.3,7408.91,1440,0.0608951,0.0617397,0.0622141,0,1,0,0,0,0.00300465,0.993968,0.00302778,1,0.99892
219829000,15318.2,8211.99,1440,0.980348,0.989916,1.04233e-05,1,0,0,0,0,0.000985495,0.944737,0.0542776,1,0.969882
210445000,15148.3,7206.22,1500,0.0675055,0.0682577,0.068904,0,1,0,0,0,0.00463125,0.992077,0.00329144,1,0.99831
219829000,15252.9,8078.75,1500,0.980243,0.988801,6.56827e-06,1,0,0,0,0,0.00214306,0.945053,0.0528037,1,0.969822
210445000,15345,7007.86,1560,0.0970128,0.0979426,0.0989397,0,1,0,0,0,0.00428286,0.990228,0.00548915,1,0.995692
219829000,15195.6,7943.39,1560,0.980469,0.989761,1.09414e-05,1,0,0,0,0,0,0.946554,0.0534463,1,0.970679
210445000,15580.8,6859.04,1620,0.132722,0.133732,0.135355,0,1,0,0,0,0.0068013,0.98575,0.00744887,1,0.995094
219829000,15130.8,7802.91,1620,0.980485,0.989144,1.03683e-05,1,0,0,0,0,0.00132284,0.945251,0.0534259,1,0.970695
210445000,15835.3,6733.13,1680,0.0337743,0.0341869,0.0344723,0,1,0,0,0,0.00154243,0.996628,0.00182924,1,0.998239
219829000,15072.2,7667.67,1680,0.980562,0.988255,7.00757e-06,1,0,0,0,0,0.00324739,0.94438,0.0523728,1,0.940524
210445000,16122.3,6654.13,1740,0.980391,0.988013,1,0,1,0,0,0,0.0621446,0.893962,0.0438939,1,0.903457
219829000,15006.3,7531.36,1740,0.9792,0.989929,1.45839e-05,1,0,0,0,0,0.00197756,0.946159,0.0518639,0.99999,0.917337
210445000,16399.1,6700.25,1800,0.979906,0.988509,1,0,1,0,0,0,0.0445493,0.905662,0.0497891,1,0.871163
219829000,14946.4,7386.79,1800,0.97978,0.989881,1.13879e-05,1,0,0,0,0,0.00227963,0.944606,0.0531145,1,0.888198
210445000,16691.5,6758.58,1860,0.0198734,0.0199793,0.0202559,0,1,0,0,0,0.000776459,0.998175,0.00104831,1,0.996036
219829000,14882.3,7244.5,1860,0.979922,0.9901,8.43745e-06,1,0,0,0,0,0,0.946652,0.0533481,1,0.816343
210445000,16985.7,6828.3,1920,0.980455,0.993729,1,0,1,0,0,0,0.0570678,0.894607,0.0483253,1,0.864841
219829000,14826.8,7105.95,1920,0.979669,0.989663,3.40985e-06,1,0,0,0,0,0.00299326,0.944027,0.0529795,1,0.857015
210445000,17291.5,6901.22,1980,0.981023,0.991961,1,0,1,0,0,0,0.0545031,0.896959,0.0485382,1,0.862948
219829000,14759.1,6967.54,1980,0.979467,0.989815,1.30175e-05,1,0,0,0,0,0,0.946652,0.0533481,1,0.856757
210445000,17579.2,6940.66,2040,0.979928,0.988582,1,0,1,0,0,0,0.0480164,0.899666,0.0523172,1,0.938921
219829000,14691.3,6828.17,2040,0.979406,0.98964,1.31827e-05,1,0,0,0,0,0.00397189,0.942771,0.0532567,1,0.939312
