mmsi,x,y,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
236555000,50273.8,89641.2,3720,0.980909,0,0,0.99003,1.80269e-05,0,1,0,0,0,0.0498752,0.900531,0.0495934
246878000,42469.8,84771.8,3720,0.97967,0,0,0.99009,0,1,0,0,0,0,0.0505017,0.900118,0.0493799
236555000,50036.5,89727.6,3780,0.980027,0,0,0.98959,9.01411e-06,0,1,0,0,0,0.0502489,0.900804,0.0489468
246878000,42678.7,85129.5,3780,0.97942,0,0,0.99025,1.8025e-05,1,0,0,0,0,0.0492126,0.900968,0.049819
236555000,49799.9,89813.1,3840,0.980316,0,0,0.98984,1.80331e-05,0,1,0,0,0,0.0496703,0.899946,0.0503837
246878000,42898,85492,3840,0.98015,0,0,0.98992,0,1,0,0,0,0,0.0503452,0.898774,0.0508808
236555000,49559.1,89904.9,3900,0.980295,0,0,0.99036,9.01698e-06,0,1,0,0,0,0.0497945,0.899521,0.0506844
246878000,43103.7,85844.5,3900,0.9797,0,0,0.99017,2.70374e-05,1,0,0,0,0,0.0508352,0.899665,0.0494999
236555000,49322.2,89992.8,3960,0.980979,0,0,0.99012,0,0,1,0,0,0,0.0497321,0.899916,0.0503516
246878000,43312.4,86205.8,3960,0.980219,0,0,0.99048,1.80787e-05,1,0,0,0,0,0.0485763,0.901068,0.0503559
236555000,49080.5,90088.4,4020,0.979949,0,0,0.99017,0,0,1,0,0,0,0.0508453,0.897598,0.0515567
246878000,43526.4,86567.3,4020,0.979935,0,0,0.98948,0,1,0,0,0,0,0.0471898,0.901915,0.0508947
236555000,48852.5,90174.8,4080,0.978504,0,0,0.9896,2.1045e-05,0,1,0,0,0,0.0495926,0.89299,0.0574173
246878000,43741.3,86931.4,4080,0.980669,0,0,0.99074,4.51573e-05,1,0,0,0,0,0.0476743,0.900197,0.0521285
236555000,48616.5,90268,4140,0.979707,0,0,0.98916,2.01126e-05,0,1,0,0,0,0.0507191,0.89283,0.0564505
246878000,43941.3,87292.5,4140,0.97875,0,0,0.98982,1.80818e-05,1,0,0,0,0,0.0456425,0.904062,0.0502955
236555000,48379.7,90363.3,4200,0.977098,0,0,0.98991,0,0,1,0,0,0,0.05035,0.883244,0.0664063
246878000,44158.4,87649.9,4200,0.979749,0,0,0.98983,0,1,0,0,0,0,0.0445955,0.90562,0.0497847
236555000,48148.7,90448.8,4260,0.979898,0,0,0.99002,4.3687e-05,0,1,0,0,0,0.0494002,0.882892,0.0677076
246878000,44358.8,88013.1,4260,0.979952,0,0,0.99,1.59974e-05,1,0,0,0,0,0.0335592,0.914668,0.051773
236555000,47908.2,90553.8,4320,0.970729,0,0,0.98985,4.64913e-05,0,1,0,0,0,0.0483554,0.860429,0.0912155
246878000,44563.2,88364.7,4320,0.980334,0,0,0.98995,3.99917e-05,1,0,0,0,0,0.039573,0.909267,0.0511596
236555000,47709.2,90701.2,4380,0.000515648,0,0,0.99017,0.000528085,0,1,0,0,0,0.0487053,0.897559,0.0537355
246878000,44779.7,88738.2,4380,0.979866,0,0,0.99014,6.98519e-06,1,0,0,0,0,0.0412035,0.909122,0.0496745
236555000,47589.2,90909.2,4440,0.00051506,0,0,0.98973,0.000523248,0,1,0,0,0,0.0492314,0.895932,0.0548363
246878000,45029.7,89048.8,4440,0,0,0,0.98994,8.94756e-06,1,0,0,0,0,0.0387837,0.909404,0.0518127
236555000,47506.9,91133.1,4500,0,0,0,0.99026,1.75783e-05,0,1,0,0,0,0.0501857,0.894843,0.0549717
246878000,45337.6,89280,4500,0.000937266,0,0,0.99027,0.0009478,1,0,0,0,0,0.0405627,0.909221,0.0502159
236555000,47440.4,91371,4560,0,0,0,0.98967,1.29894e-05,0,1,0,0,0,0.048051,0.896929,0.0550199
246878000,45677.6,89471.9,4560,0.000471695,0,0,0.99039,0.000480285,1,0,0,0,0,0.040446,0.90982,0.0497345
236555000,47367.6,91625.4,4620,0,0,0,0.98999,1.56197e-05,0,1,0,0,0,0.048905,0.896472,0.0546226
246878000,46005.2,89678,4620,0.000701747,0,0,0.99041,0.00071032,1,0,0,0,0,0.0405005,0.908731,0.0507683
236555000,47294.3,91879,4680,0,0,0,0.99021,1.59981e-05,0,1,0,0,0,0.0486788,0.896521,0.0548005
246878000,46332.7,89889,4680,0.00107214,0,0,0.99012,0.00108049,1,0,0,0,0,0.0405044,0.908457,0.0510385
236555000,47220.4,92133.2,4740,0,0,0,0.98984,1.59401e-05,0,1,0,0,0,0.0492745,0.89659,0.054136
246878000,46666.7,90098.8,4740,0.00105134,0,0,0.98984,0.00105967,1,0,0,0,0,0.0406408,0.908082,0.0512776
236555000,47125.2,92394.5,4800,0.0032736,0,0,0.98963,0.00328529,0,1,0,0,0,0.0526731,0.893039,0.0542875
