mmsi,x,y,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
246512000,11132.8,-47638.5,6060,0.98032,0,0,0.99022,2.70376e-05,0,0,1,0,0,0.0503701,0.89978,0.0498501
305371000,9657.18,-28514.3,6060,0.98008,0,0,0.99036,9.01251e-06,0,0,1,0,0,0.0504,0.89939,0.05021
246512000,11095.6,-47397.4,6120,0.9804,0,0,0.99043,7.9742e-06,0,0,1,0,0,0.0503001,0.90055,0.0491501
305371000,9648.19,-28815.6,6120,0.979842,0,0,0.98969,1.36527e-05,0,0,1,0,0,0.0511119,0.899421,0.0494668
246512000,11060.6,-47165.2,6180,0.9797,0,0,0.98993,0,0,0,1,0,0,0.05075,0.89876,0.05049
305371000,9628.09,-29117.7,6180,0.980255,0,0,0.99004,4.86339e-06,0,0,1,0,0,0.0492574,0.900762,0.0499803
246512000,11023.1,-46927.4,6240,0.97951,0,0,0.99002,1.39798e-05,0,0,1,0,0,0.0511403,0.899719,0.0491403
305371000,9627.83,-29418.5,6240,0.980293,0,0,0.990101,7.5609e-06,0,0,1,0,0,0.0488753,0.900576,0.0505492
246512000,10986.9,-46692.4,6300,0.97986,0,0,0.98997,1.22542e-05,0,0,1,0,0,0.0513304,0.898689,0.0499804
305371000,9610.29,-29728.8,6300,0.979709,0,0,0.990016,8.75263e-06,0,0,1,0,0,0.0499621,0.900362,0.0496763
246512000,10949.6,-46455.8,6360,0.97968,0,0,0.99022,0,0,0,1,0,0,0.04969,0.89945,0.05086
305371000,9601.66,-30065.8,6360,0.980281,0,0,0.989763,1.19849e-05,0,0,1,0,0,0.050754,0.899875,0.0493708
246512000,10903.6,-46222.5,6420,0.97909,0,0,0.99048,1.61125e-05,0,0,1,0,0,0.0493807,0.900099,0.0505207
305371000,9581.31,-30322.3,6420,0.979509,0,0,0.990303,1.18586e-05,0,0,1,0,0,0.0486448,0.90103,0.0503247
246512000,10855.1,-45989,6480,0.979679,0,0,0.99065,2.35396e-05,0,0,1,0,0,0.0516961,0.897763,0.0505413
305371000,9583.87,-30659.1,6480,0.980025,0,0,0.990033,1.266e-05,0,0,1,0,0,0.049501,0.899757,0.0507417
246512000,10819,-45756.9,6540,0.979539,0,0,0.99044,2.35396e-05,0,0,1,0,0,0.0508113,0.899733,0.049456
305371000,9563.75,-30939.5,6540,0.980006,0,0,0.99005,1.18183e-05,0,0,1,0,0,0.049627,0.90021,0.0501631
246512000,10784.1,-45524.2,6600,0.98004,0,0,0.99053,1.41236e-05,0,0,1,0,0,0.0498908,0.900078,0.0500308
305371000,9610.33,-31201.9,6600,0.979534,0,0,0.833108,0.000162314,0,0,1,0,0,0.00847652,0.150397,0.841126
246512000,10758,-45287.3,6660,0.97995,0,0,0.9904,9.4157e-06,0,0,1,0,0,0.0498905,0.902029,0.0480805
305371000,9623.74,-31493.3,6660,0.98006,0,0,0.832428,0.000162254,0,0,1,0,0,0.0071488,0.152528,0.840323
246512000,10733.1,-45055.1,6720,0.97937,0,0,0.98983,9.4157e-06,0,0,1,0,0,0.0491305,0.900759,0.0501105
305371000,9652.24,-31775.1,6720,0.980256,0,0,0.989995,8.95883e-06,0,0,1,0,0,0.0498849,0.899425,0.0506899
246512000,10698.3,-44817.1,6780,0.98044,0,0,0.98983,0,0,0,1,0,0,0.04932,0.90018,0.0505
305371000,9683.96,-32066,6780,0.979568,0,0,0.990141,1.02049e-05,0,0,1,0,0,0.050452,0.899499,0.0500492
246512000,10674.2,-44582.5,6840,0.97953,0,0,0.98994,4.70782e-06,0,0,1,0,0,0.0502103,0.899569,0.0502203
305371000,9712.64,-32365,6840,0.979953,0,0,0.833065,0.0001358,0,0,1,0,0,0.00826596,0.150314,0.84142
246512000,10647.3,-44345.6,6900,0.980199,0,0,0.98991,2.82477e-05,0,0,1,0,0,0.0492216,0.900667,0.0501116
305371000,9744.4,-32655.4,6900,0.979102,0,0,0.830643,0.000152213,0,0,1,0,0,0.00776598,0.153438,0.838796
246512000,10612.4,-44102.3,6960,0.980459,0,0,0.99025,2.35396e-05,0,0,1,0,0,0.0506113,0.899747,0.0496413
305371000,9768.95,-32934.3,6960,0.979807,0,0,0.99007,8.99892e-06,0,0,1,0,0,0.0508357,0.899523,0.0496412
246512000,10586.3,-43866.3,7020,0.98002,0,0,0.98956,4.70782e-06,0,0,1,0,0,0.0501303,0.900769,0.0491003
305371000,9797.3,-33224.9,7020,0.979468,0,0,0.990039,1.04866e-05,0,0,1,0,0,0.0496985,0.900975,0.0493262
246512000,10551.5,-43627.3,7080,0.98014,0,0,0.99033,2.47609e-05,0,0,1,0,0,0.0504459,0.899669,0.0498854
