mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
258217000,18414.5,9485.33,3720,0.97977,0.98967,1.8203e-05,0,0.247049,0,0.752951,0,0.0511205,0.898627,0.0502525
258265000,22706.9,13310.2,3720,0.979672,0.99043,0,0.245635,0,0,0,0.754365,0.0501303,0.900875,0.048995
258217000,18458.8,9291.2,3780,0.97985,0.98951,0,0,0.240865,0,0.759135,0,0.0487805,0.902364,0.0488551
258265000,22546.8,13162.6,3780,0.97981,0.99028,7.07942e-06,0.246807,0,0,0,0.753193,0.0496789,0.899673,0.0506478
258217000,18502.7,9104.48,3840,0.979357,0.98997,0,0,0.243617,0,0.756383,0,0.0496162,0.900331,0.0500525
258265000,22381.7,13026.2,3840,0.980161,0.9899,7.08015e-06,0.244657,0,0,0,0.755343,0.0501449,0.900893,0.0489618
258217000,18546.5,8911.54,3900,0.979431,0.99036,1.84951e-05,0,0.219697,0,0.780303,0,0.0502988,0.899188,0.0505134
258265000,22215.9,12887.6,3900,0.98009,0.98953,1.41831e-05,0.245554,0,0,0,0.754446,0.0499596,0.898841,0.0511991
258217000,18591.6,8715.88,3960,0.979691,0.99018,3.50639e-05,0,0.221702,0,0.778298,0,0.0496224,0.899336,0.0510419
258265000,22068.4,12751.4,3960,0.979887,0.9899,6.30833e-06,0.244639,0,0,0,0.755361,0.0491981,0.900431,0.0503706
258217000,18635.1,8526.63,4020,0.979125,0.99015,9.36345e-06,0,0.201207,0,0.798793,0,0.0512144,0.895359,0.0534269
258265000,21900.7,12612.1,4020,0.979551,0.99023,0,0.246308,0,0,0,0.753692,0.0499589,0.900301,0.0497402
258217000,18680.2,8341.75,4080,0.979107,0.98965,8.69802e-06,0,0.200453,0,0.799547,0,0.0502408,0.895939,0.0538207
258265000,21750,12472.1,4080,0.979001,0.98977,2.58675e-05,0.248539,0,0,0,0.751461,0.0508579,0.89841,0.050732
258217000,18722.7,8162.86,4140,0.977632,0.99031,0,0,0.152887,0,0.847113,0,0.0498078,0.894348,0.055844
258265000,21590,12329.2,4140,0.980224,0.98959,0,0.245589,0,0,0,0.754411,0.0491315,0.900247,0.0506216
258217000,18777.5,7987.57,4200,0.977381,0.99,1.51161e-05,0,0.151882,0,0.848118,0,0.0498322,0.894577,0.0555911
258265000,21428.6,12199.2,4200,0.980482,0.98995,1.43123e-05,0.245617,0,0,0,0.754383,0.0505315,0.89855,0.0509184
258217000,18818.9,7809.04,4260,0.977281,0.98976,0,0,0.154616,0,0.845384,0,0.0510456,0.892821,0.0561334
258265000,21268.6,12060.3,4260,0.97159,0.001506,0.00152032,0.0222902,0,0,0,0.97771,0.0663385,0.931956,0.00170584
258217000,18863.1,7626.37,4320,0.977152,0.98986,5.37247e-06,0,0.151275,0,0.848725,0,0.0481043,0.895788,0.0561073
258265000,21201.3,11883,4320,0.975296,0,1.44864e-05,0.017143,0,0,0,0.982857,0.0613912,0.938608,1.19675e-06
258217000,18909.8,7455.84,4380,0.976895,0.99042,1.79401e-05,0,0.153041,0,0.846959,0,0.05008,0.893409,0.0565112
258265000,21122,11698.7,4380,0.974825,0,1.3765e-05,0.0210441,0,0,0,0.978956,0.067015,0.932985,4.92932e-07
258217000,18955.2,7277.62,4440,0.977858,0.99043,0,0,0.153139,0,0.846861,0,0.0486655,0.894451,0.0568839
258265000,21066.5,11509,4440,0.974407,0,1.37452e-05,0.014799,0,0,0,0.985201,0.0618545,0.938145,8.5021e-07
258217000,18969.1,7110.7,4500,0.888613,0.00809588,0.00815229,0,0.697743,0,0.302257,0,0.251419,0.737602,0.0109793
258265000,21029.7,11304.3,4500,0.980914,0,1.62299e-05,3.67429e-06,0,0,0,0.999996,0.0866324,0.913366,1.36734e-06
258217000,18947.6,6941.36,4560,0.886317,0.00559496,0.00565288,0,0.699207,0,0.300793,0,0.25199,0.742618,0.0053923
258265000,20976.3,11104.6,4560,0.973404,0,1.71123e-05,4.22039e-06,0,0,0,0.999996,0.0302115,0.969788,0
258217000,18928.4,6779.82,4620,0.887349,0.00736272,0.00741433,0,0.696718,0,0.303282,0,0.250714,0.736729,0.0125578
258265000,20931.2,10900,4620,0.980679,0,1.3204e-05,3.22762e-06,0,0,0,0.999997,0.167077,0.832923,0
258217000,18905.9,6610.42,4680,0.888532,0.00516874,0.00522756,0,0.697194,0,0.302806,0,0.256588,0.736993,0.00641915
258265000,20897.2,10703.4,4680,0.985239,0,1.29403e-05,3.22949e-06,0,0,0,0.999997,0.0330665,0.966933,4.51993e-08
258217000,18891.7,6437.45,4740,0.886825,0.00406073,0.00412059,0,0.704866,0,0.295134,0,0.24738,0.747426,0.00519398
258265000,20859.7,10504.8,4740,0.954438,0,1.33611e-05,0.0279219,0,0,0,0.972078,0.0654983,0.934502,0
258217000,18871.9,6274.31,4800,0.649112,0.99047,7.51939e-05,0,0.0858876,0,0.914112,0,0.666353,0.315422,0.018225
258265000,20818.2,10309.1,4800,0.973532,0,1.2955e-05,0.0227302,0,0,0,0.97727,0.0668247,0.933175,0
258217000,18849.4,6111.89,4860,0.649704,0.98978,0.000153948,0,0.0865721,0,0.913428,0,0.666427,0.3146,0.0189724
258265000,20778.1,10108.9,4860,0.973904,0,1.30949e-05,0.0135009,0,0,0,0.986499,0.0614116,0.938588,0
258217000,18838,5948.97,4920,0.668683,0.0274473,0.027619,0,0.0838705,0,0.916129,0,0.660541,0.321577,0.0178828
258265000,20748,9915.3,4920,0.985557,0,1.22478e-05,2.99556e-06,0,0,0,0.999997,0.0344446,0.965555,0
258217000,18837.8,5781.43,4980,0.655863,0.0108248,0.0109985,0,0.0867257,0,0.913274,0,0.66368,0.31791,0.0184097
258265000,20705.4,9720.25,4980,0.939275,0,3.22288e-05,8.36083e-06,0,0,0,0.999992,0.195112,0.804888,0
258217000,18840,5615.59,5040,0.660608,0.0112965,0.011461,0,0.0873229,0,0.912677,0,0.667353,0.318569,0.0140786
258265000,20671.5,9531.33,5040,0.981173,0,1.71402e-05,4.39635e-06,0,0,0,0.999996,0.111979,0.888021,0
258217000,18859.6,5453.22,5100,0.765155,0,0.000120874,0,0.0563697,0,0.94363,0,0.779445,0.220555,0
258265000,20648.8,9330.84,5100,0.980113,0,1,0.246802,0,0,0,0.753198,0.0504376,0.949562,0
258217000,18881.6,5292.63,5160,0.67659,0,0.000164474,0,0.0832669,0,0.916733,0,0.691015,0.304112,0.00487366
258265000,20637.2,9130.91,5160,0.979766,0,1,0.247515,0,0,0,0.752485,0.0536177,0.946382,0
258217000,18892.5,5119.27,5220,0.622987,0,0.000200897,0,0.0973135,0,0.902686,0,0.64093,0.354065,0.00500535
258265000,20614.5,8948.99,5220,0.979711,0,1,0.236543,0,0,0,0.763457,0.0573958,0.942604,0
258217000,18914.6,4951.93,5280,0.692858,0,0.00016561,0,0.0845975,0,0.915403,0,0.708622,0.285659,0.00571957
258265000,20591.8,8749.98,5280,0.979944,0,1,0.241621,0,0,0,0.758379,0.0540213,0.945979,0
258217000,18936.7,4784.41,5340,0.592733,0,0.000205576,0,0.101341,0,0.898659,0,0.611858,0.356554,0.0315882
258265000,20580.2,8561.94,5340,0.979256,0,1,0.236147,0,0,0,0.763853,0.0509924,0.949008,0
258217000,18947.6,4616.92,5400,0.727212,0,0.000139477,0,0.0658417,0,0.934158,0,0.741377,0.257021,0.00160256
258265000,20557.6,8380.96,5400,0.979968,0,1,0.236783,0,0,0,0.763217,0.0559184,0.944082,0
258217000,18969.7,4475.21,5460,0.000182405,0,0.000186255,0,0.0528597,0,0.94714,0,9.33157e-06,0.999991,7.56373e-08
258265000,20534.9,8190.16,5460,0.979736,0,1,0.241136,0,0,0,0.758864,0.0505972,0.949403,0
258217000,18991.8,4315.75,5520,0.978917,0,1,0,0.2545,0,0.7455,0,0.0582579,0.941742,0
258265000,20523.4,8016.02,5520,0.979429,0,1,0.227681,0,0,0,0.772319,0.0510299,0.94897,0
258217000,19005.6,4159.38,5580,0.980095,0,1,0,0.243724,0,0.756276,0,0.0551137,0.944886,0
258265000,20488,7824.36,5580,0.979356,0,1,0.230091,0,0,0,0.769909,0.053114,0.946886,0
258217000,19036.1,4000.56,5640,0.980496,0,1,0,0.246131,0,0.753869,0,0.0527428,0.947257,0
258265000,20444.7,7646.49,5640,0.979893,0,1,0.2382,0,0,0,0.7618,0.0546497,0.94535,0
258217000,19058.2,3846.38,5700,0.980399,0,1,0,0.243056,0,0.756944,0,0.0490855,0.950915,0
258265000,20398.3,7464.13,5700,0.98027,0,1,0.251228,0,0,0,0.748772,0.0559525,0.944048,0
258217000,19080.3,3694.03,5760,0.980269,0,1,0,0.241125,0,0.758875,0,0.0499472,0.950053,0
258265000,20319.7,7282.29,5760,0.980153,0,1,0.245672,0,0,0,0.754328,0.0499185,0.950081,0
258217000,19102.4,3530.79,5820,0.980367,0,1,0,0.248025,0,0.751975,0,0.0535564,0.946444,0
258265000,20253.3,7116.11,5820,0.980265,0,1,0.245847,0,0,0,0.754153,0.0513554,0.948645,0
258217000,19135.7,3375,5880,0.980474,0,1,0,0.239775,0,0.760225,0,0.0479473,0.952053,0
258265000,20163.3,6949.3,5880,0.980293,0,1,0.248455,0,0,0,0.751545,0.0531555,0.946844,0
258217000,19257.1,3259.44,5940,0.979485,0,1,0,0.253116,0,0.746884,0,0.0506902,0.94931,0
258265000,20050,6798.15,5940,0.979906,0,1,0.251081,0,0,0,0.748919,0.0509787,0.949021,0
258217000,19378.7,3130.57,6000,0.979974,0,1,0,0.242663,0,0.757337,0,0.0510285,0.948971,0
258265000,19939.3,6653.03,6000,0.979844,0,1,0.237076,0,0,0,0.762924,0.0518631,0.948137,0
258217000,19489.6,3003.68,6060,0.980204,0,1,0,0.239511,0,0.760489,0,0.0511186,0.948881,0
258265000,19848.4,6503.19,6060,0.980142,0,1,0.24518,0,0,0,0.75482,0.0527832,0.947217,0
258217000,19613.3,2882.58,6120,0.980183,0,1,0,0.248204,0,0.751796,0,0.0515645,0.948435,0
258265000,19738.6,6358.87,6120,0.979708,0,1,0.237441,0,0,0,0.762559,0.0514791,0.948521,0
258217000,19721.1,2762.68,6180,0.979786,0,1,0,0.244807,0,0.755193,0,0.0541128,0.945887,0
258265000,19638.1,6217.19,6180,0.979553,0,1,0.241857,0,0,0,0.758143,0.0505503,0.94945,0
258217000,19839.3,2644.38,6240,0.980331,0,1,0,0.241271,0,0.758729,0,0.0518987,0.948101,0
258265000,19526.7,6071.68,6240,0.979757,0,1,0.239254,0,0,0,0.760746,0.0553616,0.944638,0
258217000,19962.3,2521.11,6300,0.979503,0,1,0,0.248705,0,0.751295,0,0.0522869,0.947713,0
258265000,19415.9,5925.33,6300,0.980051,0,1,0.24189,0,0,0,0.75811,0.0544762,0.945524,0
258217000,20075.5,2396.2,6360,0.980266,0,1,0,0.243601,0,0.756399,0,0.0534467,0.946553,0
258265000,19303.5,5774.42,6360,0.979967,0,1,0.242582,0,0,0,0.757418,0.0525597,0.94744,0
258217000,20199.2,2273.01,6420,0.979894,0,1,0,0.245843,0,0.754157,0,0.0518103,0.94819,0
258265000,19213.8,5618.61,6420,0.979556,0,1,0.238661,0,0,0,0.761339,0.053946,0.946054,0
258217000,20319.9,2152.54,6480,0.979838,0,1,0,0.247121,0,0.752879,0,0.0547521,0.945248,0
258265000,19100.6,5460.53,6480,0.980489,0,1,0.255694,0,0,0,0.744306,0.0532469,0.946753,0
258217000,20429.2,2026.65,6540,0.980365,0,1,0,0.242347,0,0.757653,0,0.0538255,0.946174,0
258265000,18990.6,5323.02,6540,0.980042,0,1,0.245409,0,0,0,0.754591,0.0511917,0.948808,0
258217000,20523.3,1890.3,6600,0.980439,0,1,0,0.239003,0,0.760997,0,0.0497155,0.950285,0
258265000,18899.7,5164.89,6600,0.980389,0,1,0.242369,0,0,0,0.757631,0.0511533,0.948847,0
258217000,20629.6,1775.78,6660,0.980214,0,1,0,0.241506,0,0.758494,0,0.0526317,0.947368,0
258265000,18790.2,5017.95,6660,0.979508,0,1,0.244783,0,0,0,0.755217,0.0519524,0.948048,0
258217000,20719.5,1651.34,6720,0.980258,0,1,0,0.244426,0,0.755574,0,0.0517179,0.948282,0
258265000,18672.7,4859.13,6720,0.980435,0,1,0.239533,0,0,0,0.760467,0.0507394,0.949261,0
258217000,20821.9,1515.54,6780,0.97996,0,1,0,0.245585,0,0.754415,0,0.0535604,0.94644,0
258265000,18565.4,4700.52,6780,0.979412,0,1,0.235155,0,0,0,0.764845,0.0539428,0.946057,0
258217000,20931.1,1383.41,6840,0.979636,0,1,0,0.246223,0,0.753777,0,0.0519605,0.94804,0
258265000,18455.3,4545.57,6840,0.981072,0,1,0.246118,0,0,0,0.753882,0.0538042,0.946196,0
258217000,21020.1,1246.08,6900,0.979795,0,1,0,0.247246,0,0.752754,0,0.0533125,0.946688,0
258265000,18355.1,4394.27,6900,0.979172,0,1,0.238451,0,0,0,0.761549,0.0502732,0.949727,0
258217000,21125.1,1111.13,6960,0.98033,0,1,0,0.243268,0,0.756732,0,0.0529123,0.947088,0
258265000,18247.8,4242.09,6960,0.980112,0,1,0.241387,0,0,0,0.758613,0.0531019,0.946898,0
258217000,21223.3,980.03,7020,0.98025,0,1,0,0.24542,0,0.75458,0,0.0529199,0.94708,0
258265000,18150.7,4099.06,7020,0.980265,0,1,0.248218,0,0,0,0.751782,0.0512519,0.948748,0
258217000,21325.5,850.592,7080,0.979728,0,1,0,0.246884,0,0.753116,0,0.0533595,0.946641,0
258265000,18040.3,3952.13,7080,0.978963,0,1,0.244012,0,0,0,0.755988,0.0521848,0.947815,0
258217000,21427.2,743.221,7140,0.98001,0,1,0,0.245983,0,0.754017,0,0.0523766,0.947623,0
258265000,17927.7,3803.3,7140,0.979527,0,1,0.249857,0,0,0,0.750143,0.0536918,0.946308,0
258217000,21548.2,659.629,7200,0.980421,0,1,0,0.246737,0,0.753263,0,0.0526793,0.947321,0
258265000,17840.3,3665.39,7200,0.979606,0,1,0.244447,0,0,0,0.755553,0.0524106,0.947589,0
258217000,21694.5,617.259,7260,0.979483,0,1,0,0.245039,0,0.754961,0,0.0524087,0.947591,0
258265000,17728.5,3517.02,7260,0.979954,0,1,0.248186,0,0,0,0.751814,0.0508288,0.949171,0
258217000,21864.1,606.174,7320,0.98048,0,1,0,0.245255,0,0.754745,0,0.0522664,0.947734,0
258265000,17619,3361.77,7320,0.980648,0,1,0.242774,0,0,0,0.757226,0.0517583,0.948242,0
258217000,22028.1,594.854,7380,0.979255,0,1,0,0.247702,0,0.752298,0,0.0530778,0.946922,0
258265000,17507.3,3204.09,7380,0.977104,0,1,0.245463,0,0,0,0.754537,0.0505049,0.949495,0
258217000,22177.7,565.62,7440,0.980636,0,1,0,0.244455,0,0.755545,0,0.0524918,0.947508,0
258265000,17394.3,3045.81,7440,0.980264,0,1,0.246167,0,0,0,0.753833,0.0533053,0.946695,0
258217000,22304.1,488.966,7500,0.979664,0,1,0,0.243926,0,0.756074,0,0.0525504,0.94745,0
258265000,17284.5,2899.35,7500,0.979814,0,1,0.244378,0,0,0,0.755622,0.053002,0.946998,0
258217000,22402.1,418.647,7560,0.980199,0,1,0,0.247228,0,0.752772,0,0.0535386,0.946461,0
258265000,17171,2757.87,7560,0.979743,0,1,0.248134,0,0,0,0.751866,0.0521992,0.947801,0
258217000,22522.6,341.944,7620,0.98105,0,1,0,0.244114,0,0.755886,0,0.052663,0.947337,0
258265000,17073.4,2611.63,7620,0.980043,0,1,0.24928,0,0,0,0.75072,0.0520013,0.947999,0
258217000,22647.5,265.837,7680,0.980549,0,1,0,0.245329,0,0.754671,0,0.0522939,0.947706,0
258265000,16961,2461.42,7680,0.97977,0,1,0.245823,0,0,0,0.754177,0.0527549,0.947245,0
258217000,22798.6,292.669,7740,0.980579,0,1,0,0.248122,0,0.751878,0,0.0531915,0.946808,0
258265000,16850.4,2315.71,7740,0.980148,0,1,0.249667,0,0,0,0.750333,0.0523764,0.947624,0
258217000,22910,438.696,7800,0.979871,0,1,0,0.247072,0,0.752928,0,0.052738,0.947262,0
258265000,16740.3,2171.41,7800,0.979434,0,1,0.249636,0,0,0,0.750364,0.0555828,0.944417,0
