mmsi,x,y,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
220295000,-14909.3,14424.8,5340,0.97988,0,0,0.99034,0,1,0,0,0,0,0.04858,0.90141,0.05001
246900000,-12168.5,5640.63,5340,0.98012,0,0,0.98957,0,0,1,0,0,0,0.0512,0.89776,0.05104
220295000,-14670.4,14299.1,5400,0.97955,0,0,0.99002,9.01251e-06,1,0,0,0,0,0.04925,0.90129,0.04946
246900000,-12045.9,5918.88,5400,0.97989,0,0,0.98964,0,0,1,0,0,0,0.05047,0.90055,0.04898
220295000,-14442,14176.2,5460,0.97908,0,0,0.99083,1.8025e-05,1,0,0,0,0,0.0513791,0.898701,0.0499201
246900000,-11923.3,6197.12,5460,0.97987,0,0,0.99009,9.01251e-06,0,1,0,0,0,0.05002,0.89859,0.0513901
220295000,-14192.8,14054.3,5520,0.98092,0,0,0.98942,0,1,0,0,0,0,0.0509909,0.898769,0.05024
246900000,-11800.7,6475.4,5520,0.980699,0,0,0.98967,0,0,1,0,0,0,0.049695,0.900362,0.0499433
220295000,-13960.9,13930.8,5580,0.97978,0,0,0.99005,9.01249e-06,1,0,0,0,0,0.0498417,0.899148,0.05101
246900000,-11678.1,6753.61,5580,0.980572,0,0,0.98973,1.80251e-05,0,1,0,0,0,0.0489803,0.900343,0.0506768
220295000,-13719.4,13805.4,5640,0.98017,0,0,0.98986,9.01248e-06,1,0,0,0,0,0.0500625,0.899388,0.0505499
246900000,-11555.4,7031.79,5640,0.980213,0,0,0.99001,1.80251e-05,0,1,0,0,0,0.0494094,0.901066,0.049525
220295000,-13492.6,13685.7,5700,0.97974,0,0,0.99012,0,1,0,0,0,0,0.0495041,0.899936,0.0505598
246900000,-11432.7,7309.96,5700,0.979665,0,0,0.98961,9.01255e-06,0,1,0,0,0,0.0503791,0.900879,0.0487416
220295000,-13254.4,13562.7,5760,0.97965,0,0,0.98962,9.01246e-06,1,0,0,0,0,0.0504851,0.898845,0.0506698
246900000,-11310,7588.12,5760,0.980035,0,0,0.98992,9.01265e-06,0,1,0,0,0,0.0499306,0.899209,0.05086
220295000,-13016.1,13439.7,5820,0.979293,0,0,0.99022,9.01073e-06,1,0,0,0,0,0.0499366,0.899824,0.0502392
246900000,-11187.3,7866.25,5820,0.980022,0,0,0.9898,9.01918e-06,0,1,0,0,0,0.0505824,0.89978,0.049638
220295000,-12778,13316.7,5880,0.980575,0,0,0.98956,9.00567e-06,1,0,0,0,0,0.0501056,0.899632,0.050262
246900000,-11064.2,8146.94,5880,0.979808,0,0,0.99004,0,0,1,0,0,0,0.0500673,0.900888,0.0490448
220295000,-12536.7,13190.9,5940,0.9806,0,0,0.98974,0,1,0,0,0,0,0.0489875,0.900605,0.0504078
246900000,-10941.1,8427.61,5940,0.979924,0,0,0.99013,2.882e-05,0,1,0,0,0,0.0500199,0.896976,0.0530038
220295000,-12295.8,13070.9,6000,0.980882,0,0,0.98957,0,1,0,0,0,0,0.0476696,0.900519,0.0518112
246900000,-10849.6,8709.1,6000,0.977239,0,0,0.99044,2.76235e-05,0,1,0,0,0,0.0523269,0.928811,0.0188623
220295000,-12058.3,12949,6060,0.980436,0,0,0.99025,7.21003e-06,1,0,0,0,0,0.0470289,0.902971,0.0500004
246900000,-10758.6,8990.65,6060,0.97857,0,0,0.98925,2.23794e-05,0,1,0,0,0,0.0526227,0.929149,0.0182279
220295000,-11823.4,12827.2,6120,0.980037,0,0,0.99007,1.21322e-05,1,0,0,0,0,0.047766,0.900958,0.0512762
246900000,-10693.9,9268.9,6120,0.978772,0,0,0.99023,1.36547e-05,0,1,0,0,0,0.0521237,0.929983,0.0178936
220295000,-11588.7,12705.4,6180,0.979789,0,0,0.99022,1.2331e-05,1,0,0,0,0,0.0476824,0.901323,0.0509942
246900000,-10778.5,9528.62,6180,0.97838,0,0,0.99038,1.31904e-05,0,1,0,0,0,0.0512956,0.929478,0.0192268
220295000,-11354,12583.7,6240,0.979927,0,0,0.99022,2.41818e-05,1,0,0,0,0,0.0469044,0.90358,0.0495159
246900000,-10863.1,9788.36,6240,0.978024,0,0,0.99004,1.59842e-05,0,1,0,0,0,0.0522071,0.92929,0.018503
220295000,-11119.3,12462,6300,0.980096,0,0,0.98994,6.09563e-06,1,0,0,0,0,0.0464387,0.903298,0.0502634
246900000,-10947.7,10048.1,6300,0.978006,0,0,0.98984,1.43083e-05,0,1,0,0,0,0.0510458,0.930572,0.0183819
220295000,-10875.8,12336.8,6360,0.980322,0,0,0.9899,6.00964e-06,1,0,0,0,0,0.045458,0.904442,0.0500997
246900000,-11032.2,10307.9,6360,0.978094,0,0,0.99032,1.28314e-05,0,1,0,0,0,0.0517925,0.930071,0.0181368
220295000,-10648.8,12217.8,6420,0.979808,0,0,0.99023,5.45579e-06,1,0,0,0,0,0.0448648,0.904052,0.0510832
246900000,-11116.7,10567.6,6420,0.978199,0,0,0.99001,1.2831e-05,0,1,0,0,0,0.0515745,0.928407,0.0200182
220295000,-10404.6,12093.5,6480,0.980298,0,0,0.98984,1.58641e-05,1,0,0,0,0,0.0466184,0.901682,0.0516992
246900000,-11201.3,10827.4,6480,0.978533,0,0,0.98972,1.3419e-05,0,1,0,0,0,0.050958,0.930858,0.0181837
220295000,-10174,11970.8,6540,0.980109,0,0,0.99004,0,1,0,0,0,0,0.0458535,0.903441,0.050706
246900000,-11256.6,11099.9,6540,0.978189,0,0,0.99022,1.54207e-05,0,1,0,0,0,0.0529725,0.929087,0.0179401
220295000,-9940.11,11849.2,6600,0.979871,0,0,0.99029,1.00573e-05,1,0,0,0,0,0.0463914,0.904355,0.0492536
246900000,-11280.9,11386,6600,0.978356,0,0,0.99043,1.58394e-05,0,1,0,0,0,0.0528349,0.927851,0.019314
220295000,-9704.14,11725.9,6660,0.980089,0,0,0.99036,0,1,0,0,0,0,0.0456712,0.904002,0.0503264
246900000,-11305.2,11672.2,6660,0.978082,0,0,0.98965,1.20087e-05,0,1,0,0,0,0.0523744,0.930152,0.0174736
220295000,-9463.38,11601.9,6720,0.980097,0,0,0.99018,1.40887e-05,1,0,0,0,0,0.0463073,0.902658,0.0510351
246900000,-11329.4,11958.3,6720,0.978706,0,0,0.98934,1.64267e-05,0,1,0,0,0,0.0537671,0.93011,0.0161228
220295000,-9236.22,11469.2,6780,0.98021,0,0,0.98983,1.42876e-05,1,0,0,0,0,0.0468881,0.903149,0.0499629
246900000,-11353.6,12244.4,6780,0.978266,0,0,0.99013,1.3227e-05,0,1,0,0,0,0.0520425,0.929044,0.0189132
220295000,-9011.07,11335.6,6840,0.980142,0,0,0.99024,3.03621e-05,1,0,0,0,0,0.0468787,0.902953,0.050168
246900000,-11353.7,12526.8,6840,0.978763,0,0,0.98978,1.688e-05,0,1,0,0,0,0.0513899,0.930213,0.0183973
220295000,-8785.91,11202,6900,0.98051,0,0,0.99,4.69273e-06,1,0,0,0,0,0.0483081,0.901863,0.0498284
246900000,-11217.6,12787.5,6900,0.978333,0,0,0.98967,1.4346e-05,0,1,0,0,0,0.053091,0.928373,0.0185358
220295000,-8560.75,11068.5,6960,0.979442,0,0,0.99015,2.60802e-05,1,0,0,0,0,0.044624,0.906383,0.0489927
246900000,-11081.4,13048.2,6960,0.978049,0,0,0.98961,1.40608e-05,0,1,0,0,0,0.0517615,0.929569,0.0186697
220295000,-8330.72,10924.2,7020,0.980192,0,0,0.99052,1.25434e-05,1,0,0,0,0,0.0443569,0.90585,0.0497928
246900000,-10945.3,13308.9,7020,0.978131,0,0,0.98979,1.34896e-05,0,1,0,0,0,0.0530313,0.930774,0.0161942
220295000,-8115.79,10790.9,7080,0.980193,0,0,0.98964,4.26083e-06,1,0,0,0,0,0.0459149,0.904419,0.0496656
246900000,-10807.3,13569.7,7080,0.97807,0,0,0.98999,1.67273e-05,0,1,0,0,0,0.0516446,0.932319,0.0160365
220295000,-7899.54,10654.4,7140,0.979714,0,0,0.98999,1.22097e-05,1,0,0,0,0,0.0459581,0.902567,0.0514752
246900000,-10655.1,13831.9,7140,0.978348,0,0,0.99005,1.28188e-05,0,1,0,0,0,0.0513744,0.931147,0.0174787
220295000,-7667.03,10512.1,7200,0.980196,0,0,0.99003,4.11974e-06,1,0,0,0,0,0.0446336,0.905179,0.0501878
246900000,-10502.9,14094.1,7200,0.978211,0,0,0.99002,1.39362e-05,0,1,0,0,0,0.0512464,0.932862,0.0158919
220295000,-7451.76,10377.5,7260,0.97914,0,0,0.99,1.25267e-05,1,0,0,0,0,0.0460898,0.902892,0.0510184
246900000,-10352.1,14356.7,7260,0.978268,0,0,0.99042,1.44039e-05,0,1,0,0,0,0.0510476,0.928963,0.0199893
220295000,-7224.03,10235.1,7320,0.979852,0,0,0.9892,8.09556e-06,1,0,0,0,0,0.044045,0.905837,0.0501176
246900000,-10203,14619.9,7320,0.978155,0,0,0.98999,1.42194e-05,0,1,0,0,0,0.0511419,0.929256,0.0196022
220295000,-7004.76,10096.1,7380,0.979326,0,0,0.98976,1.23376e-05,1,0,0,0,0,0.045,0.903966,0.0510344
246900000,-10053.8,14883.2,7380,0.978449,0,0,0.98948,1.23842e-05,0,1,0,0,0,0.0537586,0.927211,0.0190299
220295000,-6783.58,9956.77,7440,0.980112,0,0,0.99011,8.37001e-06,1,0,0,0,0,0.0470476,0.90225,0.0507021
246900000,-9904.6,15146.4,7440,0.978543,0,0,0.99014,1.26281e-05,0,1,0,0,0,0.0514764,0.928706,0.019818
220295000,-6556.95,9816.89,7500,0.980651,0,0,0.99002,0,1,0,0,0,0,0.0456047,0.903756,0.0506393
246900000,-9754.93,15409.6,7500,0.978436,0,0,0.98995,1.55869e-05,0,1,0,0,0,0.0518773,0.928666,0.0194562
220295000,-6330.31,9677.03,7560,0.980437,0,0,0.99014,0,1,0,0,0,0,0.0470001,0.902965,0.0500354
246900000,-9604.79,15672.9,7560,0.97837,0,0,0.9903,1.48823e-05,0,1,0,0,0,0.0510259,0.930086,0.0188877
220295000,-6108.12,9535.22,7620,0.980723,0,0,0.99004,1.22501e-05,1,0,0,0,0,0.0451587,0.905016,0.0498254
246900000,-9454.52,15936.2,7620,0.978591,0,0,0.98996,1.71326e-05,0,1,0,0,0,0.0512998,0.930089,0.0186113
220295000,-5881.59,9392.82,7680,0.980796,0,0,0.99054,0,1,0,0,0,0,0.0461477,0.903629,0.0502238
246900000,-9304.24,16199.4,7680,0.97841,0,0,0.99044,1.59787e-05,0,1,0,0,0,0.0535999,0.927354,0.0190458
220295000,-5668.29,9257.75,7740,0.979868,0,0,0.99008,4.11624e-06,1,0,0,0,0,0.0454046,0.904648,0.0499473
246900000,-9154.04,16462.7,7740,0.978689,0,0,0.99028,1.38594e-05,0,1,0,0,0,0.0512228,0.930446,0.0183309
220295000,-5438.19,9113.82,7800,0.980056,0,0,0.98994,1.21695e-05,1,0,0,0,0,0.0469581,0.902858,0.0501835
246900000,-9003.72,16725.9,7800,0.978411,0,0,0.99031,1.36178e-05,0,1,0,0,0,0.0519628,0.929621,0.0184163
