mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
257029700,6350.85,2140.6,3720,0.979547,0.99077,0,0,0,0,1,0,0.0476992,0.902264,0.0500368
257060530,3410.52,93.7738,3720,0.979299,0.99,0,0,0,0,0,1,0.0513319,0.897213,0.0514551
257029700,6568.86,2480.12,3780,0.97989,0.98997,9.60729e-06,0,0,0,1,0,0.0490473,0.901293,0.0496599
257060530,4123.57,568.159,3780,0.979136,0.99032,0,0,0,0,0,1,0.0496222,0.900336,0.050042
257029700,6830.33,2779.72,3840,0.713716,0.0163802,0.0165664,0,0,0,1,0,0.712248,0.273075,0.014677
257060530,4827.55,1043.04,3840,0.981291,0.99055,2.16868e-05,0,0,0,0,1,0.0496663,0.888084,0.0622501
257029700,7099.87,2988.92,3900,0.717135,0,0.000261181,0,0,0,1,0,0.735187,0.224082,0.0407309
257060530,5564.68,1531.9,3900,0.979309,0.98944,1.52767e-05,0,0,0,0,1,0.0521215,0.946977,0.000901952
257029700,7393.28,3205.02,3960,0.69356,3.43398e-05,0.000223101,0,0,0,1,0,0.708684,0.273074,0.018242
257060530,6296.49,1953.84,3960,0.980137,0.99029,3.73845e-06,0,0,0,0,1,0.050495,0.885898,0.0636071
257029700,7678.78,3416.33,4020,0.000162881,0,0.000221102,0,0,0,1,0,0.999945,5.12003e-05,3.74882e-06
257060530,6987.63,2450.45,4020,0.979816,0.99006,9.49438e-06,0,0,0,0,1,0.0513476,0.88265,0.0660023
257029700,7960.74,3636.65,4080,0.725107,0,1,0,0,0,1,0,0.741094,0.252498,0.00640846
257060530,7666.01,2941.88,4080,0.979574,0.99003,1.72711e-05,0,0,0,0,1,0.049543,0.882748,0.0677092
257029700,8248.6,3835.3,4140,0.727713,0,1,0,0,0,1,0,0.743056,0.238062,0.0188821
257060530,8334.89,3436.85,4140,0.98003,0.9899,1.43319e-05,0,0,0,0,1,0.0466576,0.884385,0.0689573
257029700,8554.63,4034.69,4200,0.701624,0.0216007,0.0218174,0,0,0,1,0,0.716317,0.248349,0.0353337
257060530,9003.83,3935.07,4200,0.980173,0.98981,1.08623e-05,0,0,0,0,1,0.0457854,0.884124,0.0700907
257029700,8839.49,4229.02,4260,0.771745,8.96667e-05,0.00029503,0,0,0,1,0,0.786014,0.213975,1.08972e-05
257060530,9699.35,4425.72,4260,0.979562,0.98965,1.74311e-05,0,0,0,0,1,0.050096,0.899521,0.0503825
257029700,9131.37,4412.01,4320,0.76206,4.55797e-05,0.00027587,0,0,0,1,0,0.778751,0.221239,1.06184e-05
257060530,10375.3,4923.4,4320,0.980017,0.98995,2.65439e-05,0,0,0,0,1,0.0489875,0.897416,0.0535967
257029700,9422.37,4599.42,4380,0.872905,0,0.000240316,0,0,0,1,0,0.890596,0.109389,1.55299e-05
257060530,11044.5,5423.26,4380,0.980538,0.98989,1.85787e-05,0,0,0,0,1,0.0519984,0.895735,0.0522671
257029700,9708.7,4785.68,4440,0.585921,0,0.000223045,0,0,0,1,0,0.600247,0.299394,0.100359
257060530,11694.3,5924.66,4440,0.97999,0.99004,1.00933e-05,0,0,0,0,1,0.0474385,0.900365,0.0521965
257029700,9995.61,4976.4,4500,0.729108,8.44258e-05,0.0003763,0,0,0,1,0,0.750224,0.24976,1.66419e-05
257060530,12308.9,6449.41,4500,0.980164,0.98962,6.28552e-06,0,0,0,0,1,0.0493051,0.89658,0.0541146
257029700,10277.4,5161.54,4560,0.483133,0,0.000141616,0,0,0,1,0,0.492298,0.380803,0.126899
257060530,12958.2,7007.46,4560,0.980072,0.98976,1.07663e-05,0,0,0,0,1,0.0534147,0.893274,0.0533108
257029700,10583.6,5347.74,4620,0.990167,0,0.000213673,0,0,0,1,0,0.999797,0.000191181,1.19838e-05
257060530,13574,7571.74,4620,0.980041,0.991088,8.68327e-06,0,0,0,0,1,0.0473474,0.898664,0.0539887
257029700,10870.1,5530.97,4680,0.607969,0.447308,0.447365,0,0,0,1,0,0.164516,0.835481,3.2273e-06
257060530,14080.3,8245.05,4680,0.980721,0.988406,1.64319e-05,0,0,0,0,1,0.0497999,0.896827,0.0533728
257029700,11161.9,5724.49,4740,0.952469,0.00961829,0.0100535,0,0,0,1,0,0.999587,0.000393195,2.00244e-05
257060530,14418.6,9018.58,4740,0.980108,0.990464,1.52373e-05,0,0,0,0,1,0.0516896,0.895996,0.0523144
