mmsi,x,y,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
375219000,20818.5,17559.4,3720,0.980041,0,0,0.98982,9.21356e-06,0,0,1,0,0,0.0489532,0.900184,0.0508627
538005655,15268.6,11043,3720,0.980143,0,0,0.98992,9.19901e-06,0,0,1,0,0,0.0502058,0.898861,0.0509332
375219000,20593.4,17339.9,3780,0.978906,0,0,0.99021,0,0,0,1,0,0,0.049417,0.897035,0.0535476
538005655,15474,11272.7,3780,0.978809,0,0,0.99065,2.93082e-05,0,0,1,0,0,0.0501239,0.894473,0.0554027
375219000,20367.2,17103.6,3840,0.978156,0,0,0.99028,3.14883e-05,0,0,1,0,0,0.0493685,0.893456,0.0571754
538005655,15682.1,11518.3,3840,0.977965,0,0,0.9904,3.14721e-05,0,0,1,0,0,0.0500399,0.891775,0.0581855
375219000,20127.6,16871.3,3900,0.97658,0,0,0.99015,2.57008e-05,0,0,1,0,0,0.0496969,0.885875,0.0644281
538005655,15885.2,11755.5,3900,0.977337,0,0,0.9903,2.35139e-05,0,0,1,0,0,0.0494493,0.886184,0.0643664
375219000,19920.4,16631.6,3960,0.977703,0,0,0.99013,1.51931e-05,0,0,1,0,0,0.0466081,0.878359,0.0750333
538005655,16090,11998,3960,0.976743,0,0,0.98994,2.73289e-05,0,0,1,0,0,0.0474964,0.877212,0.0752919
375219000,19704.2,16369.3,4020,0.963468,0,0,0.99063,8.84579e-05,0,0,1,0,0,0.050516,0.94848,0.00100376
538005655,16294.5,12239.4,4020,0.976331,0,0,0.98958,1.66268e-05,0,0,1,0,0,0.0486358,0.86052,0.0908446
375219000,19515.9,16115.3,4080,0.96319,0,0,0.99008,2.04255e-05,0,0,1,0,0,0.0525829,0.946323,0.00109434
538005655,16497.4,12485.2,4080,0.97061,0,0,0.98991,2.05175e-05,0,0,1,0,0,0.0455977,0.833327,0.121075
375219000,19340.7,15841.2,4140,0.963335,0,0,0.9897,3.60955e-05,0,0,1,0,0,0.0493959,0.949331,0.00127267
538005655,16691.8,12727.7,4140,0.962653,0,0,0.9898,2.77073e-05,0,0,1,0,0,0.0440159,0.790545,0.165439
375219000,19172.9,15567.8,4200,0.963028,0,0,0.98953,9.75151e-06,0,0,1,0,0,0.0525209,0.94613,0.00134894
538005655,16889.5,12971.3,4200,0.970874,0,0,0.98974,1.98697e-05,0,0,1,0,0,0.0463637,0.834844,0.118792
375219000,19004.4,15293.5,4260,0.963445,0,0,0.99027,9.00953e-06,0,0,1,0,0,0.0526011,0.946207,0.00119147
538005655,17090,13215.6,4260,0.969122,0,0,0.99017,2.25422e-05,0,0,1,0,0,0.0471296,0.817975,0.134896
375219000,18824.2,15015.5,4320,0.963735,0,0,0.98988,3.7879e-05,0,0,1,0,0,0.0531179,0.945916,0.000966333
