mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
210445000,12038.2,9211.61,720,0.97964,0.98933,6.17606e-06,0,1,0,0,0,0.0495301,0.897746,0.0527238
219829000,16079.9,9813.88,720,0.981022,0.99048,0,1,0,0,0,0,0.0465927,0.905331,0.0480766
210445000,12299.3,9096.31,780,0.979326,0.98982,0,0,1,0,0,0,0.0497122,0.890972,0.0593154
219829000,16011.7,9678.49,780,0.980037,0.99009,9.7938e-06,1,0,0,0,0,0.04602,0.903261,0.0507191
210445000,12560.4,8981.09,840,0.975963,0.98996,1.54178e-05,0,1,0,0,0,0.0485525,0.886569,0.0648786
219829000,15944.4,9545.71,840,0.980488,0.99023,0,1,0,0,0,0,0.047147,0.902884,0.0499685
210445000,12821.4,8865.82,900,0,0.98945,2.14445e-05,0,1,0,0,0,0.0493929,0.901027,0.0495798
219829000,15877.8,9413.05,900,0.980864,0.98971,2.92435e-05,1,0,0,0,0,0.0446501,0.904242,0.0511077
210445000,13082.6,8750.56,960,0,0.98996,1.58851e-05,0,1,0,0,0,0.0500449,0.900405,0.0495502
219829000,15809.7,9278.71,960,0.979731,0.99032,2.86776e-05,1,0,0,0,0,0.0433245,0.905773,0.0509021
210445000,13343.7,8635.38,1020,0,0.99012,1.72678e-05,0,1,0,0,0,0.0513846,0.899188,0.0494274
219829000,15745.7,9146.99,1020,0.98006,0.98966,0,1,0,0,0,0,0.0426192,0.906407,0.0509741
210445000,13603.8,8518.96,1080,0,0.99005,9.03647e-06,0,1,0,0,0,0.0506734,0.8991,0.0502269
219829000,15684.1,9014.24,1080,0.979815,0.99019,2.81542e-05,1,0,0,0,0,0.0432211,0.907518,0.0492609
210445000,13844.8,8352.53,1140,0,0.9894,2.01771e-05,0,1,0,0,0,0.0490419,0.900856,0.0501017
219829000,15620.6,8879.58,1140,0.98073,0.99032,0,1,0,0,0,0,0.0428605,0.907269,0.0498705
210445000,14068.2,8172.64,1200,0,0.98982,1.37332e-05,0,1,0,0,0,0.0515544,0.898875,0.0495709
219829000,15557.2,8751.25,1200,0.979712,0.99024,0,1,0,0,0,0,0.0454022,0.903451,0.0511464
210445000,14291.6,7992.84,1260,0,0.98995,1.30745e-05,0,1,0,0,0,0.0499194,0.89926,0.0508209
219829000,15497.7,8616.88,1260,0.98039,0.99013,3.60255e-05,1,0,0,0,0,0.0434234,0.905194,0.051383
210445000,14515,7813,1320,0,0.98968,1.21276e-05,0,1,0,0,0,0.0499744,0.90135,0.0486755
