mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
210169000,8869.94,10233.6,1860,0.935444,0.99047,2.2878e-05,0,0,1,0,0,0.039917,0.70638,0.253703
375219000,12517.2,8625.8,1860,0.962881,0.9899,7.21329e-05,0,0,1,0,0,0.0454385,0.822329,0.132232
210169000,9288.81,10005.3,1920,0,0.98964,3.57295e-05,0,0,1,0,0,0.0500587,0.898462,0.0514798
375219000,12257.9,8735.77,1920,0.923605,0.99059,0.000105454,0,0,1,0,0,0.0350502,0.626005,0.338944
210169000,9737.51,9758.27,1980,0,0.98985,2.34927e-05,0,0,1,0,0,0.051098,0.893473,0.0554289
375219000,11983,8843.32,1980,0.840151,0.99028,0.000118027,0,0,1,0,0,0.0165315,0.287848,0.695621
210169000,10175.4,9495.79,2040,0,0.99011,2.71885e-05,0,0,1,0,0,0.0495177,0.894565,0.0559175
375219000,11701.4,8944.36,2040,0.826963,0.98988,6.93887e-06,0,0,1,0,0,0.0067345,0.226315,0.76695
210169000,10625,9220.72,2100,0,0.98968,2.14947e-05,0,0,1,0,0,0.0522195,0.892378,0.055403
375219000,11426.6,9050.93,2100,0.805835,0.99007,8.12777e-06,0,0,1,0,0,0.00568231,0.171928,0.82239
210169000,11076.3,8950.95,2160,0,0.9899,1.34237e-05,0,0,1,0,0,0.0479212,0.897197,0.0548823
375219000,11165.1,9151.95,2160,0.828677,0.98956,7.28783e-06,0,0,1,0,0,0.0117794,0.233642,0.754579
210169000,11529.7,8681.59,2220,0,0.99056,2.57175e-05,0,0,1,0,0,0.0500008,0.893369,0.0566302
375219000,10866.5,9260.79,2220,0.828627,0.9896,8.96727e-06,0,0,1,0,0,0.0132652,0.248552,0.738183
210169000,11993.2,8406.32,2280,0,0.9898,2.25672e-05,0,0,1,0,0,0.0515606,0.895284,0.053155
375219000,10614.3,9377.15,2280,0.829924,0.98935,1.26109e-05,0,0,1,0,0,0.0157135,0.224749,0.759538
210169000,12449.3,8136.08,2340,0,0.99004,2.79274e-05,0,0,1,0,0,0.0503114,0.89831,0.0513788
375219000,10344.3,9517.03,2340,0.839193,0.99031,5.3539e-06,0,0,1,0,0,0.0119394,0.214566,0.773495
210169000,12863.1,7887.79,2400,0,0.98971,1.62747e-05,0,0,1,0,0,0.0496651,0.893545,0.0567903
375219000,10091.4,9653.83,2400,0.847918,0.99016,5.97278e-06,0,0,1,0,0,0.0227658,0.243746,0.733488
210169000,13235.4,7641.76,2460,0,0.99026,8.91627e-06,0,0,1,0,0,0.0486203,0.89952,0.05186
375219000,9831.6,9794.56,2460,0.751704,0.992611,8.98499e-06,0,0,1,0,0,0.0240155,0.419595,0.556389
210169000,13517.1,7371.89,2520,0,0.989418,4.06404e-05,0,0,1,0,0,0.0520026,0.896512,0.0514856
375219000,9590.93,9939.97,2520,0.761185,0.987693,5.24879e-06,0,0,1,0,0,0.00961984,0.326796,0.663585
210169000,13724.5,7093.77,2580,0,0.989323,2.75002e-05,0,0,1,0,0,0.0498115,0.898548,0.051641
375219000,9330.66,10080.1,2580,0.757525,0.99202,1.48994e-05,0,0,1,0,0,0.0118667,0.338097,0.650036
210169000,13894.7,6806.67,2640,0,0.989382,2.50859e-05,0,0,1,0,0,0.0535954,0.894999,0.051406
375219000,9090.43,10216.7,2640,0.766576,0.989453,1.38508e-05,0,0,1,0,0,0.0133313,0.333657,0.653012
210169000,14043.1,6528.7,2700,7.27442e-05,0.98962,9.52171e-05,0,0,1,0,0,0.0500937,0.897874,0.052032
375219000,8834.64,10364.9,2700,0.773825,0.975891,1.51683e-05,0,0,1,0,0,0.0249067,0.39498,0.580114
210169000,14174.3,6262.57,2760,0.000113107,0.990175,0.000135559,0,0,1,0,0,0.0534175,0.893409,0.0531734
375219000,8606.09,10535.8,2760,0.761331,0.992055,1.43108e-05,0,0,1,0,0,0.00652093,0.348316,0.645163
210169000,14320.7,5988.41,2820,2.2532e-05,0.9895,5.17755e-05,0,0,1,0,0,0.0469957,0.901702,0.0513027
375219000,8381.95,10727.2,2820,0.750894,0.988598,1.73321e-05,0,0,1,0,0,0.0118229,0.313261,0.674916
210169000,14452.9,5724.43,2880,0.000761805,0.989552,0.000776257,0,0,1,0,0,0.049134,0.899773,0.0510927
375219000,8198.92,10961,2880,0.745312,0.989739,0.00082834,0,0,1,0,0,0.0133081,0.366874,0.619818
210169000,14633.9,5485.68,2940,0.00184317,0.990073,0.00186049,0,0,1,0,0,0.049652,0.898113,0.0522355
375219000,8066.21,11220.5,2940,0.747079,0.993758,1.38054e-05,0,0,1,0,0,0.037472,0.344498,0.61803
210169000,14808.7,5285.78,3000,0.00192972,0.98938,0.00195453,0,0,1,0,0,0.0508591,0.897729,0.0514123
375219000,7977.85,11483.3,3000,0.777539,0.992441,2.22223e-05,0,0,1,0,0,0.0102132,0.407373,0.582414
