mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
257055730,7816.44,4492.71,420,0.96046,0.98971,2.22525e-05,0,0,1,0,0,0.0432987,0.772538,0.184163
257560700,9485.93,2461.66,420,0.160719,0.162114,0.163024,0,0,1,0,0,0.0442291,0.914455,0.0413157
257055730,8432.01,3820.86,480,0.959868,0.99016,4.78992e-05,0,0,1,0,0,0.0408287,0.777129,0.182042
257560700,9307.03,2661.2,480,0.00139381,0,0.00142141,0,0,1,0,0,0.0512921,0.911169,0.0375386
257055730,9100.44,3188,540,0.953361,0.99051,5.50133e-05,0,0,1,0,0,0.0549222,0.94258,0.00249773
257560700,9108.99,2881.14,540,0.00155605,0,0.00158472,0,0,1,0,0,0.0252354,0.974765,0
257055730,9744.7,2560.79,600,0.951547,0.98999,7.17914e-05,0,0,1,0,0,0.0583637,0.938866,0.00277079
257560700,8898.72,3105.31,600,0.00120193,0,0.00122879,0,0,1,0,0,0.0381589,0.961839,2.46253e-06
257055730,10367.8,1886.32,660,0.953358,0.99002,5.89544e-05,0,0,1,0,0,0.0483048,0.949075,0.00262016
257560700,8703.06,3340.55,660,0.00134145,0,0.00137043,0,0,1,0,0,0.0701315,0.929866,2.41556e-06
257055730,10983.1,1215.54,720,0.951254,0.98969,7.82251e-05,0,0,1,0,0,0.0521603,0.944597,0.00324297
257560700,8506.41,3573.92,720,0.00121504,0,0.001242,0,0,1,0,0,0.0561288,0.943869,2.03952e-06
257055730,11570.1,533.665,780,0.952937,0.99059,2.54417e-05,0,0,1,0,0,0.0514339,0.946026,0.00253989
257560700,8313.57,3811.32,780,0.0014159,0,0.00144755,0,0,1,0,0,0.0660348,0.933963,2.3941e-06
257055730,12205.5,-131.427,840,0.923217,0.989907,0.000109355,0,0,1,0,0,0.0556648,0.940082,0.00425359
257560700,8117.52,4050.38,840,0.00118038,0,0.00121764,0,0,1,0,0,0.0431798,0.95681,1.03794e-05
257055730,12645.2,-484.147,900,0.95181,0.000136846,0.00018234,0,0,1,0,0,0.0515601,0.945499,0.00294126
257560700,7926.16,4284.93,900,0.00159147,0,0.00161973,0,0,1,0,0,6.63622e-05,0.999934,0
257055730,12645.2,-484.147,960,0.953127,0.000136631,0.000182803,0,0,1,0,0,0.0557146,0.941788,0.0024974
257560700,7734.81,4519.5,960,0.00108036,0,0.00110293,0,0,1,0,0,0.0233276,0.976672,0
257055730,12645.2,-484.147,1020,0.953111,0,5.17983e-05,0,0,1,0,0,0.0552019,0.941608,0.00318997
257560700,7544.04,4759.86,1020,0.00134202,0,0.00137078,0,0,1,0,0,6.3966e-05,0.999936,0
257055730,12645.2,-484.147,1080,0.952659,0.0001331,0.000175233,0,0,1,0,0,0.0538511,0.943169,0.00297966
257560700,7346.48,4993.76,1080,0.00138258,0,0.00141193,0,0,1,0,0,0.0461761,0.953824,0
257055730,12645.2,-484.147,1140,0.951721,0.00013722,0.0001771,0,0,1,0,0,0.0480089,0.949411,0.00258006
257560700,7161.09,5234.71,1140,0.00129775,0,0.00132321,0,0,1,0,0,0.0661207,0.933879,0
257055730,12645.2,-484.147,1200,0.953288,0,4.62983e-05,0,0,1,0,0,0.0578837,0.939421,0.00269515
257560700,6970.49,5485.81,1200,0.0011807,0,0.00120458,0,0,1,0,0,0.0259362,0.974064,0
