mmsi,x,y,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
248375000,17093.4,7210.34,120,0.98017,0,0,0.98983,1.8025e-05,0,1,0,0,0,0.0499101,0.89954,0.0505501
257787000,19641,1040.62,120,0.97996,0,0,0.99076,9.01251e-06,1,0,0,0,0,0.05021,0.89921,0.05058
248375000,16873.1,7070.44,180,0.9804,0,0,0.98966,0,0,1,0,0,0,0.0499604,0.90076,0.04928
257787000,19278.8,1120.87,180,0.97941,0,0,0.98989,0,1,0,0,0,0,0.0500803,0.90055,0.04937
248375000,16649.9,6927.25,240,0.98059,0,0,0.98988,9.01251e-06,0,1,0,0,0,0.05025,0.899061,0.0506891
257787000,18919.3,1207.29,240,0.97991,0,0,0.99047,9.01251e-06,1,0,0,0,0,0.04832,0.90204,0.04964
248375000,16423.6,6782.51,300,0.98052,0,0,0.99023,2.70376e-05,0,1,0,0,0,0.0502801,0.89929,0.0504301
257787000,18567.3,1281.11,300,0.98055,0,0,0.99015,1.8025e-05,1,0,0,0,0,0.0499701,0.89907,0.0509601
248375000,16203.4,6639.82,360,0.97946,0,0,0.98999,1.8025e-05,0,1,0,0,0,0.0505301,0.8996,0.0498701
257787000,18193.3,1364.6,360,0.98029,0,0,0.98971,0,1,0,0,0,0,0.05143,0.8982,0.05037
248375000,15969,6496.09,420,0.97965,0,0,0.98967,9.01251e-06,0,1,0,0,0,0.04974,0.89999,0.05027
257787000,17839.1,1441.44,420,0.98025,0,0,0.98925,9.01251e-06,1,0,0,0,0,0.04963,0.90127,0.0491
248375000,15749.8,6353.91,480,0.9799,0,0,0.98983,9.01252e-06,0,1,0,0,0,0.0502401,0.900531,0.0492284
257787000,17468.8,1527.45,480,0.97995,0,0,0.99053,9.0128e-06,1,0,0,0,0,0.0503907,0.900419,0.04919
248375000,15525.9,6209.97,540,0.97927,0,0,0.9903,9.01252e-06,0,1,0,0,0,0.0497701,0.900601,0.0496284
257787000,17101.1,1604.88,540,0.9804,0,0,0.99005,2.70375e-05,1,0,0,0,0,0.0494118,0.900018,0.0505701
248375000,15288.2,6060.77,600,0.97986,0,0,0.99002,9.01253e-06,0,1,0,0,0,0.0507702,0.899612,0.0496176
257787000,16731.4,1686.65,600,0.98056,0,0,0.98959,2.70375e-05,1,0,0,0,0,0.0503626,0.900217,0.04942
248375000,15057.8,5915.71,660,0.98007,0,0,0.99026,0,0,1,0,0,0,0.0513902,0.897704,0.0509058
257787000,16354.2,1765.51,660,0.97925,0,0,0.98988,0,1,0,0,0,0,0.0502141,0.900266,0.0495198
248375000,14830.6,5769.62,720,0.98044,0,0,0.98993,1.80251e-05,0,1,0,0,0,0.0493004,0.901174,0.0495252
257787000,15989.2,1847.17,720,0.97994,0,0,0.98965,9.01246e-06,1,0,0,0,0,0.0493549,0.899716,0.0509288
248375000,14613,5627.23,780,0.980285,0,0,0.98996,0,0,1,0,0,0,0.0507391,0.899038,0.0502227
257787000,15618.6,1926.81,780,0.98038,0,0,0.98956,0,1,0,0,0,0,0.0505881,0.899702,0.0497096
248375000,14395.3,5479.35,840,0.979366,0,0,0.99017,1.64639e-05,0,1,0,0,0,0.0499315,0.899418,0.0506509
257787000,15260.7,2006.81,840,0.98101,0,0,0.98987,9.01067e-06,1,0,0,0,0,0.0496245,0.901386,0.04899
248375000,14175.2,5336.68,900,0.980325,0,0,0.99031,2.70061e-05,0,1,0,0,0,0.0501177,0.899191,0.0506913
257787000,14899.2,2083,900,0.980462,0,0,0.9903,9.00577e-06,1,0,0,0,0,0.0487926,0.901655,0.0495528
248375000,13949,5187.03,960,0.979167,0,0,0.99012,9.02544e-06,0,1,0,0,0,0.0497604,0.899802,0.0504379
257787000,14537.3,2159.75,960,0.980112,0,0,0.98966,1.80009e-05,1,0,0,0,0,0.0494549,0.900613,0.0499321
248375000,13728.8,5043.77,1020,0.979641,0,0,0.98967,9.06285e-06,0,1,0,0,0,0.0501818,0.899403,0.0504156
257787000,14174.7,2231.9,1020,0.9801,0,0,0.98967,1.79855e-05,1,0,0,0,0,0.0486358,0.900287,0.0510776
248375000,13506,4899.55,1080,0.980096,0,0,0.98985,1.80916e-05,0,1,0,0,0,0.0492571,0.899347,0.0513954
257787000,13817.4,2301.91,1080,0.980196,0,0,0.98993,0,1,0,0,0,0,0.0485128,0.900958,0.0505289
248375000,13279.5,4751.13,1140,0.97948,0,0,0.98985,9.00432e-06,0,1,0,0,0,0.0488707,0.901115,0.0500143
257787000,13455.2,2374.44,1140,0.979675,0,0,0.98999,8.97248e-06,1,0,0,0,0,0.0509592,0.899901,0.0491396
248375000,13059.3,4610.8,1200,0.980353,0,0,0.99062,1.81469e-05,0,1,0,0,0,0.0500683,0.900189,0.0497429
257787000,13081.8,2451.12,1200,0.980006,0,0,0.98974,8.95936e-06,1,0,0,0,0,0.0503413,0.900531,0.049128
248375000,12833.2,4462.59,1260,0.979755,0,0,0.99012,1.81739e-05,0,1,0,0,0,0.0509497,0.898927,0.0501236
257787000,12726.3,2528.1,1260,0.98004,0,0,0.99038,0,1,0,0,0,0,0.0508087,0.899286,0.0499056
248375000,12630.1,4302.53,1320,0.980657,0,0,0.99051,6.60885e-06,0,1,0,0,0,0.0504411,0.898712,0.050847
257787000,12368.5,2605.9,1320,0.980041,0,0,0.9893,1.56944e-05,1,0,0,0,0,0.0510611,0.898599,0.0503396
248375000,12495.5,4085.8,1380,0.979835,0,0,0.98985,6.06272e-06,0,1,0,0,0,0.0507508,0.899097,0.0501519
257787000,12015.2,2682.82,1380,0.979996,0,0,0.98988,1.36628e-05,1,0,0,0,0,0.0495147,0.898844,0.0516412
248375000,12364.2,3870.3,1440,0.979653,0,0,0.98941,1.20448e-05,0,1,0,0,0,0.0502583,0.901296,0.0484459
257787000,11653.4,2762.1,1440,0.979104,0,0,0.99006,1.19061e-05,1,0,0,0,0,0.0496898,0.899771,0.0505387
248375000,12257.3,3620.65,1500,0.980319,0,0,0.98928,8.97527e-06,0,1,0,0,0,0.0493511,0.899486,0.0511626
257787000,11311.7,2841.83,1500,0.980745,0,0,0.9897,5.94876e-06,1,0,0,0,0,0.0507335,0.899633,0.0496337
248375000,12091.4,3416.06,1560,0.979952,0,0,0.99018,1.00203e-05,0,1,0,0,0,0.0507683,0.899336,0.0498954
257787000,10945.3,2920.6,1560,0.97975,0,0,0.98925,1.13309e-05,1,0,0,0,0,0.0501319,0.900131,0.0497372
248375000,11869.5,3239.13,1620,0.980032,0,0,0.98998,1.04918e-05,0,1,0,0,0,0.0504131,0.901151,0.0484355
257787000,10585.4,3006.56,1620,0.979983,0,0,0.98998,1.07855e-05,1,0,0,0,0,0.0511578,0.898147,0.0506948
248375000,11629.3,3078.68,1680,0.979685,0,0,0.98987,1.32146e-05,0,1,0,0,0,0.0510602,0.899338,0.0496013
257787000,10221,3101.61,1680,0.980286,0,0,0.98987,2.15951e-05,1,0,0,0,0,0.0495805,0.899522,0.0508975
248375000,11387.9,2914.07,1740,0.97975,0,0,0.99013,1.08852e-05,0,1,0,0,0,0.0497002,0.899221,0.0510788
257787000,9849.85,3194.35,1740,0.979748,0,0,0.98992,0,1,0,0,0,0,0.0491552,0.900153,0.0506919
248375000,11136.9,2749.2,1800,0.979755,0,0,0.99008,1.12937e-05,0,1,0,0,0,0.0501282,0.899496,0.0503758
257787000,9482.77,3291.93,1800,0.980702,0,0,0.99063,0,1,0,0,0,0,0.0466169,0.903306,0.0500767
248375000,10895.1,2593.21,1860,0.980071,0,0,0.99021,1.13309e-05,0,1,0,0,0,0.0485091,0.901754,0.0497369
257787000,9121.16,3396.71,1860,0.980369,0,0,0.98998,2.15843e-05,1,0,0,0,0,0.0496042,0.900169,0.0502264
248375000,10635,2440.8,1920,0.980228,0,0,0.98962,9.94213e-06,0,1,0,0,0,0.0502557,0.901015,0.0487297
257787000,8752.2,3502.97,1920,0.979457,0,0,0.99011,0,1,0,0,0,0,0.0514057,0.898919,0.0496753
248375000,10382.6,2295.98,1980,0.979618,0,0,0.98988,7.01613e-06,0,1,0,0,0,0.0507631,0.900249,0.0489881
