mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
258465000,7485.62,17204.9,300,0.976104,0.99019,9.67377e-06,0,0,1,0,0,0.0490002,0.883673,0.0673271
259883000,4856.37,10491.7,300,0.977599,0.98975,7.18715e-06,0,0,1,0,0,0.0484602,0.887383,0.0641567
258465000,7348.7,16812.6,360,0.976613,0.99014,2.29507e-05,0,0,1,0,0,0.0475257,0.857495,0.0949792
259883000,4966.65,10744,360,0.977913,0.98987,2.2239e-05,0,0,1,0,0,0.0483065,0.875716,0.0759777
258465000,7205.7,16421.7,420,0.975848,0.99045,1.28514e-05,0,0,1,0,0,0.0473837,0.856499,0.0961169
259883000,5079.99,11003.9,420,0.977184,0.99034,4.51261e-05,0,0,1,0,0,0.0485884,0.858773,0.0926389
258465000,7043.1,16047.8,480,0,0.99027,1.78684e-05,0,0,1,0,0,0.0480001,0.877503,0.0744973
259883000,5193.22,11260.2,480,0.970614,0.99001,4.47102e-06,0,0,1,0,0,0.0453321,0.827962,0.126706
258465000,6825.88,15687.4,540,0,0.98972,1.71921e-05,0,0,1,0,0,0.0493361,0.873578,0.0770858
259883000,5292.53,11514.4,540,0.959887,0.98934,2.32756e-05,0,0,1,0,0,0.0426076,0.784873,0.17252
258465000,6627.28,15342.3,600,0,0.99026,2.03866e-05,0,0,1,0,0,0.0487734,0.877155,0.0740718
259883000,5394.81,11781.5,600,0.961022,0.99053,7.5299e-05,0,0,1,0,0,0.0446741,0.781388,0.173937
258465000,6414.62,14985.5,660,0,0.98986,1.71438e-05,0,0,1,0,0,0.0490602,0.876596,0.0743434
259883000,5482.93,12044.5,660,0.183254,0.179182,0.179995,0,0,1,0,0,0.0379085,0.902997,0.0590947
258465000,6213.49,14633.3,720,0,0.99024,4.0807e-05,0,0,1,0,0,0.0546203,0.863777,0.0816032
259883000,5560.94,12307.8,720,0.903627,0.98975,0.00020485,0,0,1,0,0,0.0240557,0.50236,0.473584
258465000,6080.27,14250.3,780,0,0.000157971,0.00018013,0,0,1,0,0,0.0491269,0.861247,0.0896258
259883000,5608.6,12587.2,780,0.00989893,0.99009,0.00228694,0,0,1,0,0,0.0505562,0.883208,0.0662353
258465000,6034.51,13849.4,840,0.00356049,0,0.00358352,0,0,1,0,0,0.0494889,0.878125,0.0723862
259883000,5652.36,12860.9,840,0.00758046,0.98939,1.54977e-05,0,0,1,0,0,0.047246,0.888429,0.0643247
258465000,6002.13,13439.7,900,0.00227883,0,0.0023018,0,0,1,0,0,0.0437609,0.883347,0.0728924
259883000,5709.99,13140.3,900,0.00281192,0.99055,0.00284622,0,0,1,0,0,0.0481824,0.868336,0.0834813
258465000,5962.8,13031.2,960,0.000899538,0,0.000922166,0,0,1,0,0,0.0484176,0.877022,0.07456
259883000,5790.24,13411.6,960,0,0.98978,2.38359e-05,0,0,1,0,0,0.046111,0.849017,0.104872
258465000,5920.88,12632.7,1020,0.00284128,0,0.00286515,0,0,1,0,0,0.0454393,0.879137,0.0754233
259883000,5891.64,13673.2,1020,0,0.99023,1.71692e-05,0,0,1,0,0,0.0493659,0.873391,0.0772426
258465000,5870.6,12222.8,1080,0.0013354,0,0.00135809,0,0,1,0,0,0.0479507,0.88273,0.0693195
259883000,5993.08,13936.3,1080,0,0.98975,3.72311e-05,0,0,1,0,0,0.0535319,0.877244,0.0692236
258465000,5745.17,11851.4,1140,0.000620528,0,0.000643303,0,0,1,0,0,0.0408808,0.888161,0.0709586
259883000,6096.56,14203.3,1140,0.00973321,0.98981,0.00123411,0,0,1,0,0,0.0486309,0.877584,0.0737854
258465000,5561.96,11490.5,1200,0.00155753,0,0.00158099,0,0,1,0,0,0.0453159,0.877225,0.0774591
259883000,6218.28,14457.8,1200,0.000668671,0.98992,0.000702647,0,0,1,0,0,0.0506486,0.87604,0.0733111
258465000,5375.47,11132.9,1260,0.000782639,0,0.000805552,0,0,1,0,0,0.0454364,0.877048,0.0775161
259883000,6332.92,14717.6,1260,0,0.99023,2.27607e-05,0,0,1,0,0,0.0515982,0.878008,0.0703936
258465000,5202.82,10771.6,1320,0.00139061,0,0.001414,0,0,1,0,0,0.0470303,0.872375,0.0805945
259883000,6454.68,14971,1320,0.0236976,0.98978,0.00319058,0,0,1,0,0,0.0464579,0.883134,0.070408
258465000,5024.98,10412.6,1380,0.00143763,0,0.00146227,0,0,1,0,0,0.048312,0.876266,0.0754217
259883000,6580.51,15232.3,1380,0,0.98978,2.10492e-05,0,0,1,0,0,0.0449188,0.872217,0.0828642
258465000,4842.93,10045.7,1440,0.00112989,0,0.00115333,0,0,1,0,0,0.049452,0.878591,0.0719569
259883000,6702.31,15486.2,1440,0.00145367,0.98958,0.00147126,0,0,1,0,0,0.0519134,0.88357,0.0645164
258465000,4666.84,9687.74,1500,0.000784614,0,0.000808072,0,0,1,0,0,0.0457227,0.869384,0.0848937
259883000,6824.14,15740.7,1500,0.000405533,0.99045,0.000429867,0,0,1,0,0,0.0488556,0.874312,0.0768323
258465000,4480.16,9312.32,1560,0.0012244,0,0.0012475,0,0,1,0,0,0.0442125,0.877539,0.0782486
259883000,6950.04,16004.9,1560,0.00184355,0.99012,0.00186535,0,0,1,0,0,0.0460491,0.87158,0.0823707
258465000,4299.92,8953.38,1620,0.00165991,0,0.00168359,0,0,1,0,0,0.0459255,0.879666,0.074409
259883000,7071.45,16257.4,1620,0.000777915,0.99067,0.000797231,0,0,1,0,0,0.0499811,0.896907,0.0531122
258465000,4110.33,8584.3,1680,0.000743609,0,0.000767761,0,0,1,0,0,0.0551286,0.871821,0.0730508
259883000,7188.58,16519.3,1680,0.0301034,0.98999,1.75943e-05,0,0,1,0,0,0.0476268,0.891217,0.0611558
258465000,3933.86,8227.44,1740,0.0013282,0,0.00135075,0,0,1,0,0,0.0508104,0.866632,0.0825575
259883000,7299.44,16770.6,1740,0.00144457,0.98969,0.00146972,0,0,1,0,0,0.0477956,0.886834,0.0653706
258465000,3751.83,7861.76,1800,0.00145889,0,0.00148195,0,0,1,0,0,0.0511474,0.866651,0.0822013
259883000,7425.28,17028.2,1800,0.0187103,0.99048,0.0102555,0,0,1,0,0,0.0466592,0.887433,0.0659079
