mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
210445000,10683.2,10040,240,0.97985,0.98997,0,0,1,0,0,0,0.04988,0.90048,0.04964
219829000,16460.7,10913,240,0.97972,0.98988,0,1,0,0,0,0,0.05103,0.89855,0.05042
210445000,10730.9,9837.07,300,0.97975,0.99015,1.97825e-05,0,1,0,0,0,0.0502,0.89899,0.05081
219829000,16413.1,10775.4,300,0.98003,0.98999,9.99591e-06,1,0,0,0,0,0.04918,0.90026,0.05056
210445000,10779.6,9630.41,360,0.97994,0.98983,2.96737e-05,0,1,0,0,0,0.0506599,0.89938,0.04996
219829000,16368,10637.3,360,0.98001,0.99005,9.99591e-06,1,0,0,0,0,0.0492,0.90076,0.05004
210445000,10873.2,9462.52,420,0.0611225,0.0617503,0.0622919,0,1,0,0,0,0.0482234,0.90538,0.0463966
219829000,16322.9,10499.2,420,0.98013,0.98958,0,1,0,0,0,0,0.04911,0.90089,0.05
210445000,11047.7,9456.74,480,0.000509684,0,0.000520201,0,1,0,0,0,0.0516405,0.901723,0.0466361
219829000,16277.8,10361.1,480,0.97942,0.98944,9.87098e-06,1,0,0,0,0,0.0499543,0.900416,0.0496298
210445000,11262.6,9476.74,540,0.00054192,0,0.000553273,0,1,0,0,0,0.032856,0.967119,2.50395e-05
219829000,16238,10223.9,540,0.97965,0.9902,1.94948e-05,1,0,0,0,0,0.0499048,0.900066,0.0500295
210445000,11504.3,9421.59,600,0.00264158,0,0.00269853,0,1,0,0,0,0.000124614,0.999875,0
219829000,16194.9,10080.7,600,0.98011,0.9902,9.6209e-06,1,0,0,0,0,0.0505074,0.899614,0.0498787
210445000,11777.1,9326.92,660,0.978767,0,1,0,1,0,0,0,0.0988229,0.901177,0
219829000,16146.4,9946.41,660,0.979716,0.99012,0,1,0,0,0,0,0.0490452,0.902045,0.0489098
210445000,12038.2,9211.61,720,0.978473,0,1,0,1,0,0,0,0.0533721,0.945543,0.00108477
219829000,16079.9,9813.88,720,0.979824,0.99001,9.26502e-06,1,0,0,0,0,0.0469182,0.903645,0.0494369
210445000,12299.3,9096.31,780,0.978153,0,1,0,1,0,0,0,0.0606415,0.939359,0
219829000,16011.7,9678.49,780,0.979935,0.98998,9.42049e-06,1,0,0,0,0,0.0458561,0.903936,0.0502081
210445000,12560.4,8981.09,840,0.979674,0,1,0,1,0,0,0,0.0212354,0.978765,0
219829000,15944.4,9545.71,840,0.979814,0.98976,1.87749e-05,1,0,0,0,0,0.0470622,0.902354,0.0505841
210445000,12821.4,8865.82,900,0.97811,0,1,0,1,0,0,0,0.134558,0.865442,0
219829000,15877.8,9413.05,900,0.980021,0.98984,0,1,0,0,0,0,0.0434229,0.90712,0.049457
210445000,13082.6,8750.56,960,0.979801,0,1,0,1,0,0,0,0.0902896,0.90971,0
219829000,15809.7,9278.71,960,0.979925,0.98989,3.64789e-05,1,0,0,0,0,0.0426852,0.907276,0.050039
210445000,13343.7,8635.38,1020,0.979451,0,1,0,1,0,0,0,0.0899102,0.91009,0
219829000,15745.7,9146.99,1020,0.980258,0.99012,2.42338e-05,1,0,0,0,0,0.0424073,0.906797,0.0507962
210445000,13603.8,8518.96,1080,0.978663,0,1,0,1,0,0,0,0.0561292,0.943871,0
219829000,15684.1,9014.24,1080,0.980947,0.98972,3.62329e-05,1,0,0,0,0,0.0423124,0.906379,0.0513085
210445000,13844.8,8352.53,1140,0.970935,0,1,0,1,0,0,0,0.0160273,0.983973,0
219829000,15620.6,8879.58,1140,0.979477,0.98996,8.63128e-06,1,0,0,0,0,0.0394656,0.910401,0.0501329
210445000,14068.2,8172.64,1200,0.972235,0,1,0,1,0,0,0,0.0759453,0.923,0.00105493
219829000,15557.2,8751.25,1200,0.9799,0.98994,8.6386e-06,1,0,0,0,0,0.0414193,0.908917,0.0496637
