mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
210445000,10672.8,4060.2,240,0.98034,0.98965,0,0,1,0,0,0,0.05056,0.90077,0.04867
219829000,16449,4941.75,240,0.97951,0.98962,9.99591e-06,1,0,0,0,0,0.05048,0.8999,0.04962
210445000,10720.8,3857.38,300,0.98057,0.98987,9.89124e-06,0,1,0,0,0,0.04996,0.90016,0.04988
219829000,16401.6,4804.11,300,0.98063,0.98992,2.99877e-05,1,0,0,0,0,0.04969,0.90041,0.0499
210445000,10769.9,3650.8,360,0.97978,0.98956,9.89124e-06,0,1,0,0,0,0.04911,0.90034,0.05055
219829000,16356.7,4665.92,360,0.98063,0.98967,0,1,0,0,0,0,0.05044,0.90122,0.04834
210445000,10863.7,3483.05,420,0.0606694,0.0608935,0.061258,0,1,0,0,0,0.0769099,0.875849,0.047241
219829000,16311.9,4527.74,420,0.97997,0.99028,0,1,0,0,0,0,0.04925,0.90094,0.04981
210445000,11038.2,3477.52,480,0.000519494,0,0.000530272,0,1,0,0,0,0.0509613,0.902079,0.0469599
219829000,16267,4389.61,480,0.97966,0.99039,9.87113e-06,1,0,0,0,0,0.0487543,0.901506,0.0497397
210445000,11253.1,3497.84,540,0.000549728,0,0.000560548,0,1,0,0,0,0.0463896,0.953586,2.43852e-05
219829000,16227.4,4252.36,540,0.98053,0.99029,1.94916e-05,1,0,0,0,0,0.0490754,0.901605,0.0493191
210445000,11494.8,3443.05,600,0.000207593,0,0.000212748,0,1,0,0,0,1.14047e-05,0.999988,9.13053e-07
219829000,16184.5,4109.09,600,0.98012,0.98938,0,1,0,0,0,0,0.0513865,0.897905,0.0507088
210445000,11767.8,3348.78,660,0.979908,0,1,0,1,0,0,0,0.0515549,0.948445,0
219829000,16136.1,3974.71,660,0.980549,0.99024,9.48074e-06,1,0,0,0,0,0.0488144,0.900349,0.0508363
210445000,12029,3233.85,720,0.980084,0,1,0,1,0,0,0,0.052625,0.947375,0
219829000,16069.8,3842.08,720,0.980027,0.98995,9.45029e-06,1,0,0,0,0,0.0457306,0.903675,0.0505945
210445000,12290.3,3118.94,780,0.978962,0,1,0,1,0,0,0,0.0599657,0.940034,0
219829000,16001.9,3706.59,780,0.979728,0.9904,1.88447e-05,1,0,0,0,0,0.0468486,0.903636,0.0495157
210445000,12551.6,3004.1,840,0.979545,0,1,0,1,0,0,0,0.0504291,0.949571,0
219829000,15934.7,3573.71,840,0.980089,0.98969,1.0686e-05,1,0,0,0,0,0.0459262,0.903596,0.0504782
210445000,12812.8,2889.21,900,0.975841,0,1,0,1,0,0,0,0.0613486,0.932222,0.00642944
219829000,15868.3,3440.95,900,0.979077,0.99035,9.06212e-06,1,0,0,0,0,0.0455233,0.903924,0.0505526
210445000,13074.1,2774.34,960,0.975157,0,1,0,1,0,0,0,0.0522675,0.943914,0.00381848
219829000,15800.4,3306.51,960,0.978975,0.98979,2.2538e-05,1,0,0,0,0,0.0435402,0.907319,0.049141
210445000,13335.4,2659.55,1020,0.979789,0,1,0,1,0,0,0,0.0482891,0.951711,0
219829000,15736.6,3174.7,1020,0.979898,0.99002,0,1,0,0,0,0,0.0414682,0.908062,0.0504698
210445000,13595.7,2543.51,1080,0.979075,0,1,0,1,0,0,0,0.0629076,0.937092,0
219829000,15675.2,3041.86,1080,0.979804,0.99041,2.73055e-05,1,0,0,0,0,0.0423886,0.907131,0.0504803
210445000,13836.9,2377.43,1140,0.978239,0,1,0,1,0,0,0,0.0457469,0.950922,0.00333107
219829000,15611.9,2907.11,1140,0.980117,0.98992,0,1,0,0,0,0,0.0416597,0.908074,0.0502661
210445000,14060.6,2197.88,1200,0.98219,0,1,0,1,0,0,0,0.0419688,0.958031,0
219829000,15548.8,2778.68,1200,0.980237,0.99051,8.75329e-06,1,0,0,0,0,0.0411881,0.908556,0.0502558
210445000,14284.2,2018.41,1260,0.980347,0,1,0,1,0,0,0,0.0491927,0.950807,0
219829000,15489.4,2644.22,1260,0.98038,0.99034,8.93514e-06,1,0,0,0,0,0.0404839,0.909054,0.0504626
210445000,14507.9,1838.89,1320,0.976354,0,1,0,1,0,0,0,0.047851,0.948499,0.00364989
219829000,15430.2,2509.81,1320,0.980103,0.98979,8.32093e-06,1,0,0,0,0,0.0410838,0.908485,0.0504311
210445000,14725.7,1641.24,1380,0.979707,0,1,0,1,0,0,0,0.0512882,0.948712,0
219829000,15369.7,2376.47,1380,0.980103,0.99025,8.3161e-06,1,0,0,0,0,0.0401372,0.909218,0.0506445
210445000,14930.8,1435.43,1440,0.98089,0,1,0,1,0,0,0,0.054914,0.945086,0
219829000,15310.5,2239.07,1440,0.980251,0.99034,4.2375e-05,1,0,0,0,0,0.0412216,0.907024,0.0517547
210445000,15142,1233.04,1500,0.979765,0,1,0,1,0,0,0,0.0555913,0.944409,0
219829000,15245.4,2105.73,1500,0.980461,0.99036,1.72475e-05,1,0,0,0,0,0.0391748,0.91012,0.0507056
210445000,15339.1,1034.98,1560,0.980128,0,1,0,1,0,0,0,0.0481873,0.951813,0
219829000,15188.3,1970.29,1560,0.979776,0.98996,0,1,0,0,0,0,0.0393724,0.909227,0.0514006
210445000,15575.1,886.504,1620,0.979708,0,1,0,1,0,0,0,0.0539832,0.946017,0
219829000,15123.7,1829.71,1620,0.979906,0.98988,0,1,0,0,0,0,0.0386226,0.91078,0.0505978
210445000,15829.7,760.973,1680,0.967993,0,1,0,1,0,0,0,0.0531783,0.934664,0.0121575
219829000,15065.4,1694.38,1680,0.980406,0.99029,0,1,0,0,0,0,0.0400332,0.910192,0.0497748
210445000,16116.9,682.391,1740,0.980166,0,1,0,1,0,0,0,0.0518357,0.948164,0
219829000,14999.6,1557.98,1740,0.979982,0.98999,0,1,0,0,0,0,0.0385975,0.910291,0.051112
210445000,16393.6,728.921,1800,0.979658,0,1,0,1,0,0,0,0.0539705,0.94603,0
219829000,14940,1413.32,1800,0.980532,0.99015,8.15435e-06,1,0,0,0,0,0.0430219,0.906993,0.0499849
210445000,16686,787.681,1860,0.980257,0,1,0,1,0,0,0,0.0534726,0.946527,0
219829000,14876,1270.94,1860,0.980124,0.99049,8.15703e-06,1,0,0,0,0,0.038837,0.911402,0.049761
210445000,16980,857.837,1920,0.982863,0,1,0,1,0,0,0,0.0443336,0.80214,0.153527
219829000,14820.7,1132.31,1920,0.98029,0.98977,7.95265e-06,1,0,0,0,0,0.0421079,0.908304,0.0495882
210445000,17285.7,931.203,1980,0.979392,0,1,0,1,0,0,0,0.0525956,0.947404,0
219829000,14753.3,993.793,1980,0.979112,0.99011,2.36763e-05,1,0,0,0,0,0.0401917,0.910071,0.0497368
210445000,17573.4,971.074,2040,0.979444,0,1,0,1,0,0,0,0.0551487,0.944851,0
219829000,14685.7,854.32,2040,0.981082,0.98982,7.73259e-06,1,0,0,0,0,0.0428224,0.907658,0.0495198
210445000,17879.5,984.431,2100,0.98532,0,1,0,1,0,0,0,0.0395182,0.694593,0.265889
219829000,14635.5,717.528,2100,0.980753,0.98989,0,1,0,0,0,0,0.0391758,0.911385,0.0494391
210445000,18185.5,997.726,2160,0.980084,0,1,0,1,0,0,0,0.0531683,0.946832,0
219829000,14575.3,577.568,2160,0.979661,0.98967,7.86008e-06,1,0,0,0,0,0.0417205,0.907234,0.0510459
210445000,18494.4,1008.69,2220,0.985041,0,1,0,1,0,0,0,0.0391672,0.6958,0.265033
219829000,14515.2,437.603,2220,0.979635,0.99048,0,1,0,0,0,0,0.0419146,0.908065,0.0500208
210445000,18809.5,1021.38,2280,0.979333,0,1,0,1,0,0,0,0.0541383,0.945862,0
219829000,14454.9,296.021,2280,0.980416,0.98991,3.12745e-05,1,0,0,0,0,0.0415966,0.908011,0.0503926
210445000,19106.4,1035.51,2340,0.98351,0,1,0,1,0,0,0,0.0452083,0.801407,0.153385
219829000,14399.6,154.136,2340,0.979129,0.98973,1.56853e-05,1,0,0,0,0,0.0430826,0.907937,0.0489804
210445000,19409.2,1049.1,2400,0.981947,0,1,0,1,0,0,0,0.0439588,0.803433,0.152608
219829000,14344.2,12.2474,2400,0.980236,0.98965,0,1,0,0,0,0,0.0432949,0.906759,0.0499461
210445000,19706.4,1059.7,2460,0.980433,0,1,0,1,0,0,0,0.052658,0.947342,0
219829000,14285.3,-127.435,2460,0.979471,0.98995,0,1,0,0,0,0,0.0409041,0.908278,0.0508177
210445000,20011.1,1070.54,2520,0.979865,0,1,0,1,0,0,0,0.0540274,0.945973,0
219829000,14233.5,-264.253,2520,0.979923,0.99003,0,1,0,0,0,0,0.0404991,0.909885,0.0496159
210445000,20304.1,1080.9,2580,0.982971,0,1,0,1,0,0,0,0.0441866,0.803159,0.152655
219829000,14181.7,-401.074,2580,0.979431,0.98986,7.85471e-06,1,0,0,0,0,0.0412744,0.909382,0.049344
210445000,20603,1092.04,2640,0.980252,0,1,0,1,0,0,0,0.0518564,0.948144,0
219829000,14132.9,-529.953,2640,0.979144,0.99074,1.58489e-05,1,0,0,0,0,0.0397453,0.910564,0.0496911
210445000,20903.3,1100.3,2700,0.979235,0,1,0,1,0,0,0,0.0520954,0.947905,0
219829000,14132.9,-529.953,2700,0.978497,0.98955,0,1,0,0,0,0,0.0399557,0.908963,0.0510815
