mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
255805883,14531.9,83344.7,2340,0.95002,0.97937,0.00474822,0,0,0,0,0,1,0,0,0,0.0490869,0.901685,0.0492282,0.988441,0.988441,1
259490000,13795.5,97767.6,2340,0.95033,0.97988,0.00534,0,0,0,1,1,0,0,0,0,0.04824,0.90235,0.04941,0.98832,0.98832,0
255805883,14748.4,83734.9,2400,0.949358,0.97927,0.00495107,0,0,0,0,0,1,0,0,0,0.0498288,0.899603,0.0505682,1,1,0
259490000,14079.6,97229.1,2400,0.906314,0.98054,0.0132736,1,0,1,1,0.139704,0,0.860296,0,0,0.132887,0.862956,0.00415683,1,1,0
255805883,14960.3,84131.9,2460,0.947246,0.98027,0.00527549,0,0,0,0,0,1,0,0,0,0.0495339,0.896909,0.0535572,1,0.983558,0
259490000,14271,96606.4,2460,0.835584,0.98002,0.0239044,1,0,1,1,0.247604,0,0.752396,0,0,0.246491,0.746791,0.00671788,0.999999,0.99994,0
255805883,15156.6,84536.7,2520,0.938339,0.97992,0.00620838,0,0,0,0,0,1,0,0,0,0.0499634,0.886493,0.0635437,1,0.99556,0
259490000,14457.5,95946.8,2520,0.729936,0.97991,0.0401093,1,0,1,0,0.138339,0,0.861661,0,0,0.217161,0.770273,0.0125656,1,1,0
255805883,15374.4,84933.4,2580,0.929195,0.98036,0.00754966,0,0,0,0,0,1,0,0,0,0.0488374,0.876782,0.0743809,0.999984,0.988162,0
259490000,14652.6,95282.1,2580,0.435399,0.98014,0.0926372,1,0,1,0,0.518329,0,0.481671,0,0,0.150348,0.822409,0.0272433,1,1,0
255805883,15598.2,85339.2,2640,0.929571,0.98063,0.00713095,0,0,0,0,0,1,0,0,0,0.0485401,0.876368,0.0750918,1,0.974595,0
