mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
255805883,14748.4,83734.9,2400,0.951062,0.97983,0.0019646,0,0,0,0,0,1,0,0,0,0.0499986,0.897862,0.0521393,1,1,0
259490000,14079.6,97229.1,2400,0.95026,0.97995,0.00193,0,0,0,1,0.65794,0,0.34206,0,0,0.04968,0.89924,0.05108,0.99966,0.99966,0
255805883,14960.3,84131.9,2460,0.945442,0.97937,0.00200786,0,0,0,0,0,1,0,0,0,0.0497796,0.897108,0.0531129,0.981185,0.981185,0
259490000,14271,96606.4,2460,0.890763,0.98035,0.004665,0,0,1,1,0.148757,0,0.851243,0,0,0.109199,0.883294,0.00750683,0.961682,0.961682,0
255805883,15156.6,84536.7,2520,0.9381,0.98059,0.00239357,0,0,0,0,0,1,0,0,0,0.0488741,0.886616,0.0645098,0.993969,0.993969,0
259490000,14457.5,95946.8,2520,0.949755,0.98016,0.00195868,0,0,0,0,0.472799,0,0.527201,0,0,0.0488102,0.900741,0.050449,0.994897,0.994897,0
255805883,15374.4,84933.4,2580,0.926536,0.97997,0.00256936,0,0,0,0,0,1,0,0,0,0.0480027,0.878291,0.0737068,0.982984,0.982984,1
259490000,14652.6,95282.1,2580,0.950721,0.98002,0.0019669,0,0,0,0,0.805713,0,0.194287,0,0,0.0490681,0.901791,0.0491411,0.988918,0.988918,0
255805883,15598.2,85339.2,2640,0.925745,0.97968,0.00309155,0,0,0,0,0,1,0,0,0,0.0481386,0.877864,0.0739976,0.985067,0.969924,0
259490000,14847,94616.3,2640,0.950174,0.97891,0.0017565,0,0,0,0,0.978839,0,0.0211613,0,0,0.0486354,0.901474,0.0498901,0.990022,0.974583,0
255805883,15761.2,85745.3,2700,0.926294,0.98047,0.00301232,0,0,0,1,0,1,0,0,0,0.0482821,0.876343,0.0753751,0.997897,0.997428,0
259490000,15058.6,93938.2,2700,0.588234,0.98074,0.0222866,0,0,1,0,0.812031,0,0.187969,0,0,0.410949,0.566593,0.0224584,0.989716,0.988875,0
255805883,15838.5,86167.6,2760,0.921743,0.98065,0.00314026,0,1,0,1,0,1,0,0,0,0.0533101,0.94238,0.00430985,0.997605,0.984172,0
259490000,15271,93249.7,2760,0.59245,0.98038,0.0215507,0,0,0,0,0.980194,0,0.0198059,0,0,0.407458,0.569904,0.022638,0.987422,0.976206,0
255805883,15891.9,86580.8,2820,0.920313,0.98025,0.00321964,0,1,0,1,0,1,0,0,0,0.0518392,0.943916,0.00424488,0.997737,0.670052,0
259490000,15553,92588.7,2820,0.50455,0.97996,0.0263342,0,1,1,1,0.974139,0,0.0258608,0,0,0.484327,0.490172,0.0255002,0.983719,0.663607,0
255805883,15912.3,87013.2,2880,0.919759,0.98074,0.00321,0,1,0,0,0,1,0,0,0,0.0522235,0.943483,0.00429297,0.997886,0.670381,0
259490000,15931.8,91938,2880,0.535213,0.98034,0.0307418,0,1,1,0,0.979186,0,0.020814,0,0,0.524072,0.446317,0.0296111,0.993511,0.656222,0
255805883,15942.7,87437.8,2940,0.919859,0.98045,0.0032937,0,1,0,0,0,1,0,0,0,0.0542319,0.941538,0.00423009,0.998273,0.764513,0
259490000,16292.1,91285.8,2940,0.561129,0.9802,0.0273812,0,1,1,0,0.991151,0,0.00884855,0,0,0.433945,0.542437,0.0236173,0.875379,0.643896,0
255805883,15983.8,87875,3000,0.921973,0.97995,0.00332217,0,1,0,1,0,1,0,0,0,0.0531776,0.942511,0.0043114,0.998013,0.804695,0
259490000,16670.6,90610.1,3000,0.385186,0.98033,0.0771176,0,1,1,0,0.678042,0,0.321958,0,0,0.340365,0.628961,0.0306735,0.999129,0.868554,0
255805883,16083.3,88312.6,3060,0.920433,0.97974,0.00323879,0,1,0,1,0,1,0,0,0,0.0518705,0.944211,0.00391865,0.998229,0.87721,0
259490000,17019.9,89952.4,3060,0.0179731,0.9792,0.0204404,0,1,1,0,0.980554,0,0.0194457,0,0,0.0671353,0.884348,0.0485165,0.998744,0.865323,0
255805883,16242.8,88733.1,3120,0.920217,0.98043,0.00332743,0,1,0,1,0,1,0,0,0,0.0526232,0.942968,0.00440877,0.998153,0.904118,0
259490000,17381.8,89278.2,3120,0,0.98045,0.00250649,0,1,1,0,0.980568,0,0.0194323,0,0,0.0501991,0.897911,0.0518898,0.998914,0.906433,0
255805883,16471.3,89116.5,3180,0.920547,0.98025,0.00329696,0,1,0,1,0,1,0,0,0,0.0517827,0.94393,0.0042878,0.997488,0.903858,0
259490000,17750.9,88581.2,3180,0,0.97932,0.00251862,0,1,1,0,0.979134,0,0.0208656,0,0,0.050642,0.900553,0.0488051,0.998715,0.908492,0
255805883,16716.5,89503,3240,0.920026,0.97934,0.00325501,0,1,0,0,0,1,0,0,0,0.052124,0.942684,0.00519222,0.997977,0.9051,0
259490000,18122.3,87900.7,3240,0,0.98011,0.00250702,0,1,1,0,0.980007,0,0.0199933,0,0,0.0488541,0.90091,0.0502359,0.998215,0.907112,0
255805883,16966.3,89883.7,3300,0.920432,0.98021,0.003239,0,1,0,0,0,1,0,0,0,0.0505427,0.944604,0.00485348,0.99814,0.902779,0
259490000,18489.9,87213.9,3300,0,0.98045,0.00255641,0,1,1,0,0.983697,0,0.0163033,0,0,0.0510658,0.903303,0.0456311,0.998626,0.910243,0
255805883,17219.8,90260.6,3360,0.920373,0.97984,0.0032921,0,1,0,0,0,1,0,0,0,0.0511544,0.945024,0.00382186,0.997795,0.927724,0
259490000,18859.3,86518.2,3360,0,0.9802,0.0025023,0,1,1,0,0.982757,0,0.0172433,0,0,0.0498006,0.897947,0.0522529,0.998534,0.934576,0
255805883,17471,90636,3420,0.919824,0.98023,0.00329479,0,1,0,0,0,1,0,0,0,0.052261,0.943941,0.00379763,0.998195,0.927841,0
259490000,19223.4,85829.3,3420,0,0.98057,0.00247433,0,1,1,0,0.983889,0,0.0161111,0,0,0.0478411,0.913529,0.0386297,0.998524,0.927797,0
