mmsi,x,y,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
211200040,4869.34,14003.1,60,0.979993,0,0,0.98977,0,0,0,1,0,0,0.0501738,0.898036,0.0517905
259351000,6453.19,6003.22,60,0.98022,0,0,0.98987,0,0,0,1,0,0,0.0498,0.90007,0.05013
211200040,4880.37,13777.1,120,0.978946,0,0,0.954302,0.000218848,0,0,1,0,0,0.0525441,0.893768,0.0536881
259351000,6442.35,6197.6,120,0.979298,0,0,0.99003,4.78594e-05,0,0,1,0,0,0.0509186,0.899782,0.0492991
211200040,4895.66,13557.9,180,0.92536,0,0,0.00515546,0.00515546,0,0,1,0,0,0.0264728,0.973526,7.8531e-07
259351000,6427.84,6390.15,180,0.979906,0,0,0.99016,2.79633e-05,0,0,1,0,0,0.0506225,0.899462,0.0499158
211200040,4924.11,13342.1,240,0.0628482,0,0,0.0637192,0.0637192,0,0,1,0,0,0.0400305,0.954219,0.00575021
259351000,6420.68,6576.95,240,0.980245,0,0,0.98988,0,0,0,1,0,0,0.0488743,0.900894,0.0502316
211200040,4967.58,13149.5,300,0.0658174,0,0,0.0670883,0.067908,0,0,1,0,0,0.0594626,0.93825,0.00228759
259351000,6409.86,6767.36,300,0.979899,0,0,0.98998,2.14881e-05,0,0,1,0,0,0.0505049,0.898848,0.0506476
211200040,5021.79,12968.8,360,0.0562787,0,0,0.0571318,0.0577057,0,0,1,0,0,0.0168346,0.965067,0.0180987
259351000,6399.03,6947.59,360,0.979459,0,0,0.98974,1.61169e-05,0,0,1,0,0,0.0504039,0.89996,0.0496358
211200040,5065.74,12780.9,420,0.0587753,0,0,0.0596694,0.0602639,0,0,1,0,0,0.0753081,0.90842,0.0162722
259351000,6377.07,7125.18,420,0.979484,0,0,0.98965,9.41633e-06,0,0,1,0,0,0.0503791,0.900683,0.0489376
211200040,5087.43,12598.7,480,0.0614425,0,0,0.0621999,0.0628304,0,0,1,0,0,0.0196922,0.962887,0.0174212
259351000,6355.12,7307.33,480,0.979852,0,0,0.98973,4.27044e-06,0,0,1,0,0,0.0495825,0.900678,0.0497396
211200040,5109.45,12408.5,540,0.0596988,0,0,0.0603056,0.0609542,0,0,1,0,0,0.0227037,0.926527,0.0507693
259351000,6330.72,7482.15,540,0.979447,0,0,0.99005,2.11012e-05,0,0,1,0,0,0.0501459,0.897952,0.0519026
211200040,5120.38,12197.3,600,0.0777928,0,0,0.0786966,0.0795258,0,0,1,0,0,0.00963692,0.915006,0.0753572
259351000,6307.89,7662.41,600,0.978119,0,0,0.98941,1.34777e-05,0,0,1,0,0,0.0495131,0.894791,0.0556954
211200040,5119.31,11987.5,660,0.0623337,0,0,0.062992,0.0636162,0,0,1,0,0,0.0149434,0.967818,0.0172389
259351000,6278.17,7845.47,660,0.977201,0,0,0.9895,5.87893e-06,0,0,1,0,0,0.050192,0.890985,0.0588232
