mmsi,x,y,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
211200040,4869.34,14003.1,60,0.98006,0,0,0.99063,1.8025e-05,0,0,1,0,0,0.0501501,0.89907,0.0507801
259351000,6453.19,6003.22,60,0.97973,0,0,0.99002,9.01251e-06,0,0,1,0,0,0.0498,0.90029,0.04991
211200040,4880.37,13777.1,120,0.91344,0,0,0.00226054,0.00226054,0,0,1,0,0,0.0618987,0.928779,0.00932185
259351000,6442.35,6197.6,120,0.980029,0,0,0.99008,3.19007e-05,0,0,1,0,0,0.0498581,0.899932,0.05021
211200040,4895.66,13557.9,180,0.941451,0,0,0.00473143,0.0048168,0,0,1,0,0,0.0416515,0.951572,0.0067766
259351000,6427.84,6390.15,180,0.979829,0,0,0.98956,1.39824e-05,0,0,1,0,0,0.0496793,0.900254,0.0500671
211200040,4924.11,13342.1,240,0.0560722,0,0,0.0571728,0.0577282,0,0,1,0,0,0.0342775,0.961032,0.00469079
259351000,6420.68,6576.95,240,0.980163,0,0,0.9901,1.22565e-05,0,0,1,0,0,0.0495495,0.900104,0.0503468
211200040,4967.58,13149.5,300,0.0615243,0,0,0.0623151,0.0628821,0,0,1,0,0,0.0312939,0.950585,0.0181215
259351000,6409.86,6767.36,300,0.979955,0,0,0.99028,2.686e-05,0,0,1,0,0,0.0498465,0.899228,0.0509251
211200040,5021.79,12968.8,360,0.0755928,0,0,0.0761806,0.0770305,0,0,1,0,0,0.0537132,0.913164,0.0331227
259351000,6399.03,6947.59,360,0.980094,0,0,0.98997,5.3724e-06,0,0,1,0,0,0.0520433,0.898119,0.0498379
211200040,5065.74,12780.9,420,0.0632864,0,0,0.0639138,0.0645893,0,0,1,0,0,0.0466768,0.93382,0.0195028
259351000,6377.07,7125.18,420,0.979664,0,0,0.9899,1.8839e-05,0,0,1,0,0,0.049646,0.899722,0.0506321
211200040,5087.43,12598.7,480,0.066483,0,0,0.0671809,0.0678552,0,0,1,0,0,0.0371648,0.924471,0.038364
259351000,6355.12,7307.33,480,0.978964,0,0,0.98981,8.25551e-06,0,0,1,0,0,0.0492499,0.900095,0.0506554
211200040,5109.45,12408.5,540,0.0590731,0,0,0.0596448,0.060256,0,0,1,0,0,0.0435313,0.91898,0.0374888
259351000,6330.72,7482.15,540,0.980108,0,0,0.9902,2.26943e-05,0,0,1,0,0,0.0481047,0.899774,0.0521208
211200040,5120.38,12197.3,600,0.0631617,0,0,0.0638204,0.0644783,0,0,1,0,0,0.0283161,0.946837,0.0248469
259351000,6307.89,7662.41,600,0.978812,0,0,0.99057,1.79634e-05,0,0,1,0,0,0.0502648,0.895958,0.0537772
211200040,5119.31,11987.5,660,0.0676852,0,0,0.0683968,0.0690834,0,0,1,0,0,0.0605076,0.911843,0.0276494
259351000,6278.17,7845.47,660,0.977741,0,0,0.99002,1.69639e-05,0,0,1,0,0,0.0492835,0.892932,0.0577843
211200040,5140.59,11765.6,720,0.0642698,0,0,0.0650124,0.0656517,0,0,1,0,0,0.0514818,0.914487,0.0340317
259351000,6267.4,8030.86,720,0.971543,0,0,0.9899,9.90127e-06,0,0,1,0,0,0.0500026,0.873736,0.0762611
211200040,5162.24,11549.9,780,0.0702095,0,0,0.070891,0.0716105,0,0,1,0,0,0.0255172,0.946848,0.0276348
259351000,6245.5,8215.51,780,0.968159,0,0,0.98971,1.50304e-05,0,0,1,0,0,0.047374,0.863698,0.0889281
211200040,5172.77,11339.7,840,0.0605846,0,0,0.0611327,0.0617388,0,0,1,0,0,0.0694732,0.908595,0.0219321
259351000,6223.61,8400.04,840,0.953158,0,0,0.9901,1.7109e-05,0,0,1,0,0,0.0454815,0.830314,0.124205
211200040,5172.16,11122.3,900,0.0638266,0,0,0.0644937,0.0651482,0,0,1,0,0,0.0589368,0.917076,0.0239877
259351000,6201.72,8581.14,900,0.936262,0,0,0.99023,4.20689e-05,0,0,1,0,0,0.0448291,0.78559,0.169581
211200040,5171.54,10895.3,960,0.0629614,0,0,0.0636142,0.0642592,0,0,1,0,0,0.0487427,0.925282,0.0259756
259351000,6179.84,8765.43,960,0.932694,0,0,0.98964,3.11322e-05,0,0,1,0,0,0.0471829,0.774258,0.17856
211200040,5170.94,10672.4,1020,0.064413,0,0,0.0650607,0.0657189,0,0,1,0,0,0.053035,0.926039,0.0209261
259351000,6157.98,8950.68,1020,0.908106,0,0,0.99027,0.000158589,0,0,1,0,0,0.0429268,0.713611,0.243462
211200040,5181.5,10452.5,1080,0.0741799,0,0,0.0749348,0.0756961,0,0,1,0,0,0.0036343,0.96941,0.0269556
259351000,6124.98,9134.3,1080,0.830046,0,0,0.99014,9.98475e-07,0,0,1,0,0,0.03124,0.525086,0.443674
211200040,5197.79,10247.3,1140,0.0511232,0,0,0.0516504,0.0521661,0,0,1,0,0,0.00265202,0.976784,0.020564
259351000,6100.12,9316.24,1140,0.732958,0,0,0.99019,3.47001e-06,0,0,1,0,0,0.0133179,0.285536,0.701146
