mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
219022165,-36116,-9994.7,600,0.978864,0.990009,9.27756e-06,1,0,0,0,0,0.0473046,0.90262,0.0500757
244150372,-35990.8,-5941.13,600,0.980019,0.990273,0,0,1,0,0,0,0.0493661,0.898173,0.052461
219022165,-36269.5,-9754.03,660,0.980849,0.990217,9.60437e-06,1,0,0,0,0,0.0468408,0.903872,0.0492872
244150372,-36100.1,-6083.01,660,0.980399,0.989985,7.81678e-06,0,1,0,0,0,0.0504869,0.894954,0.0545595
219022165,-36434.4,-9510.28,720,0.979597,0.990367,0,1,0,0,0,0,0.0450703,0.90439,0.0505396
244150372,-36213.6,-6234.63,720,0.980209,0.989942,6.83478e-06,0,1,0,0,0,0.0476022,0.896832,0.0555654
219022165,-36602.2,-9265.43,780,0.979355,0.98996,7.02598e-06,1,0,0,0,0,0.0431165,0.906453,0.0504301
244150372,-36326.6,-6386.09,780,0.980137,0.989496,1.55412e-05,0,1,0,0,0,0.0499467,0.893103,0.0569507
219022165,-36765.7,-9025.02,840,0.979705,0.989876,1.32258e-05,1,0,0,0,0,0.0415108,0.908233,0.0502558
244150372,-36445.8,-6535.2,840,0.979517,0.989639,0,0,1,0,0,0,0.0504292,0.891545,0.0580255
219022165,-36920,-8789.9,900,0.980223,0.989965,6.12217e-06,1,0,0,0,0,0.0414775,0.908574,0.0499485
244150372,-36557.5,-6680.86,900,0.979881,0.99004,9.58381e-06,0,1,0,0,0,0.0493935,0.891342,0.0592643
219022165,-37084.6,-8550.98,960,0.979501,0.989787,3.29273e-05,1,0,0,0,0,0.041627,0.907602,0.0507708
244150372,-36653.2,-6840.23,960,0.979837,0.988734,2.11071e-05,0,1,0,0,0,0.0491287,0.890412,0.0604595
219022165,-37081.8,-8285.14,1020,0.00110551,0.989159,0.0011224,1,0,0,0,0,0.0513892,0.899664,0.0489468
244150372,-36756.9,-6997.21,1020,0.822759,0.989495,0.000158754,0,1,0,0,0,0.0134151,0.304379,0.682206
219022165,-36958.3,-8022.75,1080,0.000916972,0.990381,0.000930059,1,0,0,0,0,0.0502713,0.900806,0.0489226
244150372,-36862.8,-7155.04,1080,0.799601,0.988183,0.000480567,0,1,0,0,0,0.0127748,0.21645,0.770776
219022165,-36826.7,-7768.89,1140,0,0.989961,1.61301e-05,1,0,0,0,0,0.0506454,0.899114,0.0502401
244150372,-36964.5,-7312.63,1140,0.792579,0.991706,0.000247647,0,1,0,0,0,0.00987457,0.18171,0.808415
219022165,-36743.7,-7499.54,1200,0,0.99025,1.70784e-05,1,0,0,0,0,0.0498404,0.899469,0.0506903
244150372,-37062.5,-7470.77,1200,0.786781,0.995186,3.52092e-06,0,1,0,0,0,0.010561,0.186386,0.803053
219022165,-36721.9,-7213.36,1260,0,0.990581,1.67953e-05,1,0,0,0,0,0.0486835,0.901413,0.0499034
244150372,-37145.7,-7575.23,1260,0.803575,0.997976,3.73158e-06,0,1,0,0,0,0.00961462,0.171726,0.81866
219022165,-36739.1,-6925.13,1320,0,0.990234,1.50558e-05,1,0,0,0,0,0.0511153,0.899592,0.0492922
244150372,-37225.5,-7669.94,1320,0.803926,0.987959,1.29461e-06,0,1,0,0,0,0.00917352,0.171743,0.819083
219022165,-36778.6,-6638.45,1380,0,0.989914,1.50483e-05,1,0,0,0,0,0.0507685,0.900086,0.0491451
244150372,-37305.3,-7764.65,1380,0.79979,0.997845,5.21142e-06,0,1,0,0,0,0.0100074,0.174995,0.814998
219022165,-36821.3,-6356.3,1440,0,0.989564,1.51334e-05,1,0,0,0,0,0.0519553,0.897498,0.0505464
244150372,-37385.1,-7859.37,1440,0.801402,0.998023,2.44389e-06,0,1,0,0,0,0.00988806,0.177552,0.81256
219022165,-36866.5,-6071.68,1500,0,0.991225,1.57973e-05,1,0,0,0,0,0.0466817,0.903019,0.0502997
244150372,-37464.9,-7954.09,1500,0.546268,0.995902,5.47012e-06,0,1,0,0,0,0.0220628,0.406326,0.571611
