mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219022165,-35958.2,-10242.8,540,0.98069,0.98952,1e-05,1,0,0,0,0,0.05027,0.89879,0.05094,0.9963,0.9963
244150372,-35855.5,-5810.48,540,0.97973,0.98936,1e-05,0,1,0,0,0,0.05021,0.90007,0.04972,0.94966,0.94966
219022165,-36116,-9994.7,600,0.97958,0.99006,1e-05,1,0,0,0,0,0.05072,0.89955,0.04973,0.99619,0.99143
244150372,-35990.8,-5941.13,600,0.98004,0.99011,1e-05,0,1,0,0,0,0.05064,0.89999,0.04937,0.95076,0.93982
219022165,-36269.5,-9754.03,660,0.97921,0.98994,0,1,0,0,0,0,0.04997,0.9,0.05003,0.99599,0.95829
244150372,-36100.1,-6083.01,660,0.98051,0.98998,1e-05,0,1,0,0,0,0.04865,0.9019,0.04945,0.95121,0.91229
219022165,-36434.4,-9510.28,720,0.98072,0.98992,1e-05,1,0,0,0,0,0.0515,0.89884,0.04966,0.99598,0.9638
244150372,-36213.6,-6234.63,720,0.98013,0.99022,1e-05,0,1,0,0,0,0.05049,0.9,0.04951,0.95079,0.91214
219022165,-36602.2,-9265.43,780,0.97926,0.98965,1e-05,1,0,0,0,0,0.05058,0.89878,0.05064,0.9961,0.97473
244150372,-36326.6,-6386.09,780,0.97973,0.98949,0,0,1,0,0,0,0.04972,0.90029,0.04999,0.95164,0.92774
219022165,-36765.7,-9025.02,840,0.97973,0.98999,2e-05,1,0,0,0,0,0.05066,0.90015,0.04919,0.99598,0.96443
244150372,-36445.8,-6535.2,840,0.9799,0.99003,0,0,1,0,0,0,0.04952,0.899,0.05148,0.95149,0.9121
219022165,-36920,-8789.9,900,0.97998,0.98999,0,1,0,0,0,0,0.04973,0.90078,0.04949,0.99606,0.96409
244150372,-36557.5,-6680.86,900,0.97965,0.99024,0,0,1,0,0,0,0.04956,0.90003,0.05041,0.95059,0.91129
219022165,-37084.6,-8550.98,960,0.97983,0.98996,0,1,0,0,0,0,0.05041,0.89929,0.0503,0.9961,0.95241
244150372,-36653.2,-6840.23,960,0.98021,0.98989,0,0,1,0,0,0,0.04812,0.9023,0.04958,0.95073,0.91106
219022165,-37081.8,-8285.14,1020,0.98071,0.98943,0,1,0,0,0,0,0.04927,0.90225,0.04848,0.99701,0.96072
244150372,-36756.9,-6997.21,1020,0.98014,0.98985,0,0,1,0,0,0,0.05119,0.89728,0.05153,0.95951,0.95932
219022165,-36958.3,-8022.75,1080,0.98038,0.98983,0,1,0,0,0,0,0.04915,0.89945,0.0514,0.99696,0.95145
244150372,-36862.8,-7155.04,1080,0.97981,0.99,1e-05,0,1,0,0,0,0.04925,0.89994,0.05081,0.96024,0.95109
219022165,-36826.7,-7768.89,1140,0.97962,0.99049,2e-05,1,0,0,0,0,0.04969,0.90172,0.04859,0.99708,0.95074
244150372,-36964.5,-7312.63,1140,0.97994,0.98979,1e-05,0,1,0,0,0,0.05049,0.89967,0.04984,0.95988,0.95024
219022165,-36743.7,-7499.54,1200,0.97986,0.98996,0,1,0,0,0,0,0.05017,0.89936,0.05047,0.99657,0.95033
244150372,-37062.5,-7470.77,1200,0.98043,0.99088,0,0,1,0,0,0,0.05033,0.89976,0.04991,0.96005,0.95116
219022165,-36721.9,-7213.36,1260,0.98123,0.98967,2e-05,1,0,0,0,0,0.04991,0.89945,0.05064,0.997,0.95049
244150372,-37145.7,-7575.23,1260,0.97972,0.98988,0,0,1,0,0,0,0.04884,0.90229,0.04887,0.9596,0.95002
219022165,-36739.1,-6925.13,1320,0.98047,0.99003,1e-05,1,0,0,0,0,0.04913,0.9017,0.04917,0.99654,0.94953
244150372,-37225.5,-7669.94,1320,0.97996,0.99014,0,0,1,0,0,0,0.05029,0.89928,0.05043,0.95969,0.94995
219022165,-36778.6,-6638.45,1380,0.98004,0.98991,0,1,0,0,0,0,0.04954,0.89997,0.05049,0.99679,0.95071
244150372,-37305.3,-7764.65,1380,0.98035,0.98985,0,0,1,0,0,0,0.04937,0.90075,0.04988,0.96049,0.95071
219022165,-36821.3,-6356.3,1440,0.98107,0.98987,1e-05,1,0,0,0,0,0.04998,0.9007,0.04932,0.99671,0.95067
244150372,-37385.1,-7859.37,1440,0.98045,0.98984,0,0,1,0,0,0,0.0497,0.90016,0.05014,0.95942,0.94968
219022165,-36866.5,-6071.68,1500,0.98028,0.99016,1e-05,1,0,0,0,0,0.05095,0.8992,0.04985,0.99713,0.93926
244150372,-37464.9,-7954.09,1500,0.97998,0.9906,1e-05,0,1,0,0,0,0.04946,0.89999,0.05055,0.95945,0.93819
