mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
219164000,49652.9,-46675,120,0.979413,0.98995,1.766e-05,0,0,1,0,0,0.0503002,0.900371,0.0493287
230091950,50826.1,-37735.9,120,0.979519,0.98996,8.53976e-06,0,1,0,0,0,0.0497966,0.899756,0.0504473
219164000,49662.2,-46517.9,180,0.980135,0.98968,0,0,0,1,0,0,0.0507016,0.900289,0.0490089
230091950,50631.2,-38034.7,180,0.980011,0.99005,0,0,1,0,0,0,0.0494428,0.900803,0.0497541
219164000,49660.3,-46353.8,240,0.979795,0.99022,8.83019e-06,0,0,1,0,0,0.049391,0.900991,0.0496185
230091950,50463.2,-38360.8,240,0.9796,0.99062,8.54091e-06,0,0,1,0,0,0.0512348,0.898878,0.0498867
219164000,49669.6,-46189.4,300,0.980047,0.98994,0,0,0,1,0,0,0.050172,0.900629,0.0491988
230091950,50299,-38686.7,300,0.980879,0.99013,8.54219e-06,0,1,0,0,0,0.0509312,0.899624,0.0494449
219164000,49667.7,-46027.1,360,0.980414,0.99011,2.65716e-05,0,0,1,0,0,0.0492197,0.900203,0.0505774
230091950,50124.2,-39015.4,360,0.979923,0.99,8.70712e-06,0,1,0,0,0,0.0502633,0.898859,0.0508781
219164000,49665.9,-45866.7,420,0.979108,0.98962,0,0,0,1,0,0,0.0498261,0.89982,0.0503536
230091950,49964.3,-39334.5,420,0.978029,0.98933,9.19639e-06,0,1,0,0,0,0.0493559,0.89698,0.0536645
219164000,49667.7,-45705.5,480,0.979121,0.9901,0,0,0,1,0,0,0.0486086,0.893266,0.0581259
230091950,49878.7,-39689.5,480,0.977656,0.987337,0.000448889,0,0,1,0,0,0.045636,0.897152,0.0572125
219164000,49673.4,-45544.4,540,0.978321,0.99017,8.67771e-06,0,0,1,0,0,0.0496471,0.89417,0.0561825
230091950,49886.3,-40051.3,540,0.97619,0.99051,1.08281e-05,0,0,1,0,0,0.0517096,0.946388,0.00190242
219164000,49671.6,-45383.3,600,0.974574,0.98987,1.80323e-05,0,0,1,0,0,0.049909,0.881196,0.0688952
230091950,49924.4,-40427.3,600,0.976249,0.99012,1.19009e-05,0,0,1,0,0,0.0518988,0.946923,0.00117784
219164000,49669.7,-45222.7,660,0.975001,0.99035,0,0,0,1,0,0,0.0503994,0.883447,0.0661537
230091950,49949.5,-40798.2,660,0.975938,0.98985,8.9056e-06,0,0,1,0,0,0.0532521,0.945722,0.00102542
219164000,49679.1,-45063.5,720,0.967201,0.9905,2.40575e-05,0,0,1,0,0,0.0471742,0.859294,0.0935323
230091950,49982.8,-41181.3,720,0.976241,0.98986,1.37747e-05,0,0,1,0,0,0.0523737,0.946645,0.00098098
219164000,49677.3,-44903.4,780,0.962576,0.99012,0,0,0,1,0,0,0.048164,0.83995,0.111886
230091950,50009,-41563.9,780,0.976141,0.99026,1.05903e-05,0,0,1,0,0,0.0530728,0.945837,0.00109037
219164000,49686.7,-44746.3,840,0.96912,0.99003,0,0,0,1,0,0,0.0488074,0.867082,0.0841106
230091950,50040.8,-41944.5,840,0.976601,0.9897,1.29526e-05,0,0,1,0,0,0.0534354,0.945566,0.000998769
219164000,49696.1,-44587.7,900,0.967135,0.98992,2.39114e-06,0,0,1,0,0,0.0484372,0.857017,0.0945454
230091950,50078.2,-42325.5,900,0.976226,0.99016,8.51307e-06,0,0,1,0,0,0.0524327,0.946428,0.00113947
219164000,49705.5,-44432.2,960,0.973046,0.99005,2.98188e-05,0,0,1,0,0,0.047253,0.882819,0.0699278
230091950,50110.1,-42710.4,960,0.975813,0.99048,6.48682e-06,0,0,1,0,0,0.0534961,0.945428,0.00107597
219164000,49714.9,-44273.2,1020,0.973596,0.9897,3.23994e-05,0,0,1,0,0,0.0480819,0.879771,0.072147
230091950,50153.7,-43096,1020,0.97613,0.98933,1.17068e-05,0,0,1,0,0,0.0527596,0.946328,0.000912708
219164000,49713.2,-44117.4,1080,0.97332,0.98998,1.07066e-05,0,0,1,0,0,0.0490056,0.879182,0.0718127
230091950,50196.3,-43480.5,1080,0.976271,0.98979,1.26285e-05,0,0,1,0,0,0.0539128,0.94513,0.000956869
219164000,49722.6,-43964.8,1140,0.973404,0.99029,6.18937e-05,0,0,1,0,0,0.0485468,0.880236,0.0712172
230091950,50200.5,-43865.4,1140,0.975918,0.99008,1.2255e-05,0,0,1,0,0,0.0560759,0.942972,0.00095224
219164000,49736,-43800.1,1200,0.973692,0.99034,2.35523e-05,0,0,1,0,0,0.050104,0.878188,0.0717079
230091950,50171.4,-44261.9,1200,0.976182,0.99005,1.81295e-05,0,0,1,0,0,0.05233,0.946754,0.000915874
219164000,49763.5,-43626.3,1260,0.971769,0.98806,4.33743e-05,0,0,1,0,0,0.0469904,0.881071,0.0719383
230091950,50147.4,-44658,1260,0.976261,0.99047,1.05983e-05,0,0,1,0,0,0.0535857,0.945534,0.000880057
219164000,49787.7,-43438.4,1320,0.973792,0.98995,1.39062e-05,0,0,1,0,0,0.0503724,0.876802,0.072826
230091950,50124.4,-45045.3,1320,0.97646,0.98939,1.04864e-05,0,0,1,0,0,0.0538657,0.945317,0.000817481
219164000,49815,-43235.1,1380,0.973349,0.98971,5.04325e-05,0,0,1,0,0,0.0505485,0.89302,0.0564315
230091950,50101.6,-45434.6,1380,0.976012,0.98994,1.53018e-05,0,0,1,0,0,0.0506672,0.948369,0.000963377
219164000,49835,-43023.9,1440,0.973577,0.99029,1.23456e-05,0,0,1,0,0,0.0489237,0.89306,0.058016
230091950,50083.7,-45824.8,1440,0.975965,0.99031,1.96646e-05,0,0,1,0,0,0.0511076,0.948006,0.000886771
219164000,49870.2,-42815.3,1500,0.97172,0.988841,2.61494e-05,0,0,1,0,0,0.0499645,0.878875,0.0711604
230091950,50059.6,-46207.1,1500,0.97613,0.99026,1.45582e-05,0,0,1,0,0,0.0518252,0.947292,0.000883035
219164000,49908.4,-42596.6,1560,0.972076,0.987631,2.2487e-05,0,0,1,0,0,0.0489913,0.878985,0.0720234
230091950,50036.9,-46603.2,1560,0.976034,0.98988,1.61064e-05,0,0,1,0,0,0.0538592,0.945272,0.000868511
219164000,49943.4,-42372.4,1620,0.972031,0.987878,1.47785e-05,0,0,1,0,0,0.0492613,0.877102,0.0736364
230091950,50020.1,-46989,1620,0.976369,0.99041,1.63947e-05,0,0,1,0,0,0.0543308,0.944833,0.000836287
219164000,49985.3,-42147.3,1680,0.97159,0.987119,2.60586e-05,0,0,1,0,0,0.049191,0.878877,0.0719316
230091950,49995.4,-47384.9,1680,0.975939,0.98935,1.22321e-05,0,0,1,0,0,0.0512888,0.947803,0.000908376
219164000,50016.7,-41921.2,1740,0.971804,0.987275,1.49991e-05,0,0,1,0,0,0.0484637,0.882726,0.0688107
230091950,49977.6,-47767.3,1740,0.975629,0.98976,1.97857e-05,0,0,1,0,0,0.0497974,0.949252,0.00095095
