mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
211237730,24416.9,-560.67,5460,0.98042,0.99003,0,0,1,0,0,0,0.05062,0.89948,0.0499
261146000,31764.8,5705.41,5460,0.978095,0.985064,1.11446e-05,1,0,0,0,0,0.0528058,0.895646,0.0515477
211237730,24570.4,-651.766,5520,0.420702,0.98969,0.000158097,0,1,0,0,0,0.0482154,0.903298,0.0484864
261146000,31633.2,5629.99,5520,0.978669,0.986081,0.0002,1,0,0,0,0,0.0101494,0.935362,0.0544889
211237730,24724.3,-763.354,5580,0.129126,0.98983,0.000702847,0,1,0,0,0,0.0483247,0.895082,0.0565929
261146000,31490.3,5556.6,5580,0.979621,0.984463,0.000194157,1,0,0,0,0,0.00549251,0.944641,0.0498663
211237730,24915.7,-843.403,5640,0.162778,0.99001,1.24833e-05,0,1,0,0,0,0.0461518,0.911688,0.0421604
261146000,31357.5,5465.7,5640,0.980444,0.983048,2.16696e-05,1,0,0,0,0,0.00522516,0.942304,0.0524708
211237730,25080.7,-875.902,5700,0.122421,0.13474,0.123558,0,1,0,0,0,0.0528455,0.907152,0.0400028
261146000,31211.9,5375.29,5700,0.976529,0.983408,5.20275e-05,1,0,0,0,0,0.00668123,0.944674,0.0486445
211237730,25228.5,-907.151,5760,0.463594,0.465133,0.00877752,0,1,0,0,0,0.0280108,0.943344,0.0286455
261146000,31075.2,5275.04,5760,0.109358,0.112247,0.112247,1,0,0,0,0,7.72082e-05,0.990274,0.00964912
211237730,25403.7,-957.457,5820,0.0721326,0.073676,0.0730824,0,1,0,0,0,0.0564785,0.888598,0.0549233
261146000,30942.1,5181.74,5820,0.473122,0.248789,0.0390051,1,0,0,0,0,0.224444,0.670292,0.105264
211237730,25593.1,-1001.5,5880,0.0489981,0.0509824,0.0499667,0,1,0,0,0,0.0409643,0.907578,0.0514575
261146000,30813.9,5095.21,5880,0.0422102,0.0427105,0.0433522,1,0,0,0,0,0,0.997287,0.00271334
211237730,25767.6,-1052.51,5940,0.0724376,0.0701549,0.0734063,0,1,0,0,0,0.0564915,0.896162,0.0473468
261146000,30696.9,5000.75,5940,0.873123,0.039691,0.00682212,1,0,0,0,0,0.833432,0.158276,0.00829165
211237730,25956.2,-1098.51,6000,0.0398868,0.0390796,0.0408197,0,1,0,0,0,0.049078,0.903846,0.0470762
261146000,30560.9,4909.34,6000,0.0322252,0.0329437,0.0335189,1,0,0,0,0,0,0.944149,0.0558508
211237730,26124.7,-1125.81,6060,0.0520172,0.0529038,0.0529129,0,1,0,0,0,0.0492863,0.899529,0.051185
261146000,30439.8,4808.39,6060,0.0632603,0.0644499,0.0649968,0,0,1,0,0,0.0058728,0.944634,0.0494936
211237730,26283.6,-1195.52,6120,0.0502549,0.0508205,0.0512096,0,1,0,0,0,0.0493006,0.903289,0.0474106
