mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
257604970,57001.2,-37378.7,9900,0.970032,0.98962,2.15048e-05,1,0,0,0,0,0.0504741,0.899443,0.0500831
257811840,61374.7,-29951.2,9900,0.970133,0.99029,8.29293e-06,0,1,0,0,0,0.050765,0.900009,0.0492257
257604970,57315.7,-36706.3,9960,0.818092,0.98961,0.000809102,1,0,0,0,0,0.0532853,0.89672,0.049995
257811840,61242.8,-29891.1,9960,0.375015,0.99009,0.272934,0,1,0,0,0,0.0320119,0.935545,0.032443
257604970,57627.1,-36049.3,10020,0.431254,0.99017,0.0034045,1,0,0,0,0,0.0465437,0.890414,0.0630418
257811840,61061.6,-29777.5,10020,0,0.99039,0.000163773,0,1,0,0,0,0.0470476,0.900749,0.0522035
257604970,57926.2,-35410.7,10080,0,0.98967,6.0657e-05,1,0,0,0,0,0.0503355,0.901625,0.0480397
257811840,60878.8,-29685.3,10080,0,0.98987,0.000177985,0,1,0,0,0,0.0511148,0.898244,0.0506411
257604970,58369.2,-34798.5,10140,0,0.99049,6.2223e-05,1,0,0,0,0,0.0500803,0.898993,0.050927
257811840,60737,-29783.5,10140,0,0.0128921,0.0129187,0,1,0,0,0,0.0338822,0.876486,0.0896315
257604970,58848.2,-34260.8,10200,0,0.99024,5.90742e-05,1,0,0,0,0,0.0497652,0.901044,0.0491904
257811840,60581.1,-29940.8,10200,0,0.0121837,0.0123034,0,1,0,0,0,0.0230715,0.941215,0.0357138
257604970,59143.8,-33595.2,10260,0,0.98965,8.08151e-05,1,0,0,0,0,0.0523204,0.899007,0.0486725
257811840,60404.1,-30076.9,10260,0,0.0151759,0.0153135,0,1,0,0,0,0.0377507,0.901349,0.0608998
257604970,59244.8,-32868.8,10320,0,0.990112,8.39772e-05,1,0,0,0,0,0.000422638,0.948525,0.0510528
257811840,60213.8,-30212.5,10320,0,0.0113662,0.0114809,0,1,0,0,0,0.0146243,0.958841,0.0265342
257604970,59349.6,-32149.8,10380,0,0.988856,8.41857e-05,1,0,0,0,0,0.000187173,0.948028,0.0517847
257811840,60107.6,-30402.3,10380,0,0.0174764,0.0176548,0,1,0,0,0,0.0545299,0.944552,0.000918275
257604970,59558,-31457.6,10440,0,0.00860482,0.00869146,1,0,0,0,0,0.050871,0.929371,0.0197584
257811840,59995.8,-30607.3,10440,0,0.038171,0.0385522,0,1,0,0,0,0.00190029,0.996228,0.00187179
257604970,59814.6,-30782.1,10500,0,0.00837837,0.00846166,1,0,0,0,0,0.287781,0.625607,0.0866124
257811840,59889.6,-30807.6,10500,0,0.974228,0.983919,0,1,0,0,0,0.0505899,0.90253,0.0468798
257604970,60218.6,-30170.5,10560,0,0.0141317,0.014273,1,0,0,0,0,0.000724061,0.998566,0.000710087
257811840,59791.9,-31011.6,10560,0,0.434045,0.438378,0,1,0,0,0,0.0217599,0.956317,0.0219227
257604970,60809.1,-29747.3,10620,0,0.0167513,0.0169169,1,0,0,0,0,0.000837562,0.998319,0.000843242
257811840,59702.1,-31209.3,10620,0,0.046189,0.0466448,0,1,0,0,0,0.00224602,0.995442,0.00231159
257604970,61225.1,-29207.4,10680,0,0.0257652,0.0260302,1,0,0,0,0,0.00130952,0.500082,0.498608
257811840,59595.5,-31408.3,10680,0,0.990101,1,0,1,0,0,0,0.0493816,0.902979,0.0476396
257604970,61313.9,-28519.7,10740,0,0.0155498,0.0157085,1,0,0,0,0,0.000789731,0.998413,0.000797576
257811840,59480.7,-31607.9,10740,0,0.989621,1,0,1,0,0,0,0.0484569,0.900216,0.0513276
257604970,61398.7,-28259.7,10800,0,0.00831903,0.00840389,1,0,0,0,0,0.00042722,0.999149,0.000423759
257811840,59409.1,-31786.7,10800,0,0.00997209,0.0100742,0,1,0,0,0,0.000505248,0.999002,0.000492977
