mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
219829000,17647.2,97650.2,1140,0.97984,0.98969,8.71683e-06,0,0,0,0,1,0.0497163,0.900296,0.0499875
259490000,11642.3,99927.3,1140,0.979396,0.98961,1.30671e-05,0,0,0,0,1,0.0515491,0.94185,0.00660103
219829000,17588.1,97511.3,1200,0.980554,0.99002,0,0,0,0,0,1,0.0509881,0.899508,0.0495042
259490000,11664.6,99930.3,1200,0.979169,0.632871,0.000233766,0,0,0,0,1,0.052827,0.914375,0.0327977
219829000,17517,97368.2,1260,0.979812,0.9899,1.41619e-05,0,0,0,0,1,0.0513532,0.897848,0.0507984
259490000,11675.8,99931.2,1260,0.974381,0.204808,0.000982885,0,0,0,0,1,0.0566847,0.9304,0.0129151
219829000,17458.7,97223.5,1320,0.979682,0.98904,9.59078e-06,0,0,0,0,1,0.0496256,0.89902,0.0513548
259490000,11675.7,99928.2,1320,0.977168,0.211262,0.000583194,0,0,0,0,1,0.0537606,0.934535,0.0117047
219829000,17398.5,97077.1,1380,0.980086,0.98931,6.22691e-06,0,0,0,0,1,0.0506247,0.898449,0.0509258
259490000,11686.7,99923.2,1380,0.979815,0.223599,0.00067615,0,0,0,0,1,0.0468093,0.93868,0.014511
219829000,17329.3,96936.9,1440,0.980189,0.99097,1.24956e-05,0,0,0,0,1,0.0505788,0.898767,0.0506547
259490000,11697.5,99908.5,1440,0.979851,0.00550095,0.00109158,0,0,0,0,1,0.0539686,0.944772,0.00125909
219829000,17272.2,96792.9,1500,0.979942,0.99033,1.0397e-05,0,0,0,0,1,0.0502332,0.899528,0.050239
259490000,11719.5,99895.9,1500,0.978498,0.00195086,0.00102313,0,0,0,0,1,0.0519082,0.94646,0.00163225
219829000,17212.1,96644.4,1560,0.980243,0.99007,1.0397e-05,0,0,0,0,1,0.049718,0.898597,0.0516851
259490000,11752.1,99862.3,1560,0.979888,0.00105368,0.00106412,0,0,0,0,1,0.0529577,0.946265,0.000777582
219829000,17152.3,96500.7,1620,0.980029,0.99004,5.67954e-06,0,0,0,0,1,0.051444,0.897503,0.0510535
259490000,11773.7,99835.7,1620,0.978397,0.00109765,0.00110844,0,0,0,0,1,0.053159,0.945978,0.000862832
219829000,17093.8,96355.9,1680,0.979966,0.9906,4.70176e-06,0,0,0,0,1,0.0503147,0.899357,0.0503278
259490000,11817.9,99820.1,1680,0.979,0.00105587,0.00106658,0,0,0,0,1,0.0613973,0.93778,0.000822561
219829000,17034.5,96209.2,1740,0.97984,0.98984,4.92899e-06,1,0,0,0,0,0.0514299,0.89846,0.0501097
259490000,11849.6,99750.8,1740,0.0479847,0.0484745,0.0489622,0,1,0,0,0,0.0423011,0.915887,0.0418123
219829000,16976.4,96066.3,1800,0.979996,0.9894,1.16366e-05,1,0,0,0,0,0.0484476,0.900831,0.0507211
259490000,11869.1,99637.6,1800,0.0463883,0.0468475,0.0473185,0,1,0,0,0,0.0684219,0.899258,0.0323205
219829000,16916.4,95919.8,1860,0.979951,0.98965,1.18764e-05,1,0,0,0,0,0.0488026,0.899917,0.0512808
259490000,11877.7,99534.5,1860,0.0426071,0.0430494,0.0434854,0,1,0,0,0,0.0563313,0.876579,0.0670897
219829000,16856.1,95777.8,1920,0.980197,0.98973,3.47211e-06,1,0,0,0,0,0.0497313,0.898597,0.0516715
259490000,11919.7,99431.4,1920,0.0450624,0.0455178,0.0459748,0,1,0,0,0,0.00231672,0.960111,0.0375727
219829000,16787.1,95631.8,1980,0.980083,0.99021,5.6366e-06,1,0,0,0,0,0.0489406,0.90045,0.0506093
259490000,11970.2,99307.9,1980,0.0425939,0.0430361,0.0434635,0,1,0,0,0,0.118322,0.827353,0.0543244
219829000,16738,95491.8,2040,0.980354,0.99015,3.79176e-06,1,0,0,0,0,0.0493448,0.900054,0.0506016
259490000,12129,99182.7,2040,0.165294,0.166944,0.168635,0,1,0,0,0,0.008489,0.982852,0.00865922
219829000,16674.3,95352.1,2100,0.979929,0.9908,6.15461e-06,1,0,0,0,0,0.0515443,0.897838,0.0506176
259490000,12402,99107.8,2100,0.979985,0.990092,1,0,1,0,0,0,0.050595,0.900314,0.0490907
219829000,16620.7,95207.7,2160,0.980079,0.99031,1.18022e-05,1,0,0,0,0,0.0489989,0.899592,0.0514089
259490000,12758,98937.7,2160,0.980076,0.989973,1,0,1,0,0,0,0.0493669,0.899302,0.0513315
