mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
210445000,10683.2,10040,240,0.98027,0.99,8.53745e-06,0,1,0,0,0,0.0509886,0.898451,0.0505601
219829000,16460.7,10913,240,0.97954,0.98948,9.26873e-06,1,0,0,0,0,0.04964,0.90031,0.05005
210445000,10730.9,9837.07,300,0.98002,0.99015,1.70749e-05,0,1,0,0,0,0.0496501,0.89891,0.0514402
219829000,16413.1,10775.4,300,0.97996,0.98956,0,1,0,0,0,0,0.05053,0.8991,0.05037
210445000,10779.6,9630.41,360,0.97889,0.99072,0,0,1,0,0,0,0.04936,0.89823,0.05241
219829000,16368,10637.3,360,0.97991,0.99007,9.26873e-06,1,0,0,0,0,0.05045,0.899651,0.0498993
210445000,10873.2,9462.52,420,0.966082,0.972278,0.00125675,0,1,0,0,0,0.0458877,0.896335,0.0577769
219829000,16322.9,10499.2,420,0.98026,0.99012,8.82752e-06,1,0,0,0,0,0.0506913,0.898607,0.0507021
210445000,11047.7,9456.74,480,0.923363,0.867921,0.00388941,0,1,0,0,0,0.0451502,0.908137,0.0467131
219829000,16277.8,10361.1,480,0.980305,0.99018,2.39211e-05,1,0,0,0,0,0.049777,0.900313,0.04991
210445000,11262.6,9476.74,540,0.697028,0.526435,0.0153742,0,1,0,0,0,0.049939,0.878375,0.0716858
219829000,16238,10223.9,540,0.979482,0.99028,0,1,0,0,0,0,0.0493602,0.900894,0.0497463
210445000,11504.3,9421.59,600,0.579751,0.256624,0.0278479,0,1,0,0,0,0.0322427,0.944027,0.0237305
219829000,16194.9,10080.7,600,0.97934,0.98998,2.05234e-05,1,0,0,0,0,0.0515235,0.899493,0.0489834
210445000,11777.1,9326.92,660,0.495739,0.255322,0.0474781,0,1,0,0,0,0.0681515,0.873894,0.0579547
219829000,16146.4,9946.41,660,0.980114,0.98988,1.26856e-05,1,0,0,0,0,0.050001,0.899614,0.0503849
210445000,12038.2,9211.61,720,0.942143,0.946153,0.255839,0,1,0,0,0,0.0110713,0.976718,0.012211
219829000,16079.9,9813.88,720,0.980159,0.99011,1.27112e-05,1,0,0,0,0,0.0468521,0.903428,0.0497204
210445000,12299.3,9096.31,780,0.151355,0.152045,0.0779988,0,1,0,0,0,0.028394,0.890997,0.0806094
