mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
210445000,10683.2,10040,240,0.97942,0.98999,1.70749e-05,0,1,0,0,0,0.0500801,0.90032,0.0496001
219829000,16460.7,10913,240,0.98017,0.99061,1.85375e-05,1,0,0,0,0,0.0499801,0.89913,0.0508901
210445000,10730.9,9837.07,300,0.98002,0.98971,8.53745e-06,0,1,0,0,0,0.0503286,0.899631,0.0500401
219829000,16413.1,10775.4,300,0.97957,0.99021,0,1,0,0,0,0,0.05026,0.89941,0.05033
210445000,10779.6,9630.41,360,0.98013,0.98966,8.53745e-06,0,1,0,0,0,0.0496401,0.900121,0.0502386
219829000,16368,10637.3,360,0.97966,0.98957,1.85375e-05,1,0,0,0,0,0.0491501,0.90204,0.0488101
210445000,10873.2,9462.52,420,0.96855,0.980057,0.000297529,0,1,0,0,0,0.058377,0.886274,0.0553488
219829000,16322.9,10499.2,420,0.979536,0.98996,8.79062e-06,1,0,0,0,0,0.0490233,0.900911,0.050066
210445000,11047.7,9456.74,480,0.933556,0.893522,0.00373137,0,1,0,0,0,0.0531538,0.902768,0.0440786
219829000,16277.8,10361.1,480,0.979991,0.9902,8.01761e-06,1,0,0,0,0,0.0496912,0.900425,0.0498834
210445000,11262.6,9476.74,540,0.798951,0.604383,0.0111127,0,1,0,0,0,0.0522011,0.942329,0.00546966
219829000,16238,10223.9,540,0.978826,0.99011,2.96159e-05,1,0,0,0,0,0.0499401,0.899686,0.0503737
210445000,11504.3,9421.59,600,0.627495,0.268865,0.0198888,0,1,0,0,0,0.0417663,0.869254,0.0889799
219829000,16194.9,10080.7,600,0.980497,0.99012,1.38032e-05,1,0,0,0,0,0.0497149,0.900573,0.049712
210445000,11777.1,9326.92,660,0.419249,0.0532464,0.0538705,0,1,0,0,0,0.00261785,0.974969,0.0224132
219829000,16146.4,9946.41,660,0.980563,0.99002,1.26908e-05,1,0,0,0,0,0.0490121,0.900865,0.050123
210445000,12038.2,9211.61,720,0.995883,0.997518,0.291521,0,1,0,0,0,0.0141534,0.819302,0.166544
219829000,16079.9,9813.88,720,0.980159,0.98986,0,1,0,0,0,0,0.0479606,0.90092,0.0511194
210445000,12299.3,9096.31,780,0.225143,0.263096,0.074674,0,1,0,0,0,0.0610747,0.904835,0.0340899
219829000,16011.7,9678.49,780,0.979874,0.99042,1.27833e-05,1,0,0,0,0,0.0458432,0.903126,0.0510313
210445000,12560.4,8981.09,840,0.129743,0.130321,0.0676129,0,1,0,0,0,0.0391451,0.919328,0.041527
219829000,15944.4,9545.71,840,0.980664,0.98976,1.25442e-05,1,0,0,0,0,0.0457099,0.903562,0.0507284
210445000,12821.4,8865.82,900,0.191505,0.192248,0.061519,0,1,0,0,0,0.105343,0.864904,0.0297522
219829000,15877.8,9413.05,900,0.98056,0.98992,1.09297e-05,1,0,0,0,0,0.0443069,0.905663,0.0500304
210445000,13082.6,8750.56,960,0.129819,0.130553,0.0655641,0,1,0,0,0,0.0521958,0.905691,0.0421129
219829000,15809.7,9278.71,960,0.979723,0.99007,0,1,0,0,0,0,0.0447834,0.905228,0.0499888
210445000,13343.7,8635.38,1020,0.0666822,0.067417,0.0680807,0,1,0,0,0,0.0473894,0.872736,0.0798749
219829000,15745.7,9146.99,1020,0.97988,0.9895,1.11238e-05,1,0,0,0,0,0.041869,0.907513,0.0506178
210445000,13603.8,8518.96,1080,0.0669263,0.0676463,0.0683781,0,1,0,0,0,0.0469787,0.902294,0.050727
219829000,15684.1,9014.24,1080,0.979648,0.98942,1.09703e-05,1,0,0,0,0,0.0409039,0.909369,0.049727
210445000,13844.8,8352.53,1140,0.0672218,0.0679172,0.0685799,0,1,0,0,0,0.0523619,0.899892,0.0477466
219829000,15620.6,8879.58,1140,0.980575,0.98977,0,1,0,0,0,0,0.0423522,0.907106,0.0505415
210445000,14068.2,8172.64,1200,0.0738826,0.0745175,0.075265,0,1,0,0,0,0.053747,0.904844,0.0414089
219829000,15557.2,8751.25,1200,0.980191,0.98939,9.67569e-06,1,0,0,0,0,0.0411119,0.908195,0.0506935
210445000,14291.6,7992.84,1260,0.0669035,0.067594,0.0682956,0,1,0,0,0,0.0411106,0.900525,0.0583645
219829000,15497.7,8616.88,1260,0.979798,0.98983,1.25048e-05,1,0,0,0,0,0.0401072,0.908551,0.0513423
210445000,14515,7813,1320,0.0675764,0.0682385,0.0689481,0,1,0,0,0,0.051587,0.898748,0.0496654
219829000,15438.3,8482.56,1320,0.980129,0.98942,4.18137e-06,1,0,0,0,0,0.0408638,0.907934,0.0512018
210445000,14732.5,7615.03,1380,0.0676766,0.0683775,0.0690647,0,1,0,0,0,0.0684735,0.882177,0.0493491
219829000,15377.6,8349.31,1380,0.979692,0.99015,4.2389e-06,1,0,0,0,0,0.0405684,0.908797,0.0506343
210445000,14937.3,7408.91,1440,0.0684341,0.0691711,0.0698247,0,1,0,0,0,0.0544295,0.874508,0.0710629
219829000,15318.2,8211.99,1440,0.981075,0.98974,2.10577e-05,1,0,0,0,0,0.0400633,0.9103,0.0496369
210445000,15148.3,7206.22,1500,0.0652304,0.0658334,0.0665683,0,1,0,0,0,0.0531016,0.897944,0.0489542
219829000,15252.9,8078.75,1500,0.979027,0.98914,9.00916e-06,1,0,0,0,0,0.0405519,0.908605,0.050843
210445000,15345,7007.86,1560,0.0629081,0.0635347,0.0641643,0,1,0,0,0,0.0395391,0.920792,0.039669
219829000,15195.6,7943.39,1560,0.979254,0.99026,2.28719e-05,1,0,0,0,0,0.0410851,0.909482,0.0494331
210445000,15580.8,6859.04,1620,0.0760671,0.0768664,0.0776131,0,1,0,0,0,0.046311,0.888096,0.0655931
219829000,15130.8,7802.91,1620,0.980583,0.99019,8.84101e-06,1,0,0,0,0,0.0394354,0.911527,0.0490379
210445000,15835.3,6733.13,1680,0.0689567,0.06966,0.070348,0,1,0,0,0,0.0512186,0.908652,0.0401297
219829000,15072.2,7667.67,1680,0.980613,0.99015,2.09026e-05,1,0,0,0,0,0.0405107,0.909697,0.049792
210445000,16122.3,6654.13,1740,0.0744826,0.0752003,0.0759919,0,1,0,0,0,0.0624865,0.889438,0.0480751
219829000,15006.3,7531.36,1740,0.980547,0.9895,1.96345e-05,1,0,0,0,0,0.0402065,0.907984,0.0518092
210445000,16399.1,6700.25,1800,0.074426,0.0751735,0.0759165,0,1,0,0,0,0.0439591,0.909572,0.0464687
219829000,14946.4,7386.79,1800,0.979815,0.99032,1.12806e-05,1,0,0,0,0,0.0428944,0.907994,0.0491119
210445000,16691.5,6758.58,1860,0.0630071,0.0636471,0.0643039,0,1,0,0,0,0.0674446,0.878848,0.0537072
219829000,14882.3,7244.5,1860,0.979886,0.98968,1.06299e-05,1,0,0,0,0,0.0437425,0.904803,0.051455
210445000,16985.7,6828.3,1920,0.07074,0.0714443,0.0722005,0,1,0,0,0,0.0599314,0.87668,0.0633883
219829000,14826.8,7105.95,1920,0.979653,0.99,2.3752e-05,1,0,0,0,0,0.0402329,0.909169,0.0505986
210445000,17291.5,6901.22,1980,0.0688925,0.0695848,0.0702902,0,1,0,0,0,0.0355675,0.899328,0.0651042
219829000,14759.1,6967.54,1980,0.980277,0.98984,1.01836e-05,1,0,0,0,0,0.0399505,0.909157,0.0508929
210445000,17579.2,6940.66,2040,0.0644346,0.0651213,0.0657297,0,1,0,0,0,0.0661229,0.901061,0.0328164
219829000,14691.3,6828.17,2040,0.979928,0.98996,1.29116e-05,1,0,0,0,0,0.0438443,0.904203,0.0519522
210445000,17885.3,6953.57,2100,0.0634342,0.0641185,0.0647636,0,1,0,0,0,0.0281331,0.918003,0.0538637
219829000,14641,6691.45,2100,0.980802,0.98968,1.62093e-05,1,0,0,0,0,0.0410791,0.907846,0.0510746
210445000,18191.4,6966.41,2160,0.0648584,0.0655149,0.0662002,0,1,0,0,0,0.080749,0.870381,0.04887
219829000,14580.6,6551.58,2160,0.979641,0.99065,1.60238e-05,1,0,0,0,0,0.0413051,0.908745,0.0499494
210445000,18500.2,6976.92,2220,0.0638971,0.0645446,0.0652044,0,1,0,0,0,0.0157237,0.946975,0.0373013
219829000,14520.2,6411.7,2220,0.979822,0.99039,3.15332e-06,1,0,0,0,0,0.0399554,0.910019,0.0500257
210445000,18815.4,6989.15,2280,0.0676082,0.0683109,0.0690018,0,1,0,0,0,0.0315661,0.946429,0.0220052
219829000,14459.8,6270.21,2280,0.980592,0.98957,6.4206e-06,1,0,0,0,0,0.0424222,0.907519,0.0500586
210445000,19112.3,7002.84,2340,0.0638212,0.0644508,0.0650993,0,1,0,0,0,0.0423255,0.903551,0.0541231
219829000,14404.2,6128.41,2340,0.979493,0.99004,9.72813e-06,1,0,0,0,0,0.0411748,0.906739,0.052086
210445000,19415.1,7015.98,2400,0.0735875,0.0743146,0.0750798,0,1,0,0,0,0.00373174,0.94626,0.0500081
219829000,14348.6,5986.6,2400,0.980602,0.9905,6.51186e-06,1,0,0,0,0,0.0397899,0.909472,0.0507384
210445000,19712.4,7026.14,2460,0.0754428,0.0761784,0.0769628,0,1,0,0,0,0.00388176,0.95859,0.0375278
219829000,14289.5,5847,2460,0.980091,0.9899,1.27929e-05,1,0,0,0,0,0.0408334,0.909133,0.0500334
210445000,20017.1,7036.53,2520,0.0758558,0.0766301,0.0774103,0,1,0,0,0,0.0632598,0.884837,0.0519033
219829000,14237.5,5710.26,2520,0.97931,0.98993,9.61031e-06,1,0,0,0,0,0.0407989,0.909988,0.0492128
210445000,20310,7046.46,2580,0.077289,0.078058,0.0788439,0,1,0,0,0,0.0648477,0.855726,0.079426
219829000,14185.6,5573.52,2580,0.980553,0.99039,6.53076e-06,1,0,0,0,0,0.0402818,0.909911,0.0498072
210445000,20609,7057.16,2640,0.071451,0.0721895,0.0729084,0,1,0,0,0,0.0298661,0.932442,0.0376918
219829000,14136.5,5444.71,2640,0.980074,0.98966,1.18749e-05,1,0,0,0,0,0.0398214,0.909822,0.0503569
210445000,20909.4,7064.98,2700,0.060063,0.0607117,0.0613082,0,1,0,0,0,0.00311599,0.914302,0.0825819
219829000,14136.5,5444.71,2700,0.978629,0.98972,1.79612e-05,1,0,0,0,0,0.0408508,0.908259,0.0508899
