mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219829000,16322.9,10499.2,420,0.980387,0.99009,5.24073e-08,1,0,0,0,0,0.0504406,0.901248,0.0483115,0.96915,0.96915
219829000,16277.8,10361.1,480,0.981522,0.98948,5.07809e-05,1,0,0,0,0,0.0492436,0.900123,0.0506334,0.970615,0.229235
219829000,16238,10223.9,540,0.980449,0.99063,4.47163e-08,1,0,0,0,0,0.0505971,0.900413,0.0489898,0.972548,0.660561
210445000,11504.3,9421.59,600,0.978706,0.98988,0,0,1,0,0,0,0.0525208,0.946203,0.00127588,0.993141,0.993141
219829000,16194.9,10080.7,600,0.980279,0.98996,0,1,0,0,0,0,0.0493122,0.900986,0.049702,0.994753,0.994544
210445000,11777.1,9326.92,660,0.978763,0.99002,1.60457e-05,0,1,0,0,0,0.0516136,0.947476,0.000910708,0.999357,0.999303
219829000,16146.4,9946.41,660,0.9805,0.99035,1.00725e-05,1,0,0,0,0,0.0533691,0.894734,0.0518972,1,1
210445000,12038.2,9211.61,720,0.888766,0.893833,0.893833,0,1,0,0,0,0.106167,0.82985,0.0639831,1,1
219829000,16079.9,9813.88,720,0.979318,0.99053,2.04078e-06,1,0,0,0,0,0.0465408,0.902217,0.0512422,1,0.999833
210445000,12299.3,9096.31,780,0.851728,0.871375,0.871375,0,1,0,0,0,0.0217615,0.860494,0.117744,1,1
219829000,16011.7,9678.49,780,0.980709,0.99025,6.44344e-08,1,0,0,0,0,0.0451477,0.905928,0.0489247,1,0.999603
210445000,12560.4,8981.09,840,0.79843,0.811759,0.811862,0,1,0,0,0,0.0764873,0.895716,0.0277963,1,1
219829000,15944.4,9545.71,840,0.980439,0.98987,1.02676e-05,1,0,0,0,0,0.0453512,0.903842,0.0508071,1,0.998715
210445000,12821.4,8865.82,900,0.803193,0.822706,0.822984,0,1,0,0,0,0.0501099,0.896585,0.0533051,1,1
219829000,15877.8,9413.05,900,0.979935,0.98977,9.28831e-07,1,0,0,0,0,0.0448909,0.905958,0.0491514,1,0.997757
210445000,13082.6,8750.56,960,0.781048,0.797562,0.797715,0,1,0,0,0,0.0414746,0.899101,0.0594243,1,1
219829000,15809.7,9278.71,960,0.980825,0.98987,0,1,0,0,0,0,0.0394381,0.90814,0.0524219,1,0.996605
210445000,13343.7,8635.38,1020,0.807689,0.822944,0.823101,0,1,0,0,0,0.0521782,0.905397,0.042425,1,0.999992
219829000,15745.7,9146.99,1020,0.980635,0.99028,2.9752e-05,1,0,0,0,0,0.038633,0.909356,0.052011,1,0.994123
210445000,13603.8,8518.96,1080,0.784779,0.792481,0.800909,0,1,0,0,0,0.0457103,0.913432,0.0408577,1,0.999982
219829000,15684.1,9014.24,1080,0.980756,0.98987,0,1,0,0,0,0,0.0350109,0.911638,0.053351,1,0.992256
210445000,13844.8,8352.53,1140,0.740195,0.735513,0.755954,0,1,0,0,0,0.170113,0.798443,0.0314444,1,0.999955
219829000,15620.6,8879.58,1140,0.979217,0.99008,1.1332e-06,1,0,0,0,0,0.041356,0.909086,0.0495583,1,0.986506
210445000,14068.2,8172.64,1200,0.98003,0.999807,1,0,1,0,0,0,0.059785,0.876308,0.0639069,1,0.999846
219829000,15557.2,8751.25,1200,0.978303,0.98995,1.4125e-05,1,0,0,0,0,0.0416817,0.907631,0.0506874,1,0.979752
210445000,14291.6,7992.84,1260,0.975585,0.999764,1,0,1,0,0,0,0.0940672,0.904693,0.00123945,1,0.999717
219829000,15497.7,8616.88,1260,0.981142,0.98988,5.57207e-06,1,0,0,0,0,0.0452952,0.902293,0.0524117,0.999997,0.968859
210445000,14515,7813,1320,0.979858,0.973137,1,0,1,0,0,0,0.0319709,0.911792,0.056237,1,0.968779
219829000,15438.3,8482.56,1320,0.979607,0.99009,1.37687e-05,1,0,0,0,0,0.0426923,0.904763,0.0525451,1,0.968031
210445000,14732.5,7615.03,1380,0.984783,0.999851,1,0,1,0,0,0,0.0764888,0.92272,0.000791375,1,0.961944
219829000,15377.6,8349.31,1380,0.980602,0.98949,8.08952e-06,1,0,0,0,0,0.0454725,0.904262,0.0502653,1,0.96993
210445000,14937.3,7408.91,1440,0.97799,0.999771,1,0,1,0,0,0,0.00110462,0.997793,0.00110235,1,0.999688
219829000,15318.2,8211.99,1440,0.979506,0.98924,3.00673e-05,1,0,0,0,0,0.0364321,0.910682,0.0528858,1,0.969444
210445000,15148.3,7206.22,1500,0.98132,0.999816,1,0,1,0,0,0,0.000949312,0.998093,0.000958153,1,0.999441
219829000,15252.9,8078.75,1500,0.979601,0.99048,3.43362e-06,1,0,0,0,0,0.0335115,0.917605,0.0488837,1,0.969613
210445000,15345,7007.86,1560,0.98082,0.871847,1,0,1,0,0,0,0.155999,0.843051,0.000950341,1,0.999417
219829000,15195.6,7943.39,1560,0.980726,0.99033,1.08594e-05,1,0,0,0,0,0.0570371,0.892821,0.050142,1,0.972371
210445000,15580.8,6859.04,1620,0.97768,0.925584,1,0,1,0,0,0,0.0914564,0.90745,0.0010938,1,0.999332
219829000,15130.8,7802.91,1620,0.981543,0.99022,0,1,0,0,0,0,0.033467,0.91653,0.0500029,1,0.971085
210445000,15835.3,6733.13,1680,0.970046,0.999691,1,0,1,0,0,0,0.122717,0.875771,0.00151224,1,0.998183
219829000,15072.2,7667.67,1680,0.980565,0.99034,1.64007e-05,1,0,0,0,0,0.0470816,0.903084,0.0498341,1,0.938731
210445000,16122.3,6654.13,1740,0.973306,0.999735,1,0,1,0,0,0,0.217596,0.781084,0.00132046,1,0.889641
219829000,15006.3,7531.36,1740,0.979234,0.98991,1.62351e-05,1,0,0,0,0,0.0368181,0.91117,0.0520114,1,0.916836
210445000,16399.1,6700.25,1800,0.977573,0.926174,1,0,1,0,0,0,0.00108779,0.997774,0.00113814,1,0.997543
219829000,14946.4,7386.79,1800,0.980339,0.98978,2.12747e-05,1,0,0,0,0,0.0276425,0.922715,0.0496421,1,0.891252
210445000,16691.5,6758.58,1860,0.978061,0.999788,1,0,1,0,0,0,0.0010786,0.997843,0.00107856,1,0.995939
219829000,14882.3,7244.5,1860,0.980104,0.98993,4.13107e-06,1,0,0,0,0,0.0500127,0.899253,0.050734,1,0.817039
210445000,16985.7,6828.3,1920,0.965949,0.999668,1,0,1,0,0,0,0.00168758,0.996569,0.0017433,1,0.856837
219829000,14826.8,7105.95,1920,0.979213,0.98968,4.07963e-06,1,0,0,0,0,0.0378598,0.91125,0.0508903,1,0.84953
210445000,17291.5,6901.22,1980,0.972713,0.999727,1,0,1,0,0,0,0.00137639,0.799868,0.198755,1,0.996065
219829000,14759.1,6967.54,1980,0.979196,0.99046,1.13914e-05,1,0,0,0,0,0.0437836,0.905014,0.0512024,1,0.854078
210445000,17579.2,6940.66,2040,0.975412,0.999756,1,0,1,0,0,0,0.100965,0.719893,0.179142,1,0.898808
219829000,14691.3,6828.17,2040,0.980766,0.98918,1.53935e-05,1,0,0,0,0,0.0410237,0.909156,0.0498206,1,0.94161
