mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219022165,-35550,-11937.9,180,0.980371,0.99899,0.00106922,0,0,0,0,1,0,0,0,0,0.0496074,0.899473,0.0509194,0.405961,0.405961
244150372,-35664.5,-4943.49,180,0.980005,0.99898,0.00104936,0,0,0,0,1,0,0,0,0,0.0509507,0.899775,0.0492738,0.406812,0.406812
219022165,-35607,-11648.5,240,0.979434,0.99881,0.00113282,0,0,0,0,1,0,0,0,0,0.0486075,0.901284,0.0501086,0.561107,0.451053
244150372,-35571.2,-5106.66,240,0.980259,0.99912,0.000863925,0,0,0,0,1,0,0,0,0,0.0498316,0.900574,0.0495947,0.558419,0.447937
219022165,-35652.6,-11360.2,300,0.980143,0.99889,0.000995302,0,0,0,0,1,0,0,0,0,0.0499632,0.899656,0.0503808,0.710381,0.550162
244150372,-35474.8,-5270.98,300,0.980296,0.99897,0.00103329,0,0,0,0,1,0,0,0,0,0.0502941,0.899474,0.0502318,0.715058,0.553073
219022165,-35708.1,-11077.9,360,0.980652,0.99906,0.00100528,0,0,0,0,1,0,0,0,0,0.0473907,0.902763,0.0498461,0.996086,0.992393
244150372,-35442.1,-5456.05,360,0.981409,0.990219,0.188321,0,1,0,1,1,0,0,0,0,0.0439921,0.906281,0.0497265,0.196455,0.196019
219022165,-35756.4,-10790.5,420,0.979889,0.99903,0.000918902,0,0,0,0,1,0,0,0,0,0.0494854,0.899926,0.050589,0.996993,0.802743
244150372,-35561.6,-5609.04,420,0.972307,0.978417,0.249837,0,1,0,1,1,0,0,0,0,0.0832168,0.881342,0.0354414,0.285421,0.236564
219022165,-35833.8,-10507.1,480,0.973084,0.960443,0.741229,1,0,0,1,1,0,0,0,0,0.0907139,0.859536,0.04975,0.779597,0.778318
244150372,-35728.4,-5680.69,480,0.946181,0.972331,0.740859,0,1,0,1,1,0,0,0,0,0.119389,0.840525,0.040086,0.857687,0.857508
219022165,-35958.2,-10242.8,540,0.969771,0.95598,0.754749,1,0,0,1,1,0,0,0,0,0.0910955,0.862552,0.0463525,0.800422,0.800422
244150372,-35855.5,-5810.48,540,0.973116,0.954177,0.72553,0,1,0,1,1,0,0,0,0,0.0704763,0.891328,0.0381956,0.771343,0.771329
219022165,-36116,-9994.7,600,0.964998,0.910833,0.843273,1,0,0,0,1,0,0,0,0,0.119731,0.844527,0.0357413,0.933758,0.929103
244150372,-35990.8,-5941.13,600,0.96924,0.989792,0.854208,0,1,0,0,1,0,0,0,0,0.0437325,0.908678,0.0475897,0.863368,0.860562
219022165,-36269.5,-9754.03,660,0.962474,0.988014,0.982267,1,0,0,0,1,0,0,0,0,0.0960735,0.826739,0.0771871,0.996779,0.980638
244150372,-36100.1,-6083.01,660,0.969852,0.989426,0.883458,0,1,0,1,1,0,0,0,0,0.0454945,0.911321,0.0431847,0.893231,0.886184
219022165,-36434.4,-9510.28,720,0.965598,0.988599,0.984619,1,0,0,0,1,0,0,0,0,0.100844,0.897351,0.00180549,0.99735,0.996437
244150372,-36213.6,-6234.63,720,0.970618,0.988596,0.990027,0,1,0,0,1,0,0,0,0,0.0490638,0.902949,0.0479873,0.99979,0.991425
219022165,-36602.2,-9265.43,780,0.831402,0.936983,0.915972,1,0,0,0,1,0,0,0,0,0.840639,0.155071,0.0042901,0.994798,0.984919
244150372,-36326.6,-6386.09,780,0.956485,0.974652,0.975886,0,1,0,0,1,0,0,0,0,0.0529888,0.896336,0.0506749,0.999916,0.996086
219022165,-36765.7,-9025.02,840,0,0.740064,0.457814,1,0,0,0,1,0,0,0,0,0.066602,0.857796,0.0756024,0.90965,0.743393
244150372,-36445.8,-6535.2,840,0.959563,0.97837,0.979122,0,1,0,0,1,0,0,0,0,0.0503722,0.898941,0.0506871,0.999998,0.993108
219022165,-36920,-8789.9,900,0,0.53604,0.536649,1,0,0,0,1,0,0,0,0,0.0457364,0.927218,0.0270461,0.999939,0.989598
244150372,-36557.5,-6680.86,900,0.97982,0.999124,1,0,1,0,0,1,0,0,0,0,0.0495392,0.900883,0.0495782,0.999999,0.992893
219022165,-37084.6,-8550.98,960,0,0.793157,0.360627,1,0,0,0,1,0,0,0,0,0.0182983,0.963191,0.0185104,0.783524,0.562834
244150372,-36653.2,-6840.23,960,0.731247,0.745687,0.746419,0,1,0,1,1,0,0,0,0,0.0390122,0.924094,0.0368933,0.999923,0.990228
219022165,-37081.8,-8285.14,1020,0,0.999108,1,1,1,0,1,1,0,0,0,0,0.0498791,0.899809,0.0503116,0.99996,0.999496
244150372,-36756.9,-6997.21,1020,0.979749,0.99998,1,0,1,0,0,1,0,0,0,0,0.0696999,0.897106,0.0331941,1,0.99999
219022165,-36958.3,-8022.75,1080,0,0.999189,1,1,1,0,1,1,0,0,0,0,0.0494523,0.900686,0.0498621,0.999979,0.998331
244150372,-36862.8,-7155.04,1080,0,0.999031,1,0,1,0,0,1,0,0,0,0,0.0494853,0.900412,0.050103,0.999978,0.998293
219022165,-36826.7,-7768.89,1140,0,0.999073,1,1,1,0,0,1,0,0,0,0,0.0496858,0.901303,0.0490115,1,0.998151
244150372,-36964.5,-7312.63,1140,0,0.999197,1,0,1,0,0,1,0,0,0,0,0.049745,0.900747,0.0495078,0.999978,0.998077
219022165,-36743.7,-7499.54,1200,0,0.999034,1,1,1,0,1,1,0,0,0,0,0.0501986,0.899357,0.0504442,0.999978,0.999003
244150372,-37062.5,-7470.77,1200,0,0.99911,1,0,1,0,0,1,0,0,0,0,0.0500898,0.899584,0.050326,0.999989,0.998988
219022165,-36721.9,-7213.36,1260,0,0.999031,1,1,1,0,1,1,0,0,0,0,0.049791,0.898816,0.0513926,1,0.997926
244150372,-37145.7,-7575.23,1260,0,0.99913,1,0,1,0,0,1,0,0,0,0,0.0494799,0.900654,0.0498665,0.999975,0.998359
219022165,-36739.1,-6925.13,1320,0,0.998857,1,1,1,0,1,1,0,0,0,0,0.0494227,0.90263,0.0479471,0.999982,0.99833
244150372,-37225.5,-7669.94,1320,0,0.999101,1,0,1,0,0,1,0,0,0,0,0.0494669,0.898991,0.0515421,0.999975,0.998248
219022165,-36778.6,-6638.45,1380,0,0.999142,1,1,1,0,0,1,0,0,0,0,0.0499918,0.899807,0.0502008,0.999999,0.998058
244150372,-37305.3,-7764.65,1380,0,0.999042,1,0,1,0,0,1,0,0,0,0,0.0498147,0.900973,0.0492125,1,0.998434
219022165,-36821.3,-6356.3,1440,0,0.999055,1,1,1,0,0,1,0,0,0,0,0.0504473,0.90043,0.049123,1,0.99841
244150372,-37385.1,-7859.37,1440,0,0.999005,1,0,1,0,0,1,0,0,0,0,0.0501674,0.899296,0.0505368,1,0.99817
219022165,-36866.5,-6071.68,1500,0,0.999075,1,1,1,0,0,1,0,0,0,0,0.0498968,0.900337,0.0497665,1,0.997195
244150372,-37464.9,-7954.09,1500,0,0.998968,1,0,1,0,0,1,0,0,0,0,0.0496889,0.899237,0.0510744,1,0.997066
