mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219829000,17588.1,97511.3,1200,0.979957,0.99902,0.00117258,0,0,0,0,1,0,0,0,0,0.0491298,0.900701,0.0501692,0.244049,0.244049
259490000,11664.6,99930.3,1200,0.979722,0.999029,0.000789924,0,1,0,1,1,0,0,0,0,0.0502974,0.900589,0.0491134,0,0
219829000,17517,97368.2,1260,0.980113,0.99907,0.00105274,0,0,0,0,1,0,0,0,0,0.0505024,0.898968,0.0505292,0.410009,0.242177
259490000,11675.8,99931.2,1260,0.97931,0.998028,0.0373546,0,1,0,1,1,0,0,0,0,0.0582883,0.895578,0.0461338,0.0380532,0.0377695
219829000,17458.7,97223.5,1320,0.980184,0.99913,0.00107311,0,0,0,0,1,0,0,0,0,0.0495413,0.900584,0.0498751,0.535298,0.242968
259490000,11675.7,99928.2,1320,0.939931,0.947189,0.798529,0,1,0,1,1,0,0,0,0,0.049202,0.867601,0.0831969,0.882641,0.877668
219829000,17398.5,97077.1,1380,0.979817,0.99909,0.00102336,0,0,0,0,1,0,0,0,0,0.0489662,0.900909,0.0501245,0.62951,0.242266
259490000,11686.7,99923.2,1380,0.956899,0.985242,0.964748,0,1,0,1,1,0,0,0,0,0.0268839,0.855918,0.117198,0.999223,0.996729
219829000,17329.3,96936.9,1440,0.97915,0.99903,0.00102247,0,0,0,0,1,0,0,0,0,0.0486134,0.901324,0.050063,0.703747,0.243007
259490000,11697.5,99908.5,1440,0.973408,0.948233,0.947921,0,1,0,1,1,0,0,0,0,0.0636764,0.924397,0.0119267,1,0.99813
219829000,17272.2,96792.9,1500,0.980113,0.9991,0.00090221,0,0,0,0,1,0,0,0,0,0.0495785,0.901059,0.0493627,0.762863,0.241137
259490000,11719.5,99895.9,1500,0.954736,0.975832,0.975862,0,1,0,1,1,0,0,0,0,0.0381218,0.920088,0.0417901,1,0.998088
219829000,17212.1,96644.4,1560,0.97976,0.99902,0.00100791,0,0,0,0,1,0,0,0,0,0.0497506,0.898649,0.0516006,0.811816,0.244509
259490000,11752.1,99862.3,1560,0.98025,0.996626,0.996649,0,1,0,1,1,0,0,0,0,0.0107114,0.983268,0.00602083,1,0.999097
219829000,17152.3,96500.7,1620,0.980512,0.99887,0.00105018,0,0,0,0,1,0,0,0,0,0.0520439,0.897535,0.0504208,0.849016,0.245429
259490000,11773.7,99835.7,1620,0.962852,0.994893,0.994896,0,1,0,1,1,0,0,0,0,0.034904,0.953955,0.0111411,1,0.999981
219829000,17093.8,96355.9,1680,0.979221,0.99912,0.000957952,0,0,0,0,1,0,0,0,0,0.0506441,0.900016,0.04934,0.878259,0.242239
259490000,11817.9,99820.1,1680,0.715573,0.985652,0.985662,0,1,0,1,1,0,0,0,0,0.0267646,0.967659,0.00557644,1,0.98839
219829000,17034.5,96209.2,1740,0.9794,0.99894,0.00102235,0,0,0,0,1,0,0,0,0,0.0496703,0.900425,0.0499052,0.901508,0.241941
259490000,11849.6,99750.8,1740,0.00286988,0.950793,0.950808,0,1,1,1,1,0,0,0,0,0.0452191,0.926884,0.0278967,1,0.999389
219829000,16976.4,96066.3,1800,0.979774,0.99903,0.000916861,0,0,0,0,1,0,0,0,0,0.0479465,0.901189,0.050865,0.920454,0.242577
