mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
219022165,-35550,-11937.9,180,0.949483,0.97933,0.00493778,0,0,0,0,0,1,0,0,0,0.0496391,0.900355,0.0500062,0.430243,0.430243,0
244150372,-35664.5,-4943.49,180,0.949192,0.98012,0.00525763,0,0,0,0,1,0,0,0,0,0.0486808,0.901106,0.0502129,0.435549,0.435549,0
219022165,-35607,-11648.5,240,0.950333,0.98015,0.00518757,0,0,0,0,0,1,0,0,0,0.0490011,0.901191,0.0498077,0.555257,0.475896,0
244150372,-35571.2,-5106.66,240,0.949601,0.97959,0.00513963,0,0,0,0,1,0,0,0,0,0.0508272,0.898745,0.0504282,0.560747,0.478306,0
219022165,-35652.6,-11360.2,300,0.949937,0.97952,0.00512091,0,0,0,0,0,1,0,0,0,0.049188,0.901165,0.0496466,0.667849,0.568465,1
244150372,-35474.8,-5270.98,300,0.950841,0.34446,0.177775,1,0,0,0,1,0,0,0,0,0.0511091,0.92825,0.0206408,0.832731,0.489448,0
219022165,-35708.1,-11077.9,360,0.949692,0.98073,0.00500478,0,0,0,0,0,0,1,0,0,0.0486688,0.901179,0.0501521,0.992728,0.992728,0
244150372,-35442.1,-5456.05,360,0.949036,0.325688,0.179445,1,0,0,1,0,1,0,0,0,0.0521118,0.931668,0.0162203,0.845873,0.843945,0
219022165,-35756.4,-10790.5,420,0.950162,0.97908,0.00514874,0,0,0,0,1,0,0,0,0,0.0499685,0.900289,0.0497429,0.994075,0.811548,1
244150372,-35561.6,-5609.04,420,0.948416,0.333412,0.182747,1,0,0,1,0,1,0,0,0,0.0499004,0.930402,0.0196974,0.841634,0.684198,0
219022165,-35833.8,-10507.1,480,0.861496,0.770852,0.648899,0,1,0,1,1,0,0,0,0,0.159602,0.793967,0.0464309,0.86551,0.86551,1
244150372,-35728.4,-5680.69,480,0.949868,0.326772,0.177364,1,0,0,1,0,1,0,0,0,0.0538549,0.931028,0.0151176,0.995654,0.995654,0
219022165,-35958.2,-10242.8,540,0.583014,0.9803,0.0547627,0,1,0,1,1,0,0,0,0,0.563185,0.414682,0.0221326,1,1,0
244150372,-35855.5,-5810.48,540,0.945719,0.210467,0.207426,1,1,0,1,0,1,0,0,0,0.0528579,0.931393,0.0157489,0.992728,0.991629,0
219022165,-36116,-9994.7,600,0.544491,0.97959,0.0631226,0,1,0,0,1,0,0,0,0,0.511587,0.462406,0.0260063,0.999992,0.999939,0
244150372,-35990.8,-5941.13,600,0.948476,0.212793,0.212754,1,1,0,0,0,1,0,0,0,0.0513126,0.936519,0.0121687,0.995648,0.992704,0
219022165,-36269.5,-9754.03,660,0.532959,0.98031,0.0670257,0,1,0,0,1,0,0,0,0,0.497039,0.477099,0.0258614,0.999959,0.993861,0
244150372,-36100.1,-6083.01,660,0.948286,0.214192,0.215909,1,1,0,1,0,1,0,0,0,0.0499856,0.937098,0.0129167,0.997243,0.989931,0
